1 pgr pgr 2 NOUN nsubj
171 uso uso 169 NOUN obj
172 de de 174 ADP case
173 as o 174 DET det
174 contas conta 171 NOUN nmod
175 as as 176 ADP case
176 autoridades autoridade 169 NOUN iobj
177 de de 179 ADP case
178 o o 179 DET det
179 pais pais 176 NOUN nmod
180 a o 181 DET det
181 reportagem reportagem 182 NOUN nsubj
182 diz dizer 155 VERB parataxis
183 que que 195 CCONJ mark
184 o o 185 DET det
185 volume volume 195 NOUN nsubj
186 de de 187 ADP case
187 dinheiro dinheiro 185 NOUN nmod
188 e e 190 CCONJ cc
189 os o 190 DET det
190 padroes padroe 185 NOUN conj
191 de de 192 ADP case
192 transferencia transferencia 190 NOUN nmod
193 sem sem 194 ADP case
194 justificativa justificativa 190 NOUN nmod
195 levantaram levantar 182 VERB ccomp
196 suspeitas suspeitas 195 NOUN obj
197 de de 198 ADP case
198 crimes crime 196 NOUN nmod
199 financeiros financeiro 198 ADJ amod
200 embora embora 203 CCONJ mark
201 a o 202 DET det
202 instituicao instituicao 203 NOUN nsubj
203 desconheca desconhecer 195 VERB advcl
204 os o 205 DET det
205 beneficiarios beneficiario 203 NOUN obj
