1 lava lava 4 NOUN parataxis
82 a o 83 DET det
83 silva silva 78 NOUN nmod
84 a o 86 DET det
85 primeira primeiro 86 ADJ amod
86 data data 202 NOUN nsubj
87 para para 88 ADP case
88 venda venda 86 NOUN nmod
89 sera sera 91 AUX cop
90 o o 91 DET det
91 dia dia 189 NOUN ccomp
92 15 15 91 NUM nmod
93 de de 94 ADP case
94 maio maio 92 PROPN nmod
95 as o 96 DET det
96 14h 14h 92 NUM nmod
97 e e 100 CCONJ cc
98 a o 100 DET det
99 segunda segundo 100 NOUN nsubj
100 esta esta 91 PRON conj
101 marcada marcado 100 ADJ acl
102 para para 103 ADP case
103 22 22 101 NUM nmod
104 de de 105 ADP case
105 maio maio 103 PROPN nmod
106 em em 109 ADP case
107 o o 109 DET det
108 mesmo mesmo 109 ADJ amod
109 horario horario 113 NOUN nmod
110 o o 111 DET det
111 apartamento apartamento 113 NOUN nsubj:pass
112 foi foi 113 AUX aux:pass
113 avaliado avaliar 91 VERB conj
114 por por 116 ADP case
115 a o 116 DET det
116 justica justica 113 NOUN nmod
117 em em 118 ADP case
118 r r 113 NOUN nmod
119 22 22 120 NUM nummod
120 milhoes milhoes 118 NUM nummod
121 em em 122 ADP case
122 fevereiro fevereiro 113 PROPN nmod
123 deste deste 124 ADP case
124 ano ano 122 NOUN nmod
125 em em 127 ADP case
126 a o 127 DET det
127 determinacao determinacao 113 NOUN nmod
128 de de 130 ADP case
129 o o 130 DET det
130 leilao leilao 127 NOUN nmod
131 o o 132 DET det
132 juiz juiz 228 NOUN nsubj
133 sergio sergio 132 NOUN appos
134 moro moro 133 NOUN flat
135 tinha ter 136 AUX aux
136 ordenado ordenar 4 VERB parataxis
137 que que 145 CCONJ mark
138 os o 139 DET det
139 valores valores 145 NOUN nsubj:pass
140 de de 142 ADP case
141 a o 142 DET det
142 venda venda 139 NOUN nmod
143 devem devem 145 AUX aux
144 ser ser 145 AUX aux:pass
145 destinados destinar 136 VERB ccomp
146 apos apos 148 ADP case
147 o o 148 DET det
148 transito transito 145 NOUN nmod
149 em em 150 ADP case
150 julgado julgado 145 NOUN nmod
151 a a 152 ADP case
152 vitima vitima 145 NOUN iobj
153 em em 155 ADP case
154 o o 155 DET det
155 caso caso 52 NOUN nmod
156 de de 157 ADP case
157 confirmacao confirmacao 155 NOUN nmod
158 de de 160 ADP case
159 o o 160 DET det
160 confisco confisco 157 NOUN nmod
161 ou ou 162 CCONJ cc
162 devolvidos devolver 160 VERB conj
163 a a 165 ADP case
164 oas oas 165 DET det
165 empreendimentos empreendimento 162 NOUN nmod
166 ou ou 169 CCONJ cc
167 a a 169 ADP case
168 o o 169 DET det
169 expresidente expresidente 57 NOUN conj
170 em em 172 ADP case
171 o o 172 DET det
172 caso caso 50 NOUN nmod
173 de de 176 ADP mark
174 nao nao 176 ADV advmod
175 ser ser 176 AUX aux:pass
176 confirmado confirmar 172 VERB nmod
177 o o 178 DET det
178 confisco confisco 176 NOUN nsubj:pass
179 o o 180 DET det
180 advogado advogado 202 NOUN nsubj
181 de de 182 ADP case
182 defesa defesa 180 NOUN nmod
183 de de 185 ADP case
184 o o 185 DET det
185 expresidente expresidente 180 NOUN nmod
186 cristiano cristiano 185 ADJ amod
187 zanin zanin 185 NOUN appos
188 martins martins 187 ADJ flat
189 afirmou afirmar 4 VERB parataxis
190 em em 191 ADP case
191 nota nota 189 NOUN nmod
192 que que 202 CCONJ mark
193 o o 194 DET det
194 tribunal tribunal 202 NOUN nsubj
195 regional regional 194 ADJ amod
196 federal federal 194 ADJ amod
197 de de 200 ADP case
198 a o 200 DET det
199 4 4 200 NUM nummod
200 regiao regiao 194 NOUN nmod
201 trf4 trf4 194 NOUN appos
202 reconheceu reconhecer 189 VERB ccomp
203 em em 205 ADP case
204 o o 205 DET det
205 julgamento julgamento 202 NOUN nmod
206 de de 208 ADP case
207 o o 208 DET det
208 recurso recurso 205 NOUN nmod
209 de de 210 ADP case
210 apelacao apelacao 208 NOUN nmod
211 que que 228 CCONJ mark
212 o o 213 DET det
213 apartamento apartamento 228 NOUN nsubj
214 e e 217 CCONJ cc
215 e e 217 CCONJ cc
216 sempre sempre 217 ADV advmod
217 foi foi 202 VERB conj
218 de de 219 ADP case
219 propriedade propriedade 217 NOUN nmod
220 de de 222 ADP case
221 a o 222 DET det
222 oas oas 219 NOUN nmod
223 empreendimentos empreendimento 222 NOUN flat
224 segundo segundo 225 ADP case
225 ele ele 113 PRON nmod
226 lula lula 228 NOUN nsubj
227 jamais jamais 228 ADV advmod
228 teve ter 202 VERB conj
229 a o 230 DET det
230 posse posse 228 NOUN obj
231 e e 235 CCONJ cc
232 muito muito 233 ADV advmod
233 menos menos 235 ADV advmod
234 a o 235 DET det
235 propriedade propriedade 230 NOUN conj
