1 retrospectiva retrospectiva 36 NOUN parataxis
251 carros carro 250 NOUN appos
252 queimados queimado 251 ADJ amod
253 e e 254 CCONJ cc
254 panico panico 251 NOUN conj
255 foram foram 256 AUX cop
256 algumas algumas 219 PRON ccomp
257 de de 259 ADP case
258 as o 259 DET det
259 caracteristicas caracteristicas 256 NOUN nmod
260 de de 262 ADP case
261 o o 262 DET det
262 assalto assalto 259 NOUN nmod
263 a a 264 ADP case
264 transportadora transportador 262 NOUN nmod
265 de de 266 ADP case
266 valores valores 264 NOUN nmod
267 brinks brink 262 NOUN appos
268 em em 270 ADP case
269 a o 270 DET det
270 zona zona 262 NOUN nmod
271 oeste oeste 270 ADJ amod
272 de de 274 ADP case
273 o o 274 DET det
274 recife recife 270 NOUN nmod
275 em em 276 ADP case
276 fevereiro fevereiro 290 PROPN nmod
277 deste deste 278 ADP case
278 ano ano 276 NOUN nmod
279 para para 280 ADP mark
280 dar dar 290 VERB advcl
281 inicio inicio 280 NOUN obj
282 a a 283 ADP case
283 acao acao 280 NOUN iobj
284 a o 285 DET det
285 quadrilha quadrilha 290 NOUN nsubj
286 responsavel responsavel 285 ADJ amod
287 por por 289 ADP case
288 o o 289 DET det
289 assalto assalto 286 NOUN nmod
290 fez fazer 219 VERB ccomp
291 cinco cinco 292 NUM nummod
292 pontos ponto 290 NOUN obj
293 de de 294 ADP case
294 bloqueio bloqueio 292 NOUN nmod
295 em em 296 ADP case
296 vias via 290 NOUN nmod
297 proximas proximo 296 ADJ amod
298 a a 299 ADP case
299 agencia agencia 297 NOUN nmod
300 para para 301 ADP mark
301 dificultar dificultar 290 VERB advcl
302 a o 303 DET det
303 chegada chegada 301 NOUN obj
304 de de 305 ADP case
305 policiais policial 303 NOUN nmod
306 a a 308 ADP case
307 o o 308 DET det
308 todo todo 89 NOUN nmod
309 sete sete 310 NUM nummod
310 veiculos veiculo 312 NOUN nsubj:pass
311 foram foram 312 AUX aux:pass
312 queimados queimar 290 VERB advcl
313 em em 315 ADP case
314 os o 315 DET det
315 bloqueios bloqueio 312 NOUN nmod
316 para para 317 ADP mark
317 entrar entrar 312 VERB advcl
318 em em 320 ADP case
319 o o 320 DET det
320 cofre cofre 317 NOUN nmod
321 eles eles 322 PRON nsubj
322 explodiram explodir 290 VERB advcl
323 o o 324 DET det
324 muro muro 322 NOUN obj
325 de de 327 ADP case
326 uma um 327 DET det
327 loja loja 324 NOUN nmod
328 de de 329 ADP case
329 conveniencia conveniencia 327 NOUN nmod
330 de de 332 ADP case
331 um um 332 DET det
332 posto posto 327 NOUN nmod
333 de de 334 ADP case
334 combustiveis combustivel 332 NOUN nmod
335 que que 336 PRON nsubj
336 fica ficar 332 VERB acl:relcl
337 em em 339 ADP case
338 o o 339 DET det
339 terreno terreno 336 NOUN nmod
340 a a 342 ADP case
341 o o 342 DET det
342 lado lado 339 NOUN nmod
343 o o 344 DET det
344 crime crime 345 NOUN nsubj
345 fez fazer 167 VERB ccomp
346 com com 116 ADP case
