1 alvo alvo 12 NOUN nsubj
187 conta conta 185 NOUN nmod
188 e e 189 CCONJ cc
189 concreto concreto 187 ADJ conj
190 o o 191 DET det
191 risco risco 185 NOUN nsubj:pass
192 a a 193 ADP case
193 ordem ordem 191 NOUN nmod
194 publica publico 193 ADJ amod
195 disse dizer 7 VERB parataxis
196 costa costa 195 NOUN nsubj
197 o o 198 DET det
198 mpf mpf 199 NOUN nsubj
199 afirma afirmar 195 VERB ccomp
200 que que 209 CCONJ mark
201 quando quando 202 CCONJ mark
202 comandava comandar 209 VERB advcl
203 o o 204 DET det
204 banco banco 202 NOUN obj
205 de de 207 ADP case
206 o o 207 DET det
207 brasil brasil 204 NOUN nmod
208 bendine bendine 209 NOUN nsubj
209 pediu pedir 199 VERB ccomp
210 r r 209 NOUN obj
211 17 17 212 NUM nummod
212 milhoes milhoes 210 NUM nummod
213 a a 214 ADP case
214 odebrecht odebrecht 209 NOUN iobj
215 para para 216 ADP mark
216 rolar rolar 209 VERB advcl
217 uma um 218 DET det
218 divida divida 216 NOUN obj
219 de de 221 ADP case
220 a o 221 DET det
221 empresa empresa 218 NOUN nmod
222 com com 224 ADP case
223 a o 224 DET det
224 instituicao instituicao 218 NOUN nmod
225 mas mas 227 CCONJ cc
226 nao nao 227 ADV advmod
227 recebeu receber 209 VERB conj
228 o o 229 DET det
229 valor valor 227 NOUN obj
230 em em 232 ADP case
231 a o 232 DET det
232 vespera vespera 227 NOUN nmod
233 de de 234 ADP mark
234 assumir assumir 232 VERB nmod
235 a o 236 DET det
236 petrobras petrobra 234 NOUN obj
237 teria ter 238 AUX aux
238 pedido pedir 199 VERB ccomp
239 mais mais 242 ADV advmod
240 r r 238 NOUN obj
241 3 3 242 NUM nummod
242 milhoes milhoes 240 NUM nummod
243 para para 245 ADP mark
244 nao nao 245 ADV advmod
245 prejudicar prejudicar 238 VERB advcl
246 os o 247 DET det
247 contratos contrato 245 NOUN obj
248 de de 250 ADP case
249 a o 250 DET det
250 estatal estatal 247 NOUN nmod
251 com com 253 ADP case
252 a o 253 DET det
253 empreiteira empreiteiro 247 NOUN nmod
254 segundo segundo 255 ADP case
255 delacao delacao 245 NOUN nmod
256 de de 257 ADP case
257 exexecutivos exexecutivo 255 NOUN nmod
258 o o 259 DET det
259 valor valor 260 NOUN nsubj
260 foi foi 238 AUX cop
