1 mineradoras minerador 3 NOUN nsubj
156 toronto toronto 259 PROPN nmod
157 junto junto 22 ADV advmod
158 a a 160 ADP case
159 um um 160 DET det
160 pacote pacote 157 NOUN nmod
161 de de 162 ADP case
162 medidas medida 160 NOUN nmod
163 de de 164 ADP case
164 reformulacao reformulacao 162 NOUN nmod
165 de de 167 ADP case
166 o o 167 DET det
167 setor setor 164 NOUN nmod
168 mineral mineral 167 ADJ amod
169 brasileiro brasileiro 167 ADJ amod
170 que que 171 PRON nsubj
171 inclui incluir 219 VERB acl:relcl
172 a o 173 DET det
173 criacao criacao 171 NOUN obj
174 de de 175 ADP case
175 agencia agencia 173 NOUN nmod
176 nacional nacional 175 ADJ amod
177 de de 178 ADP case
178 mineracao mineracao 175 NOUN nmod
179 e e 181 CCONJ cc
180 outras outras 181 DET det
181 iniciativas iniciativa 393 NOUN conj
182 para para 183 ADP mark
183 estimular estimular 181 VERB nmod
184 o o 185 DET det
185 setor setor 183 NOUN obj
186 pouco pouco 187 ADV advmod
187 depois depois 97 ADV case
188 de de 187 ADP case
189 o o 187 DET det
190 encontro encontro 33 NOUN nmod
191 em em 192 ADP case
192 abril abril 183 PROPN nmod
193 o o 194 DET det
194 ministerio ministerio 199 NOUN nsubj
195 de de 196 ADP case
196 minas mina 194 NOUN nmod
197 e e 198 CCONJ cc
198 energia energia 196 NOUN conj
199 publicou publicar 22 VERB conj
200 em em 202 ADP case
201 o o 202 DET det
202 diario diario 199 NOUN nmod
203 oficial oficial 202 ADJ amod
204 uma um 205 DET det
205 portaria portaria 199 NOUN obj
206 que que 208 PRON nsubj
207 passou passar 208 AUX aux
208 despercebida despercebido 205 ADJ acl:relcl
209 por por 211 ADP case
210 o o 211 DET det
211 publico publico 208 NOUN nmod
212 em em 213 ADP mark
213 geral geral 41 ADJ nmod
214 pavimentando pavimentar 255 VERB acl
215 o o 216 DET det
216 caminho caminho 214 NOUN obj
217 para para 219 ADP case
218 o o 219 DET det
219 decreto decreto 216 NOUN nmod
220 que que 222 PRON nsubj:pass
221 seria seria 222 AUX aux:pass
222 assinado assinar 219 VERB acl:relcl
223 alguns alguns 224 DET det
224 meses mês 225 NOUN nmod
225 depois depois 222 ADV advmod
226 e e 227 CCONJ cc
227 dispondo dispor 222 VERB conj
228 sobre sobre 229 ADP case
229 titulos titulo 227 NOUN nmod
230 minerarios minerario 229 ADJ amod
231 dentro dentro 227 ADV advmod
232 de de 234 ADP case
233 a o 234 DET det
234 renca renca 231 NOUN nmod
235 segundo segundo 237 ADP case
236 a o 237 DET det
237 pasta pasta 227 NOUN nmod
238 esta esta 301 PRON nsubj
239 foi foi 242 AUX cop
240 a o 242 DET det
241 primeira primeiro 242 ADJ amod
242 vez vez 60 NOUN conj
243 em em 245 ADP case
244 15 15 245 NUM nummod
245 anos ano 242 NOUN nmod
246 em em 247 ADP case
247 que que 255 PRON nmod
248 um um 249 DET det
249 ministro ministro 255 NOUN nsubj
250 de de 251 ADP case
251 minas mina 249 NOUN nmod
252 e e 253 CCONJ cc
253 energia energia 251 NOUN conj
254 brasileiro brasileiro 298 ADJ amod
255 participava participar 205 VERB acl:relcl
256 de de 258 ADP case
257 o o 258 DET det
258 evento evento 255 NOUN nmod
259 descrito descrever 258 VERB acl
260 por por 262 ADP case
261 o o 262 DET det
262 governo governo 259 NOUN nmod
263 brasileiro brasileiro 262 ADJ amod
264 como como 266 ADP case
265 uma um 266 DET det
266 oportunidade oportunidade 259 NOUN nmod
267 para para 268 ADP mark
268 abordar abordar 266 VERB nmod
269 o o 270 DET det
270 aprimoramento aprimoramento 268 NOUN obj
271 em em 273 ADP case
272 a o 273 DET det
273 legislacao legislacao 270 NOUN nmod
274 brasileira brasileiro 273 ADJ amod
275 e e 277 CCONJ cc
276 tambem tambem 277 ADV advmod
277 demonstrar demonstrar 255 VERB conj
278 os o 279 DET det
279 planos plano 277 NOUN obj
280 de de 282 ADP case
281 o o 282 DET det
282 governo governo 279 NOUN nmod
283 para para 284 ADP mark
284 incentivar incentivar 306 VERB advcl
285 o o 286 DET det
286 investimento investimento 284 NOUN obj
287 estrangeiro estrangeiro 286 ADJ amod
288 em em 290 ADP case
289 o o 290 DET det
290 setor setor 286 NOUN nmod
291 de de 293 ADP case
292 outro outro 293 DET det
293 lado lado 315 NOUN nmod
294 movimentos movimento 390 NOUN nsubj
295 sociais social 294 ADJ amod
296 ambientalistas ambientalista 294 ADJ amod
297 e e 298 CCONJ cc
298 centros centro 294 NOUN conj
299 de de 300 ADP case
300 pesquisa pesquisa 298 NOUN nmod
301 dizem dizer 242 VERB conj
302 que que 306 CCONJ mark
303 nao nao 306 ADV advmod
304 haviam haver 306 AUX aux
305 sido ser 306 AUX aux:pass
306 informados informar 301 VERB ccomp
307 sobre sobre 309 ADP case
308 a o 309 DET det
309 extincao extincao 306 NOUN nmod
310 de de 312 ADP case
311 a o 312 DET det
312 renca renca 309 NOUN nmod
313 ate ate 315 ADP case
314 o o 315 DET det
315 anuncio anuncio 306 NOUN nmod
316 de de 319 ADP case
317 a o 319 DET det
318 ultima ultimo 319 ADJ amod
319 quintafeira quintafeira 315 NOUN nmod
320 o o 321 DET det
321 canada canada 255 NOUN nsubj
322 e e 325 CCONJ cc
323 um um 325 DET det
324 importante importante 325 ADJ amod
325 explorador explorador 294 NOUN conj
326 de de 327 ADP case
327 recursos recurso 325 NOUN nmod
328 minerais mineral 327 ADJ amod
329 em em 331 ADP case
330 o o 331 DET det
331 brasil brasil 325 NOUN nmod
332 e e 334 CCONJ cc
333 vem vir 334 AUX aux
334 ampliando ampliar 255 VERB conj
335 este este 336 DET det
336 interesse interesse 334 NOUN obj
337 desde desde 339 ADP case
338 o o 339 DET det
339 inicio inicio 334 NOUN nmod
340 de de 342 ADP case
341 o o 342 DET det
342 ano ano 339 NOUN nmod
343 hoje hoje 351 ADV advmod
344 aproximadamente aproximadamente 345 ADV advmod
345 30 30 346 NUM nummod
346 empresas empresa 351 NOUN nsubj
347 de de 349 ADP case
348 o o 349 DET det
349 pais pais 346 NOUN nmod
350 ja ja 351 ADV advmod
351 exploram explorar 301 VERB ccomp
352 minerios minerio 351 NOUN obj
353 em em 354 ADP case
354 territorio territorio 351 NOUN nmod
355 brasileiro brasileiro 354 ADJ amod
356 especialmente especialmente 390 ADV advmod
357 o o 358 DET det
358 ouro ouro 351 NOUN obj
359 que que 361 PRON nsubj
360 teria ter 361 AUX aux
361 atraido atraido 358 VERB acl:relcl
362 garimpeiros garimpeiro 361 NOUN obj
363 a o 364 DET det
364 area area 361 NOUN nmod
365 de de 367 ADP case
366 a o 367 DET det
367 renca renca 364 NOUN nmod
368 em em 371 ADP case
369 os o 371 DET det
370 ultimos ultimo 371 ADJ amod
371 anos ano 361 NOUN nmod
372 em em 373 ADP case
373 junho junho 361 PROPN nmod
374 dois dois 375 NUM nummod
375 meses mês 376 NOUN nmod
376 antes antes 379 ADV case
377 de de 376 ADP case
378 a o 376 DET det
379 extincao extincao 390 NOUN nmod
380 oficial oficial 379 ADJ amod
381 de de 383 ADP case
382 a o 383 DET det
383 reserva reserva 379 NOUN nmod
384 amazonica amazonico 383 ADJ amod
385 a o 386 DET det
386 camara camara 390 NOUN nsubj
387 de de 388 ADP case
388 comercio comercio 386 NOUN nmod
389 brasilcanada brasilcanado 386 ADJ amod
390 anunciou anunciar 301 VERB ccomp
391 uma um 393 DET det
392 nova novo 393 ADJ amod
393 comissao comissao 390 NOUN obj
394 de de 395 ADP case
395 mineracao mineracao 393 NOUN nmod
396 especifica especifico 395 ADJ amod
397 para para 398 ADP case
398 negocios negocio 393 NOUN nmod
399 em em 401 ADP case
400 o o 401 DET det
401 brasil brasil 398 NOUN nmod
402 que que 403 PRON nsubj
403 reune reunar 393 VERB acl:relcl
404 representantes representante 403 NOUN obj
405 destas destas 407 ADP case
406 30 30 407 NUM nummod
407 empresas empresa 404 NOUN nmod
408 a a 409 ADP case
409 bbc bbc 403 NOUN nmod
410 brasil brasil 409 ADJ amod
