1 cenario cenario 0 NOUN root
113 a o 115 DET det
114 sofisticada sofisticado 115 ADJ amod
115 capsula capsula 110 NOUN appos
116 que que 117 PRON nsubj
117 conduz conduzir 115 VERB acl:relcl
118 as o 119 DET det
119 ogivas ogiva 117 NOUN obj
120 explosivas explosivo 119 ADJ amod
121 para para 123 ADP case
122 seus seus 123 DET det:poss
123 alvos alvo 117 NOUN nmod
124 em em 126 ADP case
125 o o 126 DET det
126 retorno retorno 117 NOUN nmod
127 a a 128 ADP case
128 atmosfera atmosfera 126 NOUN nmod
129 depois depois 132 ADV case
130 de de 129 ADP case
131 o o 129 DET det
132 trajeto trajeto 140 NOUN nmod
133 orbital orbital 132 ADJ amod
134 com com 136 ADP case
135 esse esse 136 DET det
136 recurso recurso 140 NOUN nmod
137 os o 138 DET det
138 hwasongs hwasong 140 NOUN nsubj
139 poderao poder 140 AUX aux
140 atingir atingir 54 VERB advcl
141 pontos ponto 140 NOUN obj
142 estrategicos estrategico 141 ADJ amod
143 de de 145 ADP case
144 o o 145 DET det
145 hemisferio hemisferio 56 NOUN nmod
146 norte norte 145 ADJ amod
147 depois depois 150 ADV case
148 de de 147 ADP case
149 o o 147 DET det
150 teste teste 233 NOUN nmod
151 subterraneo subterraneo 150 ADJ amod
152 deste deste 153 ADP case
153 domingo domingo 150 PROPN nmod
154 responsavel responsavel 150 ADJ amod
155 por por 157 ADP case
156 uma um 157 DET det
157 onda onda 154 NOUN nmod
158 sismica sismico 157 ADJ amod
159 que que 160 PRON nsubj
160 deu dar 157 VERB acl:relcl
161 a o 162 DET det
162 volta volta 160 NOUN obj
163 a a 165 ADP case
164 o o 165 DET det
165 mundo mundo 162 NOUN nmod
166 e e 168 CCONJ cc
167 foi foi 168 AUX aux:pass
168 detectado detectar 160 VERB conj
169 em em 171 ADP case
170 a o 171 DET det
171 sede sede 168 NOUN nmod
172 de de 174 ADP case
173 a o 174 DET det
174 agencia agencia 171 NOUN nmod
175 internacional internacional 174 ADJ amod
176 de de 177 ADP case
177 energia energia 174 NOUN nmod
178 atomica atomico 177 ADJ amod
179 aiea aiea 174 PROPN appos
180 em em 181 ADP case
181 viena viena 276 NOUN nmod
182 o o 183 DET det
183 quadro quadro 184 NOUN nsubj
184 mudou mudar 22 VERB parataxis
185 o o 186 DET det
186 ensaio ensaio 184 NOUN nsubj
187 deixou deixar 1 VERB parataxis
188 claro claro 187 ADJ xcomp
189 o o 190 DET det
190 dominio dominio 187 NOUN obj
191 de de 193 ADP case
192 os o 193 DET det
193 processos processo 190 NOUN nmod
194 tecnologicos tecnologico 193 ADJ amod
195 e e 198 CCONJ cc
196 de de 198 ADP case
197 os o 198 DET det
198 procedimentos procedimento 193 NOUN conj
199 de de 200 ADP case
200 engenharia engenharia 198 NOUN nmod
201 a o 202 DET det
202 coreia coreia 117 NOUN obj
203 de de 205 ADP case
204 o o 205 DET det
205 norte norte 202 NOUN nmod
206 e e 212 CCONJ cc
207 sim sim 212 ADV advmod
208 uma um 212 DET det
209 nova novo 212 ADJ amod
210 e e 211 CCONJ cc
211 definitiva definitivo 209 ADJ conj
212 potencia potencia 190 NOUN conj
213 nuclear nuclear 212 ADJ amod
214 com com 217 ADP case
215 ou ou 217 CCONJ cc
216 sem sem 217 ADP case
217 kim kim 212 NOUN nmod
218 jongun jongun 217 NOUN flat
219 em em 221 ADP case
220 o o 221 DET det
221 poder poder 217 NOUN nmod
222 o o 223 DET det
223 experimento experimento 233 NOUN nsubj
224 em em 226 ADP case
225 as o 226 DET det
226 montanhas montanha 223 NOUN nmod
227 de de 228 ADP case
228 quartzito quartzito 226 NOUN nmod
229 de de 230 ADP case
230 punggyeri punggyeri 226 NOUN nmod
231 pode pode 233 AUX aux
232 ter ter 233 AUX aux
233 liberado liberar 54 VERB parataxis
234 energia energia 233 NOUN obj
235 total total 234 ADJ amod
236 de de 240 ADP case
237 100 100 240 NUM nummod
238 a a 239 ADP case
239 120 120 237 NUM nmod
240 quilotons quilotom 234 NOUN nmod
241 muito muito 242 ADV advmod
242 mais mais 240 ADV advmod
243 que que 248 ADP case
244 os o 248 DET det
245 8 8 248 NUM nummod
246 a a 247 ADP case
247 10 10 245 NUM nmod
248 quilotons quilotom 242 NOUN nmod
249 registrados registrar 248 VERB acl
250 em em 252 ADP case
251 a o 252 DET det
252 detonacao detonacao 249 NOUN nmod
253 de de 254 ADP case
254 2013 2013 252 NUM nmod
255 e e 283 CCONJ cc
256 acima acima 261 ADV advmod
257 de de 256 ADP case
258 6 6 233 NUM conj
259 talvez talvez 261 ADV advmod
260 ate ate 261 ADV advmod
261 8 8 262 NUM nummod
262 vezes vez 233 NOUN nmod
263 alem alem 233 ADV advmod
264 de de 266 ADP case
265 as o 266 DET det
266 bombas bomba 263 NOUN nmod
267 que que 268 PRON nsubj
268 atingiram atingir 266 VERB acl:relcl
269 as o 270 DET det
270 cidades cidade 268 NOUN obj
271 japonesas japonês 270 ADJ amod
272 de de 273 ADP case
273 hiroshima hiroshima 270 NOUN nmod
274 e e 275 CCONJ cc
275 nagasaki nagasaki 273 NOUN conj
276 bombardeadas bombardear 270 VERB acl
277 por por 279 ADP case
278 os o 279 DET det
279 eua eua 276 NOUN nmod
280 ha ha 276 VERB advcl
281 72 72 282 NUM nummod
282 anos ano 280 NOUN nmod
283 morreram morrer 233 VERB conj
284 246 246 285 NUM nummod
285 mil mil 286 NUM nummod
286 pessoas pessoa 233 NOUN obj
287 embora embora 288 CCONJ mark
288 haja haver 233 VERB advcl
289 uma um 291 DET det
290 certa certa 291 DET det
291 desconfianca desconfianca 288 NOUN obj
292 formal formal 291 ADJ amod
293 quanto quanto 291 ADV advmod
294 a a 296 ADP case
295 o o 296 DET det
296 tipo tipo 293 NOUN nmod
297 de de 298 ADP case
298 dispositivo dispositivo 296 NOUN nmod
299 empregado empregar 298 VERB acl
300 ontem ontem 304 ADV advmod
301 todos todos 303 DET det
302 os o 303 DET det
303 indicios indicio 304 NOUN nsubj
304 apontam apontar 283 VERB parataxis
305 para para 307 ADP case
306 um um 307 DET det
307 artefato artefato 304 NOUN nmod
308 compacto compacto 307 ADJ amod
309 de de 310 ADP case
310 hidrogenio hidrogenio 307 NOUN nmod
311 termonuclear termonuclear 310 ADJ amod
312 ou ou 314 CCONJ cc
313 seja ser 314 AUX cop
314 gerador gerador 307 NOUN conj
315 de de 317 ADP case
316 uma um 317 DET det
317 onda onda 314 NOUN nmod
318 de de 319 ADP case
319 calor calor 317 NOUN nmod
320 que que 321 PRON nsubj
321 supera superar 317 VERB acl:relcl
322 em em 324 ADP case
323 o o 324 DET det
324 nucleo nucleo 321 NOUN nmod
325 os o 329 DET det
326 2 2 327 NUM nummod
327 milhoes milhoes 329 NUM nummod
328 de de 329 ADP case
329 graus grau 336 NOUN nsubj
330 em em 332 ADP case
331 a o 332 DET det
332 extremidade extremidade 329 NOUN nmod
333 de de 335 ADP case
334 o o 335 DET det
335 circulo circulo 332 NOUN nmod
336 chega chegar 307 VERB acl:relcl
337 a a 341 ADP case
338 os o 341 DET det
339 20 20 340 NUM nummod
340 mil mil 341 NUM nummod
341 graus grau 336 NOUN nmod
342 e e 345 CCONJ cc
343 a o 345 DET det
344 mesma mesmo 345 ADJ amod
345 fonte fonte 336 NOUN conj
346 que que 347 PRON nsubj
347 faz fazer 345 VERB acl:relcl
348 as o 349 DET det
349 estrelas estrela 350 NOUN obj
350 brilharem brilhar 347 VERB ccomp
351 e e 352 CCONJ cc
352 mantem mantar 350 VERB conj
353 a o 349 DET det
