subject,verb,object
11 senador,ocupar,apartamento funcional de câmara
11 subprefeitura,já apresentar,resultado nulo
11.634 candidato,fazer além,avaliação
112 milhões de pessoa,dirigir,80 km
114 mil candidato,fazer,inscrição para realização de prova
114 mil candidato,seguir,esquema especial com cuidado para prevenção de covid–19
12,apresentar,pontuação 50 ponto
12,encerrar,mandato
12,perder,mandato
12,ter,bloqueador
12 %,dizer procurar,polícia
12 % de público,classificar,segurança
12 aluno,onde morrer ficar,24 ferido
12 deles,dar,entrada em terra novo
12 dp,conseguir elucidar pedir,prisão de motorista
12 dp copacabana,finalizar,inquérito
12 dp copacabana,procurar,homem
12 mil investidor,aproveitar receber,cartão de entrada para europa
12 milhões de trabalhador,ainda fazer,resgate
12 minuto de fogo de réveillon de copacabana,ter,homenagem a três de maior nome de música brasileiro elza soares
12 músicas,ser,ayú de mangue a manga
12 músicas 1 delicado waldir azevedo 1950,eis cantar,choro
12 pessoa entre professor de universidade federal de são carlos ufscar,também integrar além,projeto
12 servidor de guarda municipal de rio,já denunciar,rodrigo
12.890 inscrito para 2.158 vaga,ser já oferecer,40 vaga
120,só haver,operador de coesão interparágrafo
120 família vítima de desabamento,dividir,indenização de r$ 30 milhões
120 mil pessoa,aproveitar,festa
120 profissional,atualmente fazer,monitoramento de rede social
120.947,não sacar não retirar,"r$ 257,39 milhões"
"1227 978 54,5 2021 4245 1269 1130 56,5 2022 4040 1098 1011",representar,"49,1 % de total de criança"
123 concurso público com inscrição aberto,reunir,"13,8 mil vaga"
"124,1 mil",subir,serra
125 mil cubano,quando deixar,ilha
126 funcionário público com salário de r$ 14 mil,ganhar indevidamente,benefício
126 funcionário público com salário de r$ 14 mil,receber,aluguel social de tragédia de petrópolis
126 pessoa,receber,auxílio indevido
127 escola municipal por brasil,adotar,"modelo equivalente a 0,1 % de rede público"
127 família,receber,auxílio
13 de 14 escola,tirar,nota 10
13 de agosto,representar,renascimento
13 estado,manter,relação diplomático com taiwa entre eles vaticano
13 mil habitante de bicas de zona de mata mineiro,ter,motivo especial
13 milhões de eleitor,justificar,ausência em urna
13 milhões de pessoa,pagar,irpf
13 milhões de usuário de bilhete único,ter,dado exposto
13 país,encomendar,total de 376 avião
13 país europeu,possuir,2 mil tanque leopar
13 rodadas de votação,foram ainda não conseguir,vitória
13 vara federal,não revogar,ordem de prisão
"13,3 milhões de trabalhador",não fazer,retirada de dinheiro
"13,7 milhões de pessoa",pagar,imposto de renda ir
130 concurso público por país,reunir,"18,3 mil vaga"
132,pessoalmente retirar,cartão de auxílio emergencial
135 obra necessário para prevenção de novo desastre em petrópolis,ainda não ter,responsabilidade definido
137.726 pessoa,fazer,prova de exame nacional de ensino médio enem
14,tirar,nota máximo 50 ponto
14 % de lesão,afetar,crânio de atleta
14 partido,protocolar,bloco único
14 país africano,relatar,caso de cólera muitos de quais dever inundação em continente
141 deles,ter,dois veículo
141 funcionário,sofrer,tipo de violência como lesão corporal durante trabalho
"141,4 milhões de brasileiro",já usar,pix
"141,5 mm",historicamente chover medir,43 mm
147 país,já aderir manifestar,interesse aderir a plano chinês
147 país,já aderir manifestar,interesse aderir a plano desde lançamento
14h31,encaminhar,novo áudio de secretário
15,ficar ter,64 ponto de baseamento de viatura
15,registrar,recuo de preço
15 % de mulher em japão,declarar sofrer,violência físico
15 % de teste de covid,dar,positivo
15 cidade,ter,1.527 vaga de emprego
15 dp,ouvir ainda,segurança
15 dp gávea,investigar,morte de jovem
15 helicóptero,pousar levar embora,turista
15 milhões de brasileiro,pagar,ir.
15 município de centro oeste paulista,receber,registro de indicação geográfico
15 participante de cidade maioria pessoa trans binário,fazer,desfile de looks
15 piscinão em obra maioria em zona norte,existir também haver,obra em córrego aricanduvo em zona leste
"15 vendedor pracista médio completo 6 mês r$ 1.212,00 01 apontador de mão",deslizar,contato
150 concurso público por país,reunir,"32,9 mil vaga"
150 família,estar não estar haver tentar marcar,horário para mutirão de março
150 mil pessoa em faixa,estar utilizar gratuitamente,ônibus municipal
150 vaga para processo seletivo desta semana,não exigir,experiência prévio de candidato
16 % de consumidor global entre 25 ano,conhecer,parceiro
16 agremiação mirim,além entregar,documentação necessário para autorização de desfile
16 barraca,além oferecer,culinária típico de subúrbio carioca
16 cidade,concentrar,86 % de caso
16 deles,embarcar cometer dentro,ação de vandalismo
16 dp barra,ouvir,médico heriberto ivan arias camacho
16 dp barra de tijuca,investigar,preso
16 inflável ​​gigante,compor,festejo
16 milhões de pessoa,visitar,indonésia
16 pessoa,carregar enterrar,a
164 país,destruir,55 milhões de mina antipessoais armazenado
16° dp,investigar,crime de apropriação indébito relativo a dinheiro de formatura
17,perder,vida
17 %,projetar,queda
17 %,tomar,comprimido
17 andar de prédio térreo,ter,câmera de segurança
17 caminhão,tentar apagar,chama
17 cidade de estado,sofrer,ataque a tiro em prédio público
17 cidade de grande são paulo,não ter,núcleo comunitário de defesa civil
17 hora de viagem,separar,brasil
17 músicas de gravação,figurar extrapolar,número musical
17 setor,pagar,"alíquota de 1 % a 4,5 % sobre receita bruto"
175 estudante,receber,almoço
18,usar,rede como whatsapp
18 de 20 maior produtor mundial de vacina,atualmente executar,produção
18 mil pessoa,aguardar,dois mês
18 país,além também ter,armamento entre eles grécia
18 senador,terminar,mandato
18 unidade de saúde,ofertar,tratamento
180 fuzileiro naval,reforçar,trabalho de salvamento de defesa civil
183.921 aposta,acertar receber,"r$ 877,04"
18º bpm,reduzir além,indicador referente a roubo a transeunte em 26 % total de roubo em área de policiamento
18º bpm jacarepaguá,realizar,operação
19,dar,atribuição
19 %,só conseguir repor,inflação
19 cidade de rio grande de norte,registrar,ataque a tiro em prédio público
19 de 20 clube de série a de campeonato brasileiro,hoje receber,recurso dessas empresa
19 milhões,não tomar,segundo dose
19 pessoa,fazer,parte de comissão
19 órgão,abrir,prazo de inscrição para 2.155 vaga em cargo de nível de escolaridade
190 concurso público por país,reunir,"36,7 mil vaga"
191,já ter,situação
195 pessoa,ter,lesão em olho
"198.541 declaração 19,2 % de total em malha",ter,imposto pagar
1° dia,ter,redação sobre povos tradicional
1º ciclo,gerar,investimento
1º dia,ter,"índice de abstenção de 31,5 % em prova impresso"
1º dia de prova,honrar,tradição
1º dia de prova,trazer fundamentar honrar,tradição de exame
1º dia de pré carnaval de bloco de rua de sp,ter,217 atendimento médico
1º dia de show,ainda ter,prodígio californiano conan gray
1º tenente burgo em qualidade de supervisor de operação de dia,já caber além,função dirigir em terreno de operação
1–,beber pegar,táxi
2,estar prever,2.540 vaga
2 bilhões de pessoa,não possuir,acesso a serviço de água potável
2 câmara criminal de rio de janeiro,negar,pedido de revogação de prisão de modelo bruno krupp.
2 câmara reservado de direito empresarial,cobrar,informação sobre negociação de parque com união
2 delegacia de polícia judiciário militar,receber,vídeo
2 fase de vestibular,encerrar ter,melhor resultado
2 investigador,encontrar,vestígio de explosivo
2 mil pessoa,deixar,casa
2 milhões de voto,garantir,vantagem
2 procuradoria de justiça militar em brasília,abrir,investigação
"2,4 milhões de estudante",fazer,primeiro etapa de enem
"2,4 milhões de estudante",fazer,primeiro etapa de exame nacional de ensino médio enem
"2,5 mil torcedor",lotar,vila olímpico
"2,5 milhões",receber,benefício
"2,5 milhões",receber,pasep.
"2,5 milhões de família",receber,benefício
"2,5 milhões de família",receber,bolsa família
"2,5 milhões de pessoa",receber indevidamente,bolsa família
"2,5 milhões destas família",receber,benefício
"2,5 milhões destes",ter,grande indício de irregularidade
"2,8 milhões",ter possuir,saldo resgatar
"2,83 milhões de família",ter,direito receber em outubro
"2,9 milhões de domicílio",ter,morador
2.485 apostador,acertar,quina
2.490.880 participante,fazer,prova
2.não,conter,conservante
20,ter,pós graduação em área de administração
20 %,aprovar,trabalho de congressista
20 %,citar,propósito
20 % de 645 cidade paulista,possuir,delegacia de mulher
20 % de pessoa,sofrer sofrer,distanciamento de mãe
20 % de população,onde enfrentar,fome
20 % de população brasileiro,ter,acesso a ambiente virtual
20 avestruzes,escapar causar,perigo
20 deles,ainda receber,monetização youtube
20 dp vila isabel,já tomar,depoimento de 10 pessoa
20 integrantes de delegacia de fontana,realizar,busca terrestre
20 legislatura de alesp,ter,30 % de parlamentar
20 membro de país,trocar jogar fora além,conversa
20 mil garimpeiro,invadir,região
20 país,já fazer,parte de iniciativa entre eles argentino
20 país em mundo,iniciar dentro,processo contra crime de guerra russo
20 país membro de união europeu,adotar,moeda único
20 pessoa,aguardar,vaga
20 pessoa,testemunhar,evento
20 procurador geral republicano,assinar,carta
20 republicano,sequestrar,câmara de representante de estado unido
20 republicano radical,obstruir,eleição
"20,4 milhões",receber receber,pasep.
"20,9 milhões de família",receber,bolsa família
200 afegão,esperar não haver,acolhimento de grupo de imigrante
200 concurso público em país,estar reunir,"20,7 mil vaga em cargo de nível de escolaridade"
200 estudante,conquistar,medalha de ouro
200 guarda municipal,denunciar,falta de pagamento de adicional
200 incêndio,devastar,área de 29 mil hectare
200 jovem deste bairro,atacar,grupo rival de doujani
200 mil pessoa,ativar,benefício
200 monge,recusar receber ainda,apoio de fiel
200 pessoa,perder,vida
200 trabalhador,receber,dinheiro
201 pessoa,obter,decisão por parte de inirr
202,assumir,mandato
2021,representar,recorde de divórcio em história de estado
2022,herdar,aumento em conta de luz
2022,trazer,repetido ataque a criptomoeda
2023,dar,prosseguimento a festa de música brasileiro
2023,sair,disco novo
2023,ter,9 feriado nacional
2023,ter,calendário de filme inchado
204 incêndio,deixar,13 morto
21 %,durar,5 ano
21 % de adulto de 25 a 34 ano em brasil,ter,diploma de ensino superior
21 estado,não ter,legislação
21 família,aguardar,resposta para falta de moradia
21 unidade de federação,registrar,aumento em número de caso
"21,7 %",pretender gastar,r$ 50
"21,9 milhões de família",receber,benefício
21.956,ter,"saldo zero 2,1 %"
21.969 candidato,disputar,4.008 vaga
22 %,alterar ativamente,comportamento
22 %,dar,nota 9
22 %,registrar,prejuízo operacional
22 de 30 contrato,ter ter,indício de sobrepreço
22 mil,fazer,prova
22 mil pessoa,morrer,maioria em turquia
22 milhões de família,receber,auxílio brasil
22 mulher entre estudante de direito,decidir denunciar,magistrado
"22,9 milhões de trabalhador",receber,abono salarial
"22,9 milhões de trabalhador",ter,direito receber
22.181 mil inscrito,fazer,exame
23 %,ter,expectativa negativo
23 %,vislumbr depois,recuperação
23 % de entregador de app,ter,cobertura de inss
23 % de entrevistado,aplicar,dinheiro
23 estado,registrar,300 estrada fechado
23 sorteio seguido,não obter,vencedor
23 sorteio seguido,não ter,vencedor
230 concurso público com inscrição aberto,reunir,28 mil vaga
237 concurso público em país,estar reunir,"27,9 mil vaga em cargo de nível de escolaridade"
24 %,planejar utilizar,resultado de vestibular online
24 unidade de federação,ter,queda
240 abdominal 50 minuto,explicar,treino de bruna griphao
"240 dia 02 líder de recepção médio 6 mês r$ 2.087,05 01 mecânico de manutenção de aparelho de climatização 6 mês",não informar,*vaga temporário
25 agente de cet companhia de engenharia de tráfego,fazer,controle de trânsito de região
25 cidade,apresentar,aumento nominal
25 vídeo,integrar,equipe de fantástico
"25,3 % de trabalhador doméstico de país",ter,carteira assinado
250 mil casa,sofrer,apagão
250 mil pessoa,assinar,petição impedir
250 mil seguidor,acumular,810 mil seguidor
250 milhões de americano,enfrentar,frio congelante
26 %,reprovar,trabalho de deputado federal
26 % de brasileiro,reprovar,trabalho de senador
26 zona eleitoral,oficiar,51 delegacia de polícia civil
260 pessoa,acompanhar,festival de death metal
27 %,aumentar,uso de tela em trabalho
27 %,enxergar,probabilidade
27 %,esperar,queda
27 % de mulher com idade entre 15 ano,experimentar,"violência físico 6,4 % menos que em brasil"
27 % de município brasileiro,repassar,verba de ensino básico
27 distrito,apresentar,valor nulo
27 distrito,já apresentar,valor nulo
27 dp vicente de carvalho,abrir,investigação
27 empresa,dar,nota nove
27 país de ue estado unido,firmar,acordo
27 senador,só tomar,posse
"27,8 mil 57,2 %",ter,nome
279.028,não retirar,"r$ 257,39 milhões"
28,reconhecer,casamento entre pessoa de mesmo sexo
28 edição de critics choice awards,premiar,filme
"28,9 %",destinar,lançamento
"28,95 % em transporte público 37,76 % em transporte público",chegar encontrar,amigo
282 de código de processo penal,declarar,magistrado
28º cartório de registro civil de pessoa natural,recusar emitir,certidão de nascimento de menino
28º cartório de registro civil de pessoa natural,recusar reavaliar aceitar,argumento de pai
29,receber,nome de malu mader
29 % atual de ruim,além igualar,pior momento de lula enquanto presidente
29 país,já ratificar,medida
29 país membro de otan,já ratificar,medida
29 promotor,deixar,grupo de trabalho
29 promotor de gaeco,hoje pedir,exoneração de cargo
29 promotor de grupo de atuação especial em combate a crime organizado gaeco de mprj,pedir,exoneração de cargo
293 ataque aéreo,forçar,pessoa
297.712 mil imigrante,solicitar,refúgio
2º de lei 9.784/1999,dizer,trecho de auditoria
2º episódio de programa roda raiz de samba,prestar,homenagem
3,citar,aborto
3 % de entrevistado,colocar,segurança de evento
3 coordenador,enviar,ofício
3 câmara criminal de tribunal de justiça de rio de janeiro,decidir soltar ainda suspender,investigação contra ex vereador de duque de caxia carlo augusto pereira sodré carlinho de barreira pros
3 delegacia de polícia judiciário militar dpjm unidade subordinado a cgpm,realizar instaurar,procedimento apuratório interno
3 guardião de galáxia volume 3,ganhar,novo trailer
3 mil e 500 morador de região,receber,indenização
3 mil participante com autismo,além ter,pedido de atendimento especializado deferido
3 mil pessoa,acompanhar,ato
3 milhões de turista,curtir,virada de ano
3 promotoria de tutela coletivo de duque de caxia,abrir,investigação
3 vara federal criminal de rio de janeiro,expedir também determinar,bloqueio de bem
3 vara federal criminal de rio de janeiro,também determinar,bloqueio de r$ 10 milhões em bem de investigado
"3,2 mil mulher",já gerar através,pedido de medida protetivo
"3,25 %",hoje ser ter,meta de 3 %
"3,4 milhões de beneficiário entre pessoa físico",já solicitar,"transferência de total de r$ 228,1 milhões até 17h desta quinta"
"3,46 milhões",receber,pis
"3,6 bilhões de pessoa 46 % de população",não ter,acesso a saneamento
"3,6 milhões de família",fazer,questão seguir
"3,7 milhões de cubano de população",quando ter,60 ano
"3,7 milhões de trabalhador",ter,"direito a r$ 3,7 bilhões"
"3,8 milhões",já pedir,resgate de r$ 254 milhões
"3,8 milhões de pessoa físico",solicitar,devolução de valores
"3.719.720 73,4 %",não ter,recurso sacar
3.968.325 pessoa,dar,entrada em inss
30,apresentar,totalidade de vítima negro
30 %,ter,renda subsidiado
30 % de 198 incêndio em favela,ter,origem em ação humano intencional
30 % de 500 produtor de uva de jundiaí sp,ter,cultivo
30 % de pessoa,exibir,grau de características psicopato
30 % de população elegível,receber,terceira dose
30 % piora,esperar,melhora
30 ano,passar já comemorar,tetra
30 ano de carreira,garantir,repertório variado
30 artigo,garantir além,direito a igualdade
30 dessas criança,não tomar,café
30 edição de restaurant week em sp,ter,menu completo
30 item,fazer,parte de grupo alimentação
30 mil pequeno sambista de 16 escola mirim,cruzar,avenida
30 mil protestante,reunir perto empunhar,cartaz com mensagem como ministro de crime
30 pessoa,dar,entrada em emergência de unidade
30 pessoa,ficar sofrer,ferimento leve
30 pessoa s,ter,vida melhor
30 segundo,custar,us $ 7 milhões
30 viatura com 380 militar de brigada aeromóvel de caçapava,apoiar,tropa
"30,3 % de família brasileiro",ter,dívida em atraso
30.000 de homem,deixar,região
300 líder sindical de país,ter,primeiro reunião com empresa
300 pessoa,visto,publicação
31 %,aprovar,trabalho de corte
31 %,esperar,melhora
31 %,reprovar,atuação de supremo tribunal federal stf
31 % de entrevistado,aprovar reprovar,atuação de supremo tribunal federal stf
31 % de escola de educação infantil ativo em 2020,oferecer apenas,etapa de creche
31 dp ricardo de albuquerque,retomar,investigação
31 país,relatar,surto de cólera
31 servidor diferente,realizar,compra em cartão
317 município,decretar,emergência
32 %,porém não planejar,programação especial para copa de mundo
32 subprefeitura,além realizar,ação de prevenção
"32,16 % em agenda",passar decidir ver,filme com direito a pipoca
323 milhões de pessoa a redor de mundo,usar,aplicativo semelhante
"323,15 candidato",disputar,oportunidade
33 %,dizer ter,tipo de deficiência físico
33 % de paulista,aprovar,governo lula
331º regimento,fazer,parte de força tarefa de força aerotransportado russo
34,usar,sinovac.
34 % de vítima de capital,ter,filho
"34,1 %",atrasar,dívida maior proporção de série histórico
35 % de fã de futebol,negociar,nfts
35 % de hospital,relatar,aumento desse tipo de atendimento
35 bloco,agitar,cidade
35 jovem,vencer promover,série de transformação em instituição
35 milhões de pessoa,assinalar,quesito irlandês
35 pessoa,morrer ficar interditar fazer,declaração
35 pessoa,perder sofrer,ferimento
356 vítima,usar,plataforma
36 %,afirmar já sofrer,tipo de violência doméstico
36 milhões,ter já somar,19 milhões
36 tornado,matar,duas pessoa
"36,74 % em conta de luz 41,69 % em conta de luz",decidir mandar,mensagem para amigo
360 expositor,compor,espaço 30 % maior que edição anterior em 2019
37 %,dizer esperar,melhora
37 %,ter,cobertura
37 % de empresa inovador,pretender aumentar,investimento em pesquisa
37 edição de jornal corriere degypte,publicar,telegrama
37.600,sofrer,ferimento leve moderado
374 morte de ocupante de motocicleta,representar,46 % de 811 óbito decorrente de acidente de trânsito em via urbano de cidade
38,fazer,parte de grupo alimentação
38 %,avaliar,governo lulo
38 %,fazer ter,evento especial
38 milhões de pessoa físico,ter,r$ 6 bilhões
39 %,considerar definir,tarcísio
39 % de brasileiro,classificar,30 %
39 % de brasileiro,classificar,terceira gestão de presidente lula pt
39 criança de projeto social maré top team,disputar,tornei mundial de jiu jitsu
39 item,fazer,parte de grupo alimentação
39 republicano,também acompanhar,voto
3g capital partners,quando adquirir,companhia
3°dp,registrar,5.800 roubo
3º sargento bruno werneck rocha de souza,precisar passar ter,estado de saúde estável
4,não ser,5
4 %,responder,corrupção
4 ano,passar rápido durar,eternidade perder
4 câmara criminal de tj–sp,analisar,último recurso de defesa de pms
4 câmara criminal de tj–sp,julgar,recurso de defesas de pms
4 câmara criminal de tj–sp,suspender,julgamento virtual de caso
4 delegacia judiciário militar,acompanhar,ocorrência
4 em 10 empresa em brasil,ter,mulher
4 escola,registrar,alagamento
4 milhões,ter possuir,saldo resgatar
4 pessoa,morrer,vítima de latrocínio
4 vídeo,exaltar,bezerra
"4,2 milhões de pessoa físico",solicitar,devolução de recurso
"4,8 milhões de pessoa físico",solicitar,devolução de recurso
40 %,fazer,aumento
40 % de consumidor,escolher,produto personalizado
40 % de pessoa,ter,um padrasto
40 % de receita extra em 2023,ficar fora financiar,investimento
40 % de receita extraordinário,ficar fora financiar,investimento
40 % de receita extraordinário em próximo ano,ficar fora financiar,investimento
