# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vai arrepiar durante show rock plateia reconhece sergio moro juiz ovacionado sergio moro juiz implacavel contra corruptos ovacionado publico noite ontem 25 durante show capital inicial capital paranaense moro levantou agradeceu aplausos plateia bateu palmas minuto apresentacao capital inicial ocorreu teatro positivo moro assistiu espetaculo camorote dinho ouro preto vocalista banda mencionou nome sergio moro antes cantar musica pais publico delirou video 1 video 2
1	vai	ir	AUX	AUX	_	2	aux	_	TokenRange=0:3
53	nome	nome	NOUN	NOUN	_	52	obj	_	TokenRange=395:399
54	sergio	_	NOUN	NOUN	_	53	appos	_	TokenRange=400:406
55	moro	moro	NOUN	NOUN	_	54	flat	_	TokenRange=407:411
56	antes	antes	ADV	ADV	_	57	advmod	_	TokenRange=412:417
57	cantar	cantar	VERB	VERB	_	53	acl:inf	_	TokenRange=418:424
58	musica	_	NOUN	NOUN	_	57	obj	_	TokenRange=425:431
59	pais	_	NOUN	NOUN	_	58	flat	_	TokenRange=432:436
60	publico	_	ADJ	ADJ	_	58	amod	_	TokenRange=437:444
61	delirou	delirar	VERB	VERB	_	52	parataxis	_	TokenRange=445:452
62	video	video	NOUN	NOUN	_	61	obj	_	TokenRange=453:458
63	1	_	NUM	NUM	NumType=Card	62	appos	_	TokenRange=459:460
64	video	video	NOUN	NOUN	_	62	appos	_	TokenRange=461:466
65	2	_	NUM	NUM	NumType=Card	64	appos	_	SpaceAfter=No|TokenRange=467:468

