# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cinco dias apos assumir pgr equipe raquel dodge primeiro escandalo equipe jornal folha sp flagrou membro equipe nova procuradora geral raquel dodge vazando informacoes advogada trabalhou jbs fernanda tortima advogada almocando procurador sidney pessoa madruga restaurante taypa brasilia tudo correndo bem almoco jornalistas folha almocavam mesa lado flagraram toda conversa procurador vazou informacoes sigilosas disse advogada tendencia pgr investigar exchefe gabinete rodrigo janot adversario dodge dodge focando trabalho janot inves investigar politicos corruptos comando pais trocando miudos prova nova pgr pode estar trabalhando exclusivamente sr michel reportagem saiu manha periodo tarde exoneracao procurador madruga anunciada
1	cinco	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:5
45	almocavam	almocar	VERB	VERB	_	40	parataxis	_	TokenRange=330:339
46	mesa	mesa	NOUN	NOUN	_	45	obj	_	TokenRange=340:344
47	lado	lado	NOUN	NOUN	_	48	nsubj	_	TokenRange=345:349
48	flagraram	flagrar	VERB	VERB	_	45	parataxis	_	TokenRange=350:359
49	toda	_	DET	DET	_	50	det	_	TokenRange=360:364
50	conversa	_	NOUN	NOUN	_	48	obj	_	TokenRange=365:373
51	procurador	procurador	NOUN	NOUN	_	52	nsubj	_	TokenRange=374:384
52	vazou	vazar	VERB	VERB	_	45	parataxis	_	TokenRange=385:390
53	informacoes	informacoe	NOUN	NOUN	_	52	obj	_	TokenRange=391:402
54	sigilosas	sigiloso	ADJ	ADJ	_	53	amod	_	TokenRange=403:412
55	disse	dizer	VERB	VERB	_	15	parataxis	_	TokenRange=413:418
56	advogada	advogado	NOUN	NOUN	_	55	nsubj	_	TokenRange=419:427
57	tendencia	_	NOUN	NOUN	_	56	appos	_	TokenRange=428:437
58	pgr	_	NOUN	NOUN	_	59	nsubj	_	TokenRange=438:441
59	investigar	investigar	VERB	VERB	_	56	acl:inf	_	TokenRange=442:452
60	exchefe	exchefe	NOUN	NOUN	_	59	obj	_	TokenRange=453:460
61	gabinete	gabinete	NOUN	NOUN	_	59	obj	_	TokenRange=461:469
62	rodrigo	_	NOUN	NOUN	_	61	amod	_	TokenRange=470:477
63	janot	_	NOUN	NOUN	_	61	flat	_	TokenRange=478:483
64	adversario	adversario	NOUN	NOUN	_	61	appos	_	TokenRange=484:494
65	dodge	_	NOUN	NOUN	_	61	appos	_	TokenRange=495:500
66	dodge	_	NOUN	NOUN	_	65	flat	_	TokenRange=501:506
67	focando	focar	VERB	VERB	_	64	acl	_	TokenRange=507:514
68	trabalho	trabalho	NOUN	NOUN	_	67	obj	_	TokenRange=515:523
69	janot	_	NOUN	NOUN	_	68	appos	_	TokenRange=524:529
70	inves	_	ADJ	ADJ	_	69	amod	_	TokenRange=530:535
71	investigar	investigar	VERB	VERB	_	69	acl:inf	_	TokenRange=536:546
72	politicos	_	NOUN	NOUN	_	71	obj	_	TokenRange=547:556
73	corruptos	corrupto	ADJ	ADJ	_	72	amod	_	TokenRange=557:566
74	comando	comando	NOUN	NOUN	_	72	appos	_	TokenRange=567:574
75	pais	_	NOUN	NOUN	_	74	flat	_	TokenRange=575:579
76	trocando	trocar	VERB	VERB	_	74	acl	_	TokenRange=580:588
77	miudos	miudo	NOUN	NOUN	_	76	obj	_	TokenRange=589:595
78	prova	prova	NOUN	NOUN	_	83	nsubj	_	TokenRange=596:601
79	nova	novo	ADJ	ADJ	_	78	amod	_	TokenRange=602:606
80	pgr	_	NOUN	NOUN	_	83	nsubj	_	TokenRange=607:610
81	pode	_	AUX	AUX	_	83	aux	_	TokenRange=611:615
82	estar	estar	AUX	AUX	_	83	aux	_	TokenRange=616:621
83	trabalhando	trabalhar	VERB	VERB	_	71	conj	_	TokenRange=622:633
84	exclusivamente	exclusivamente	ADV	ADV	_	83	advmod	_	TokenRange=634:648
85	sr	sr	NOUN	NOUN	_	83	advmod	_	TokenRange=649:651
86	michel	_	ADJ	ADJ	_	87	amod	_	TokenRange=652:658
87	reportagem	reportagem	NOUN	NOUN	_	83	obj	_	TokenRange=659:669
88	saiu	sair	VERB	VERB	_	83	parataxis	_	TokenRange=670:674
89	manha	manha	NOUN	NOUN	_	83	nmod	_	TokenRange=675:680
90	periodo	periodo	NOUN	NOUN	_	91	amod	_	TokenRange=681:688
91	tarde	tarde	NOUN	NOUN	_	93	amod	_	TokenRange=689:694
92	exoneracao	exoneracao	ADJ	ADJ	_	93	amod	_	TokenRange=695:705
93	procurador	procurador	NOUN	NOUN	_	83	obj	_	TokenRange=706:716
94	madruga	madruga	NOUN	NOUN	_	93	flat	_	TokenRange=717:724
95	anunciada	anunciar	VERB	VERB	_	93	acl	_	SpaceAfter=No|TokenRange=725:734

