# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos convocado depor cpi lei rouanet ator comunista zomba pf recebe resposta pessoas convocada prestar esclarecimentos sobre uso lei rouanet ator militante chato pt jose abreu site diario poder reportagem publicada ontem 19 informou cuspidor oficial pt podera ver oficiais pf porta qualquer momento materia diz abreu podera conduzido policia va depor cpi ator chegou zombar sobre convocacao internet dizendo necessario enviar passagem aerea brasilia paris acordo ator residencia oficial fica agora cidade luz paris entrevista deputado federal sostenes cavalcante demrj disse necessario mandaremos buscalo jatinho policia federal sostenes pediu camara convocar ator questionalo sobre r 299 mil arrecadados lei incentivo acordo relatorio deputado abreu cumprido parte contrato ministerio cultura valores sido usados espetaculo itinerante fala ze agora prestacao contas enviada deputado ainda ironico fato abreu cuspido casal talvez possa interrogalo guardachuva gosta cuspir outros ironizou
1	apos	_	CCONJ	CONJ	_	2	mark	_	TokenRange=0:4
63	passagem	passagem	NOUN	NOUN	_	62	obj	_	TokenRange=426:434
64	aerea	aereo	ADJ	ADJ	_	63	amod	_	TokenRange=435:440
65	brasilia	brasilia	NOUN	NOUN	_	63	nmod	_	TokenRange=441:449
66	paris	_	ADJ	ADJ	_	63	amod	_	TokenRange=450:455
67	acordo	acordo	NOUN	NOUN	_	62	obj	_	TokenRange=456:462
68	ator	ator	NOUN	NOUN	_	73	amod	_	TokenRange=463:467
69	residencia	residencia	NOUN	NOUN	_	67	appos	_	TokenRange=468:478
70	oficial	oficial	ADJ	ADJ	_	69	amod	_	TokenRange=479:486
71	fica	ficar	AUX	AUX	_	60	parataxis	_	TokenRange=487:491
72	agora	agora	ADV	ADV	_	71	advmod	_	TokenRange=492:497
73	cidade	cidade	NOUN	NOUN	_	55	parataxis	_	TokenRange=498:504
74	luz	luz	NOUN	NOUN	_	73	flat	_	TokenRange=505:508
75	paris	_	ADJ	ADJ	_	76	amod	_	TokenRange=509:514
76	entrevista	entrevista	NOUN	NOUN	_	55	nsubj	_	TokenRange=515:525
77	deputado	deputado	NOUN	NOUN	_	76	appos	_	TokenRange=526:534
78	federal	federal	ADJ	ADJ	_	77	amod	_	TokenRange=535:542
79	sostenes	_	NOUN	NOUN	_	77	appos	_	TokenRange=543:551
80	cavalcante	cavalcante	ADJ	NOUN	_	76	amod	_	TokenRange=552:562
81	demrj	_	NOUN	NOUN	_	76	appos	_	TokenRange=563:568
82	disse	dizer	VERB	VERB	_	34	parataxis	_	TokenRange=569:574
83	necessario	necessario	ADJ	ADJ	_	82	xcomp	_	TokenRange=575:585
84	mandaremos	mandar	VERB	VERB	_	82	ccomp	_	TokenRange=586:596
85	buscalo	buscalo	NOUN	NOUN	_	84	obj	_	TokenRange=597:604
86	jatinho	_	NOUN	NOUN	_	87	amod	_	TokenRange=605:612
87	policia	policia	NOUN	NOUN	_	85	appos	_	TokenRange=613:620
88	federal	federal	ADJ	ADJ	_	87	amod	_	TokenRange=621:628
89	sostenes	_	NOUN	NOUN	_	87	amod	_	TokenRange=629:637
90	pediu	pedir	VERB	VERB	_	85	acl:relcl	_	TokenRange=638:643
91	camara	camara	NOUN	NOUN	_	90	obj	_	TokenRange=644:650
92	convocar	convocar	VERB	VERB	_	90	xcomp	_	TokenRange=651:659
93	ator	ator	NOUN	NOUN	_	92	obj	_	TokenRange=660:664
94	questionalo	questionalo	NOUN	NOUN	_	93	appos	_	TokenRange=665:676
95	sobre	_	ADP	ADP	_	96	case	_	TokenRange=677:682
96	r	r	NOUN	NOUN	_	94	nmod	_	TokenRange=683:684
97	299	_	NUM	NUM	NumType=Card	98	nummod	_	TokenRange=685:688
98	mil	_	NUM	NUM	NumType=Card	99	nummod	_	TokenRange=689:692
99	arrecadados	arrecadado	NOUN	NOUN	_	96	appos	_	TokenRange=693:704
100	lei	lei	NOUN	NOUN	_	99	flat	_	TokenRange=705:708
101	incentivo	incentivo	ADJ	ADJ	_	102	amod	_	TokenRange=709:718
102	acordo	acordo	NOUN	NOUN	_	99	appos	_	TokenRange=719:725
103	relatorio	relatorio	NOUN	NOUN	_	102	amod	_	TokenRange=726:735
104	deputado	deputado	NOUN	NOUN	_	102	appos	_	TokenRange=736:744
105	abreu	abreu	ADJ	ADJ	_	104	flat	_	TokenRange=745:750
106	cumprido	cumprido	ADJ	ADJ	_	107	amod	_	TokenRange=751:759
107	parte	parte	NOUN	NOUN	_	104	appos	_	TokenRange=760:765
108	contrato	contrato	NOUN	NOUN	_	107	appos	_	TokenRange=766:774
109	ministerio	ministerio	NOUN	NOUN	_	108	amod	_	TokenRange=775:785
110	cultura	cultura	NOUN	NOUN	_	108	flat	_	TokenRange=786:793
111	valores	_	NOUN	NOUN	_	108	amod	_	TokenRange=794:801
112	sido	ser	AUX	AUX	_	113	aux:pass	_	TokenRange=802:806
113	usados	usar	VERB	VERB	_	108	acl	_	TokenRange=807:813
114	espetaculo	espetaculo	NOUN	NOUN	_	113	nsubj:pass	_	TokenRange=814:824
115	itinerante	itinerante	ADJ	ADJ	_	114	amod	_	TokenRange=825:835
116	fala	_	VERB	VERB	_	113	parataxis	_	TokenRange=836:840
117	ze	_	NOUN	NOUN	_	116	nsubj	_	TokenRange=841:843
118	agora	agora	ADV	ADV	_	116	advmod	_	TokenRange=844:849
119	prestacao	prestacao	VERB	VERB	_	116	conj	_	TokenRange=850:859
120	contas	conta	NOUN	NOUN	_	119	obj	_	TokenRange=860:866
121	enviada	enviar	VERB	VERB	_	120	acl	_	TokenRange=867:874
122	deputado	deputado	NOUN	NOUN	_	119	nsubj	_	TokenRange=875:883
123	ainda	ainda	ADV	ADV	_	124	advmod	_	TokenRange=884:889
124	ironico	ironico	ADJ	ADJ	_	125	amod	_	TokenRange=890:897
125	fato	fato	NOUN	NOUN	_	120	appos	_	TokenRange=898:902
126	abreu	abreu	ADJ	ADJ	_	125	amod	_	TokenRange=903:908
127	cuspido	cuspido	NOUN	NOUN	_	125	appos	_	TokenRange=909:916
128	casal	casal	NOUN	NOUN	_	127	flat	_	TokenRange=917:922
129	talvez	talvez	ADV	ADV	_	133	advmod	_	TokenRange=923:929
130	possa	_	AUX	AUX	_	133	aux	_	TokenRange=930:935
131	interrogalo	interrogalo	VERB	VERB	_	133	csubj	_	TokenRange=936:947
132	guardachuva	guardachuva	NOUN	NOUN	_	133	nsubj	_	TokenRange=948:959
133	gosta	gostar	VERB	VERB	_	125	acl:relcl	_	TokenRange=960:965
134	cuspir	cuspir	NOUN	NOUN	_	133	obj	_	TokenRange=966:972
135	outros	_	PRON	PRON	_	136	obj	_	TokenRange=973:979
136	ironizou	ironizar	VERB	VERB	_	116	conj	_	SpaceAfter=No|TokenRange=980:988

