# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tudo junto misturado delacao podera provar lula collor fhc farinha saco corrupto pedro correa exdeputado deu detalhes primeira vez embolsou propina confessou recebido dinheiro desviado quase vinte orgaos governo bancos ministerios estatais agencias reguladoras quarenta anos corrupcao revista veja publicou resumo sobre relato medico pernambucano usou politica conseguir fama fortuna pedro detalhou esquemas corrupcao remontam governos militares gestao fernando collor fernando henrique cardoso chegar corrupta todos tempo governo petista depoimento correa aponta beneficiarios propina senadores deputados governadores exgovernadores ministros integrantes tribunal contas uniao pedro revelou combinada partilha cargos governo expresidente lula confessa comprado votos expresidente lula acordo exdeputado coordenou pessoalmente esquema corrupcao petrobras desde indicacao diretores corruptos estatal divisao dinheiro desviado politicos partidos conta lula tratou caciques pp sobre farra contratos diretoria abastecimento petrobras comandada paulo roberto costa episodios representativos segundo correa deu parlamentares pp rebelaram contra avanco pmdb contratos diretoria paulo roberto costa grupo politicos planalto reclamar lula invasao lula passou bronca deputados dizendo burras cheias dinheiro diretoria grande atender outros aliados pois orcamento grande diretoria capaz atender todo mundo caso informacoes correa legitimadas orgaos competentes testemunho confirmara participacao direta lula esquema petrobras
1	tudo	_	PRON	PRON	_	6	nsubj	_	TokenRange=0:4
39	veja	veja	NOUN	NOUN	_	113	flat	_	TokenRange=293:297
40	publicou	publicar	VERB	VERB	_	6	parataxis	_	TokenRange=298:306
41	resumo	resumo	NOUN	NOUN	_	40	obj	_	TokenRange=307:313
42	sobre	_	ADP	ADP	_	43	case	_	TokenRange=314:319
43	relato	relato	NOUN	NOUN	_	116	nmod	_	TokenRange=320:326
44	medico	medico	ADJ	ADJ	_	43	amod	_	TokenRange=327:333
45	pernambucano	pernambucano	ADJ	ADJ	_	43	amod	_	TokenRange=334:346
46	usou	usar	VERB	VERB	_	43	acl:relcl	_	TokenRange=347:351
47	politica	_	NOUN	NOUN	_	46	obj	_	TokenRange=352:360
48	conseguir	conseguir	VERB	VERB	_	46	ccomp	_	TokenRange=361:370
49	fama	fama	NOUN	NOUN	_	48	obj	_	TokenRange=371:375
50	fortuna	fortuna	NOUN	NOUN	_	48	obj	_	TokenRange=376:383
51	pedro	pedro	NOUN	NOUN	_	52	nsubj	_	TokenRange=384:389
52	detalhou	detalhar	VERB	VERB	_	46	conj	_	TokenRange=390:398
53	esquemas	esquema	NOUN	NOUN	_	133	obj	_	TokenRange=399:407
54	corrupcao	corrupcao	ADJ	ADJ	_	53	amod	_	TokenRange=408:417
55	remontam	remontar	VERB	VERB	_	53	acl:relcl	_	TokenRange=418:426
56	governos	governo	NOUN	NOUN	_	136	obj	_	TokenRange=427:435
57	militares	militar	ADJ	ADJ	_	56	amod	_	TokenRange=436:445
58	gestao	gestao	NOUN	NOUN	_	136	nsubj	_	TokenRange=446:452
59	fernando	fernando	NOUN	NOUN	_	56	appos	_	TokenRange=453:461
60	collor	collor	NOUN	NOUN	_	59	flat	_	TokenRange=462:468
61	fernando	fernando	NOUN	NOUN	_	59	appos	_	TokenRange=469:477
62	henrique	_	NOUN	NOUN	_	61	flat	_	TokenRange=478:486
63	cardoso	cardoso	ADJ	ADJ	_	61	amod	_	TokenRange=487:494
64	chegar	chegar	VERB	VERB	_	136	ccomp	_	TokenRange=495:501
65	corrupta	corrupto	ADJ	ADJ	_	64	xcomp	_	TokenRange=502:510
66	todos	_	DET	DET	_	67	det	_	TokenRange=511:516
67	tempo	tempo	NOUN	NOUN	_	64	nmod	_	TokenRange=517:522
68	governo	governo	NOUN	NOUN	_	64	obj	_	TokenRange=523:530
69	petista	petista	ADJ	ADJ	_	68	amod	_	TokenRange=531:538
70	depoimento	depoimento	NOUN	NOUN	_	152	nsubj	_	TokenRange=539:549
71	correa	correa	NOUN	NOUN	_	70	flat	_	TokenRange=550:556
72	aponta	apontar	VERB	VERB	_	136	parataxis	_	TokenRange=557:563
73	beneficiarios	beneficiario	NOUN	NOUN	_	72	obj	_	TokenRange=564:577
74	propina	propino	NOUN	NOUN	_	73	flat	_	TokenRange=578:585
75	senadores	senador	NOUN	NOUN	_	73	amod	_	TokenRange=586:595
76	deputados	deputado	NOUN	NOUN	_	73	amod	_	TokenRange=596:605
77	governadores	governador	ADJ	ADJ	_	73	amod	_	TokenRange=606:618
78	exgovernadores	exgovernador	ADJ	ADJ	_	79	amod	_	TokenRange=619:633
79	ministros	ministro	NOUN	NOUN	_	155	obj	_	TokenRange=634:643
80	integrantes	integrante	ADJ	ADJ	_	79	amod	_	TokenRange=644:655
81	tribunal	tribunal	NOUN	NOUN	_	85	nsubj	_	TokenRange=656:664
82	contas	conta	ADJ	ADJ	_	81	amod	_	TokenRange=665:671
83	uniao	uniao	ADJ	ADJ	_	159	amod	_	TokenRange=672:677
84	pedro	pedro	NOUN	NOUN	_	81	appos	_	TokenRange=678:683
85	revelou	revelar	VERB	VERB	_	6	parataxis	_	TokenRange=684:691
86	combinada	combinado	ADJ	ADJ	_	87	amod	_	TokenRange=692:701
87	partilha	partilha	NOUN	NOUN	_	85	obj	_	TokenRange=702:710
88	cargos	cargo	NOUN	NOUN	_	87	flat	_	TokenRange=711:717
89	governo	governo	NOUN	NOUN	_	85	nsubj	_	TokenRange=718:725
90	expresidente	expresidente	NOUN	NOUN	_	89	amod	_	TokenRange=726:738
91	lula	_	NOUN	NOUN	_	90	flat	_	TokenRange=739:743
92	confessa	confessar	VERB	VERB	_	85	parataxis	_	TokenRange=744:752
93	comprado	comprado	ADJ	ADJ	_	92	xcomp	_	TokenRange=753:761
94	votos	voto	NOUN	NOUN	_	92	obj	_	TokenRange=762:767
95	expresidente	expresidente	ADJ	ADJ	_	94	amod	_	TokenRange=768:780
96	lula	lula	NOUN	NOUN	_	95	amod	_	TokenRange=781:785
97	acordo	acordo	NOUN	NOUN	_	99	obj	_	TokenRange=786:792
98	exdeputado	exdeputado	NOUN	NOUN	_	97	amod	_	TokenRange=793:803
99	coordenou	coordenar	VERB	VERB	_	92	parataxis	_	TokenRange=804:813
100	pessoalmente	pessoalmente	ADV	ADV	_	99	advmod	_	TokenRange=814:826
101	esquema	esquema	NOUN	NOUN	_	23	obj	_	TokenRange=827:834
102	corrupcao	corrupcao	ADJ	ADJ	_	101	amod	_	TokenRange=835:844
103	petrobras	petrobra	NOUN	NOUN	_	101	amod	_	TokenRange=845:854
104	desde	_	ADP	ADP	_	120	case	_	TokenRange=855:860
105	indicacao	_	NOUN	NOUN	_	28	nmod	_	TokenRange=861:870
106	diretores	diretor	NOUN	NOUN	_	99	nmod	_	TokenRange=871:880
107	corruptos	corrupto	ADJ	ADJ	_	28	amod	_	TokenRange=881:890
108	estatal	estatal	ADJ	ADJ	_	31	amod	_	TokenRange=891:898
109	divisao	divisao	NOUN	NOUN	_	28	appos	_	TokenRange=899:906
110	dinheiro	dinheiro	NOUN	NOUN	_	33	appos	_	TokenRange=907:915
111	desviado	desviado	VERB	VERB	_	36	acl	_	TokenRange=916:924
112	politicos	_	ADJ	ADJ	_	113	amod	_	TokenRange=925:934
113	partidos	partido	NOUN	NOUN	_	46	nsubj	_	TokenRange=935:943
114	conta	conta	NOUN	NOUN	_	113	flat	_	TokenRange=944:949
115	lula	_	NOUN	NOUN	_	116	nsubj	_	TokenRange=950:954
116	tratou	tratar	VERB	VERB	_	6	parataxis	_	TokenRange=955:961
117	caciques	cacique	NOUN	NOUN	_	116	obj	_	TokenRange=962:970
118	pp	_	NOUN	NOUN	_	117	flat	_	TokenRange=971:973
119	sobre	_	ADP	ADP	_	120	case	_	TokenRange=974:979
120	farra	farra	NOUN	NOUN	_	117	nmod	_	TokenRange=980:985
121	contratos	contrato	NOUN	NOUN	_	120	appos	_	TokenRange=986:995
122	diretoria	diretoria	NOUN	NOUN	_	28	appos	_	TokenRange=996:1005
123	abastecimento	abastecimento	NOUN	NOUN	_	43	appos	_	TokenRange=1006:1019
124	petrobras	petrobra	ADJ	ADJ	_	31	amod	_	TokenRange=1020:1029
125	comandada	comandar	VERB	VERB	_	31	acl	_	TokenRange=1030:1039
126	paulo	paulo	NOUN	NOUN	_	125	nmod	_	TokenRange=1040:1045
127	roberto	roberto	NOUN	NOUN	_	126	flat	_	TokenRange=1046:1053
128	costa	costa	NOUN	NOUN	_	126	flat	_	TokenRange=1054:1059
129	episodios	episodio	NOUN	NOUN	_	116	obj	_	TokenRange=1060:1069
130	representativos	representativo	ADJ	ADJ	_	129	amod	_	TokenRange=1070:1085
131	segundo	_	ADP	ADP	_	133	mark	_	TokenRange=1086:1093
132	correa	correa	NOUN	NOUN	_	133	nsubj	_	TokenRange=1094:1100
133	deu	dar	VERB	VERB	_	40	advcl	_	TokenRange=1101:1104
134	parlamentares	parlamentar	NOUN	NOUN	_	133	obj	_	TokenRange=1105:1118
135	pp	_	NOUN	NOUN	_	136	nsubj	_	TokenRange=1119:1121
136	rebelaram	rebelar	VERB	VERB	_	133	ccomp	_	TokenRange=1122:1131
137	contra	_	ADP	ADP	_	138	case	_	TokenRange=1132:1138
138	avanco	avanco	NOUN	NOUN	_	136	nmod	_	TokenRange=1139:1145
139	pmdb	_	PROPN	PNOUN	_	138	appos	_	TokenRange=1146:1150
140	contratos	contrato	NOUN	NOUN	_	136	nsubj	_	TokenRange=1151:1160
141	diretoria	diretoria	ADJ	ADJ	_	140	amod	_	TokenRange=1161:1170
142	paulo	paulo	NOUN	NOUN	_	140	appos	_	TokenRange=1171:1176
143	roberto	roberto	NOUN	NOUN	_	142	flat	_	TokenRange=1177:1184
144	costa	costa	NOUN	NOUN	_	142	flat	_	TokenRange=1185:1190
145	grupo	grupo	NOUN	NOUN	_	136	nsubj	_	TokenRange=1191:1196
146	politicos	politico	ADJ	ADJ	_	145	amod	_	TokenRange=1197:1206
147	planalto	planalto	ADJ	ADJ	_	145	amod	_	TokenRange=1207:1215
148	reclamar	reclamar	VERB	VERB	_	133	conj	_	TokenRange=1216:1224
149	lula	lula	NOUN	NOUN	_	148	obj	_	TokenRange=1225:1229
150	invasao	invasao	NOUN	NOUN	_	152	nsubj	_	TokenRange=1230:1237
151	lula	_	NOUN	NOUN	_	152	nsubj	_	TokenRange=1238:1242
152	passou	passar	VERB	VERB	_	136	conj	_	TokenRange=1243:1249
153	bronca	bronco	ADJ	ADJ	_	152	obj	_	TokenRange=1250:1256
154	deputados	deputado	NOUN	NOUN	_	152	obj	_	TokenRange=1257:1266
155	dizendo	dizer	VERB	VERB	_	152	acl	_	TokenRange=1267:1274
156	burras	burra	NOUN	NOUN	_	155	obj	_	TokenRange=1275:1281
157	cheias	cheio	ADJ	ADJ	_	156	amod	_	TokenRange=1282:1288
158	dinheiro	dinheiro	NOUN	NOUN	_	156	flat	_	TokenRange=1289:1297
159	diretoria	diretoria	NOUN	NOUN	_	152	nsubj	_	TokenRange=1298:1307
160	grande	grande	ADJ	ADJ	_	159	amod	_	TokenRange=1308:1314
161	atender	atender	VERB	VERB	_	152	xcomp	_	TokenRange=1315:1322
162	outros	_	DET	DET	_	163	det	_	TokenRange=1323:1329
163	aliados	aliado	NOUN	NOUN	_	161	obj	_	TokenRange=1330:1337
164	pois	_	ADP	ADP	_	165	case	_	TokenRange=1338:1342
165	orcamento	orcamento	NOUN	NOUN	_	161	nmod	_	TokenRange=1343:1352
166	grande	grande	ADJ	ADJ	_	167	amod	_	TokenRange=1353:1359
167	diretoria	diretoria	NOUN	NOUN	_	161	nsubj	_	TokenRange=1360:1369
168	capaz	capaz	ADJ	ADJ	_	167	amod	_	TokenRange=1370:1375
169	atender	atender	VERB	VERB	_	161	ccomp	_	TokenRange=1376:1383
170	todo	_	DET	DET	_	171	det	_	TokenRange=1384:1388
171	mundo	mundo	NOUN	NOUN	_	169	obj	_	TokenRange=1389:1394
172	caso	_	CCONJ	CONJ	_	179	mark	_	TokenRange=1395:1399
173	informacoes	informacoe	NOUN	NOUN	_	179	nsubj	_	TokenRange=1400:1411
174	correa	correo	ADJ	ADJ	_	173	amod	_	TokenRange=1412:1418
175	legitimadas	legitimado	ADJ	ADJ	_	176	amod	_	TokenRange=1419:1430
176	orgaos	orgao	NOUN	NOUN	_	179	nsubj	_	TokenRange=1431:1437
177	competentes	competente	ADJ	ADJ	_	176	amod	_	TokenRange=1438:1449
178	testemunho	testemunho	NOUN	NOUN	_	176	amod	_	TokenRange=1450:1460
179	confirmara	confirmar	VERB	VERB	_	85	advcl	_	TokenRange=1461:1471
180	participacao	participacao	NOUN	NOUN	_	179	obj	_	TokenRange=1472:1484
181	direta	direto	ADJ	ADJ	_	180	amod	_	TokenRange=1485:1491
182	lula	lulo	ADJ	ADJ	_	183	amod	_	TokenRange=1492:1496
183	esquema	esquema	NOUN	NOUN	_	179	obj	_	TokenRange=1497:1504
184	petrobras	petrobra	NOUN	ADJ	_	183	amod	_	SpaceAfter=No|TokenRange=1505:1514

