# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = 400 anos nostradamus previu vitoria donald trump disse apocalipse viria junto acordo seguidores michel notre dame nostradamus fato previsto seculo xvi grande audacioso duvidoso eleito governador exercito ponte quebrada cidade ira desmaiar medo muitos acreditam parte audacioso duvidoso refere donald trump governador exercito referese responsavel lideranca forcas militares mundiais outra predicao diz falsa trombeta fara bizancio mude leis bizancio antiga colonia grega alguns estudiosos ligam fato grecia tornando ponto apoio imigrantes refugiados tema centro candidatura trump finalmente nostradamus escreve republica grande cidade ira envolver operacoes militares caras ordenadas trompete levara temores guerra nuclear acontecera mundo partir agora assista video abaixo
1	400	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:3
77	finalmente	finalmente	ADV	ADV	_	79	advmod	_	TokenRange=580:590
78	nostradamus	nostradamus	NOUN	NOUN	_	79	nsubj	_	TokenRange=591:602
79	escreve	escrever	VERB	VERB	_	70	acl:relcl	_	TokenRange=603:610
80	republica	_	NOUN	NOUN	_	79	obj	_	TokenRange=611:620
81	grande	grande	ADJ	ADJ	_	82	amod	_	TokenRange=621:627
82	cidade	cidade	NOUN	NOUN	_	79	nsubj	_	TokenRange=628:634
83	ira	_	AUX	AUX	_	84	aux	_	TokenRange=635:638
84	envolver	envolver	VERB	VERB	_	82	acl:inf	_	TokenRange=639:647
85	operacoes	operacoe	NOUN	NOUN	_	84	obj	_	TokenRange=648:657
86	militares	militar	ADJ	ADJ	_	85	amod	_	TokenRange=658:667
87	caras	caro	ADJ	ADJ	_	85	amod	_	TokenRange=668:673
88	ordenadas	ordenado	ADJ	ADJ	_	89	amod	_	TokenRange=674:683
89	trompete	trompete	NOUN	NOUN	_	90	nsubj	_	TokenRange=684:692
90	levara	levar	VERB	VERB	_	84	parataxis	_	TokenRange=693:699
91	temores	temor	NOUN	NOUN	_	90	obj	_	TokenRange=700:707
92	guerra	guerra	NOUN	NOUN	_	90	obj	_	TokenRange=708:714
93	nuclear	nuclear	ADJ	ADJ	_	92	amod	_	TokenRange=715:722
94	acontecera	acontecer	VERB	VERB	_	90	parataxis	_	TokenRange=723:733
95	mundo	mundo	NOUN	NOUN	_	94	obj	_	TokenRange=734:739
96	partir	partir	VERB	VERB	_	94	csubj	_	TokenRange=740:746
97	agora	agora	ADV	ADV	_	96	advmod	_	TokenRange=747:752
98	assista	assistir	VERB	VERB	_	79	parataxis	_	TokenRange=753:760
99	video	video	NOUN	NOUN	_	98	obj	_	TokenRange=761:766
100	abaixo	abaixo	ADV	ADV	_	98	advmod	_	SpaceAfter=No|TokenRange=767:773

