# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos sofrer lavagem cerebral evangelicos tentam pagar comerciante dinheiro sagrado caso aconteceu cacapava sp pm chamada solucionar impasse motorista abasteceu veiculo hora pagar r 11500 registrados bomba combustivel sacou papel branco dizendo dinheiro sagrado frentista receber entregaram papel branco la verificar acontecendo porem insistiam papel dinheiro pensei pegadinha disse gerente policia militar acionada homem esposa continuavam dizer tratava dinheiro tentou fugir ficou calmo aguardou chegada pm nunca vi nada assim explicou frentista subtenente pm acreditou viu pessoas humildes enganadas religiosos deve algum caso fanatismo gerente posto conseguiu chegar acordo motorista combustivel retirado veiculo boletim ocorrencia envolvidos liberados homem livre religiao oportunidade melhor viver vida normal completa sigmund freud
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
29	sacou	sacar	VERB	VERB	_	20	parataxis	_	TokenRange=217:222
30	papel	papel	NOUN	NOUN	_	23	obj	_	TokenRange=223:228
31	branco	branco	ADJ	ADJ	_	30	amod	_	TokenRange=229:235
32	dizendo	dizer	VERB	VERB	_	29	acl	_	TokenRange=236:243
33	dinheiro	dinheiro	NOUN	NOUN	_	32	obj	_	TokenRange=244:252
34	sagrado	sagrado	ADJ	ADJ	_	33	amod	_	TokenRange=253:260
35	frentista	frentista	ADJ	ADJ	_	37	nsubj	_	TokenRange=261:270
36	receber	receber	VERB	VERB	_	37	ccomp	_	TokenRange=271:278
37	entregaram	entregar	VERB	VERB	_	32	ccomp	_	TokenRange=279:289
38	papel	papel	NOUN	NOUN	_	37	obj	_	TokenRange=290:295
39	branco	branco	ADJ	ADJ	_	38	amod	_	TokenRange=296:302
40	la	_	PRON	PRON	_	41	obj	_	TokenRange=303:305
41	verificar	verificar	VERB	VERB	_	37	ccomp	_	TokenRange=306:315
42	acontecendo	acontecer	VERB	VERB	_	41	acl	_	TokenRange=316:327
43	porem	_	ADV	ADV	_	44	advmod	_	TokenRange=328:333
44	insistiam	insistir	VERB	VERB	_	42	conj	_	TokenRange=334:343
45	papel	papel	NOUN	NOUN	_	44	obj	_	TokenRange=344:349
46	dinheiro	dinheiro	NOUN	NOUN	_	45	flat	_	TokenRange=350:358
47	pensei	pensar	VERB	VERB	_	49	ccomp	_	TokenRange=359:365
48	pegadinha	_	NOUN	NOUN	_	47	obj	_	TokenRange=366:375
49	disse	dizer	VERB	VERB	_	29	parataxis	_	TokenRange=376:381
50	gerente	gerente	NOUN	NOUN	_	49	nsubj	_	TokenRange=382:389
51	policia	policia	NOUN	NOUN	_	49	nsubj	_	TokenRange=390:397
52	militar	militar	ADJ	ADJ	_	51	amod	_	TokenRange=398:405
53	acionada	acionado	ADJ	ADJ	_	51	amod	_	TokenRange=406:414
54	homem	homem	NOUN	NOUN	_	51	appos	_	TokenRange=415:420
55	esposa	esposo	NOUN	NOUN	_	54	amod	_	TokenRange=421:427
56	continuavam	continuar	VERB	VERB	_	58	aux	_	TokenRange=428:439
57	dizer	dizer	VERB	VERB	_	51	acl:inf	_	TokenRange=440:445
58	tratava	tratar	VERB	VERB	_	57	ccomp	_	TokenRange=446:453
59	dinheiro	dinheiro	NOUN	NOUN	_	58	obj	_	TokenRange=454:462
60	tentou	tentar	VERB	VERB	_	51	acl:relcl	_	TokenRange=463:469
61	fugir	fugir	VERB	VERB	_	60	xcomp	_	TokenRange=470:475
62	ficou	ficar	VERB	VERB	_	57	ccomp	_	TokenRange=476:481
63	calmo	calmo	ADJ	ADJ	_	62	xcomp	_	TokenRange=482:487
64	aguardou	aguardar	VERB	VERB	_	49	ccomp	_	TokenRange=488:496
65	chegada	chegada	NOUN	NOUN	_	64	obj	_	TokenRange=497:504
66	pm	_	PRON	PRON	_	68	mark	_	TokenRange=505:507
67	nunca	nunca	ADV	ADV	_	68	advmod	_	TokenRange=508:513
68	vi	_	VERB	VERB	_	65	acl:relcl	_	TokenRange=514:516
69	nada	_	PRON	PRON	_	68	obj	_	TokenRange=517:521
70	assim	assim	ADV	ADV	_	71	advmod	_	TokenRange=522:527
71	explicou	explicar	VERB	VERB	_	68	parataxis	_	TokenRange=528:536
72	frentista	frentista	NOUN	NOUN	_	71	nsubj	_	TokenRange=537:546
73	subtenente	subtenente	NOUN	NOUN	_	72	amod	_	TokenRange=547:557
74	pm	_	PRON	PRON	_	75	nsubj	_	TokenRange=558:560
75	acreditou	acreditar	VERB	VERB	_	72	acl:relcl	_	TokenRange=561:570
76	viu	ver	VERB	VERB	_	75	xcomp	_	TokenRange=571:574
77	pessoas	pessoa	NOUN	NOUN	_	76	obj	_	TokenRange=575:582
78	humildes	humilde	ADJ	ADJ	_	77	amod	_	TokenRange=583:591
79	enganadas	enganar	VERB	ADJ	_	77	amod	_	TokenRange=592:601
80	religiosos	religioso	ADJ	ADJ	_	77	amod	_	TokenRange=602:612
81	deve	dever	VERB	VERB	_	76	conj	_	TokenRange=613:617
82	algum	_	DET	DET	_	83	det	_	TokenRange=618:623
83	caso	caso	NOUN	NOUN	_	81	obj	_	TokenRange=624:628
84	fanatismo	fanatismo	NOUN	NOUN	_	83	amod	_	TokenRange=629:638
85	gerente	gerente	ADJ	NOUN	_	83	amod	_	TokenRange=639:646
86	posto	posto	NOUN	NOUN	_	87	nsubj	_	TokenRange=647:652
87	conseguiu	conseguir	VERB	VERB	_	81	conj	_	TokenRange=653:662
88	chegar	chegar	VERB	VERB	_	87	xcomp	_	TokenRange=663:669
89	acordo	acordo	NOUN	NOUN	_	88	obj	_	TokenRange=670:676
90	motorista	motorista	ADJ	ADJ	_	89	amod	_	TokenRange=677:686
91	combustivel	combustivel	ADJ	ADJ	_	89	amod	_	TokenRange=687:698
92	retirado	retirar	VERB	VERB	_	89	acl	_	TokenRange=699:707
93	veiculo	veiculo	NOUN	NOUN	_	89	appos	_	TokenRange=708:715
94	boletim	boletim	NOUN	NOUN	_	93	amod	_	TokenRange=716:723
95	ocorrencia	_	NOUN	NOUN	_	89	appos	_	TokenRange=724:734
96	envolvidos	envolvido	ADJ	ADJ	_	95	amod	_	TokenRange=735:745
97	liberados	liberado	ADJ	ADJ	_	98	amod	_	TokenRange=746:755
98	homem	homem	NOUN	NOUN	_	95	appos	_	TokenRange=756:761
99	livre	livre	ADJ	ADJ	_	98	amod	_	TokenRange=762:767
100	religiao	religiao	ADJ	ADJ	_	98	amod	_	TokenRange=768:776
101	oportunidade	oportunidade	NOUN	NOUN	_	95	appos	_	TokenRange=777:789
102	melhor	melhor	ADJ	ADJ	_	98	amod	_	TokenRange=790:796
103	viver	viver	VERB	VERB	_	101	acl:inf	_	TokenRange=797:802
104	vida	vida	NOUN	NOUN	_	103	obj	_	TokenRange=803:807
105	normal	normal	ADJ	ADJ	_	104	amod	_	TokenRange=808:814
106	completa	completo	ADJ	ADJ	_	104	amod	_	TokenRange=815:823
107	sigmund	sigmund	ADJ	ADJ	_	108	amod	_	TokenRange=824:831
108	freud	freud	NOUN	NOUN	_	104	appos	_	SpaceAfter=No|TokenRange=832:837

