# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos declarar brizola heroi patria dilma pode abandonar pt ir pdt exministro educacao cid gomes pdt sugeriu presidente dilma rousseff saia pt distancie proximo processo eleitoral reverter queda popularidade desfiliar pt assumir compromisso publico participar campanha sucessao deixar coisas acontecam meio politica poderia desarmar pouco psdb posicao radical golpista tratar coisas pt ideologico disse gomes disse pais viveu crise organica decorrente relacao promiscua poderes legislativo executivo baseada chantagem achaque muda noite dia proxima eleicao vai permitir gente comece construir nova relacao vem dilma render tentou resistir comeco conseguiu completou dilma filiada pdt sancionou recentemente lei inclui politico gaucho leonel brizola livro herois patria homenageia brasileiros destacaram defesa construcao historia nacional ultima segunda 04 ministrochefe casa civil jaques wagner disparou criticas pt disse partido lambuzou
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
29	popularidade	popularidade	NOUN	NOUN	_	25	appos	_	TokenRange=194:206
30	desfiliar	desfiliar	VERB	VERB	_	25	acl:relcl	_	TokenRange=207:216
31	pt	_	PROPN	PNOUN	_	32	obj	_	TokenRange=217:219
32	assumir	assumir	VERB	VERB	_	44	ccomp	_	TokenRange=220:227
33	compromisso	compromisso	NOUN	NOUN	_	32	obj	_	TokenRange=228:239
34	publico	_	ADJ	ADJ	_	33	amod	_	TokenRange=240:247
35	participar	participar	VERB	VERB	_	32	ccomp	_	TokenRange=248:258
36	campanha	campanha	NOUN	NOUN	_	35	obj	_	TokenRange=259:267
37	sucessao	sucessao	ADJ	ADJ	_	25	amod	_	TokenRange=268:276
38	deixar	deixar	VERB	VERB	_	33	acl:inf	_	TokenRange=277:283
39	coisas	coisa	NOUN	NOUN	_	38	obj	_	TokenRange=284:290
40	acontecam	acontecar	VERB	VERB	_	23	ccomp	_	TokenRange=291:300
41	meio	meio	NOUN	NOUN	_	40	nsubj	_	TokenRange=301:305
42	politica	politico	ADJ	ADJ	_	41	amod	_	TokenRange=306:314
43	poderia	poder	AUX	AUX	_	44	aux	_	TokenRange=315:322
44	desarmar	desarmar	VERB	VERB	_	40	parataxis	_	TokenRange=323:331
45	pouco	pouco	ADV	ADV	_	44	advmod	_	TokenRange=332:337
46	psdb	_	NOUN	NOUN	_	44	nsubj	_	TokenRange=338:342
47	posicao	posicao	NOUN	NOUN	_	44	nsubj	_	TokenRange=343:350
48	radical	radical	ADJ	ADJ	_	47	amod	_	TokenRange=351:358
49	golpista	golpista	ADJ	ADJ	_	47	amod	_	TokenRange=359:367
50	tratar	tratar	VERB	VERB	_	47	acl:inf	_	TokenRange=368:374
51	coisas	coisa	NOUN	NOUN	_	50	obj	_	TokenRange=375:381
52	pt	_	NOUN	NOUN	_	54	nsubj	_	TokenRange=382:384
53	ideologico	ideologico	ADJ	ADJ	_	72	amod	_	TokenRange=385:395
54	disse	dizer	VERB	VERB	_	40	parataxis	_	TokenRange=396:401
55	gomes	gome	NOUN	NOUN	_	54	nsubj	_	TokenRange=402:407
56	disse	dizer	VERB	VERB	_	54	ccomp	_	TokenRange=408:413
57	pais	_	NOUN	NOUN	_	58	nsubj	_	TokenRange=414:418
58	viveu	viver	VERB	VERB	_	56	ccomp	_	TokenRange=419:424
59	crise	crise	NOUN	NOUN	_	58	obj	_	TokenRange=425:430
60	organica	organico	ADJ	ADJ	_	59	amod	_	TokenRange=431:439
61	decorrente	_	ADJ	ADJ	_	62	amod	_	TokenRange=440:450
62	relacao	relacao	NOUN	NOUN	_	59	appos	_	TokenRange=451:458
63	promiscua	promiscuo	ADJ	ADJ	_	62	amod	_	TokenRange=459:468
64	poderes	_	NOUN	NOUN	_	62	appos	_	TokenRange=469:476
65	legislativo	legislativo	ADJ	ADJ	_	62	amod	_	TokenRange=477:488
66	executivo	executivo	ADJ	ADJ	_	64	amod	_	TokenRange=489:498
67	baseada	baseado	ADJ	ADJ	_	64	amod	_	TokenRange=499:506
68	chantagem	chantagem	NOUN	NOUN	_	64	appos	_	TokenRange=507:516
69	achaque	achaque	NOUN	NOUN	_	68	appos	_	TokenRange=517:524
70	muda	_	ADJ	ADJ	_	71	amod	_	TokenRange=525:529
71	noite	noite	NOUN	NOUN	_	76	obj	_	TokenRange=530:535
72	dia	dia	NOUN	NOUN	_	71	nmod	_	TokenRange=536:539
73	proxima	proximo	ADJ	ADJ	_	74	amod	_	TokenRange=540:547
74	eleicao	eleicao	NOUN	NOUN	_	76	nsubj	_	TokenRange=548:555
75	vai	ir	AUX	AUX	_	76	aux	_	TokenRange=556:559
76	permitir	permitir	VERB	VERB	_	54	ccomp	_	TokenRange=560:568
77	gente	gente	NOUN	NOUN	_	76	obj	_	TokenRange=569:574
78	comece	começar	VERB	VERB	_	76	ccomp	_	TokenRange=575:581
79	construir	construir	VERB	VERB	_	76	xcomp	_	TokenRange=582:591
80	nova	novo	ADJ	ADJ	_	81	amod	_	TokenRange=592:596
81	relacao	relacao	NOUN	NOUN	_	79	obj	_	TokenRange=597:604
82	vem	vir	VERB	VERB	_	81	det	_	TokenRange=605:608
83	dilma	_	NOUN	NOUN	_	84	nsubj	_	TokenRange=609:614
84	render	render	VERB	VERB	_	64	acl:relcl	_	TokenRange=615:621
85	tentou	tentar	VERB	VERB	_	84	ccomp	_	TokenRange=622:628
86	resistir	resistir	VERB	VERB	_	85	xcomp	_	TokenRange=629:637
87	comeco	comeco	NOUN	NOUN	_	86	obj	_	TokenRange=638:644
88	conseguiu	conseguir	VERB	VERB	_	71	acl:relcl	_	TokenRange=645:654
89	completou	completar	VERB	VERB	_	85	ccomp	_	TokenRange=655:664
90	dilma	dilma	NOUN	NOUN	_	89	obj	_	TokenRange=665:670
91	filiada	filiado	ADJ	ADJ	_	90	amod	_	TokenRange=671:678
92	pdt	_	NOUN	NOUN	_	76	nsubj	_	TokenRange=679:682
93	sancionou	sancionar	VERB	VERB	_	89	parataxis	_	TokenRange=683:692
94	recentemente	recentemente	ADV	ADV	_	93	advmod	_	TokenRange=693:705
95	lei	lei	NOUN	NOUN	_	93	obj	_	TokenRange=706:709
96	inclui	incluir	VERB	VERB	_	95	acl	_	TokenRange=710:716
97	politico	politico	NOUN	NOUN	_	79	obj	_	TokenRange=717:725
98	gaucho	gaucho	ADJ	ADJ	_	97	amod	_	TokenRange=726:732
99	leonel	leonel	NOUN	NOUN	_	97	appos	_	TokenRange=733:739
100	brizola	_	NOUN	NOUN	_	97	amod	_	TokenRange=740:747
101	livro	livro	NOUN	NOUN	_	97	appos	_	TokenRange=748:753
102	herois	herois	NOUN	NOUN	_	101	amod	_	TokenRange=754:760
103	patria	patria	NOUN	NOUN	_	101	amod	_	TokenRange=761:767
104	homenageia	homenageia	NOUN	NOUN	_	101	appos	_	TokenRange=768:778
105	brasileiros	brasileiro	ADJ	ADJ	_	104	amod	_	TokenRange=779:790
106	destacaram	destacar	VERB	VERB	_	97	acl:relcl	_	TokenRange=791:801
107	defesa	_	NOUN	NOUN	_	106	obj	_	TokenRange=802:808
108	construcao	construcao	ADJ	ADJ	_	107	amod	_	TokenRange=809:819
109	historia	historia	NOUN	NOUN	_	107	appos	_	TokenRange=820:828
110	nacional	nacional	ADJ	ADJ	_	109	amod	_	TokenRange=829:837
111	ultima	_	ADJ	ADJ	_	109	amod	_	TokenRange=838:844
112	segunda	segundo	ADJ	ADJ	_	109	amod	_	TokenRange=845:852
113	04	_	NUM	NUM	NumType=Card	114	nummod	_	TokenRange=853:855
114	ministrochefe	ministrochefe	NOUN	NOUN	_	106	nsubj	_	TokenRange=856:869
115	casa	casa	NOUN	NOUN	_	114	appos	_	TokenRange=870:874
116	civil	civil	ADJ	ADJ	_	115	amod	_	TokenRange=875:880
117	jaques	jaque	NOUN	NOUN	_	119	nsubj	_	TokenRange=881:887
118	wagner	_	PROPN	NOUN	_	117	flat	_	TokenRange=888:894
119	disparou	disparar	VERB	VERB	_	124	parataxis	_	TokenRange=895:903
120	criticas	_	NOUN	NOUN	_	119	obj	_	TokenRange=904:912
121	pt	_	PROPN	NOUN	_	124	nsubj	_	TokenRange=913:915
122	disse	dizer	VERB	VERB	_	124	ccomp	_	TokenRange=916:921
123	partido	partido	NOUN	NOUN	_	124	obj	_	TokenRange=922:929
124	lambuzou	lambuzar	VERB	VERB	_	89	parataxis	_	SpaceAfter=No|TokenRange=930:938

