# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nove algoritmos podem estar tomando decisoes saber sistemas inteligencia artificial determinam escolhido entrevistas emprego conseguira emprestimos relacionamos chance pessoa cometer novo crime tecnologia levanta questoes eticas importantes video mostra medico david dao sendo removido voo united airlines aeroporto chicago estados unidos viralizou abril passado episodio gerou prejuizos imagem empresa americana cuja tripulacao queria dao cedesse lugar funcionario destino voo louisville render equipe local quase nenhuma criticas tratou elemento crucial ocorrido necessidade retirar medico voo decidida maquina especificamente programa computador exemplo classico programas conhecidos algoritimos tomando decisoes afetam vidas muitas vezes gente sequer saiba disso especialistas manifestaram preocupacao falta transparencia uso sistemas
1	nove	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
50	americana	americano	ADJ	ADJ	_	49	amod	_	TokenRange=403:412
51	cuja	_	DET	DET	_	52	det	_	TokenRange=413:417
52	tripulacao	tripulacao	NOUN	NOUN	_	53	nsubj	_	TokenRange=418:428
53	queria	querer	VERB	VERB	_	49	acl:relcl	_	TokenRange=429:435
54	dao	_	NOUN	NOUN	_	53	obj	_	TokenRange=436:439
55	cedesse	ceder	VERB	VERB	_	53	ccomp	_	TokenRange=440:447
56	lugar	lugar	NOUN	NOUN	_	55	obj	_	TokenRange=448:453
57	funcionario	funcionario	NOUN	NOUN	_	56	amod	_	TokenRange=454:465
58	destino	destino	NOUN	NOUN	_	56	flat	_	TokenRange=466:473
59	voo	voo	NOUN	NOUN	_	56	appos	_	TokenRange=474:477
60	louisville	_	NOUN	NOUN	_	59	flat	_	TokenRange=478:488
61	render	render	VERB	VERB	_	55	ccomp	_	TokenRange=489:495
62	equipe	equipe	NOUN	NOUN	_	61	obj	_	TokenRange=496:502
63	local	local	ADJ	ADJ	_	62	amod	_	TokenRange=503:508
64	quase	quase	ADV	ADV	_	66	advmod	_	TokenRange=509:514
65	nenhuma	_	DET	DET	_	66	det	_	TokenRange=515:522
66	criticas	_	NOUN	NOUN	_	67	nsubj	_	TokenRange=523:531
67	tratou	tratar	VERB	VERB	_	46	parataxis	_	TokenRange=532:538
68	elemento	elemento	NOUN	NOUN	_	67	obj	_	TokenRange=539:547
69	crucial	crucial	ADJ	ADJ	_	68	amod	_	TokenRange=548:555
70	ocorrido	ocorrer	VERB	VERB	_	68	acl	_	TokenRange=556:564
71	necessidade	necessidade	NOUN	NOUN	_	72	obj	_	TokenRange=565:576
72	retirar	retirar	VERB	VERB	_	68	acl:inf	_	TokenRange=577:584
73	medico	medico	NOUN	NOUN	_	72	obj	_	TokenRange=585:591
74	voo	voo	NOUN	NOUN	_	73	flat	_	TokenRange=592:595
75	decidida	decidido	ADJ	ADJ	_	76	amod	_	TokenRange=596:604
76	maquina	_	NOUN	NOUN	_	72	nsubj	_	TokenRange=605:612
77	especificamente	especificamente	ADV	ADV	_	78	advmod	_	TokenRange=613:628
78	programa	programa	NOUN	NOUN	_	76	appos	_	TokenRange=629:637
79	computador	computador	ADJ	ADJ	_	78	amod	_	TokenRange=638:648
80	exemplo	exemplo	NOUN	NOUN	_	78	appos	_	TokenRange=649:656
81	classico	classico	ADJ	ADJ	_	82	amod	_	TokenRange=657:665
82	programas	programa	NOUN	NOUN	_	78	appos	_	TokenRange=666:675
83	conhecidos	conhecer	VERB	VERB	_	82	acl	_	TokenRange=676:686
84	algoritimos	algoritimo	ADJ	ADJ	_	82	amod	_	TokenRange=687:698
85	tomando	tomar	VERB	VERB	_	82	acl	_	TokenRange=699:706
86	decisoes	decisoe	NOUN	NOUN	_	85	obj	_	TokenRange=707:715
87	afetam	afetar	VERB	VERB	_	67	parataxis	_	TokenRange=716:722
88	vidas	vida	NOUN	NOUN	_	87	obj	_	TokenRange=723:728
89	muitas	_	DET	DET	_	90	det	_	TokenRange=729:735
90	vezes	vez	NOUN	NOUN	_	87	nmod	_	TokenRange=736:741
91	gente	gente	NOUN	NOUN	_	93	nsubj	_	TokenRange=742:747
92	sequer	sequer	ADV	ADV	_	93	advmod	_	TokenRange=748:754
93	saiba	saber	VERB	VERB	_	87	advcl	_	TokenRange=755:760
94	disso	_	X	ADPPRON	_	95	case	_	TokenRange=761:766
95	especialistas	especialista	NOUN	NOUN	_	93	nmod	_	TokenRange=767:780
96	manifestaram	manifestar	VERB	VERB	_	87	parataxis	_	TokenRange=781:793
97	preocupacao	preocupacao	NOUN	NOUN	_	96	obj	_	TokenRange=794:805
98	falta	_	NOUN	NOUN	_	96	obj	_	TokenRange=806:811
99	transparencia	transparencia	NOUN	NOUN	_	96	obj	_	TokenRange=812:825
100	uso	uso	NOUN	NOUN	_	96	obj	_	TokenRange=826:829
101	sistemas	sistema	NOUN	NOUN	_	100	flat	_	SpaceAfter=No|TokenRange=830:838

