# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estamos torcendo por um milagre diz filho de teori zavascki filho disse que relator da lava jato no stf estava a bordo de aeronave que caiu em paraty ainda nao ha informacoes sobre sobreviventes a familia do ministro do supremo tribunal federal e relator dos processos da lava jato que correm no stf teori zavaski diz esperar por um milagre depois das informacoes de que o voo em que ele estava caiu no litoral de paraty na regiao sul do estado do rio de janeiro ele estava a bordo e estamos
1	estamos	estar	AUX	AUX	_	2	aux	_	TokenRange=0:7
46	federal	federal	ADJ	ADJ	_	45	amod	_	TokenRange=237:244
47	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=245:246
48	relator	relator	NOUN	NOUN	_	38	conj	_	TokenRange=247:254
49-50	dos	_	_	_	_	_	_	_	TokenRange=255:258
49	de	de	ADP	ADP	_	51	case	_	_
50	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	51	det	_	_
51	processos	processo	NOUN	NOUN	_	48	nmod	_	TokenRange=259:268
52-53	da	_	_	_	_	_	_	_	TokenRange=269:271
52	de	de	ADP	ADP	_	54	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	54	det	_	_
54	lava	lava	NOUN	NOUN	_	51	nmod	_	TokenRange=272:276
55	jato	jato	NOUN	NOUN	_	54	flat	_	TokenRange=277:281
56	que	_	PRON	PRON	_	57	nsubj	_	TokenRange=282:285
57	correm	correr	VERB	VERB	_	48	acl:relcl	_	TokenRange=286:292
58-59	no	_	_	_	_	_	_	_	TokenRange=293:295
58	em	em	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	stf	_	NOUN	NOUN	_	57	nmod	_	TokenRange=296:299
61	teori	_	PROPN	NOUN	_	63	nsubj	_	TokenRange=300:305
62	zavaski	_	PROPN	PNOUN	_	61	flat	_	TokenRange=306:313
63	diz	dizer	VERB	VERB	_	12	conj	_	TokenRange=314:317
64	esperar	esperar	VERB	VERB	_	63	xcomp	_	TokenRange=318:325
65	por	por	ADP	ADP	_	67	case	_	TokenRange=326:329
66	um	um	DET	DET	_	67	det	_	TokenRange=330:332
67	milagre	milagre	NOUN	NOUN	_	64	nmod	_	TokenRange=333:340
68	depois	depois	ADV	ADV	_	71	case	_	TokenRange=341:347
69-70	das	_	_	_	_	_	_	_	TokenRange=348:351
69	de	de	ADP	ADP	_	68	case	_	_
70	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	68	det	_	_
71	informacoes	informacoe	NOUN	NOUN	_	63	nmod	_	TokenRange=352:363
72	de	_	ADP	ADP	_	99	mark	_	TokenRange=364:366
73	que	que	CCONJ	CONJ	_	99	mark	_	TokenRange=367:370
74	o	o	DET	DET	_	75	det	_	TokenRange=371:372
75	voo	voo	NOUN	NOUN	_	99	nsubj	_	TokenRange=373:376
76	em	em	ADP	ADP	_	77	case	_	TokenRange=377:379
77	que	_	PRON	PRON	_	80	nmod	_	TokenRange=380:383
78	ele	_	PRON	PRON	_	80	nsubj	_	TokenRange=384:387
79	estava	estar	VERB	VERB	_	80	aux	_	TokenRange=388:394
80	caiu	cair	VERB	VERB	_	75	acl:relcl	_	TokenRange=395:399
81-82	no	_	_	_	_	_	_	_	TokenRange=400:402
81	em	em	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	litoral	litoral	NOUN	NOUN	_	80	nmod	_	TokenRange=403:410
84	de	de	ADP	ADP	_	85	case	_	TokenRange=411:413
85	paraty	paraty	NOUN	NOUN	_	83	nmod	_	TokenRange=414:420
86-87	na	_	_	_	_	_	_	_	TokenRange=421:423
86	em	em	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	regiao	regiao	NOUN	NOUN	_	80	nmod	_	TokenRange=424:430
89	sul	sul	ADJ	ADJ	_	88	amod	_	TokenRange=431:434
90-91	do	_	_	_	_	_	_	_	TokenRange=435:437
90	de	de	ADP	ADP	_	92	case	_	_
91	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
92	estado	estado	NOUN	NOUN	_	88	nmod	_	TokenRange=438:444
93-94	do	_	_	_	_	_	_	_	TokenRange=445:447
93	de	de	ADP	ADP	_	95	case	_	_
94	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	95	det	_	_
95	rio	rio	NOUN	NOUN	_	92	nmod	_	TokenRange=448:451
96	de	de	ADP	ADP	_	97	case	_	TokenRange=452:454
97	janeiro	_	PROPN	PNOUN	_	95	nmod	_	TokenRange=455:462
98	ele	_	PRON	PRON	_	99	nsubj	_	TokenRange=463:466
99	estava	estar	VERB	VERB	_	63	ccomp	_	TokenRange=467:473
100	a	_	ADP	ADP	_	101	case	_	TokenRange=474:475
101	bordo	bordo	NOUN	NOUN	_	99	nmod	_	TokenRange=476:481
102	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=482:483
103	estamos	estar	VERB	VERB	_	99	aux	_	SpacesAfter=\s\s|TokenRange=484:491

