# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = impugnacao nao e apenas atribuicao do mp eleitoral diz viceprocuradorgeral eleitoral nao tendemos a imaginar o ministerio publico o tse como salvador da patria afirma humberto jacques brasilia representante da procuradoriageral da republica no tribunal superior eleitoral tse humberto jacques disse ao estado que quem tem de punir alguem e o eleitor com o voto segundo o viceprocuradorgeral eleitoral o ministerio publico garantira a lisura da eleicao e o respeito a lei nao estamos aqui para selecionar um candidato isso e do eleitor estamos para garantir que todos sejam tratados igualmente dentro do sistema eleitoral ao falar do provavel enquadramento na lei da ficha limpa da candidatura do expresidente luiz inacio lula da silva que teve a condenacao mantida pela 8 turma do tribunal regional federal da 4 regiao trf4 jacques disse que a questao nao e so do mp o futuro politico
1	impugnacao	impugnacao	NOUN	NOUN	_	10	nsubj	_	TokenRange=0:10
17	o	o	DET	DET	_	18	det	_	TokenRange=109:110
18	ministerio	ministerio	NOUN	NOUN	_	16	obj	_	TokenRange=111:121
19	publico	publico	ADJ	ADJ	_	18	amod	_	TokenRange=122:129
20	o	o	DET	DET	_	21	det	_	TokenRange=130:131
21	tse	tse	NOUN	NOUN	_	16	obj	_	TokenRange=132:135
22	como	como	ADP	ADP	_	23	case	_	TokenRange=136:140
23	salvador	salvador	NOUN	NOUN	_	98	nmod	_	TokenRange=141:149
24-25	da	_	_	_	_	_	_	_	TokenRange=150:152
24	de	de	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	patria	patria	NOUN	NOUN	_	23	nmod	_	TokenRange=153:159
27	afirma	afirmar	VERB	VERB	_	10	parataxis	_	TokenRange=160:166
28	humberto	humberto	NOUN	NOUN	_	27	nsubj	_	TokenRange=167:175
29	jacques	jacque	NOUN	NOUN	_	28	flat	_	TokenRange=176:183
30	brasilia	brasilia	NOUN	NOUN	_	111	appos	_	TokenRange=184:192
31	representante	representante	NOUN	NOUN	_	111	appos	_	TokenRange=193:206
32-33	da	_	_	_	_	_	_	_	TokenRange=207:209
32	de	de	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	procuradoriageral	procuradoriageral	NOUN	NOUN	_	31	nmod	_	TokenRange=210:227
35-36	da	_	_	_	_	_	_	_	TokenRange=228:230
35	de	de	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	republica	_	NOUN	NOUN	_	34	nmod	_	TokenRange=231:240
38-39	no	_	_	_	_	_	_	_	TokenRange=241:243
38	em	em	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	tribunal	tribunal	NOUN	NOUN	_	114	nmod	_	TokenRange=244:252
41	superior	superior	ADJ	ADJ	_	40	amod	_	TokenRange=253:261
42	eleitoral	eleitoral	ADJ	ADJ	_	40	amod	_	TokenRange=262:271
43	tse	_	NOUN	NOUN	_	40	appos	_	TokenRange=272:275
44	humberto	humberto	NOUN	NOUN	_	46	nsubj	_	TokenRange=276:284
45	jacques	jacque	NOUN	NOUN	_	44	flat	_	TokenRange=285:292
46	disse	dizer	VERB	VERB	_	10	parataxis	_	TokenRange=293:298
47-48	ao	_	_	_	_	_	_	_	TokenRange=299:301
47	a	a	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	estado	estado	NOUN	NOUN	_	46	iobj	_	TokenRange=302:308
50	que	que	CCONJ	CONJ	_	69	mark	_	TokenRange=309:312
51	quem	_	PRON	PRON	_	54	nsubj	_	TokenRange=313:317
52	tem	ter	AUX	AUX	_	54	aux	_	TokenRange=318:321
53	de	_	ADP	ADP	_	54	mark	_	TokenRange=322:324
54	punir	punir	VERB	VERB	_	151	ccomp	_	TokenRange=325:330
55	alguem	_	PRON	PRON	_	54	obj	_	TokenRange=331:337
56	e	e	CCONJ	CONJ	_	58	cc	_	TokenRange=338:339
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	TokenRange=340:341
58	eleitor	eleitor	NOUN	NOUN	_	55	conj	_	TokenRange=342:349
59	com	com	ADP	ADP	_	61	case	_	TokenRange=350:353
60	o	o	DET	DET	_	61	det	_	TokenRange=354:355
61	voto	voto	NOUN	NOUN	_	54	nmod	_	TokenRange=356:360
62	segundo	_	ADP	ADP	_	64	case	_	TokenRange=361:368
63	o	o	DET	DET	_	64	det	_	TokenRange=369:370
64	viceprocuradorgeral	_	NOUN	NOUN	_	61	nmod	_	TokenRange=371:390
65	eleitoral	eleitoral	ADJ	ADJ	_	64	amod	_	TokenRange=391:400
66	o	o	DET	DET	_	67	det	_	TokenRange=401:402
67	ministerio	ministerio	NOUN	NOUN	_	69	nsubj	_	TokenRange=403:413
68	publico	publico	ADJ	ADJ	_	67	amod	_	TokenRange=414:421
69	garantira	garantir	VERB	VERB	_	46	ccomp	_	TokenRange=422:431
70	a	o	DET	DET	_	71	det	_	TokenRange=432:433
71	lisura	lisura	NOUN	NOUN	_	69	obj	_	TokenRange=434:440
72-73	da	_	_	_	_	_	_	_	TokenRange=441:443
72	de	de	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	eleicao	eleicao	NOUN	NOUN	_	71	nmod	_	TokenRange=444:451
75	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=452:453
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	TokenRange=454:455
77	respeito	respeito	NOUN	NOUN	_	71	conj	_	TokenRange=456:464
78	a	_	ADP	ADP	_	79	case	_	TokenRange=465:466
79	lei	lei	NOUN	NOUN	_	77	nmod	_	TokenRange=467:470
80	nao	nao	ADV	ADV	Polarity=Neg	81	advmod	_	TokenRange=471:474
81	estamos	estar	VERB	VERB	_	46	ccomp	_	TokenRange=475:482
82	aqui	aqui	ADV	ADV	_	81	advmod	_	TokenRange=483:487
83	para	_	ADP	ADP	_	84	mark	_	TokenRange=488:492
84	selecionar	selecionar	VERB	VERB	_	81	advcl	_	TokenRange=493:503
85	um	um	DET	DET	_	86	det	_	TokenRange=504:506
86	candidato	candidato	NOUN	NOUN	_	84	obj	_	TokenRange=507:516
87	isso	_	PRON	PRON	_	98	nsubj:pass	_	TokenRange=517:521
88	e	e	CCONJ	CONJ	_	91	cc	_	TokenRange=522:523
89-90	do	_	_	_	_	_	_	_	TokenRange=524:526
89	de	de	ADP	ADP	_	91	case	_	_
90	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	91	det	_	_
91	eleitor	eleitor	NOUN	NOUN	_	87	conj	_	TokenRange=527:534
92	estamos	estar	VERB	VERB	_	27	conj	_	TokenRange=535:542
93	para	_	ADP	ADP	_	94	mark	_	TokenRange=543:547
94	garantir	garantir	VERB	VERB	_	92	advcl	_	TokenRange=548:556
95	que	que	CCONJ	CONJ	_	98	mark	_	TokenRange=557:560
96	todos	_	PRON	PRON	_	98	nsubj:pass	_	TokenRange=561:566
97	sejam	ser	AUX	AUX	_	98	aux:pass	_	TokenRange=567:572
98	tratados	tratar	VERB	VERB	_	94	ccomp	_	TokenRange=573:581
99	igualmente	igualmente	ADV	ADV	_	98	advmod	_	TokenRange=582:592
100	dentro	dentro	ADV	ADV	_	98	advmod	_	TokenRange=593:599
101-102	do	_	_	_	_	_	_	_	TokenRange=600:602
101	de	de	ADP	ADP	_	103	case	_	_
102	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	103	det	_	_
103	sistema	sistema	NOUN	NOUN	_	100	nmod	_	TokenRange=603:610
104	eleitoral	eleitoral	ADJ	ADJ	_	103	amod	_	TokenRange=611:620
105-106	ao	_	_	_	_	_	_	_	TokenRange=621:623
105	a	a	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	falar	falar	VERB	VERB	_	27	advcl	_	TokenRange=624:629
108-109	do	_	_	_	_	_	_	_	TokenRange=630:632
108	de	de	ADP	ADP	_	111	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	111	det	_	_
110	provavel	provavel	ADJ	ADJ	_	111	amod	_	TokenRange=633:641
111	enquadramento	enquadramento	NOUN	NOUN	_	107	nmod	_	TokenRange=642:655
112-113	na	_	_	_	_	_	_	_	TokenRange=656:658
112	em	em	ADP	ADP	_	114	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
114	lei	lei	NOUN	NOUN	_	111	nmod	_	TokenRange=659:662
115-116	da	_	_	_	_	_	_	_	TokenRange=663:665
115	de	de	ADP	ADP	_	117	case	_	_
116	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
117	ficha	ficha	NOUN	NOUN	_	114	nmod	_	TokenRange=666:671
118	limpa	limpo	ADJ	ADJ	_	117	amod	_	TokenRange=672:677
119-120	da	_	_	_	_	_	_	_	TokenRange=678:680
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	candidatura	candidatura	NOUN	NOUN	_	117	nmod	_	TokenRange=681:692
122-123	do	_	_	_	_	_	_	_	TokenRange=693:695
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	expresidente	expresidente	NOUN	NOUN	_	121	nmod	_	TokenRange=696:708
125	luiz	luiz	ADJ	ADJ	_	124	appos	_	TokenRange=709:713
126	inacio	_	PROPN	NOUN	_	125	flat	_	TokenRange=714:720
127	lula	_	PROPN	PNOUN	_	125	flat	_	TokenRange=721:725
128-129	da	_	_	_	_	_	_	_	TokenRange=726:728
128	de	de	ADP	ADP	_	130	case	_	_
129	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	130	det	_	_
130	silva	silva	NOUN	NOUN	_	125	nmod	_	TokenRange=729:734
131	que	_	PRON	PRON	_	132	nsubj	_	TokenRange=735:738
132	teve	ter	VERB	VERB	_	111	acl:relcl	_	TokenRange=739:743
133	a	o	DET	DET	_	134	det	_	TokenRange=744:745
134	condenacao	condenacao	NOUN	NOUN	_	132	obj	_	TokenRange=746:756
135	mantida	manter	VERB	VERB	_	134	acl	_	TokenRange=757:764
136-137	pela	_	_	_	_	_	_	_	TokenRange=765:769
136	por	por	ADP	ADP	_	139	case	_	_
137	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	139	det	_	_
138	8	_	NUM	NUM	NumType=Card	139	nummod	_	TokenRange=770:771
139	turma	turma	NOUN	NOUN	_	135	nmod	_	TokenRange=772:777
140-141	do	_	_	_	_	_	_	_	TokenRange=778:780
140	de	de	ADP	ADP	_	142	case	_	_
141	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	142	det	_	_
142	tribunal	tribunal	NOUN	NOUN	_	139	nmod	_	TokenRange=781:789
143	regional	regional	ADJ	ADJ	_	142	amod	_	TokenRange=790:798
144	federal	federal	ADJ	ADJ	_	142	amod	_	TokenRange=799:806
145-146	da	_	_	_	_	_	_	_	TokenRange=807:809
145	de	de	ADP	ADP	_	148	case	_	_
146	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	148	det	_	_
147	4	_	NUM	NUM	NumType=Card	148	nummod	_	TokenRange=810:811
148	regiao	regiao	NOUN	NOUN	_	142	nmod	_	TokenRange=812:818
149	trf4	_	NOUN	NOUN	_	151	nsubj	_	TokenRange=819:823
150	jacques	jacque	NOUN	NOUN	_	149	flat	_	TokenRange=824:831
151	disse	dizer	VERB	VERB	_	46	parataxis	_	TokenRange=832:837
152	que	que	CCONJ	CONJ	_	54	mark	_	TokenRange=838:841
153	a	o	DET	DET	_	154	det	_	TokenRange=842:843
154	questao	questao	NOUN	NOUN	_	156	nsubj	_	TokenRange=844:851
155	nao	nao	ADV	ADV	Polarity=Neg	54	advmod	_	TokenRange=852:855
156	e	e	CCONJ	CONJ	_	151	ccomp	_	TokenRange=856:857
157	so	so	ADV	ADV	_	151	advmod	_	TokenRange=858:860
158-159	do	_	_	_	_	_	_	_	TokenRange=861:863
158	de	de	ADP	ADP	_	160	case	_	_
159	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	160	det	_	_
160	mp	_	NOUN	NOUN	_	157	nmod	_	TokenRange=864:866
161	o	o	DET	DET	_	162	det	_	TokenRange=867:868
162	futuro	futuro	NOUN	NOUN	_	160	appos	_	TokenRange=869:875
163	politico	politico	ADJ	ADJ	_	162	amod	_	SpacesAfter=\s\s|TokenRange=876:884

