# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na expectativa de 2 denuncia temer antecipa volta ao brasil assessoria nega presidente esta em visita oficial a china e deve chegar no dia 5 brasilia na expectativa de enfrentar uma segunda denuncia nos proximos dias o presidente michel temer decidiu antecipar em um dia a volta ao brasil o retorno de temer estava previsto para quartafeira 6 mas ele agora chegara na terca 5 a justificativa oficial e a de que temer quer estar no pais para acompanhar a votacao da proposta de mudanca das metas fiscais deste ano e de 2018 em conversas reservadas no entanto o presidente tem dito que alem de se defender no campo juridico precisa articular forte reacao politica a provavel denuncia temer esta em visita oficial a china e na semana
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
32	expectativa	expectativa	NOUN	NOUN	_	46	nmod	_	TokenRange=153:164
33	de	_	ADP	ADP	_	34	mark	_	TokenRange=165:167
34	enfrentar	enfrentar	VERB	VERB	_	32	nmod	_	TokenRange=168:177
35	uma	um	DET	DET	_	37	det	_	TokenRange=178:181
36	segunda	segundo	ADJ	ADJ	_	37	amod	_	TokenRange=182:189
37	denuncia	denuncia	NOUN	NOUN	_	34	obj	_	TokenRange=190:198
38-39	nos	_	_	_	_	_	_	_	TokenRange=199:202
38	em	em	ADP	ADP	_	41	case	_	_
39	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	41	det	_	_
40	proximos	proximo	ADJ	ADJ	_	41	amod	_	TokenRange=203:211
41	dias	dia	NOUN	NOUN	_	34	nmod	_	TokenRange=212:216
42	o	o	DET	DET	_	43	det	_	TokenRange=217:218
43	presidente	presidente	NOUN	NOUN	_	46	nsubj	_	TokenRange=219:229
44	michel	michel	ADJ	ADJ	_	43	amod	_	TokenRange=230:236
45	temer	temer	NOUN	NOUN	_	43	appos	_	TokenRange=237:242
46	decidiu	decidir	VERB	VERB	_	8	parataxis	_	TokenRange=243:250
47	antecipar	antecipar	VERB	VERB	_	46	xcomp	_	TokenRange=251:260
48	em	em	ADP	ADP	_	50	case	_	TokenRange=261:263
49	um	_	NUM	NUM	NumType=Card	50	nummod	_	TokenRange=264:266
50	dia	dia	NOUN	NOUN	_	47	nmod	_	TokenRange=267:270
51	a	o	DET	DET	_	52	det	_	TokenRange=271:272
52	volta	volta	NOUN	NOUN	_	47	obj	_	TokenRange=273:278
53-54	ao	_	_	_	_	_	_	_	TokenRange=279:281
53	a	a	ADP	ADP	_	55	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	55	det	_	_
55	brasil	brasil	NOUN	NOUN	_	52	nmod	_	TokenRange=282:288
56	o	o	DET	DET	_	57	det	_	TokenRange=289:290
57	retorno	retorno	NOUN	NOUN	_	46	nsubj	_	TokenRange=291:298
58	de	de	ADP	ADP	_	59	case	_	TokenRange=299:301
59	temer	temer	NOUN	NOUN	_	57	nmod	_	TokenRange=302:307
60	estava	estar	VERB	VERB	_	46	ccomp	_	TokenRange=308:314
61	previsto	previsto	ADJ	ADJ	_	60	xcomp	_	TokenRange=315:323
62	para	para	ADP	ADP	_	63	case	_	TokenRange=324:328
63	quartafeira	_	NOUN	NOUN	_	61	nmod	_	TokenRange=329:340
64	6	_	NUM	NUM	NumType=Card	63	appos	_	TokenRange=341:342
65	mas	mas	CCONJ	CONJ	_	68	cc	_	TokenRange=343:346
66	ele	_	PRON	PRON	_	68	nsubj	_	TokenRange=347:350
67	agora	agora	ADV	ADV	_	68	advmod	_	TokenRange=351:356
68	chegara	chegar	VERB	VERB	_	46	conj	_	TokenRange=357:364
69-70	na	_	_	_	_	_	_	_	TokenRange=365:367
69	em	em	ADP	ADP	_	71	case	_	_
70	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	71	det	_	_
71	terca	_	PROPN	PNOUN	_	68	nmod	_	TokenRange=368:373
72	5	_	NUM	NUM	NumType=Card	71	nmod	_	TokenRange=374:375
73	a	o	DET	DET	_	74	det	_	TokenRange=376:377
74	justificativa	_	NOUN	NOUN	_	68	nsubj	_	TokenRange=378:391
75	oficial	oficial	ADJ	ADJ	_	74	amod	_	TokenRange=392:399
76	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=400:401
77	a	_	DET	PRON	_	74	conj	_	TokenRange=402:403
78	de	_	ADP	ADP	_	81	mark	_	TokenRange=404:406
79	que	que	CCONJ	CONJ	_	81	mark	_	TokenRange=407:410
80	temer	temer	NOUN	NOUN	_	81	nsubj	_	TokenRange=411:416
81	quer	querer	VERB	VERB	_	77	nmod	_	TokenRange=417:421
82	estar	estar	VERB	VERB	_	81	xcomp	_	TokenRange=422:427
83-84	no	_	_	_	_	_	_	_	TokenRange=428:430
83	em	em	ADP	ADP	_	85	case	_	_
84	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	85	det	_	_
85	pais	_	NOUN	NOUN	_	82	nmod	_	TokenRange=431:435
86	para	_	ADP	ADP	_	87	mark	_	TokenRange=436:440
87	acompanhar	acompanhar	VERB	VERB	_	81	advcl	_	TokenRange=441:451
88	a	o	DET	DET	_	89	det	_	TokenRange=452:453
89	votacao	votacao	NOUN	NOUN	_	87	obj	_	TokenRange=454:461
90-91	da	_	_	_	_	_	_	_	TokenRange=462:464
90	de	de	ADP	ADP	_	92	case	_	_
91	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	92	det	_	_
92	proposta	_	NOUN	NOUN	_	89	nmod	_	TokenRange=465:473
93	de	de	ADP	ADP	_	94	case	_	TokenRange=474:476
94	mudanca	mudanca	NOUN	NOUN	_	92	nmod	_	TokenRange=477:484
95-96	das	_	_	_	_	_	_	_	TokenRange=485:488
95	de	de	ADP	ADP	_	97	case	_	_
96	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	97	det	_	_
97	metas	meta	NOUN	NOUN	_	94	nmod	_	TokenRange=489:494
98	fiscais	fiscal	ADJ	ADJ	_	97	amod	_	TokenRange=495:502
99	deste	_	ADP	ADP	_	100	case	_	TokenRange=503:508
100	ano	ano	NOUN	NOUN	_	97	nmod	_	TokenRange=509:512
101	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=513:514
102	de	de	ADP	ADP	_	103	case	_	TokenRange=515:517
103	2018	_	NUM	NUM	NumType=Card	100	conj	_	TokenRange=518:522
104	em	em	ADP	ADP	_	105	case	_	TokenRange=523:525
105	conversas	_	NOUN	NOUN	_	94	nmod	_	TokenRange=526:535
106	reservadas	reservado	ADJ	ADJ	_	105	amod	_	TokenRange=536:546
107-108	no	_	_	_	_	_	_	_	TokenRange=547:549
107	em	em	ADP	ADP	_	109	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	109	det	_	_
109	entanto	entanto	ADV	ADV	_	113	nmod	_	TokenRange=550:557
110	o	o	DET	DET	_	111	det	_	TokenRange=558:559
111	presidente	presidente	NOUN	NOUN	_	113	nsubj	_	TokenRange=560:570
112	tem	ter	AUX	AUX	_	113	aux	_	TokenRange=571:574
113	dito	_	VERB	VERB	_	68	conj	_	TokenRange=575:579
114	que	que	CCONJ	CONJ	_	123	mark	_	TokenRange=580:583
115	alem	alem	ADV	ADV	_	123	advmod	_	TokenRange=584:588
116	de	_	ADP	ADP	_	118	mark	_	TokenRange=589:591
117	se	_	PRON	PRON	_	118	obj	_	TokenRange=592:594
118	defender	defender	VERB	VERB	_	115	nmod	_	TokenRange=595:603
119-120	no	_	_	_	_	_	_	_	TokenRange=604:606
119	em	em	ADP	ADP	_	121	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	_
121	campo	campo	NOUN	NOUN	_	118	nmod	_	TokenRange=607:612
122	juridico	juridico	ADJ	ADJ	_	121	amod	_	TokenRange=613:621
123	precisa	precisar	VERB	VERB	_	113	ccomp	_	TokenRange=622:629
124	articular	articular	VERB	VERB	_	123	xcomp	_	TokenRange=630:639
125	forte	forte	ADJ	ADJ	_	126	amod	_	TokenRange=640:645
126	reacao	reacao	NOUN	NOUN	_	124	obj	_	TokenRange=646:652
127	politica	politico	ADJ	ADJ	_	126	amod	_	TokenRange=653:661
128	a	o	DET	DET	_	130	det	_	TokenRange=662:663
129	provavel	provavel	ADJ	ADJ	_	130	amod	_	TokenRange=664:672
130	denuncia	_	NOUN	NOUN	_	132	nsubj	_	TokenRange=673:681
131	temer	temer	NOUN	NOUN	_	130	appos	_	TokenRange=682:687
132	esta	_	VERB	VERB	_	113	ccomp	_	TokenRange=688:692
133	em	em	ADP	ADP	_	134	case	_	TokenRange=693:695
134	visita	visita	NOUN	NOUN	_	132	nmod	_	TokenRange=696:702
135	oficial	oficial	ADJ	ADJ	_	134	amod	_	TokenRange=703:710
136	a	_	ADP	ADP	_	137	case	_	TokenRange=711:712
137	china	china	NOUN	NOUN	_	134	nmod	_	TokenRange=713:718
138	e	e	CCONJ	CONJ	_	141	cc	_	TokenRange=719:720
139-140	na	_	_	_	_	_	_	_	TokenRange=721:723
139	em	em	ADP	ADP	_	141	case	_	_
140	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	141	det	_	_
141	semana	semana	NOUN	NOUN	_	137	conj	_	SpacesAfter=\s\s|TokenRange=724:730

