# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no documento em que pediu a prisao do presidente do senado renan calheiros pmdbal do senador romero juca pmdbrr e de tornozeleira eletronica para o expresidente jose sarney pmdbap em 23 de maio o procuradorgeral da republica rodrigo janot afirmou que o acordao para barrar a operacao lava jato e um dos mais graves atentados ja vistos contra o funcionamento das instituicoes brasileiras o pedido de janot que tem como base a delacao premiada do expresidente da
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	senador	senador	NOUN	NOUN	_	11	nmod	_	TokenRange=85:92
21	romero	romero	NOUN	NOUN	_	20	appos	_	TokenRange=93:99
22	juca	juca	NOUN	NOUN	_	21	flat	_	TokenRange=100:104
23	pmdbrr	_	PROPN	PNOUN	_	21	appos	_	TokenRange=105:111
24	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=112:113
25	de	de	ADP	ADP	_	26	case	_	TokenRange=114:116
26	tornozeleira	_	NOUN	NOUN	_	11	conj	_	TokenRange=117:129
27	eletronica	eletronico	ADJ	ADJ	_	26	amod	_	TokenRange=130:140
28	para	para	ADP	ADP	_	30	case	_	TokenRange=141:145
29	o	o	DET	DET	_	30	det	_	TokenRange=146:147
30	expresidente	expresidente	NOUN	NOUN	_	26	nmod	_	TokenRange=148:160
31	jose	jose	NOUN	NOUN	_	30	appos	_	TokenRange=161:165
32	sarney	_	NOUN	NOUN	_	31	flat	_	TokenRange=166:172
33	pmdbap	_	NOUN	NOUN	_	31	flat	_	TokenRange=173:179
34	em	em	ADP	ADP	_	35	case	_	TokenRange=180:182
35	23	_	NUM	NUM	NumType=Card	45	nmod	_	TokenRange=183:185
36	de	de	ADP	ADP	_	37	case	_	TokenRange=186:188
37	maio	_	PROPN	PNOUN	_	35	nmod	_	TokenRange=189:193
38	o	o	DET	DET	_	39	det	_	TokenRange=194:195
39	procuradorgeral	procuradorgeral	NOUN	NOUN	_	45	nsubj	_	TokenRange=196:211
40-41	da	_	_	_	_	_	_	_	TokenRange=212:214
40	de	de	ADP	ADP	_	42	case	_	_
41	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	42	det	_	_
42	republica	_	NOUN	NOUN	_	39	nmod	_	TokenRange=215:224
43	rodrigo	_	PROPN	PNOUN	_	39	appos	_	TokenRange=225:232
44	janot	_	PROPN	PNOUN	_	43	flat	_	TokenRange=233:238
45	afirmou	afirmar	VERB	VERB	_	0	root	_	TokenRange=239:246
46	que	que	CCONJ	CONJ	_	56	mark	_	TokenRange=247:250
47	o	o	DET	DET	_	48	det	_	TokenRange=251:252
48	acordao	acordao	NOUN	NOUN	_	45	nsubj	_	TokenRange=253:260
49	para	_	ADP	ADP	_	50	mark	_	TokenRange=261:265
50	barrar	barrar	VERB	VERB	_	48	nmod	_	TokenRange=266:272
51	a	o	DET	DET	_	52	det	_	TokenRange=273:274
52	operacao	operacao	NOUN	NOUN	_	50	obj	_	TokenRange=275:283
53	lava	lava	NOUN	NOUN	_	52	appos	_	TokenRange=284:288
54	jato	jato	NOUN	NOUN	_	53	flat	_	TokenRange=289:293
55	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=294:295
56	um	_	PRON	PRON	_	48	conj	_	TokenRange=296:298
57-58	dos	_	_	_	_	_	_	_	TokenRange=299:302
57	de	de	ADP	ADP	_	61	case	_	_
58	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
59	mais	mais	ADV	ADV	_	60	advmod	_	TokenRange=303:307
60	graves	grave	ADJ	ADJ	_	61	amod	_	TokenRange=308:314
61	atentados	atentado	NOUN	NOUN	_	56	nmod	_	TokenRange=315:324
62	ja	ja	ADV	ADV	_	63	advmod	_	TokenRange=325:327
63	vistos	ver	VERB	VERB	_	61	acl	_	TokenRange=328:334
64	contra	_	ADP	ADP	_	66	case	_	TokenRange=335:341
65	o	o	DET	DET	_	66	det	_	TokenRange=342:343
66	funcionamento	funcionamento	NOUN	NOUN	_	63	nmod	_	TokenRange=344:357
67-68	das	_	_	_	_	_	_	_	TokenRange=358:361
67	de	de	ADP	ADP	_	69	case	_	_
68	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	69	det	_	_
69	instituicoes	instituicoe	NOUN	NOUN	_	66	nmod	_	TokenRange=362:374
70	brasileiras	brasileiro	ADJ	ADJ	_	69	amod	_	TokenRange=375:386
71	o	o	DET	DET	_	72	det	_	TokenRange=387:388
72	pedido	pedido	NOUN	NOUN	_	45	nsubj	_	TokenRange=389:395
73	de	de	ADP	ADP	_	74	case	_	TokenRange=396:398
74	janot	_	NOUN	NOUN	_	72	nmod	_	TokenRange=399:404
75	que	_	PRON	PRON	_	76	nsubj	_	TokenRange=405:408
76	tem	ter	VERB	VERB	_	72	acl:relcl	_	TokenRange=409:412
77	como	como	ADP	ADP	_	78	case	_	TokenRange=413:417
78	base	base	NOUN	NOUN	_	76	nmod	_	TokenRange=418:422
79	a	o	DET	DET	_	80	det	_	TokenRange=423:424
80	delacao	delacao	NOUN	NOUN	_	76	obj	_	TokenRange=425:432
81	premiada	premiar	VERB	VERB	_	80	acl	_	TokenRange=433:441
82-83	do	_	_	_	_	_	_	_	TokenRange=442:444
82	de	de	ADP	ADP	_	84	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
84	expresidente	expresidente	NOUN	NOUN	_	80	nmod	_	TokenRange=445:457
85-86	da	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=458:460
85	de	de	ADP	ADP	_	45	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_

