# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao completar quatro anos a forcatarefa da operacao lava jato em curitiba busca se reinventar em 2018 e avanca sobre supostos crimes em negocios do governo federal nas areas de energia e rodovias depois de revelar mais de r 40 bilhoes em desvios na petrobras e conseguir a condenacao do expresidente luiz inacio lula da silva considerado o maior beneficiario da corrupcao sistemica as investigacoes na estatal desaceleraram e caminham para um fim apesar do ainda volumoso numero de processos abertos na justica federal e inqueritos abertos o movimento e criticado por criminalistas que apontam excessos a lava jato nao e uma operacao de investigacao sobre petrobras ela chegou a petrobras assim como chegou a diversos outros esquemas alguns deles como trafico de drogas que foram condenados na 13 vara federal dentro da lava jato argumentou o procurador regional da republica carlos fernando dos santos lima o mais antigo do grupo de 13 membros do mpf enquanto houver reconhecimento da conexao por parte do juizo a investigacao e da lava jato as duas ultimas operacoes de curitiba batizadas de integracao e buona fortuna vao alem dos crimes em contratos na petrobras marca da lava jato originaria deflagrada pela primeira vez em 17 de marco de 2014 a mais recente a 49
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
48	em	em	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	petrobras	petrobra	NOUN	NOUN	_	47	nmod	_	TokenRange=248:257
51	e	e	CCONJ	CONJ	_	52	cc	_	TokenRange=258:259
52	conseguir	conseguir	VERB	VERB	_	40	conj	_	TokenRange=260:269
53	a	o	DET	DET	_	54	det	_	TokenRange=270:271
54	condenacao	condenacao	NOUN	NOUN	_	52	obj	_	TokenRange=272:282
55-56	do	_	_	_	_	_	_	_	TokenRange=283:285
55	de	de	ADP	ADP	_	57	case	_	_
56	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	_
57	expresidente	expresidente	NOUN	NOUN	_	54	nmod	_	TokenRange=286:298
58	luiz	luiz	ADJ	ADJ	_	57	appos	_	TokenRange=299:303
59	inacio	_	NOUN	NOUN	_	57	appos	_	TokenRange=304:310
60	lula	_	NOUN	NOUN	_	58	flat	_	TokenRange=311:315
61-62	da	_	_	_	_	_	_	_	TokenRange=316:318
61	de	de	ADP	ADP	_	63	case	_	_
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
63	silva	silva	NOUN	NOUN	_	58	nmod	_	TokenRange=319:324
64	considerado	considerar	AUX	AUX	_	67	cop	_	TokenRange=325:336
65	o	o	DET	DET	_	67	det	_	TokenRange=337:338
66	maior	maior	ADJ	ADJ	_	67	amod	_	TokenRange=339:344
67	beneficiario	beneficiario	NOUN	NOUN	_	40	acl	_	TokenRange=345:357
68-69	da	_	_	_	_	_	_	_	TokenRange=358:360
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	corrupcao	corrupcao	NOUN	NOUN	_	67	nmod	_	TokenRange=361:370
71	sistemica	sistemico	ADJ	ADJ	_	70	amod	_	TokenRange=371:380
72	as	o	DET	DET	_	73	det	_	TokenRange=381:383
73	investigacoes	investigacoe	NOUN	NOUN	_	77	nsubj	_	TokenRange=384:397
74-75	na	_	_	_	_	_	_	_	TokenRange=398:400
74	em	em	ADP	ADP	_	76	case	_	_
75	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	76	det	_	_
76	estatal	_	NOUN	NOUN	_	73	nmod	_	TokenRange=401:408
77	desaceleraram	desacelerar	VERB	VERB	_	15	conj	_	TokenRange=409:422
78	e	e	CCONJ	CONJ	_	79	cc	_	TokenRange=423:424
79	caminham	caminhar	VERB	VERB	_	77	conj	_	TokenRange=425:433
80	para	para	ADP	ADP	_	82	case	_	TokenRange=434:438
81	um	um	DET	DET	_	82	det	_	TokenRange=439:441
82	fim	fim	NOUN	NOUN	_	79	nmod	_	TokenRange=442:445
83	apesar	apesar	ADV	ADV	_	88	case	_	TokenRange=446:452
84-85	do	_	_	_	_	_	_	_	TokenRange=453:455
84	de	de	ADP	ADP	_	83	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
86	ainda	ainda	ADV	ADV	_	87	advmod	_	TokenRange=456:461
87	volumoso	volumoso	ADJ	ADJ	_	88	amod	_	TokenRange=462:470
88	numero	numero	NOUN	NOUN	_	204	nmod	_	TokenRange=471:477
89	de	de	ADP	ADP	_	90	case	_	TokenRange=478:480
90	processos	processo	NOUN	NOUN	_	88	nmod	_	TokenRange=481:490
91	abertos	abrir	ADJ	ADJ	_	90	acl	_	TokenRange=491:498
92-93	na	_	_	_	_	_	_	_	TokenRange=499:501
92	em	em	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	justica	_	NOUN	NOUN	_	91	nmod	_	TokenRange=502:509
95	federal	federal	ADJ	ADJ	_	94	amod	_	TokenRange=510:517
96	e	e	CCONJ	CONJ	_	97	cc	_	TokenRange=518:519
97	inqueritos	inquerito	NOUN	NOUN	_	88	conj	_	TokenRange=520:530
98	abertos	aberto	ADJ	ADJ	_	97	amod	_	TokenRange=531:538
99	o	o	DET	DET	_	100	det	_	TokenRange=539:540
100	movimento	movimento	NOUN	NOUN	_	204	nsubj	_	TokenRange=541:550
101	e	e	CCONJ	CONJ	_	102	cc	_	TokenRange=551:552
102	criticado	criticar	VERB	VERB	_	77	conj	_	TokenRange=553:562
103	por	por	ADP	ADP	_	104	case	_	TokenRange=563:566
104	criminalistas	_	NOUN	NOUN	_	102	nmod	_	TokenRange=567:580
105	que	_	PRON	PRON	_	106	nsubj	_	TokenRange=581:584
106	apontam	apontar	VERB	VERB	_	104	acl:relcl	_	TokenRange=585:592
107	excessos	excesso	NOUN	NOUN	_	106	obj	_	TokenRange=593:601
108	a	o	DET	DET	_	109	det	_	TokenRange=602:603
109	lava	lava	NOUN	NOUN	_	106	nsubj	_	TokenRange=604:608
110	jato	jato	NOUN	NOUN	_	109	amod	_	TokenRange=609:613
111	nao	nao	ADV	ADV	Polarity=Neg	114	advmod	_	TokenRange=614:617
112	e	e	CCONJ	CONJ	_	114	cc	_	TokenRange=618:619
113	uma	um	DET	DET	_	114	det	_	TokenRange=620:623
114	operacao	operacao	NOUN	NOUN	_	109	conj	_	TokenRange=624:632
115	de	de	ADP	ADP	_	116	case	_	TokenRange=633:635
116	investigacao	investigacao	NOUN	NOUN	_	114	nmod	_	TokenRange=636:648
117	sobre	_	ADP	ADP	_	118	case	_	TokenRange=649:654
118	petrobras	petrobra	NOUN	NOUN	_	114	nmod	_	TokenRange=655:664
119	ela	_	PRON	PRON	_	120	nsubj	_	TokenRange=665:668
120	chegou	chegar	VERB	VERB	_	114	acl:relcl	_	TokenRange=669:675
121	a	_	ADP	ADP	_	122	case	_	TokenRange=676:677
122	petrobras	petrobra	NOUN	NOUN	_	120	nmod	_	TokenRange=678:687
123	assim	assim	ADV	ADV	_	125	mark	_	TokenRange=688:693
124	como	_	CCONJ	CONJ	_	123	fixed	_	TokenRange=694:698
125	chegou	chegar	VERB	VERB	_	220	advcl	_	TokenRange=699:705
126	a	_	ADP	ADP	_	129	case	_	TokenRange=706:707
127	diversos	_	DET	DET	_	129	det	_	TokenRange=708:716
128	outros	_	DET	DET	_	129	det	_	TokenRange=717:723
129	esquemas	esquema	NOUN	NOUN	_	125	nmod	_	TokenRange=724:732
130	alguns	_	PRON	PRON	_	129	appos	_	TokenRange=733:739
131	deles	_	X	ADPPRON	_	130	nmod	_	TokenRange=740:745
132	como	como	ADP	ADP	_	133	case	_	TokenRange=746:750
133	trafico	trafico	NOUN	NOUN	_	130	nmod	_	TokenRange=751:758
134	de	de	ADP	ADP	_	135	case	_	TokenRange=759:761
135	drogas	droga	NOUN	NOUN	_	133	nmod	_	TokenRange=762:768
136	que	_	PRON	PRON	_	138	nsubj:pass	_	TokenRange=769:772
137	foram	_	AUX	AUX	_	138	aux:pass	_	TokenRange=773:778
138	condenados	condenar	VERB	VERB	_	133	acl:relcl	_	TokenRange=779:789
139-140	na	_	_	_	_	_	_	_	TokenRange=790:792
139	em	em	ADP	ADP	_	142	case	_	_
140	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
141	13	_	NUM	NUM	NumType=Card	142	nummod	_	TokenRange=793:795
142	vara	vara	NOUN	NOUN	_	138	nmod	_	TokenRange=796:800
143	federal	federal	ADJ	ADJ	_	142	amod	_	TokenRange=801:808
144	dentro	dentro	ADV	ADV	_	40	advmod	_	TokenRange=809:815
145-146	da	_	_	_	_	_	_	_	TokenRange=816:818
145	de	de	ADP	ADP	_	147	case	_	_
146	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	147	det	_	_
147	lava	lava	NOUN	NOUN	_	144	nmod	_	TokenRange=819:823
148	jato	jato	NOUN	NOUN	_	147	flat	_	TokenRange=824:828
149	argumentou	argumentar	VERB	VERB	_	15	parataxis	_	TokenRange=829:839
150	o	o	DET	DET	_	151	det	_	TokenRange=840:841
151	procurador	procurador	NOUN	NOUN	_	149	nsubj	_	TokenRange=842:852
152	regional	regional	ADJ	ADJ	_	151	amod	_	TokenRange=853:861
153-154	da	_	_	_	_	_	_	_	TokenRange=862:864
153	de	de	ADP	ADP	_	155	case	_	_
154	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	155	det	_	_
155	republica	_	NOUN	NOUN	_	151	nmod	_	TokenRange=865:874
156	carlos	carlo	NOUN	NOUN	_	151	appos	_	TokenRange=875:881
157	fernando	fernando	NOUN	NOUN	_	156	appos	_	TokenRange=882:890
158-159	dos	_	_	_	_	_	_	_	TokenRange=891:894
158	de	de	ADP	ADP	_	160	case	_	_
159	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	160	det	_	_
160	santos	santo	NOUN	NOUN	_	157	nmod	_	TokenRange=895:901
161	lima	lima	ADJ	ADJ	_	160	amod	_	TokenRange=902:906
162	o	o	DET	DET	_	164	det	_	TokenRange=907:908
163	mais	mais	ADV	ADV	_	164	advmod	_	TokenRange=909:913
164	antigo	antigo	ADJ	ADJ	_	149	xcomp	_	TokenRange=914:920
165-166	do	_	_	_	_	_	_	_	TokenRange=921:923
165	de	de	ADP	ADP	_	167	case	_	_
166	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	167	det	_	_
167	grupo	grupo	NOUN	NOUN	_	164	nmod	_	TokenRange=924:929
168	de	de	ADP	ADP	_	170	case	_	TokenRange=930:932
169	13	_	NUM	NUM	NumType=Card	170	nummod	_	TokenRange=933:935
170	membros	membro	NOUN	NOUN	_	167	nmod	_	TokenRange=936:943
171-172	do	_	_	_	_	_	_	_	TokenRange=944:946
171	de	de	ADP	ADP	_	173	case	_	_
172	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	_
173	mpf	_	NOUN	NOUN	_	170	nmod	_	TokenRange=947:950
174	enquanto	_	CCONJ	CONJ	_	175	mark	_	TokenRange=951:959
175	houver	haver	VERB	VERB	_	77	advcl	_	TokenRange=960:966
176	reconhecimento	reconhecimento	NOUN	NOUN	_	175	obj	_	TokenRange=967:981
177-178	da	_	_	_	_	_	_	_	TokenRange=982:984
177	de	de	ADP	ADP	_	179	case	_	_
178	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	179	det	_	_
179	conexao	conexao	NOUN	NOUN	_	176	nmod	_	TokenRange=985:992
180	por	por	ADP	ADP	_	181	case	_	TokenRange=993:996
181	parte	parte	NOUN	NOUN	_	179	nmod	_	TokenRange=997:1002
182-183	do	_	_	_	_	_	_	_	TokenRange=1003:1005
182	de	de	ADP	ADP	_	184	case	_	_
183	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	184	det	_	_
184	juizo	juizo	NOUN	NOUN	_	181	nmod	_	TokenRange=1006:1011
185	a	o	DET	DET	_	186	det	_	TokenRange=1012:1013
186	investigacao	investigacao	NOUN	NOUN	_	175	nsubj	_	TokenRange=1014:1026
187	e	e	CCONJ	CONJ	_	190	cc	_	TokenRange=1027:1028
188-189	da	_	_	_	_	_	_	_	TokenRange=1029:1031
188	de	de	ADP	ADP	_	190	case	_	_
189	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	190	det	_	_
190	lava	lava	NOUN	NOUN	_	186	conj	_	TokenRange=1032:1036
191	jato	jato	NOUN	NOUN	_	190	flat	_	TokenRange=1037:1041
192	as	o	DET	DET	_	195	det	_	TokenRange=1042:1044
193	duas	_	NUM	NUM	NumType=Card	195	nummod	_	TokenRange=1045:1049
194	ultimas	ultimo	ADJ	ADJ	_	195	amod	_	TokenRange=1050:1057
195	operacoes	operacoe	NOUN	NOUN	_	204	nsubj	_	TokenRange=1058:1067
196	de	de	ADP	ADP	_	197	case	_	TokenRange=1068:1070
197	curitiba	curitiba	NOUN	NOUN	_	195	nmod	_	TokenRange=1071:1079
198	batizadas	batizar	VERB	VERB	_	195	acl	_	TokenRange=1080:1089
199	de	de	ADP	ADP	_	200	case	_	TokenRange=1090:1092
200	integracao	_	NOUN	NOUN	_	198	nmod	_	TokenRange=1093:1103
201	e	e	CCONJ	CONJ	_	203	cc	_	TokenRange=1104:1105
202	buona	buono	ADJ	ADJ	_	203	amod	_	TokenRange=1106:1111
203	fortuna	fortuna	NOUN	NOUN	_	200	conj	_	TokenRange=1112:1119
204	vao	ir	VERB	VERB	_	77	conj	_	TokenRange=1120:1123
205	alem	alem	ADV	ADV	_	204	advmod	_	TokenRange=1124:1128
206-207	dos	_	_	_	_	_	_	_	TokenRange=1129:1132
206	de	de	ADP	ADP	_	208	case	_	_
207	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	208	det	_	_
208	crimes	crime	NOUN	NOUN	_	205	nmod	_	TokenRange=1133:1139
209	em	em	ADP	ADP	_	210	case	_	TokenRange=1140:1142
210	contratos	contrato	NOUN	NOUN	_	208	nmod	_	TokenRange=1143:1152
211-212	na	_	_	_	_	_	_	_	TokenRange=1153:1155
211	em	em	ADP	ADP	_	213	case	_	_
212	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	213	det	_	_
213	petrobras	petrobra	NOUN	NOUN	_	208	nmod	_	TokenRange=1156:1165
214	marca	marca	NOUN	NOUN	_	204	nsubj	_	TokenRange=1166:1171
215-216	da	_	_	_	_	_	_	_	TokenRange=1172:1174
215	de	de	ADP	ADP	_	217	case	_	_
216	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	217	det	_	_
217	lava	lava	NOUN	NOUN	_	214	nmod	_	TokenRange=1175:1179
218	jato	jato	NOUN	NOUN	_	217	flat	_	TokenRange=1180:1184
219	originaria	originar	VERB	VERB	_	214	appos	_	TokenRange=1185:1195
220	deflagrada	deflagrar	VERB	VERB	_	214	acl	_	TokenRange=1196:1206
221-222	pela	_	_	_	_	_	_	_	TokenRange=1207:1211
221	por	por	ADP	ADP	_	224	case	_	_
222	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	224	det	_	_
223	primeira	primeiro	ADJ	ADJ	_	224	amod	_	TokenRange=1212:1220
224	vez	vez	NOUN	NOUN	_	220	nmod	_	TokenRange=1221:1224
225	em	em	ADP	ADP	_	226	case	_	TokenRange=1225:1227
226	17	_	NUM	NUM	NumType=Card	220	nmod	_	TokenRange=1228:1230
227	de	de	ADP	ADP	_	228	case	_	TokenRange=1231:1233
228	marco	_	PROPN	PNOUN	_	226	nmod	_	TokenRange=1234:1239
229	de	de	ADP	ADP	_	230	case	_	TokenRange=1240:1242
230	2014	_	NUM	NUM	NumType=Card	228	nmod	_	TokenRange=1243:1247
231	a	o	DET	DET	_	233	det	_	TokenRange=1248:1249
232	mais	mais	ADV	ADV	_	233	advmod	_	TokenRange=1250:1254
233	recente	recente	ADJ	ADJ	_	220	xcomp	_	TokenRange=1255:1262
234	a	_	ADP	ADP	_	235	case	_	TokenRange=1263:1264
235	49	_	NUM	NUM	NumType=Card	233	nmod	_	SpacesAfter=\s\s|TokenRange=1265:1267

