# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perdi hoje um parceiro de uma vida diz dilma em texto sobre a morte do exmarido postagem foi feita em seu blog no dia seguinte a morte de carlos araujo em porto alegre os dois foram casados por mais de 20 anos e tiveram uma filha juntos a expresidente dilma rousseff postou em seu blog na manha deste domingo 13 um texto em homenagem ao exmarido carlos araujo que morreu na madrugada de sabado 12 em porto alegre em virtude de complicacoes de doenca pulmonar cronica intitulado a perda de um companheiro o texto chama araujo com quem dilma foi casada por mais de 20 anos de um bravo
1	perdi	perder	VERB	VERB	_	8	csubj	_	TokenRange=0:5
82	porto	_	PROPN	PNOUN	_	74	nmod	_	TokenRange=400:405
83	alegre	alegre	ADJ	ADJ	_	82	amod	_	TokenRange=406:412
84	em	em	ADP	ADP	_	87	case	_	TokenRange=413:415
85	virtude	virtude	NOUN	NOUN	_	84	fixed	_	TokenRange=416:423
86	de	_	ADP	ADP	_	84	fixed	_	TokenRange=424:426
87	complicacoes	complicacoe	NOUN	NOUN	_	74	nmod	_	TokenRange=427:439
88	de	de	ADP	ADP	_	89	case	_	TokenRange=440:442
89	doenca	doenca	NOUN	NOUN	_	87	nmod	_	TokenRange=443:449
90	pulmonar	pulmonar	ADJ	ADJ	_	89	amod	_	TokenRange=450:458
91	cronica	cronico	ADJ	ADJ	_	89	amod	_	TokenRange=459:466
92	intitulado	intitular	VERB	VERB	_	87	acl	_	TokenRange=467:477
93	a	o	DET	DET	_	94	det	_	TokenRange=478:479
94	perda	perda	NOUN	NOUN	_	92	obj	_	TokenRange=480:485
95	de	de	ADP	ADP	_	97	case	_	TokenRange=486:488
96	um	um	DET	DET	_	97	det	_	TokenRange=489:491
97	companheiro	companheiro	NOUN	NOUN	_	94	nmod	_	TokenRange=492:503
98	o	o	DET	DET	_	99	det	_	TokenRange=504:505
99	texto	texto	NOUN	NOUN	_	100	nsubj	_	TokenRange=506:511
100	chama	chamar	VERB	VERB	_	54	parataxis	_	TokenRange=512:517
101	araujo	araujo	NOUN	NOUN	_	100	obj	_	TokenRange=518:524
102	com	com	ADP	ADP	_	103	case	_	TokenRange=525:528
103	quem	_	PRON	PRON	_	105	nmod	_	TokenRange=529:533
104	dilma	_	NOUN	NOUN	_	105	nsubj	_	TokenRange=534:539
105	foi	_	VERB	VERB	_	101	acl:relcl	_	TokenRange=540:543
106	casada	casado	ADJ	ADJ	_	105	xcomp	_	TokenRange=544:550
107	por	por	ADP	ADP	_	111	case	_	TokenRange=551:554
108	mais	mais	ADV	ADV	_	110	advmod	_	TokenRange=555:559
109	de	de	ADP	ADP	_	108	case	_	TokenRange=560:562
110	20	_	NUM	NUM	NumType=Card	111	nummod	_	TokenRange=563:565
111	anos	ano	NOUN	NOUN	_	106	nmod	_	TokenRange=566:570
112	de	de	ADP	ADP	_	114	case	_	TokenRange=571:573
113	um	um	DET	DET	_	114	det	_	TokenRange=574:576
114	bravo	bravo	NOUN	NOUN	_	111	nmod	_	SpacesAfter=\s\s|TokenRange=577:582

