# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = grupo faz manifestacao em uberlandia pela absolvicao do expresidente lula ato ocorre simultaneamente ao julgamento do recurso do petista no trf4 movimento comecou em frente ao predio da justica federal integrantes de movimentos sociais manifestaram em uberlandia nesta quartafeira 24 pela absolvicao do petista luiz inacio lula da silva pt a acao comecou em frente ao predio da justica federal no inicio da manha simultaneamente ao julgamento do recurso do expresidente luiz inacio lula da silva pt no tribunal regional federal da 4 regiao trf4 a policia militar acompanhou o protesto e contabilizou pelo menos 70 pessoas ja a organizacao do
1	grupo	grupo	NOUN	NOUN	_	2	nsubj	_	TokenRange=0:5
29	comecou	comecar	VERB	VERB	_	2	parataxis	_	TokenRange=155:162
30	em	em	ADP	ADP	_	31	case	_	TokenRange=163:165
31	frente	frente	NOUN	NOUN	_	29	nmod	_	TokenRange=166:172
32-33	ao	_	_	_	_	_	_	_	TokenRange=173:175
32	a	a	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	predio	predio	NOUN	NOUN	_	31	nmod	_	TokenRange=176:182
35-36	da	_	_	_	_	_	_	_	TokenRange=183:185
35	de	de	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	justica	_	NOUN	NOUN	_	34	nmod	_	TokenRange=186:193
38	federal	federal	ADJ	ADJ	_	37	amod	_	TokenRange=194:201
39	integrantes	_	NOUN	NOUN	_	43	nsubj	_	TokenRange=202:213
40	de	de	ADP	ADP	_	41	case	_	TokenRange=214:216
41	movimentos	movimento	NOUN	NOUN	_	39	nmod	_	TokenRange=217:227
42	sociais	social	ADJ	ADJ	_	41	amod	_	TokenRange=228:235
43	manifestaram	manifestar	VERB	VERB	_	2	parataxis	_	TokenRange=236:248
44	em	em	ADP	ADP	_	45	case	_	TokenRange=249:251
45	uberlandia	uberlandia	NOUN	NOUN	_	43	nmod	_	TokenRange=252:262
46	nesta	_	ADP	ADP	_	47	case	_	TokenRange=263:268
47	quartafeira	quartafeira	NOUN	NOUN	_	43	nmod	_	TokenRange=269:280
48	24	_	NUM	NUM	NumType=Card	47	nmod	_	TokenRange=281:283
49-50	pela	_	_	_	_	_	_	_	TokenRange=284:288
49	por	por	ADP	ADP	_	51	case	_	_
50	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	51	det	_	_
51	absolvicao	absolvicao	NOUN	NOUN	_	43	nmod	_	TokenRange=289:299
52-53	do	_	_	_	_	_	_	_	TokenRange=300:302
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	petista	petista	NOUN	NOUN	_	51	nmod	_	TokenRange=303:310
55	luiz	luiz	NOUN	NOUN	_	54	appos	_	TokenRange=311:315
56	inacio	_	NOUN	NOUN	_	55	flat	_	TokenRange=316:322
57	lula	_	PROPN	PNOUN	_	55	flat	_	TokenRange=323:327
58-59	da	_	_	_	_	_	_	_	TokenRange=328:330
58	de	de	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	silva	silva	NOUN	NOUN	_	55	nmod	_	TokenRange=331:336
61	pt	_	NOUN	NOUN	_	64	obj	_	TokenRange=337:339
62	a	o	DET	DET	_	63	det	_	TokenRange=340:341
63	acao	acao	NOUN	NOUN	_	64	nsubj	_	TokenRange=342:346
64	comecou	comecar	VERB	VERB	_	43	conj	_	TokenRange=347:354
65	em	em	ADP	ADP	_	66	case	_	TokenRange=355:357
66	frente	frente	NOUN	NOUN	_	64	nmod	_	TokenRange=358:364
67-68	ao	_	_	_	_	_	_	_	TokenRange=365:367
67	a	a	ADP	ADP	_	69	case	_	_
68	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	69	det	_	_
69	predio	predio	NOUN	NOUN	_	66	nmod	_	TokenRange=368:374
70-71	da	_	_	_	_	_	_	_	TokenRange=375:377
70	de	de	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	justica	_	NOUN	NOUN	_	69	nmod	_	TokenRange=378:385
73	federal	federal	ADJ	ADJ	_	72	amod	_	TokenRange=386:393
74-75	no	_	_	_	_	_	_	_	TokenRange=394:396
74	em	em	ADP	ADP	_	76	case	_	_
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	76	det	_	_
76	inicio	inicio	NOUN	NOUN	_	64	nmod	_	TokenRange=397:403
77-78	da	_	_	_	_	_	_	_	TokenRange=404:406
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	manha	manha	NOUN	NOUN	_	76	nmod	_	TokenRange=407:412
80	simultaneamente	simultaneamente	ADV	ADV	_	64	advmod	_	TokenRange=413:428
81-82	ao	_	_	_	_	_	_	_	TokenRange=429:431
81	a	a	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	julgamento	julgamento	NOUN	NOUN	_	80	nmod	_	TokenRange=432:442
84-85	do	_	_	_	_	_	_	_	TokenRange=443:445
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	recurso	recurso	NOUN	NOUN	_	83	nmod	_	TokenRange=446:453
87-88	do	_	_	_	_	_	_	_	TokenRange=454:456
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	expresidente	expresidente	NOUN	NOUN	_	86	nmod	_	TokenRange=457:469
90	luiz	luiz	ADJ	ADJ	_	89	appos	_	TokenRange=470:474
91	inacio	_	NOUN	NOUN	_	90	flat	_	TokenRange=475:481
92	lula	_	PROPN	PNOUN	_	90	flat	_	TokenRange=482:486
93-94	da	_	_	_	_	_	_	_	TokenRange=487:489
93	de	de	ADP	ADP	_	95	case	_	_
94	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
95	silva	silva	NOUN	NOUN	_	90	nmod	_	TokenRange=490:495
96	pt	_	PROPN	PNOUN	_	95	appos	_	TokenRange=496:498
97-98	no	_	_	_	_	_	_	_	TokenRange=499:501
97	em	em	ADP	ADP	_	99	case	_	_
98	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
99	tribunal	tribunal	NOUN	NOUN	_	86	nmod	_	TokenRange=502:510
100	regional	regional	ADJ	ADJ	_	99	amod	_	TokenRange=511:519
101	federal	federal	ADJ	ADJ	_	99	amod	_	TokenRange=520:527
102-103	da	_	_	_	_	_	_	_	TokenRange=528:530
102	de	de	ADP	ADP	_	105	case	_	_
103	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
104	4	_	NUM	NUM	NumType=Card	105	nummod	_	TokenRange=531:532
105	regiao	regiao	NOUN	NOUN	_	99	nmod	_	TokenRange=533:539
106	trf4	_	PROPN	PNOUN	_	105	appos	_	TokenRange=540:544
107	a	o	DET	DET	_	108	det	_	TokenRange=545:546
108	policia	policia	NOUN	NOUN	_	110	nsubj	_	TokenRange=547:554
109	militar	militar	ADJ	ADJ	_	108	amod	_	TokenRange=555:562
110	acompanhou	acompanhar	VERB	VERB	_	2	parataxis	_	TokenRange=563:573
111	o	o	DET	DET	_	112	det	_	TokenRange=574:575
112	protesto	protesto	NOUN	NOUN	_	110	obj	_	TokenRange=576:584
113	e	e	CCONJ	CONJ	_	114	cc	_	TokenRange=585:586
114	contabilizou	contabilizar	VERB	VERB	_	110	conj	_	TokenRange=587:599
115-116	pelo	_	_	_	_	_	_	_	TokenRange=600:604
115	por	por	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	menos	menos	ADV	ADV	_	118	advmod	_	TokenRange=605:610
118	70	_	NUM	NUM	NumType=Card	119	nummod	_	TokenRange=611:613
119	pessoas	pessoa	NOUN	NOUN	_	114	obj	_	TokenRange=614:621
120	ja	ja	ADV	ADV	_	122	advmod	_	TokenRange=622:624
121	a	o	DET	DET	_	122	det	_	TokenRange=625:626
122	organizacao	organizacao	NOUN	NOUN	_	114	obj	_	TokenRange=627:638
123-124	do	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=639:641
123	de	de	ADP	ADP	_	117	case	_	_
124	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_

