# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lenha pra fogueira inimiga ao pedir tropas para proteger porto alegre no dia do julgamento de lula prefeito faz jogo do reu o pedido do prefeito de porto alegre nelson marchezan jr do psdb para o governo federal enviar tropas do exercito e homens da forca nacional para a cidade no dia do julgamento de lula e extemporaneo e fora de proposito so serve para por mais lenha na fogueira que o pt pretende armar nas ruas e parte do pressuposto de que ha clima para isso as mobilizacoes recentes tentando mostrar que o pt podera por fogo no pais se a condenacao de lula for
1	lenha	lenha	NOUN	NOUN	_	0	root	_	TokenRange=0:5
26	reu	reu	NOUN	NOUN	_	23	nmod	_	TokenRange=120:123
27	o	o	DET	DET	_	28	det	_	TokenRange=124:125
28	pedido	pedido	NOUN	NOUN	_	22	obj	_	TokenRange=126:132
29-30	do	_	_	_	_	_	_	_	TokenRange=133:135
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	prefeito	prefeito	NOUN	NOUN	_	28	nmod	_	TokenRange=136:144
32	de	de	ADP	ADP	_	33	case	_	TokenRange=145:147
33	porto	_	NOUN	NOUN	_	31	nmod	_	TokenRange=148:153
34	alegre	alegre	ADJ	ADJ	_	33	amod	_	TokenRange=154:160
35	nelson	nelson	NOUN	NOUN	_	31	appos	_	TokenRange=161:167
36	marchezan	marchezan	NOUN	NOUN	_	35	appos	_	TokenRange=168:177
37	jr	jr	NOUN	NOUN	_	36	flat	_	TokenRange=178:180
38-39	do	_	_	_	_	_	_	_	TokenRange=181:183
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	psdb	_	PROPN	PNOUN	_	35	nmod	_	TokenRange=184:188
41	para	para	ADP	ADP	_	43	case	_	TokenRange=189:193
42	o	o	DET	DET	_	43	det	_	TokenRange=194:195
43	governo	governo	NOUN	NOUN	_	45	nmod	_	TokenRange=196:203
44	federal	federal	ADJ	ADJ	_	43	amod	_	TokenRange=204:211
45	enviar	enviar	VERB	VERB	_	28	nmod	_	TokenRange=212:218
46	tropas	tropa	NOUN	NOUN	_	45	obj	_	TokenRange=219:225
47-48	do	_	_	_	_	_	_	_	TokenRange=226:228
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	exercito	exercito	NOUN	NOUN	_	46	nmod	_	TokenRange=229:237
50	e	e	CCONJ	CONJ	_	51	cc	_	TokenRange=238:239
51	homens	homem	NOUN	NOUN	_	49	conj	_	TokenRange=240:246
52-53	da	_	_	_	_	_	_	_	TokenRange=247:249
52	de	de	ADP	ADP	_	54	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	54	det	_	_
54	forca	forca	NOUN	NOUN	_	49	nmod	_	TokenRange=250:255
55	nacional	nacional	ADJ	ADJ	_	54	amod	_	TokenRange=256:264
56	para	para	ADP	ADP	_	58	case	_	TokenRange=265:269
57	a	o	DET	DET	_	58	det	_	TokenRange=270:271
58	cidade	cidade	NOUN	NOUN	_	45	nmod	_	TokenRange=272:278
59-60	no	_	_	_	_	_	_	_	TokenRange=279:281
59	em	em	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	dia	dia	NOUN	NOUN	_	45	nmod	_	TokenRange=282:285
62-63	do	_	_	_	_	_	_	_	TokenRange=286:288
62	de	de	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	julgamento	julgamento	NOUN	NOUN	_	61	nmod	_	TokenRange=289:299
65	de	de	ADP	ADP	_	66	case	_	TokenRange=300:302
66	lula	lula	NOUN	NOUN	_	64	nmod	_	TokenRange=303:307
67	e	e	CCONJ	CONJ	_	68	cc	_	TokenRange=308:309
68	extemporaneo	extemporaneo	ADJ	ADJ	_	45	conj	_	TokenRange=310:322
69	e	e	CCONJ	CONJ	_	74	cc	_	TokenRange=323:324
70	fora	fora	ADV	ADV	_	74	advmod	_	TokenRange=325:329
71	de	de	ADP	ADP	_	72	case	_	TokenRange=330:332
72	proposito	proposito	NOUN	NOUN	_	70	nmod	_	TokenRange=333:342
73	so	so	ADV	ADV	_	74	advmod	_	TokenRange=343:345
74	serve	servir	VERB	VERB	_	22	conj	_	TokenRange=346:351
75	para	_	ADP	ADP	_	78	case	_	TokenRange=352:356
76	por	por	ADP	ADP	_	78	case	_	TokenRange=357:360
77	mais	_	DET	DET	_	78	det	_	TokenRange=361:365
78	lenha	lenha	NOUN	NOUN	_	74	nmod	_	TokenRange=366:371
79-80	na	_	_	_	_	_	_	_	TokenRange=372:374
79	em	em	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	fogueira	fogueira	NOUN	NOUN	_	78	nmod	_	TokenRange=375:383
82	que	_	PRON	PRON	_	85	obj	_	TokenRange=384:387
83	o	o	DET	DET	_	84	det	_	TokenRange=388:389
84	pt	_	NOUN	NOUN	_	85	nsubj	_	TokenRange=390:392
85	pretende	pretender	VERB	VERB	_	78	acl:relcl	_	TokenRange=393:401
86	armar	armar	VERB	VERB	_	85	xcomp	_	TokenRange=402:407
87-88	nas	_	_	_	_	_	_	_	TokenRange=408:411
87	em	em	ADP	ADP	_	89	case	_	_
88	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	89	det	_	_
89	ruas	rua	NOUN	NOUN	_	86	nmod	_	TokenRange=412:416
90	e	e	CCONJ	CONJ	_	91	cc	_	TokenRange=417:418
91	parte	parte	NOUN	NOUN	_	74	conj	_	TokenRange=419:424
92-93	do	_	_	_	_	_	_	_	TokenRange=425:427
92	de	de	ADP	ADP	_	94	case	_	_
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	_
94	pressuposto	pressuposto	NOUN	NOUN	_	91	nmod	_	TokenRange=428:439
95	de	_	ADP	ADP	_	97	mark	_	TokenRange=440:442
96	que	que	CCONJ	CONJ	_	97	mark	_	TokenRange=443:446
97	ha	har	VERB	VERB	_	94	nmod	_	TokenRange=447:449
98	clima	clima	NOUN	NOUN	_	97	obj	_	TokenRange=450:455
99	para	para	ADP	ADP	_	100	case	_	TokenRange=456:460
100	isso	_	PRON	PRON	_	98	nmod	_	TokenRange=461:465
101	as	o	DET	DET	_	102	det	_	TokenRange=466:468
102	mobilizacoes	_	NOUN	NOUN	_	97	nsubj	_	TokenRange=469:481
103	recentes	recente	ADJ	ADJ	_	102	amod	_	TokenRange=482:490
104	tentando	tentar	VERB	VERB	_	102	acl	_	TokenRange=491:499
105	mostrar	mostrar	VERB	VERB	_	104	xcomp	_	TokenRange=500:507
106	que	que	CCONJ	CONJ	_	109	mark	_	TokenRange=508:511
107	o	o	DET	DET	_	108	det	_	TokenRange=512:513
108	pt	pt	NOUN	NOUN	_	109	nsubj	_	TokenRange=514:516
109	podera	_	VERB	VERB	_	105	ccomp	_	TokenRange=517:523
110	por	por	ADP	ADP	_	111	case	_	TokenRange=524:527
111	fogo	fogo	NOUN	NOUN	_	109	nmod	_	TokenRange=528:532
112-113	no	_	_	_	_	_	_	_	TokenRange=533:535
112	em	em	ADP	ADP	_	114	case	_	_
113	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	114	det	_	_
114	pais	_	NOUN	NOUN	_	109	nmod	_	TokenRange=536:540
115	se	_	CCONJ	CONJ	_	120	mark	_	TokenRange=541:543
116	a	o	DET	DET	_	117	det	_	TokenRange=544:545
117	condenacao	condenacao	NOUN	NOUN	_	120	nsubj	_	TokenRange=546:556
118	de	de	ADP	ADP	_	119	case	_	TokenRange=557:559
119	lula	lula	NOUN	NOUN	_	117	nmod	_	TokenRange=560:564
120	for	_	VERB	VERB	_	105	ccomp	_	SpacesAfter=\s\s|TokenRange=565:568

