# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como politicos reagiram a indicacao de alexandre de moraes para o stf moraes foi oficialmente indicado pelo presidente michel temer nesta segunda 6 para ser nomeado ele tera de ser aprovado em sabatinas na comissao de constituicao e justica e no plenario do senado leia abaixo as opinioes de politicos governistas e de oposicao em ordem alfabetica sobre a indicacao do ministro da justica alexandre de moraes para uma vaga de ministro do supremo tribunal federal para ser nomeado moraes tera de
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
49	senado	senado	NOUN	NOUN	_	46	nmod	_	TokenRange=264:270
50	leia	ler	VERB	VERB	_	33	conj	_	TokenRange=271:275
51	abaixo	abaixo	ADV	ADV	_	50	advmod	_	TokenRange=276:282
52	as	o	DET	DET	_	53	det	_	TokenRange=283:285
53	opinioes	opinioe	NOUN	NOUN	_	50	obj	_	TokenRange=286:294
54	de	de	ADP	ADP	_	55	case	_	TokenRange=295:297
55	politicos	politico	NOUN	NOUN	_	53	nmod	_	TokenRange=298:307
56	governistas	governista	ADJ	ADJ	_	55	amod	_	TokenRange=308:319
57	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=320:321
58	de	de	ADP	ADP	_	59	case	_	TokenRange=322:324
59	oposicao	_	NOUN	NOUN	_	55	conj	_	TokenRange=325:333
60	em	em	ADP	ADP	_	61	case	_	TokenRange=334:336
61	ordem	ordem	NOUN	NOUN	_	50	nmod	_	TokenRange=337:342
62	alfabetica	alfabetico	ADJ	ADJ	_	61	amod	_	TokenRange=343:353
63	sobre	_	ADP	ADP	_	65	case	_	TokenRange=354:359
64	a	o	DET	DET	_	65	det	_	TokenRange=360:361
65	indicacao	indicacao	NOUN	NOUN	_	53	nmod	_	TokenRange=362:371
66-67	do	_	_	_	_	_	_	_	TokenRange=372:374
66	de	de	ADP	ADP	_	68	case	_	_
67	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	68	det	_	_
68	ministro	ministro	NOUN	NOUN	_	65	nmod	_	TokenRange=375:383
69-70	da	_	_	_	_	_	_	_	TokenRange=384:386
69	de	de	ADP	ADP	_	71	case	_	_
70	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	71	det	_	_
71	justica	_	NOUN	NOUN	_	68	nmod	_	TokenRange=387:394
72	alexandre	alexandre	NOUN	NOUN	_	68	appos	_	TokenRange=395:404
73	de	de	ADP	ADP	_	74	case	_	TokenRange=405:407
74	moraes	morae	NOUN	NOUN	_	72	nmod	_	TokenRange=408:414
75	para	para	ADP	ADP	_	77	case	_	TokenRange=415:419
76	uma	um	DET	DET	_	77	det	_	TokenRange=420:423
77	vaga	vaga	NOUN	NOUN	_	65	nmod	_	TokenRange=424:428
78	de	de	ADP	ADP	_	79	case	_	TokenRange=429:431
79	ministro	ministro	NOUN	NOUN	_	77	nmod	_	TokenRange=432:440
80-81	do	_	_	_	_	_	_	_	TokenRange=441:443
80	de	de	ADP	ADP	_	83	case	_	_
81	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
82	supremo	supremo	ADJ	ADJ	_	83	amod	_	TokenRange=444:451
83	tribunal	tribunal	NOUN	NOUN	_	79	nmod	_	TokenRange=452:460
84	federal	federal	ADJ	ADJ	_	83	amod	_	TokenRange=461:468
85	para	_	ADP	ADP	_	87	mark	_	TokenRange=469:473
86	ser	ser	AUX	AUX	_	87	aux:pass	_	TokenRange=474:477
87	nomeado	nomear	VERB	VERB	_	79	nmod	_	TokenRange=478:485
88	moraes	_	NOUN	NOUN	_	87	nsubj:pass	_	TokenRange=486:492
89	tera	terar	VERB	AUX	_	50	aux	_	TokenRange=493:497
90	de	_	ADP	ADP	_	89	mark	_	SpacesAfter=\s\s|TokenRange=498:500

