# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = gosto quando dizem que sou caso de marketing 20 minutos na presenca de anitta tida como rainha do pop brasileiro e de olho no mercado internacional cantora que e tambem sua propria empresaria recebe bbc brasil em seu camarim nao sou escrava de nada nem da beleza nem de sucesso faco o que me da na telha o celular vibrava sem parar o secador chiava e ela estava cercada por pessoas cuidando do cabelo e da maquiagem tanto que nao houve qualquer contato visual entre entrevistadora e entrevistada ora porque os olhos dela estavam fechados para serem maquiados ora porque entre ambas havia o maquiador e o
1	gosto	gostar	VERB	VERB	_	0	root	_	TokenRange=0:5
83	de	de	ADP	ADP	_	85	case	_	_
84	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	85	det	_	_
85	maquiagem	maquiagem	NOUN	NOUN	_	81	conj	_	TokenRange=406:415
86	tanto	tanto	ADV	ADV	_	89	mark	_	TokenRange=416:421
87	que	_	CCONJ	CONJ	_	86	fixed	_	TokenRange=422:425
88	nao	nao	ADV	ADV	Polarity=Neg	89	advmod	_	TokenRange=426:429
89	houve	haver	VERB	VERB	_	71	advcl	_	TokenRange=430:435
90	qualquer	_	DET	DET	_	91	det	_	TokenRange=436:444
91	contato	contato	NOUN	NOUN	_	89	obj	_	TokenRange=445:452
92	visual	visual	ADJ	ADJ	_	91	amod	_	TokenRange=453:459
93	entre	_	ADP	ADP	_	94	case	_	TokenRange=460:465
94	entrevistadora	entrevistador	NOUN	NOUN	_	91	nmod	_	TokenRange=466:480
95	e	e	CCONJ	CONJ	_	96	cc	_	TokenRange=481:482
96	entrevistada	_	NOUN	NOUN	_	94	conj	_	TokenRange=483:495
97	ora	ora	ADV	ADV	_	89	mark	_	TokenRange=496:499
98	porque	_	CCONJ	CONJ	_	102	mark	_	TokenRange=500:506
99	os	o	DET	DET	_	100	det	_	TokenRange=507:509
100	olhos	olho	NOUN	NOUN	_	102	nsubj	_	TokenRange=510:515
101	dela	_	X	ADPPRON	_	100	det:poss	_	TokenRange=516:520
102	estavam	estar	VERB	VERB	_	89	advcl	_	TokenRange=521:528
103	fechados	fechado	ADJ	ADJ	_	102	xcomp	_	TokenRange=529:537
104	para	_	ADP	ADP	_	106	mark	_	TokenRange=538:542
105	serem	ser	AUX	AUX	_	106	aux:pass	_	TokenRange=543:548
106	maquiados	maquiar	VERB	VERB	_	103	nmod	_	TokenRange=549:558
107	ora	ora	ADV	ADV	_	111	advmod	_	TokenRange=559:562
108	porque	_	CCONJ	CONJ	_	111	mark	_	TokenRange=563:569
109	entre	_	ADP	ADP	_	110	case	_	TokenRange=570:575
110	ambas	_	PRON	PRON	_	111	nmod	_	TokenRange=576:581
111	havia	haver	VERB	VERB	_	89	advcl	_	TokenRange=582:587
112	o	o	DET	DET	_	113	det	_	TokenRange=588:589
113	maquiador	maquiador	NOUN	NOUN	_	111	nsubj	_	TokenRange=590:599
114	e	e	CCONJ	CONJ	_	36	cc	_	TokenRange=600:601
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	85	det	_	SpacesAfter=\s\s|TokenRange=602:603

