# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = preso pela lava jato bendine diz que encontrou dono da odebrecht em local oculto expresidente da petrobras e dois operadores financeiros foram presos na 42 fase da operacao eles prestaram depoimento a pf nesta segundafeira 31 o expresidente da petrobras e do banco do brasil aldemir bendine que e um dos alvos da 42 fase da lava jato disse em depoimento a policia federal pf que se encontrou com emilio odebrecht dono do grupo odebrecht em um local oculto bendine relatou que se encontrou com andre gustavo outro alvo da 42 etapa da operacao e fernando reis exexecutivo da
1	preso	_	VERB	VERB	_	6	acl	_	TokenRange=0:5
79	encontrou	encontrar	VERB	VERB	_	93	ccomp	_	TokenRange=382:391
80	com	com	ADP	ADP	_	81	case	_	TokenRange=392:395
81	emilio	emilio	NOUN	NOUN	_	79	nmod	_	TokenRange=396:402
82	odebrecht	_	NOUN	NOUN	_	81	flat	_	TokenRange=403:412
83	dono	dono	NOUN	NOUN	_	81	appos	_	TokenRange=413:417
84-85	do	_	_	_	_	_	_	_	TokenRange=418:420
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	grupo	grupo	NOUN	NOUN	_	83	nmod	_	TokenRange=421:426
87	odebrecht	_	PROPN	PNOUN	_	86	appos	_	TokenRange=427:436
88	em	em	ADP	ADP	_	90	case	_	TokenRange=437:439
89	um	um	DET	DET	_	90	det	_	TokenRange=440:442
90	local	local	NOUN	NOUN	_	79	nmod	_	TokenRange=443:448
91	oculto	oculto	ADJ	ADJ	_	90	amod	_	TokenRange=449:455
92	bendine	bendine	NOUN	NOUN	_	93	nsubj	_	TokenRange=456:463
93	relatou	relatar	VERB	VERB	_	70	parataxis	_	TokenRange=464:471
94	que	que	CCONJ	CONJ	_	96	mark	_	TokenRange=472:475
95	se	_	PRON	PRON	_	96	expl:pv	_	TokenRange=476:478
96	encontrou	encontrar	VERB	VERB	_	93	ccomp	_	TokenRange=479:488
97	com	com	ADP	ADP	_	98	case	_	TokenRange=489:492
98	andre	andre	NOUN	NOUN	_	96	nmod	_	TokenRange=493:498
99	gustavo	gustavo	NOUN	NOUN	_	98	flat	_	TokenRange=499:506
100	outro	_	DET	DET	_	101	det	_	TokenRange=507:512
101	alvo	alvo	NOUN	NOUN	_	96	obj	_	TokenRange=513:517
102-103	da	_	_	_	_	_	_	_	TokenRange=518:520
102	de	de	ADP	ADP	_	105	case	_	_
103	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
104	42	_	NUM	NUM	NumType=Card	105	nummod	_	TokenRange=521:523
105	etapa	etapa	NOUN	NOUN	_	101	nmod	_	TokenRange=524:529
106-107	da	_	_	_	_	_	_	_	TokenRange=530:532
106	de	de	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	operacao	operacao	NOUN	NOUN	_	105	nmod	_	TokenRange=533:541
109	e	e	CCONJ	CONJ	_	110	cc	_	TokenRange=542:543
110	fernando	fernando	NOUN	NOUN	_	101	conj	_	TokenRange=544:552
111	reis	rei	NOUN	NOUN	_	110	flat	_	TokenRange=553:557
112	exexecutivo	exexecutivo	ADJ	ADJ	_	110	amod	_	TokenRange=558:569
113-114	da	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=570:572
113	de	de	ADP	ADP	_	105	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_

