# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pela terceira vez desde a retomada democratica em 1985 existe embasamento juridico solido para o impeachment do presidente da republica tratase de um momento triste da historia mas a superacao da grave crise etica e moral que abate o pais depende do rigor na aplicacao da lei que deve valer igualmente para todos independentemente do cargo exercido e da pessoa que o exerce sem a preservacao das instituicoes e da lei serao inevitaveis os retrocessos nos valores democraticos e republicanos e consequentemente prejuizos para a continuidade e para o desenvolvimento do estado brasileiro um grande patrimonio conquistado nas ultimas decadas sem duvida alguma e a solidez de nossa democracia e de nossas instituicoes nao
1-2	pela	_	_	_	_	_	_	_	TokenRange=0:4
88	em	em	ADP	ADP	_	90	case	_	_
89	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	90	det	_	_
90	valores	_	NOUN	NOUN	_	87	nmod	_	TokenRange=455:462
91	democraticos	democratico	ADJ	ADJ	_	90	amod	_	TokenRange=463:475
92	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=476:477
93	republicanos	republicano	ADJ	ADJ	_	91	conj	_	TokenRange=478:490
94	e	e	CCONJ	CONJ	_	96	cc	_	TokenRange=491:492
95	consequentemente	consequentemente	ADV	ADV	_	96	advmod	_	TokenRange=493:509
96	prejuizos	prejuízo	NOUN	NOUN	_	87	conj	_	TokenRange=510:519
97	para	para	ADP	ADP	_	99	case	_	TokenRange=520:524
98	a	o	DET	DET	_	99	det	_	TokenRange=525:526
99	continuidade	continuidade	NOUN	NOUN	_	96	nmod	_	TokenRange=527:539
100	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=540:541
101	para	para	ADP	ADP	_	103	case	_	TokenRange=542:546
102	o	o	DET	DET	_	103	det	_	TokenRange=547:548
103	desenvolvimento	desenvolvimento	NOUN	NOUN	_	99	conj	_	TokenRange=549:564
104-105	do	_	_	_	_	_	_	_	TokenRange=565:567
104	de	de	ADP	ADP	_	106	case	_	_
105	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	106	det	_	_
106	estado	estado	NOUN	NOUN	_	103	nmod	_	TokenRange=568:574
107	brasileiro	brasileiro	ADJ	ADJ	_	106	amod	_	TokenRange=575:585
108	um	um	DET	DET	_	110	det	_	TokenRange=586:588
109	grande	grande	ADJ	ADJ	_	110	amod	_	TokenRange=589:595
110	patrimonio	patrimonio	NOUN	NOUN	_	96	nsubj	_	TokenRange=596:606
111	conquistado	conquistar	VERB	VERB	_	110	acl	_	TokenRange=607:618
112-113	nas	_	_	_	_	_	_	_	TokenRange=619:622
112	em	em	ADP	ADP	_	115	case	_	_
113	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	115	det	_	_
114	ultimas	ultimo	ADJ	ADJ	_	115	amod	_	TokenRange=623:630
115	decadas	decada	NOUN	NOUN	_	111	nmod	_	TokenRange=631:638
116	sem	_	ADP	ADP	_	117	case	_	TokenRange=639:642
117	duvida	duvida	NOUN	NOUN	_	111	nmod	_	TokenRange=643:649
118	alguma	_	DET	DET	_	117	det	_	TokenRange=650:656
119	e	e	CCONJ	CONJ	_	121	cc	_	TokenRange=657:658
120	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	TokenRange=659:660
121	solidez	solidez	NOUN	NOUN	_	99	conj	_	TokenRange=661:668
122	de	de	ADP	ADP	_	124	case	_	TokenRange=669:671
123	nossa	_	DET	DET	_	124	det:poss	_	TokenRange=672:677
124	democracia	democracia	NOUN	NOUN	_	121	nmod	_	TokenRange=678:688
125	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=689:690
126	de	de	ADP	ADP	_	128	case	_	TokenRange=691:693
127	nossas	_	DET	DET	_	128	det:poss	_	TokenRange=694:700
128	instituicoes	instituicoe	NOUN	NOUN	_	124	conj	_	TokenRange=701:713
129	nao	nao	ADV	ADV	_	11	advmod	_	SpacesAfter=\s\s|TokenRange=714:717

