# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como os politicos reagiram a denuncia contra temer pela pgr presidente foi denunciado pelo crime de corrupcao passiva acusacao do ministerio publico e baseada nas investigacoes abertas a partir das delacoes de executivos da jbs o procuradorgeral da republica rodrigo janot denunciou nesta segundafeira 26 o presidente michel temer ao supremo tribunal federal stf pelo crime de corrupcao passiva saiba abaixo como os politicos reagiram leia a integra da denuncia a acusacao de janot e baseada nas investigacoes abertas a partir das delacoes de executivos da jbs no ambito da operacao lava jato entenda a tramitacao da denuncia contra temer o presidente michel temer nao havia
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
42	jbs	_	NOUN	NOUN	_	39	nmod	_	TokenRange=230:233
43	o	o	DET	DET	_	44	det	_	TokenRange=234:235
44	procuradorgeral	procuradorgeral	NOUN	NOUN	_	50	nsubj	_	TokenRange=236:251
45-46	da	_	_	_	_	_	_	_	TokenRange=252:254
45	de	de	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	republica	_	NOUN	NOUN	_	44	nmod	_	TokenRange=255:264
48	rodrigo	_	NOUN	NOUN	_	44	appos	_	TokenRange=265:272
49	janot	_	NOUN	NOUN	_	48	flat	_	TokenRange=273:278
50	denunciou	denunciar	VERB	VERB	_	15	conj	_	TokenRange=279:288
51	nesta	_	ADP	ADP	_	52	case	_	TokenRange=289:294
52	segundafeira	_	NOUN	NOUN	_	50	nmod	_	TokenRange=295:307
53	26	_	NUM	NUM	NumType=Card	52	appos	_	TokenRange=308:310
54	o	o	DET	DET	_	55	det	_	TokenRange=311:312
55	presidente	presidente	NOUN	NOUN	_	50	obj	_	TokenRange=313:323
56	michel	michel	ADJ	ADJ	_	57	amod	_	TokenRange=324:330
57	temer	temer	NOUN	NOUN	_	55	appos	_	TokenRange=331:336
58-59	ao	_	_	_	_	_	_	_	TokenRange=337:339
58	a	a	ADP	ADP	_	61	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
60	supremo	supremo	ADJ	ADJ	_	61	amod	_	TokenRange=340:347
61	tribunal	tribunal	NOUN	NOUN	_	50	iobj	_	TokenRange=348:356
62	federal	federal	ADJ	ADJ	_	61	amod	_	TokenRange=357:364
63	stf	_	NOUN	NOUN	_	61	appos	_	TokenRange=365:368
64-65	pelo	_	_	_	_	_	_	_	TokenRange=369:373
64	por	por	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	crime	crime	NOUN	NOUN	_	50	nmod	_	TokenRange=374:379
67	de	de	ADP	ADP	_	68	case	_	TokenRange=380:382
68	corrupcao	corrupcao	NOUN	NOUN	_	66	nmod	_	TokenRange=383:392
69	passiva	passivo	ADJ	ADJ	_	68	amod	_	TokenRange=393:400
70	saiba	saber	VERB	VERB	_	50	parataxis	_	TokenRange=401:406
71	abaixo	abaixo	ADV	ADV	_	123	advmod	_	TokenRange=407:413
72	como	_	CCONJ	CONJ	_	75	mark	_	TokenRange=414:418
73	os	o	DET	DET	_	74	det	_	TokenRange=419:421
74	politicos	politico	NOUN	NOUN	_	75	nsubj	_	TokenRange=422:431
75	reagiram	reagir	VERB	VERB	_	123	advcl	_	TokenRange=432:440
76	leia	ler	VERB	VERB	_	75	xcomp	_	TokenRange=441:445
77	a	o	DET	DET	_	78	det	_	TokenRange=446:447
78	integra	integra	NOUN	NOUN	_	76	obj	_	TokenRange=448:455
79-80	da	_	_	_	_	_	_	_	TokenRange=456:458
79	de	de	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	denuncia	denuncia	NOUN	NOUN	_	78	nmod	_	TokenRange=459:467
82	a	o	DET	DET	_	83	det	_	TokenRange=468:469
83	acusacao	acusacao	NOUN	NOUN	_	81	appos	_	TokenRange=470:478
84	de	de	ADP	ADP	_	85	case	_	TokenRange=479:481
85	janot	_	NOUN	NOUN	_	83	nmod	_	TokenRange=482:487
86	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=488:489
87	baseada	basear	VERB	VERB	_	75	conj	_	TokenRange=490:497
88-89	nas	_	_	_	_	_	_	_	TokenRange=498:501
88	em	em	ADP	ADP	_	90	case	_	_
89	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	90	det	_	_
90	investigacoes	investigacoe	NOUN	NOUN	_	87	nmod	_	TokenRange=502:515
91	abertas	abrir	VERB	VERB	_	90	acl	_	TokenRange=516:523
92	a	_	ADP	ADP	_	93	mark	_	TokenRange=524:525
93	partir	partir	VERB	VERB	_	91	nmod	_	TokenRange=526:532
94-95	das	_	_	_	_	_	_	_	TokenRange=533:536
94	de	de	ADP	ADP	_	96	case	_	_
95	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	96	det	_	_
96	delacoes	delacoe	NOUN	NOUN	_	93	nmod	_	TokenRange=537:545
97	de	de	ADP	ADP	_	98	case	_	TokenRange=546:548
98	executivos	executivo	NOUN	NOUN	_	96	nmod	_	TokenRange=549:559
99-100	da	_	_	_	_	_	_	_	TokenRange=560:562
99	de	de	ADP	ADP	_	101	case	_	_
100	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	101	det	_	_
101	jbs	_	PROPN	PNOUN	_	98	nmod	_	TokenRange=563:566
102-103	no	_	_	_	_	_	_	_	TokenRange=567:569
102	em	em	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	ambito	ambito	NOUN	NOUN	_	110	nmod	_	TokenRange=570:576
105-106	da	_	_	_	_	_	_	_	TokenRange=577:579
105	de	de	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	operacao	operacao	NOUN	NOUN	_	104	nmod	_	TokenRange=580:588
108	lava	lava	NOUN	NOUN	_	107	appos	_	TokenRange=589:593
109	jato	jato	NOUN	NOUN	_	107	flat	_	TokenRange=594:598
110	entenda	entender	VERB	VERB	_	123	ccomp	_	TokenRange=599:606
111	a	o	DET	DET	_	112	det	_	TokenRange=607:608
112	tramitacao	tramitacao	NOUN	NOUN	_	123	obj	_	TokenRange=609:619
113-114	da	_	_	_	_	_	_	_	TokenRange=620:622
113	de	de	ADP	ADP	_	115	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
115	denuncia	denuncia	NOUN	NOUN	_	112	nmod	_	TokenRange=623:631
116	contra	_	ADP	ADP	_	117	case	_	TokenRange=632:638
117	temer	temer	NOUN	NOUN	_	115	nmod	_	TokenRange=639:644
118	o	o	DET	DET	_	119	det	_	TokenRange=645:646
119	presidente	presidente	NOUN	NOUN	_	123	nsubj	_	TokenRange=647:657
120	michel	michel	ADJ	ADJ	_	119	amod	_	TokenRange=658:664
121	temer	temer	NOUN	NOUN	_	119	appos	_	TokenRange=665:670
122	nao	nao	ADV	ADV	Polarity=Neg	123	advmod	_	TokenRange=671:674
123	havia	haver	VERB	VERB	_	70	ccomp	_	SpacesAfter=\s\s|TokenRange=675:680

