# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tente nao piscar com a china se afirmando como potencia naval e aerea e os estados unidos reagindo crescem os riscos de confronto as autoridades americanas estao perdendo a paciencia com a china em 22 de maio o vicepresidente joe biden foi bastante franco ao falar a formandos do colegio naval dos estados unidos sobre novos pontos de divergencia entre as duas superpotencias os chineses afirmou ele ameacam a liberdade de navegacao no mar do sul da china com as obras que vem realizando em grande escala em recifes sobre os quais outros paises tambem reivindicam soberania dois dias antes os eua haviam dado sinais de sua irritacao ao usar uma aeronave espia para sobrevoar uma area proxima a um dos recifes em que os chineses estao construindo uma pista de pouso voos secretos sao comuns mas esse foi diferente no aviao estava tambem uma equipe da cnn que transmitiu a seus
1	tente	tentar	VERB	VERB	_	0	root	_	TokenRange=0:5
39	vicepresidente	vicepresidente	NOUN	NOUN	_	28	nsubj	_	TokenRange=211:225
40	joe	joe	NOUN	NOUN	_	39	appos	_	TokenRange=226:229
41	biden	_	PROPN	NOUN	_	40	flat	_	TokenRange=230:235
42	foi	_	VERB	VERB	_	1	conj	_	TokenRange=236:239
43	bastante	bastante	ADV	ADV	_	44	advmod	_	TokenRange=240:248
44	franco	franco	ADJ	ADJ	_	42	xcomp	_	TokenRange=249:255
45-46	ao	_	_	_	_	_	_	_	TokenRange=256:258
45	a	a	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	falar	falar	VERB	VERB	_	42	advcl	_	TokenRange=259:264
48	a	_	ADP	ADP	_	49	case	_	TokenRange=265:266
49	formandos	formando	NOUN	NOUN	_	47	iobj	_	TokenRange=267:276
50-51	do	_	_	_	_	_	_	_	TokenRange=277:279
50	de	de	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	colegio	colegio	NOUN	NOUN	_	49	nmod	_	TokenRange=280:287
53	naval	naval	ADJ	ADJ	_	52	amod	_	TokenRange=288:293
54-55	dos	_	_	_	_	_	_	_	TokenRange=294:297
54	de	de	ADP	ADP	_	56	case	_	_
55	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	56	det	_	_
56	estados	estado	NOUN	NOUN	_	52	nmod	_	TokenRange=298:305
57	unidos	unido	ADJ	ADJ	_	56	amod	_	TokenRange=306:312
58	sobre	_	ADP	ADP	_	60	case	_	TokenRange=313:318
59	novos	novo	ADJ	ADJ	_	60	amod	_	TokenRange=319:324
60	pontos	ponto	NOUN	NOUN	_	49	nmod	_	TokenRange=325:331
61	de	de	ADP	ADP	_	62	case	_	TokenRange=332:334
62	divergencia	divergencia	NOUN	NOUN	_	60	nmod	_	TokenRange=335:346
63	entre	_	ADP	ADP	_	66	case	_	TokenRange=347:352
64	as	o	DET	DET	_	66	det	_	TokenRange=353:355
65	duas	_	NUM	NUM	NumType=Card	66	nummod	_	TokenRange=356:360
66	superpotencias	superpotencia	NOUN	NOUN	_	62	nmod	_	TokenRange=361:375
67	os	o	DET	DET	_	68	det	_	TokenRange=376:378
68	chineses	chinês	NOUN	NOUN	_	69	nsubj	_	TokenRange=379:387
69	afirmou	afirmar	VERB	VERB	_	42	parataxis	_	TokenRange=388:395
70	ele	_	PRON	PRON	_	71	nsubj	_	TokenRange=396:399
71	ameacam	ameacar	VERB	VERB	_	69	ccomp	_	TokenRange=400:407
72	a	o	DET	DET	_	73	det	_	TokenRange=408:409
73	liberdade	liberdade	NOUN	NOUN	_	71	obj	_	TokenRange=410:419
74	de	de	ADP	ADP	_	75	case	_	TokenRange=420:422
75	navegacao	navegacao	NOUN	NOUN	_	73	nmod	_	TokenRange=423:432
76-77	no	_	_	_	_	_	_	_	TokenRange=433:435
76	em	em	ADP	ADP	_	78	case	_	_
77	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	78	det	_	_
78	mar	mar	NOUN	NOUN	_	73	nmod	_	TokenRange=436:439
79-80	do	_	_	_	_	_	_	_	TokenRange=440:442
79	de	de	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	sul	sul	NOUN	NOUN	_	78	nmod	_	TokenRange=443:446
82-83	da	_	_	_	_	_	_	_	TokenRange=447:449
82	de	de	ADP	ADP	_	84	case	_	_
83	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	84	det	_	_
84	china	china	NOUN	NOUN	_	52	nmod	_	TokenRange=450:455
85	com	com	ADP	ADP	_	87	case	_	TokenRange=456:459
86	as	o	DET	DET	_	87	det	_	TokenRange=460:462
87	obras	obra	NOUN	NOUN	_	47	nmod	_	TokenRange=463:468
88	que	_	PRON	PRON	_	90	obj	_	TokenRange=469:472
89	vem	vir	AUX	AUX	_	90	aux	_	TokenRange=473:476
90	realizando	realizar	VERB	VERB	_	87	acl:relcl	_	TokenRange=477:487
91	em	em	ADP	ADP	_	93	case	_	TokenRange=488:490
92	grande	grande	ADJ	ADJ	_	93	amod	_	TokenRange=491:497
93	escala	escala	NOUN	NOUN	_	90	nmod	_	TokenRange=498:504
94	em	em	ADP	ADP	_	95	case	_	TokenRange=505:507
95	recifes	recife	NOUN	NOUN	_	90	nmod	_	TokenRange=508:515
96	sobre	_	ADP	ADP	_	98	case	_	TokenRange=516:521
97	os	o	DET	DET	_	98	det	_	TokenRange=522:524
98	quais	_	PRON	PRON	_	102	nmod	_	TokenRange=525:530
99	outros	_	DET	DET	_	100	det	_	TokenRange=531:537
100	paises	paise	NOUN	NOUN	_	102	nsubj	_	TokenRange=538:544
101	tambem	tambem	ADV	ADV	_	102	advmod	_	TokenRange=545:551
102	reivindicam	reivindicar	VERB	VERB	_	95	acl:relcl	_	TokenRange=552:563
103	soberania	soberania	NOUN	NOUN	_	102	obj	_	TokenRange=564:573
104	dois	_	NUM	NUM	NumType=Card	105	nummod	_	TokenRange=574:578
105	dias	dia	NOUN	NOUN	_	106	nmod	_	TokenRange=579:583
106	antes	antes	ADV	ADV	_	102	advmod	_	TokenRange=584:589
107	os	o	DET	DET	_	108	det	_	TokenRange=590:592
108	eua	_	PRON	PRON	_	110	nsubj	_	TokenRange=593:596
109	haviam	haver	AUX	AUX	_	110	aux	_	TokenRange=597:603
110	dado	dar	VERB	VERB	_	69	ccomp	_	TokenRange=604:608
111	sinais	_	NOUN	NOUN	_	110	obj	_	TokenRange=609:615
112	de	de	ADP	ADP	_	114	case	_	TokenRange=616:618
113	sua	_	DET	DET	_	114	det:poss	_	TokenRange=619:622
114	irritacao	_	NOUN	NOUN	_	111	nmod	_	TokenRange=623:632
115-116	ao	_	_	_	_	_	_	_	TokenRange=633:635
115	a	a	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	usar	usar	VERB	VERB	_	71	advcl	_	TokenRange=636:640
118	uma	um	DET	DET	_	119	det	_	TokenRange=641:644
119	aeronave	aeronave	NOUN	NOUN	_	117	obj	_	TokenRange=645:653
120	espia	espio	ADJ	ADJ	_	119	amod	_	TokenRange=654:659
121	para	_	ADP	ADP	_	122	mark	_	TokenRange=660:664
122	sobrevoar	sobrevoar	VERB	VERB	_	71	advcl	_	TokenRange=665:674
123	uma	um	DET	DET	_	124	det	_	TokenRange=675:678
124	area	area	NOUN	NOUN	_	122	obj	_	TokenRange=679:683
125	proxima	proximo	ADJ	ADJ	_	124	amod	_	TokenRange=684:691
126	a	_	ADP	ADP	_	127	case	_	TokenRange=692:693
127	um	_	PRON	PRON	_	125	nmod	_	TokenRange=694:696
128-129	dos	_	_	_	_	_	_	_	TokenRange=697:700
128	de	de	ADP	ADP	_	130	case	_	_
129	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	130	det	_	_
130	recifes	recife	NOUN	NOUN	_	127	nmod	_	TokenRange=701:708
131	em	em	ADP	ADP	_	132	case	_	TokenRange=709:711
132	que	_	PRON	PRON	_	136	nmod	_	TokenRange=712:715
133	os	o	DET	DET	_	134	det	_	TokenRange=716:718
134	chineses	chinês	NOUN	NOUN	_	136	nsubj	_	TokenRange=719:727
135	estao	_	AUX	AUX	_	136	aux	_	TokenRange=728:733
136	construindo	construir	VERB	VERB	_	130	acl:relcl	_	TokenRange=734:745
137	uma	um	DET	DET	_	138	det	_	TokenRange=746:749
138	pista	pista	NOUN	NOUN	_	136	obj	_	TokenRange=750:755
139	de	de	ADP	ADP	_	140	case	_	TokenRange=756:758
140	pouso	pouso	NOUN	NOUN	_	138	nmod	_	TokenRange=759:764
141	voos	voo	NOUN	NOUN	_	136	nsubj	_	TokenRange=765:769
142	secretos	secreto	ADJ	ADJ	_	141	amod	_	TokenRange=770:778
143	sao	ser	VERB	VERB	_	69	ccomp	_	TokenRange=779:782
144	comuns	comum	ADJ	ADJ	_	143	xcomp	_	TokenRange=783:789
145	mas	mas	CCONJ	CONJ	_	147	cc	_	TokenRange=790:793
146	esse	_	PRON	PRON	_	147	nsubj	_	TokenRange=794:798
147	foi	_	VERB	VERB	_	143	conj	_	TokenRange=799:802
148	diferente	diferente	ADJ	ADJ	_	147	xcomp	_	TokenRange=803:812
149-150	no	_	_	_	_	_	_	_	TokenRange=813:815
149	em	em	ADP	ADP	_	151	case	_	_
150	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	151	det	_	_
151	aviao	aviao	NOUN	NOUN	_	147	nmod	_	TokenRange=816:821
152	estava	estar	VERB	VERB	_	143	conj	_	TokenRange=822:828
153	tambem	tambem	ADV	ADV	_	152	advmod	_	TokenRange=829:835
154	uma	um	DET	DET	_	155	det	_	TokenRange=836:839
155	equipe	equipe	NOUN	NOUN	_	152	nsubj	_	TokenRange=840:846
156-157	da	_	_	_	_	_	_	_	TokenRange=847:849
156	de	de	ADP	ADP	_	158	case	_	_
157	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	158	det	_	_
158	cnn	_	NOUN	NOUN	_	155	nmod	_	TokenRange=850:853
159	que	_	PRON	PRON	_	160	nsubj	_	TokenRange=854:857
160	transmitiu	transmitir	VERB	VERB	_	155	acl:relcl	_	TokenRange=858:868
161	a	_	ADP	ADP	_	98	case	_	TokenRange=869:870
162	seus	_	DET	DET	_	155	det:poss	_	SpacesAfter=\s\s|TokenRange=871:875

