# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relembre polemicas envolvendo as passagens de geddel pelo governo alvo de investigacao da policia federal peemedebista ocupou cargos nos governos de michel temer dilma rousseff e luiz inacio lula da silva alvo da operacao da policia federal que investigou fraudes na caixa economica federal o expresidente do pmdbba geddel vieira lima tambem se envolveu em episodios polemicos enquanto ocupava cargos nos governos de michel temer dilma rousseff e luiz inacio lula da silva conhecido pelas declaracoes polemicas geddel foi ministro da secretaria de governo na gestao de temer entre maio e novembro do ano passado no governo dilma foi vicepresidente de pessoa juridica da caixa economica entre 2011 e 2013 e na gestao de lula ministro da integracao nacional de 2007 a 2010 nesta sexta 13 a policia federal cumpriu mandados de busca e apreensao em um imovel de geddel
1	relembre	relembre	NOUN	NOUN	_	62	parataxis	_	TokenRange=0:8
30	luiz	luiz	NOUN	NOUN	_	27	conj	_	TokenRange=179:183
31	inacio	_	NOUN	NOUN	_	30	flat	_	TokenRange=184:190
32	lula	_	NOUN	NOUN	_	30	flat	_	TokenRange=191:195
33-34	da	_	_	_	_	_	_	_	TokenRange=196:198
33	de	de	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	silva	silva	NOUN	NOUN	_	30	nmod	_	TokenRange=199:204
36	alvo	alvo	NOUN	NOUN	_	19	obj	_	TokenRange=205:209
37-38	da	_	_	_	_	_	_	_	TokenRange=210:212
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	operacao	operacao	NOUN	NOUN	_	36	nmod	_	TokenRange=213:221
40-41	da	_	_	_	_	_	_	_	TokenRange=222:224
40	de	de	ADP	ADP	_	42	case	_	_
41	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	42	det	_	_
42	policia	policia	NOUN	NOUN	_	39	nmod	_	TokenRange=225:232
43	federal	federal	ADJ	ADJ	_	42	amod	_	TokenRange=233:240
44	que	_	PRON	PRON	_	45	nsubj	_	TokenRange=241:244
45	investigou	investigar	VERB	VERB	_	39	acl:relcl	_	TokenRange=245:255
46	fraudes	fraude	NOUN	NOUN	_	45	obj	_	TokenRange=256:263
47-48	na	_	_	_	_	_	_	_	TokenRange=264:266
47	em	em	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	caixa	caixa	NOUN	NOUN	_	45	nmod	_	TokenRange=267:272
50	economica	economico	ADJ	ADJ	_	49	amod	_	TokenRange=273:282
51	federal	federal	ADJ	ADJ	_	49	amod	_	TokenRange=283:290
52	o	o	DET	DET	_	53	det	_	TokenRange=291:292
53	expresidente	expresidente	NOUN	NOUN	_	115	nsubj	_	TokenRange=293:305
54-55	do	_	_	_	_	_	_	_	TokenRange=306:308
54	de	de	ADP	ADP	_	56	case	_	_
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
56	pmdbba	_	NOUN	NOUN	_	53	nmod	_	TokenRange=309:315
57	geddel	_	NOUN	NOUN	_	53	appos	_	TokenRange=316:322
58	vieira	vieira	NOUN	NOUN	_	53	appos	_	TokenRange=323:329
59	lima	_	ADJ	ADJ	_	58	flat	_	TokenRange=330:334
60	tambem	tambem	ADV	ADV	_	62	advmod	_	TokenRange=335:341
61	se	_	PRON	PRON	_	62	expl:pv	_	TokenRange=342:344
62	envolveu	envolver	VERB	VERB	_	0	root	_	TokenRange=345:353
63	em	em	ADP	ADP	_	64	case	_	TokenRange=354:356
64	episodios	episodio	NOUN	NOUN	_	62	nmod	_	TokenRange=357:366
65	polemicos	polemico	ADJ	ADJ	_	64	amod	_	TokenRange=367:376
66	enquanto	_	CCONJ	CONJ	_	67	mark	_	TokenRange=377:385
67	ocupava	ocupar	VERB	VERB	_	62	advcl	_	TokenRange=386:393
68	cargos	cargo	NOUN	NOUN	_	67	obj	_	TokenRange=394:400
69-70	nos	_	_	_	_	_	_	_	TokenRange=401:404
69	em	em	ADP	ADP	_	71	case	_	_
70	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	71	det	_	_
71	governos	governo	NOUN	NOUN	_	67	nmod	_	TokenRange=405:413
72	de	de	ADP	ADP	_	74	case	_	TokenRange=414:416
73	michel	_	DET	DET	_	74	det	_	TokenRange=417:423
74	temer	temer	NOUN	NOUN	_	71	nmod	_	TokenRange=424:429
75	dilma	dilma	NOUN	NOUN	_	74	appos	_	TokenRange=430:435
76	rousseff	rousseff	NOUN	NOUN	_	75	flat	_	TokenRange=436:444
77	e	e	CCONJ	CONJ	_	78	cc	_	TokenRange=445:446
78	luiz	luiz	NOUN	NOUN	_	75	conj	_	TokenRange=447:451
79	inacio	_	NOUN	NOUN	_	78	flat	_	TokenRange=452:458
80	lula	_	NOUN	NOUN	_	78	appos	_	TokenRange=459:463
81-82	da	_	_	_	_	_	_	_	TokenRange=464:466
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	silva	silva	NOUN	NOUN	_	30	nmod	_	TokenRange=467:472
84	conhecido	conhecer	VERB	VERB	_	53	acl	_	TokenRange=473:482
85-86	pelas	_	_	_	_	_	_	_	TokenRange=483:488
85	por	por	ADP	ADP	_	87	case	_	_
86	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	87	det	_	_
87	declaracoes	declaracoe	NOUN	NOUN	_	84	nmod	_	TokenRange=489:500
88	polemicas	polemico	ADJ	ADJ	_	87	amod	_	TokenRange=501:510
89	geddel	_	NOUN	NOUN	_	91	nsubj	_	TokenRange=511:517
90	foi	_	AUX	AUX	_	91	cop	_	TokenRange=518:521
91	ministro	ministro	NOUN	NOUN	_	62	parataxis	_	TokenRange=522:530
92-93	da	_	_	_	_	_	_	_	TokenRange=531:533
92	de	de	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	secretaria	secretaria	NOUN	NOUN	_	91	nmod	_	TokenRange=534:544
95	de	de	ADP	ADP	_	96	case	_	TokenRange=545:547
96	governo	governo	NOUN	NOUN	_	94	nmod	_	TokenRange=548:555
97-98	na	_	_	_	_	_	_	_	TokenRange=556:558
97	em	em	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
99	gestao	gestao	NOUN	NOUN	_	91	nmod	_	TokenRange=559:565
100	de	de	ADP	ADP	_	101	case	_	TokenRange=566:568
101	temer	temer	NOUN	NOUN	_	99	nmod	_	TokenRange=569:574
102	entre	_	ADP	ADP	_	103	case	_	TokenRange=575:580
103	maio	_	PROPN	PNOUN	_	91	nmod	_	TokenRange=581:585
104	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=586:587
105	novembro	_	PROPN	PNOUN	_	103	conj	_	TokenRange=588:596
106-107	do	_	_	_	_	_	_	_	TokenRange=597:599
106	de	de	ADP	ADP	_	108	case	_	_
107	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	108	det	_	_
108	ano	ano	NOUN	NOUN	_	103	nmod	_	TokenRange=600:603
109	passado	passado	ADJ	ADJ	_	108	amod	_	TokenRange=604:611
110-111	no	_	_	_	_	_	_	_	TokenRange=612:614
110	em	em	ADP	ADP	_	112	case	_	_
111	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	112	det	_	_
112	governo	governo	NOUN	NOUN	_	45	nmod	_	TokenRange=615:622
113	dilma	dilma	ADJ	ADJ	_	112	amod	_	TokenRange=623:628
114	foi	_	AUX	AUX	_	115	cop	_	TokenRange=629:632
115	vicepresidente	vicepresidente	NOUN	NOUN	_	62	parataxis	_	TokenRange=633:647
116	de	de	ADP	ADP	_	117	case	_	TokenRange=648:650
117	pessoa	pessoa	NOUN	NOUN	_	115	nmod	_	TokenRange=651:657
118	juridica	juridico	ADJ	ADJ	_	117	amod	_	TokenRange=658:666
119-120	da	_	_	_	_	_	_	_	TokenRange=667:669
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	caixa	caixa	NOUN	NOUN	_	115	nmod	_	TokenRange=670:675
122	economica	economico	ADJ	ADJ	_	121	amod	_	TokenRange=676:685
123	entre	_	ADP	ADP	_	124	case	_	TokenRange=686:691
124	2011	_	NUM	NUM	NumType=Card	115	nmod	_	TokenRange=692:696
125	e	e	CCONJ	CONJ	_	126	cc	_	TokenRange=697:698
126	2013	_	NUM	NUM	NumType=Card	124	conj	_	TokenRange=699:703
127	e	e	CCONJ	CONJ	_	130	cc	_	TokenRange=704:705
128-129	na	_	_	_	_	_	_	_	TokenRange=706:708
128	em	em	ADP	ADP	_	130	case	_	_
129	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	130	det	_	_
130	gestao	gestao	NOUN	NOUN	_	115	nmod	_	TokenRange=709:715
131	de	de	ADP	ADP	_	132	case	_	TokenRange=716:718
132	lula	lula	NOUN	NOUN	_	130	nmod	_	TokenRange=719:723
133	ministro	ministro	NOUN	NOUN	_	130	appos	_	TokenRange=724:732
134-135	da	_	_	_	_	_	_	_	TokenRange=733:735
134	de	de	ADP	ADP	_	136	case	_	_
135	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	136	det	_	_
136	integracao	integracao	NOUN	NOUN	_	133	nmod	_	TokenRange=736:746
137	nacional	nacional	ADJ	ADJ	_	136	amod	_	TokenRange=747:755
138	de	de	ADP	ADP	_	139	case	_	TokenRange=756:758
139	2007	_	NUM	NUM	NumType=Card	133	nmod	_	TokenRange=759:763
140	a	_	ADP	ADP	_	141	case	_	TokenRange=764:765
141	2010	_	NUM	NUM	NumType=Card	139	nmod	_	TokenRange=766:770
142	nesta	_	ADP	ADP	_	143	case	_	TokenRange=771:776
143	sexta	_	PROPN	PNOUN	_	148	nmod	_	TokenRange=777:782
144	13	_	NUM	NUM	NumType=Card	143	nmod	_	TokenRange=783:785
145	a	o	DET	DET	_	146	det	_	TokenRange=786:787
146	policia	policia	NOUN	NOUN	_	148	nsubj	_	TokenRange=788:795
147	federal	federal	ADJ	ADJ	_	146	amod	_	TokenRange=796:803
148	cumpriu	cumprir	VERB	VERB	_	62	conj	_	TokenRange=804:811
149	mandados	mandado	NOUN	NOUN	_	148	obj	_	TokenRange=812:820
150	de	de	ADP	ADP	_	151	case	_	TokenRange=821:823
151	busca	busca	NOUN	NOUN	_	149	nmod	_	TokenRange=824:829
152	e	e	CCONJ	CONJ	_	153	cc	_	TokenRange=830:831
153	apreensao	apreensao	NOUN	NOUN	_	151	conj	_	TokenRange=832:841
154	em	em	ADP	ADP	_	156	case	_	TokenRange=842:844
155	um	um	DET	DET	_	156	det	_	TokenRange=845:847
156	imovel	imovel	NOUN	NOUN	_	148	nmod	_	TokenRange=848:854
157	de	de	ADP	ADP	_	158	case	_	TokenRange=855:857
158	geddel	_	NOUN	NOUN	_	156	nmod	_	SpacesAfter=\s\s|TokenRange=858:864

