# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = combater a corrupcao requer um trabalho de inteligencia com uso de ferramentas como delacao premiada e quebra de sigilo fiscal e telefonico isso porque a corrupcao e feita as escondidas mediante pacto de sigilo conforme atesta a procuradora da republica thamea danelon do nucleo de combate a corrupcao do ministerio publico de sao paulo sao muito importantes a prisao e a asfixia economica recomenda thamea e o poder economico aliado com nosso sistema ultrapassado que resulta na impunidade o nucleo de combate a corrupcao completa um ano em setembro e foi responsavel por grandes acoes no ultimo mes a operacao boca livre investiga fraudes de ate r 180 milhoes com recursos do tesouro liberados sob o guardachuva da lei rouanet desdobramento da lava jato em sao paulo a operacao custo brasil apura o esquema consist desvios de mais de r 100 milhoes em emprestimos consignados no ambito do ministerio do planejamento um dos suspeitos de liderar o esquema e o exministro paulo bernardo planejamento/governo lula que comandou a pasta as cifras investigadas nas operacoes fazem parte de um gigantesco valor apontado pela organizacao das nacoes unidas onu e destacado pela procuradora thamea danelon a onu estima que por ano no brasil sejam desviados r 200 bilhoes somente pela corrupcao esse valor equivale a tres vezes o orcamento da educacao e cinco vezes o orcamento da seguranca publica afirma nosso indice de escolaridade e baixissimo por conta da corrupcao o dinheiro nao chega na creche nas escola nos livros e nao chega nos salarios dos professores a corrupcao e a maior vila
1	combater	combater	VERB	VERB	_	4	csubj	_	TokenRange=0:8
22	telefonico	telefonico	ADJ	ADJ	_	20	conj	_	TokenRange=129:139
23	isso	_	PRON	PRON	_	4	obj	_	TokenRange=140:144
24	porque	_	CCONJ	CONJ	_	28	mark	_	TokenRange=145:151
25	a	o	DET	DET	_	26	det	_	TokenRange=152:153
26	corrupcao	corrupcao	NOUN	NOUN	_	28	nsubj:pass	_	TokenRange=154:163
27	e	_	AUX	AUX	_	28	aux:pass	_	TokenRange=164:165
28	feita	_	VERB	VERB	_	58	advcl	_	TokenRange=166:171
29	as	o	DET	DET	_	30	det	_	TokenRange=172:174
30	escondidas	_	NOUN	NOUN	_	28	nmod	_	TokenRange=175:185
31	mediante	_	ADP	ADP	_	32	case	_	TokenRange=186:194
32	pacto	pacto	NOUN	NOUN	_	28	nmod	_	TokenRange=195:200
33	de	de	ADP	ADP	_	34	case	_	TokenRange=201:203
34	sigilo	sigilo	NOUN	NOUN	_	32	nmod	_	TokenRange=204:210
35	conforme	_	CCONJ	CONJ	_	36	mark	_	TokenRange=211:219
36	atesta	atestar	VERB	VERB	_	28	advcl	_	TokenRange=220:226
37	a	o	DET	DET	_	38	det	_	TokenRange=227:228
38	procuradora	procurador	NOUN	NOUN	_	36	nsubj	_	TokenRange=229:240
39-40	da	_	_	_	_	_	_	_	TokenRange=241:243
39	de	de	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	republica	_	NOUN	NOUN	_	38	nmod	_	TokenRange=244:253
42	thamea	_	NOUN	NOUN	_	38	appos	_	TokenRange=254:260
43	danelon	_	NOUN	NOUN	_	42	flat	_	TokenRange=261:268
44-45	do	_	_	_	_	_	_	_	TokenRange=269:271
44	de	de	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	nucleo	nucleo	NOUN	NOUN	_	38	nmod	_	TokenRange=272:278
47	de	de	ADP	ADP	_	48	case	_	TokenRange=279:281
48	combate	combate	NOUN	NOUN	_	46	nmod	_	TokenRange=282:289
49	a	_	ADP	ADP	_	50	case	_	TokenRange=290:291
50	corrupcao	corrupcao	NOUN	NOUN	_	48	nmod	_	TokenRange=292:301
51-52	do	_	_	_	_	_	_	_	TokenRange=302:304
51	de	de	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	ministerio	ministerio	NOUN	NOUN	_	46	nmod	_	TokenRange=305:315
54	publico	publico	ADJ	ADJ	_	53	amod	_	TokenRange=316:323
55	de	de	ADP	ADP	_	56	case	_	TokenRange=324:326
56	sao	sao	NOUN	NOUN	_	53	nmod	_	TokenRange=327:330
57	paulo	paulo	ADJ	ADJ	_	56	amod	_	TokenRange=331:336
58	sao	_	VERB	VERB	_	4	parataxis	_	TokenRange=337:340
59	muito	muito	ADV	ADV	_	60	advmod	_	TokenRange=341:346
60	importantes	importante	ADJ	ADJ	_	58	xcomp	_	TokenRange=347:358
61	a	o	DET	DET	_	62	det	_	TokenRange=359:360
62	prisao	prisao	NOUN	NOUN	_	58	nsubj	_	TokenRange=361:367
63	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=368:369
64	a	o	DET	DET	_	65	det	_	TokenRange=370:371
65	asfixia	asfixia	NOUN	NOUN	_	62	conj	_	TokenRange=372:379
66	economica	economico	ADJ	ADJ	_	65	amod	_	TokenRange=380:389
67	recomenda	recomendar	VERB	VERB	_	58	parataxis	_	TokenRange=390:399
68	thamea	_	NOUN	NOUN	_	230	obj	_	TokenRange=400:406
69	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=407:408
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	TokenRange=409:410
71	poder	poder	NOUN	NOUN	_	62	conj	_	TokenRange=411:416
72	economico	economico	ADJ	ADJ	_	71	amod	_	TokenRange=417:426
73	aliado	aliar	VERB	VERB	_	71	acl	_	TokenRange=427:433
74	com	com	ADP	ADP	_	76	case	_	TokenRange=434:437
75	nosso	_	DET	DET	_	76	det:poss	_	TokenRange=438:443
76	sistema	sistema	NOUN	NOUN	_	73	nmod	_	TokenRange=444:451
77	ultrapassado	ultrapassado	ADJ	ADJ	_	76	amod	_	TokenRange=452:464
78	que	_	PRON	PRON	_	79	nsubj	_	TokenRange=465:468
79	resulta	resultar	VERB	VERB	_	71	acl:relcl	_	TokenRange=469:476
80-81	na	_	_	_	_	_	_	_	TokenRange=477:479
80	em	em	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	impunidade	impunidade	NOUN	NOUN	_	79	nmod	_	TokenRange=480:490
83	o	o	DET	DET	_	84	det	_	TokenRange=491:492
84	nucleo	nucleo	NOUN	NOUN	_	263	nsubj	_	TokenRange=493:499
85	de	de	ADP	ADP	_	86	case	_	TokenRange=500:502
86	combate	combate	NOUN	NOUN	_	84	nmod	_	TokenRange=503:510
87	a	_	ADP	ADP	_	88	case	_	TokenRange=511:512
88	corrupcao	corrupcao	NOUN	NOUN	_	86	nmod	_	TokenRange=513:522
89	completa	completar	VERB	VERB	_	212	ccomp	_	TokenRange=523:531
90	um	_	NUM	NUM	NumType=Card	91	nummod	_	TokenRange=532:534
91	ano	ano	NOUN	NOUN	_	89	nmod	_	TokenRange=535:538
92	em	em	ADP	ADP	_	93	case	_	TokenRange=539:541
93	setembro	_	PROPN	PNOUN	_	194	nmod	_	TokenRange=542:550
94	e	e	CCONJ	CONJ	_	95	cc	_	TokenRange=551:552
95	foi	_	VERB	VERB	_	263	conj	_	TokenRange=553:556
96	responsavel	responsavel	ADJ	ADJ	_	95	xcomp	_	TokenRange=557:568
97	por	por	ADP	ADP	_	99	case	_	TokenRange=569:572
98	grandes	grande	ADJ	ADJ	_	99	amod	_	TokenRange=573:580
99	acoes	acoe	NOUN	NOUN	_	96	nmod	_	TokenRange=581:586
100-101	no	_	_	_	_	_	_	_	TokenRange=587:589
100	em	em	ADP	ADP	_	103	case	_	_
101	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	103	det	_	_
102	ultimo	ultimo	ADJ	ADJ	_	103	amod	_	TokenRange=590:596
103	mes	mes	NOUN	NOUN	_	220	nmod	_	TokenRange=597:600
104	a	o	DET	DET	_	137	det	_	TokenRange=601:602
105	operacao	operacao	NOUN	NOUN	_	230	nsubj	_	TokenRange=603:611
106	boca	boca	NOUN	NOUN	_	137	appos	_	TokenRange=612:616
107	livre	livre	ADJ	ADJ	_	106	amod	_	TokenRange=617:622
108	investiga	investigar	VERB	VERB	_	58	conj	_	TokenRange=623:632
109	fraudes	fraude	NOUN	NOUN	_	108	obj	_	TokenRange=633:640
110	de	de	ADP	ADP	_	112	case	_	TokenRange=641:643
111	ate	ate	ADV	ADV	_	114	advmod	_	TokenRange=644:647
112	r	r	NOUN	NOUN	_	109	nmod	_	TokenRange=648:649
113	180	_	NUM	NUM	NumType=Card	114	nummod	_	TokenRange=650:653
114	milhoes	_	NUM	NUM	NumType=Card	112	nummod	_	TokenRange=654:661
115	com	com	ADP	ADP	_	116	case	_	TokenRange=662:665
116	recursos	recurso	NOUN	NOUN	_	194	nmod	_	TokenRange=666:674
117-118	do	_	_	_	_	_	_	_	TokenRange=675:677
117	de	de	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	tesouro	tesouro	NOUN	NOUN	_	116	nmod	_	TokenRange=678:685
120	liberados	liberar	VERB	VERB	_	193	acl	_	TokenRange=686:695
121	sob	_	ADP	ADP	_	123	case	_	TokenRange=696:699
122	o	o	DET	DET	_	123	det	_	TokenRange=700:701
123	guardachuva	guardachuva	NOUN	NOUN	_	120	nmod	_	TokenRange=702:713
124-125	da	_	_	_	_	_	_	_	TokenRange=714:716
124	de	de	ADP	ADP	_	126	case	_	_
125	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	126	det	_	_
126	lei	lei	NOUN	NOUN	_	123	nmod	_	TokenRange=717:720
127	rouanet	_	NOUN	NOUN	_	126	appos	_	TokenRange=721:728
128	desdobramento	desdobramento	NOUN	NOUN	_	126	appos	_	TokenRange=729:742
129-130	da	_	_	_	_	_	_	_	TokenRange=743:745
129	de	de	ADP	ADP	_	131	case	_	_
130	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	131	det	_	_
131	lava	lava	NOUN	NOUN	_	128	nmod	_	TokenRange=746:750
132	jato	jato	NOUN	NOUN	_	131	flat	_	TokenRange=751:755
133	em	em	ADP	ADP	_	134	case	_	TokenRange=756:758
134	sao	sao	NOUN	NOUN	_	220	nmod	_	TokenRange=759:762
135	paulo	_	NOUN	NOUN	_	134	flat	_	TokenRange=763:768
136	a	o	DET	DET	_	137	det	_	TokenRange=769:770
137	operacao	operacao	NOUN	NOUN	_	140	nsubj	_	TokenRange=771:779
138	custo	custo	NOUN	NOUN	_	137	appos	_	TokenRange=780:785
139	brasil	brasil	ADJ	ADJ	_	138	amod	_	TokenRange=786:792
140	apura	apurar	VERB	VERB	_	58	parataxis	_	TokenRange=793:798
141	o	o	DET	DET	_	142	det	_	TokenRange=799:800
142	esquema	esquema	NOUN	NOUN	_	140	obj	_	TokenRange=801:808
143	consist	_	VERB	VERB	_	58	parataxis	_	TokenRange=809:816
144	desvios	desvio	NOUN	NOUN	_	143	obj	_	TokenRange=817:824
145	de	de	ADP	ADP	_	148	case	_	TokenRange=825:827
146	mais	mais	ADV	ADV	_	150	advmod	_	TokenRange=828:832
147	de	de	ADP	ADP	_	146	case	_	TokenRange=833:835
148	r	r	NOUN	NOUN	_	144	nmod	_	TokenRange=836:837
149	100	_	NUM	NUM	NumType=Card	150	nummod	_	TokenRange=838:841
150	milhoes	_	NUM	NUM	NumType=Card	148	nummod	_	TokenRange=842:849
151	em	em	ADP	ADP	_	152	case	_	TokenRange=850:852
152	emprestimos	emprestimo	NOUN	NOUN	_	144	nmod	_	TokenRange=853:864
153	consignados	consignar	VERB	VERB	_	152	acl	_	TokenRange=865:876
154-155	no	_	_	_	_	_	_	_	TokenRange=877:879
154	em	em	ADP	ADP	_	156	case	_	_
155	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	156	det	_	_
156	ambito	ambito	NOUN	NOUN	_	153	nmod	_	TokenRange=880:886
157-158	do	_	_	_	_	_	_	_	TokenRange=887:889
157	de	de	ADP	ADP	_	159	case	_	_
158	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	159	det	_	_
159	ministerio	ministerio	NOUN	NOUN	_	156	nmod	_	TokenRange=890:900
160-161	do	_	_	_	_	_	_	_	TokenRange=901:903
160	de	de	ADP	ADP	_	162	case	_	_
161	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	162	det	_	_
162	planejamento	planejamento	NOUN	NOUN	_	159	nmod	_	TokenRange=904:916
163	um	_	PRON	PRON	_	263	nsubj	_	TokenRange=917:919
164-165	dos	_	_	_	_	_	_	_	TokenRange=920:923
164	de	de	ADP	ADP	_	166	case	_	_
165	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	166	det	_	_
166	suspeitos	suspeito	NOUN	NOUN	_	163	nmod	_	TokenRange=924:933
167	de	_	ADP	ADP	_	168	mark	_	TokenRange=934:936
168	liderar	liderar	VERB	VERB	_	166	nmod	_	TokenRange=937:944
169	o	o	DET	DET	_	170	det	_	TokenRange=945:946
170	esquema	esquema	NOUN	NOUN	_	168	obj	_	TokenRange=947:954
171	e	e	CCONJ	CONJ	_	173	cc	_	TokenRange=955:956
172	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	TokenRange=957:958
173	exministro	exministro	NOUN	NOUN	_	263	conj	_	TokenRange=959:969
174	paulo	paulo	NOUN	NOUN	_	173	appos	_	TokenRange=970:975
175	bernardo	bernardo	NOUN	NOUN	_	174	flat	_	TokenRange=976:984
176	planejamento/governo	_	NOUN	NOUN	_	173	appos	_	TokenRange=985:1005
177	lula	_	NOUN	NOUN	_	174	flat	_	TokenRange=1006:1010
178	que	_	PRON	PRON	_	179	nsubj	_	TokenRange=1011:1014
179	comandou	comandar	VERB	VERB	_	173	acl:relcl	_	TokenRange=1015:1023
180	a	o	DET	DET	_	181	det	_	TokenRange=1024:1025
181	pasta	pasta	NOUN	NOUN	_	179	obj	_	TokenRange=1026:1031
182	as	o	DET	DET	_	183	det	_	TokenRange=1032:1034
183	cifras	cifra	NOUN	NOUN	_	179	nsubj	_	TokenRange=1035:1041
184	investigadas	investigar	VERB	VERB	_	183	acl	_	TokenRange=1042:1054
185-186	nas	_	_	_	_	_	_	_	TokenRange=1055:1058
185	em	em	ADP	ADP	_	187	case	_	_
186	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	187	det	_	_
187	operacoes	operacoe	NOUN	NOUN	_	184	nmod	_	TokenRange=1059:1068
188	fazem	fazer	VERB	VERB	_	58	parataxis	_	TokenRange=1069:1074
189	parte	parte	NOUN	NOUN	_	188	obj	_	TokenRange=1075:1080
190	de	de	ADP	ADP	_	193	case	_	TokenRange=1081:1083
191	um	um	DET	DET	_	193	det	_	TokenRange=1084:1086
192	gigantesco	gigantesco	ADJ	ADJ	_	193	amod	_	TokenRange=1087:1097
193	valor	valor	NOUN	NOUN	_	189	nmod	_	TokenRange=1098:1103
194	apontado	apontar	VERB	VERB	_	193	acl	_	TokenRange=1104:1112
195-196	pela	_	_	_	_	_	_	_	TokenRange=1113:1117
195	por	por	ADP	ADP	_	197	case	_	_
196	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	197	det	_	_
197	organizacao	organizacao	NOUN	NOUN	_	194	nmod	_	TokenRange=1118:1129
198-199	das	_	_	_	_	_	_	_	TokenRange=1130:1133
198	de	de	ADP	ADP	_	200	case	_	_
199	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	200	det	_	_
200	nacoes	nacoe	NOUN	NOUN	_	197	nmod	_	TokenRange=1134:1140
201	unidas	unido	ADJ	ADJ	_	200	amod	_	TokenRange=1141:1147
202	onu	onu	NOUN	NOUN	_	38	appos	_	TokenRange=1148:1151
203	e	e	CCONJ	CONJ	_	204	cc	_	TokenRange=1152:1153
204	destacado	destacar	VERB	VERB	_	194	conj	_	TokenRange=1154:1163
205-206	pela	_	_	_	_	_	_	_	TokenRange=1164:1168
205	por	por	ADP	ADP	_	207	case	_	_
206	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	207	det	_	_
207	procuradora	procurador	NOUN	NOUN	_	204	nmod	_	TokenRange=1169:1180
208	thamea	_	NOUN	NOUN	_	207	appos	_	TokenRange=1181:1187
209	danelon	_	PROPN	PNOUN	_	208	flat	_	TokenRange=1188:1195
210	a	o	DET	DET	_	211	det	_	TokenRange=1196:1197
211	onu	onu	NOUN	NOUN	_	212	nsubj	_	TokenRange=1198:1201
212	estima	estimar	VERB	VERB	_	58	parataxis	_	TokenRange=1202:1208
213	que	que	CCONJ	CONJ	_	220	mark	_	TokenRange=1209:1212
214	por	por	ADP	ADP	_	215	case	_	TokenRange=1213:1216
215	ano	ano	NOUN	NOUN	_	220	nmod	_	TokenRange=1217:1220
216-217	no	_	_	_	_	_	_	_	TokenRange=1221:1223
216	em	em	ADP	ADP	_	218	case	_	_
217	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	218	det	_	_
218	brasil	brasil	NOUN	NOUN	_	220	nmod	_	TokenRange=1224:1230
219	sejam	ser	AUX	AUX	_	220	aux:pass	_	TokenRange=1231:1236
220	desviados	desviar	VERB	VERB	_	212	ccomp	_	TokenRange=1237:1246
221	r	r	NOUN	NOUN	_	220	nsubj:pass	_	TokenRange=1247:1248
222	200	_	NUM	NUM	NumType=Card	223	nummod	_	TokenRange=1249:1252
223	bilhoes	_	NUM	NUM	NumType=Card	220	nsubj:pass	_	TokenRange=1253:1260
224	somente	somente	ADV	ADV	_	230	advmod	_	TokenRange=1261:1268
225-226	pela	_	_	_	_	_	_	_	TokenRange=1269:1273
225	por	por	ADP	ADP	_	227	case	_	_
226	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	227	det	_	_
227	corrupcao	corrupcao	NOUN	NOUN	_	220	nmod	_	TokenRange=1274:1283
228	esse	_	DET	DET	_	229	det	_	TokenRange=1284:1288
229	valor	valor	NOUN	NOUN	_	230	nsubj	_	TokenRange=1289:1294
230	equivale	equivaler	VERB	VERB	_	212	ccomp	_	TokenRange=1295:1303
231	a	_	ADP	ADP	_	233	case	_	TokenRange=1304:1305
232	tres	_	NUM	NUM	NumType=Card	233	nummod	_	TokenRange=1306:1310
233	vezes	vez	NOUN	NOUN	_	230	nmod	_	TokenRange=1311:1316
234	o	o	DET	DET	_	235	det	_	TokenRange=1317:1318
235	orcamento	orcamento	NOUN	NOUN	_	230	obj	_	TokenRange=1319:1328
236-237	da	_	_	_	_	_	_	_	TokenRange=1329:1331
236	de	de	ADP	ADP	_	238	case	_	_
237	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	238	det	_	_
238	educacao	educacao	NOUN	NOUN	_	235	nmod	_	TokenRange=1332:1340
239	e	e	CCONJ	CONJ	_	243	cc	_	TokenRange=1341:1342
240	cinco	_	NUM	NUM	NumType=Card	241	nummod	_	TokenRange=1343:1348
241	vezes	vez	NOUN	NOUN	_	243	nmod	_	TokenRange=1349:1354
242	o	o	DET	DET	_	243	det	_	TokenRange=1355:1356
243	orcamento	orcamento	NOUN	NOUN	_	235	conj	_	TokenRange=1357:1366
244-245	da	_	_	_	_	_	_	_	TokenRange=1367:1369
244	de	de	ADP	ADP	_	246	case	_	_
245	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	246	det	_	_
246	seguranca	_	NOUN	NOUN	_	243	nmod	_	TokenRange=1370:1379
247	publica	publico	ADJ	ADJ	_	246	amod	_	TokenRange=1380:1387
248	afirma	afirmar	VERB	VERB	_	230	conj	_	TokenRange=1388:1394
249	nosso	_	DET	DET	_	250	det:poss	_	TokenRange=1395:1400
250	indice	indice	NOUN	NOUN	_	248	obj	_	TokenRange=1401:1407
251	de	de	ADP	ADP	_	252	case	_	TokenRange=1408:1410
252	escolaridade	escolaridade	NOUN	NOUN	_	250	nmod	_	TokenRange=1411:1423
253	e	e	CCONJ	CONJ	_	254	cc	_	TokenRange=1424:1425
254	baixissimo	baixissimo	ADJ	ADJ	_	252	conj	_	TokenRange=1426:1436
255	por	por	ADP	ADP	_	259	case	_	TokenRange=1437:1440
256	conta	conta	NOUN	NOUN	_	255	fixed	_	TokenRange=1441:1446
257-258	da	_	_	_	_	_	_	_	TokenRange=1447:1449
257	de	de	ADP	ADP	_	255	case	_	_
258	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	255	det	_	_
259	corrupcao	corrupcao	NOUN	NOUN	_	263	nmod	_	TokenRange=1450:1459
260	o	o	DET	DET	_	261	det	_	TokenRange=1460:1461
261	dinheiro	dinheiro	NOUN	NOUN	_	263	nsubj	_	TokenRange=1462:1470
262	nao	nao	ADV	ADV	Polarity=Neg	263	advmod	_	TokenRange=1471:1474
263	chega	chegar	VERB	VERB	_	248	advcl	_	TokenRange=1475:1480
264-265	na	_	_	_	_	_	_	_	TokenRange=1481:1483
264	em	em	ADP	ADP	_	266	case	_	_
265	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	266	det	_	_
266	creche	creche	NOUN	NOUN	_	263	nmod	_	TokenRange=1484:1490
267-268	nas	_	_	_	_	_	_	_	TokenRange=1491:1494
267	em	em	ADP	ADP	_	269	case	_	_
268	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	269	det	_	_
269	escola	escola	NOUN	NOUN	_	266	nmod	_	TokenRange=1495:1501
270-271	nos	_	_	_	_	_	_	_	TokenRange=1502:1505
270	em	em	ADP	ADP	_	272	case	_	_
271	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	272	det	_	_
272	livros	livro	NOUN	NOUN	_	269	nmod	_	TokenRange=1506:1512
273	e	e	CCONJ	CONJ	_	275	cc	_	TokenRange=1513:1514
274	nao	nao	ADV	ADV	Polarity=Neg	275	advmod	_	TokenRange=1515:1518
275	chega	chegar	VERB	VERB	_	263	conj	_	TokenRange=1519:1524
276-277	nos	_	_	_	_	_	_	_	TokenRange=1525:1528
276	em	em	ADP	ADP	_	278	case	_	_
277	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	278	det	_	_
278	salarios	salario	NOUN	NOUN	_	275	nmod	_	TokenRange=1529:1537
279-280	dos	_	_	_	_	_	_	_	TokenRange=1538:1541
279	de	de	ADP	ADP	_	281	case	_	_
280	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	281	det	_	_
281	professores	professor	NOUN	NOUN	_	278	nmod	_	TokenRange=1542:1553
282	a	o	DET	DET	_	283	det	_	TokenRange=1554:1555
283	corrupcao	corrupcao	NOUN	NOUN	_	287	nsubj	_	TokenRange=1556:1565
284	e	e	CCONJ	CONJ	_	287	cc	_	TokenRange=1566:1567
285	a	o	DET	DET	_	287	det	_	TokenRange=1568:1569
286	maior	maior	ADJ	ADJ	_	287	amod	_	TokenRange=1570:1575
287	vila	vila	NOUN	NOUN	_	263	conj	_	SpacesAfter=\s\s|TokenRange=1576:1580

