# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda a crise politica no paraguai apos aprovacao da reeleicao no senado segundo mandato e proibido a presidentes paraguaios desde o fim da ditadura stroessner projeto acirrou os animos no pais vizinho levando a invasao do congresso na sextafeira 31 a aprovacao no senado de uma emenda que permite a reeleicao do presidente horacio cartes em 2018 impulsionou uma intensa crise politica no pais para os opositores do governo conservador a reeleicao fragilizaria as instituicoes democraticas cerca de mil paraguaios se revoltaram com a aprovacao da mudanca na constituicao
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
87	democraticas	democratico	ADJ	ADJ	_	86	amod	_	TokenRange=479:491
88	cerca	cerca	ADV	ADV	_	90	advmod	_	TokenRange=492:497
89	de	de	ADP	ADP	_	88	case	_	TokenRange=498:500
90	mil	_	NUM	NUM	NumType=Card	91	nummod	_	TokenRange=501:504
91	paraguaios	_	NOUN	NOUN	_	84	nsubj	_	TokenRange=505:515
92	se	_	PRON	PRON	_	93	obj	_	TokenRange=516:518
93	revoltaram	revoltar	VERB	VERB	_	67	parataxis	_	TokenRange=519:529
94	com	com	ADP	ADP	_	96	case	_	TokenRange=530:533
95	a	o	DET	DET	_	96	det	_	TokenRange=534:535
96	aprovacao	aprovacao	NOUN	NOUN	_	93	nmod	_	TokenRange=536:545
97-98	da	_	_	_	_	_	_	_	TokenRange=546:548
97	de	de	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
99	mudanca	mudanca	NOUN	NOUN	_	96	nmod	_	TokenRange=549:556
100-101	na	_	_	_	_	_	_	_	TokenRange=557:559
100	em	em	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	constituicao	constituicao	NOUN	NOUN	_	99	nmod	_	SpacesAfter=\s\s|TokenRange=560:572

