# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delacoes da odebrecht licitacao da arena da amazonia teve acordo entre construtoras construtoras teriam combinado valores para levar vantagem na licitacao estadio de manaus recebeu quatro jogos da copa 2014 o expresidente do setor de operacoes estruturadas da odebrecht benedicto barbosa da silva junior relatou a existencia de um acordo entre a construtora e outra empresa do segmento a andrade gutierrez para frustrar a concorrencia na licitacao associada a construcao da arena da amazonia o estadio que teve obras coordenadas pela andrade gutierrez recebeu quatro jogos da copa do mundo em 2014 e seis da olimpiada do rio de janeiro em 2016 a andrade gutierrez disse que nao vai comentar o assunto em nota a odebrecht diz que a empresa esta colaborando com a justica ja reconheceu os seus erros pediu desculpas publicas assinou
1	delacoes	delacoe	NOUN	NOUN	_	12	nsubj	_	TokenRange=0:8
40	setor	setor	NOUN	NOUN	_	37	nmod	_	TokenRange=225:230
41	de	de	ADP	ADP	_	42	case	_	TokenRange=231:233
42	operacoes	operacoe	NOUN	NOUN	_	40	nmod	_	TokenRange=234:243
43	estruturadas	estruturado	ADJ	ADJ	_	42	amod	_	TokenRange=244:256
44-45	da	_	_	_	_	_	_	_	TokenRange=257:259
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	odebrecht	_	NOUN	NOUN	_	58	nmod	_	TokenRange=260:269
47	benedicto	benedicto	NOUN	NOUN	_	46	appos	_	TokenRange=270:279
48	barbosa	barbosa	NOUN	NOUN	_	47	flat	_	TokenRange=280:287
49-50	da	_	_	_	_	_	_	_	TokenRange=288:290
49	de	de	ADP	ADP	_	51	case	_	_
50	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	51	det	_	_
51	silva	silva	NOUN	NOUN	_	47	nmod	_	TokenRange=291:296
52	junior	junior	ADJ	ADJ	_	51	amod	_	TokenRange=297:303
53	relatou	relatar	VERB	VERB	_	12	parataxis	_	TokenRange=304:311
54	a	o	DET	DET	_	55	det	_	TokenRange=312:313
55	existencia	existencia	NOUN	NOUN	_	53	obj	_	TokenRange=314:324
56	de	de	ADP	ADP	_	58	case	_	TokenRange=325:327
57	um	um	DET	DET	_	58	det	_	TokenRange=328:330
58	acordo	acordo	NOUN	NOUN	_	55	nmod	_	TokenRange=331:337
59	entre	_	ADP	ADP	_	61	case	_	TokenRange=338:343
60	a	o	DET	DET	_	61	det	_	TokenRange=344:345
61	construtora	construtor	NOUN	NOUN	_	58	nmod	_	TokenRange=346:357
62	e	e	CCONJ	CONJ	_	64	cc	_	TokenRange=358:359
63	outra	_	DET	DET	_	64	det	_	TokenRange=360:365
64	empresa	empresa	NOUN	NOUN	_	61	conj	_	TokenRange=366:373
65-66	do	_	_	_	_	_	_	_	TokenRange=374:376
65	de	de	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	segmento	segmento	NOUN	NOUN	_	64	nmod	_	TokenRange=377:385
68	a	_	DET	DET	_	69	det	_	TokenRange=386:387
69	andrade	andrade	NOUN	NOUN	_	29	obj	_	TokenRange=388:395
70	gutierrez	gutierrez	ADJ	ADJ	_	69	flat	_	TokenRange=396:405
71	para	_	ADP	ADP	_	72	mark	_	TokenRange=406:410
72	frustrar	frustrar	VERB	VERB	_	29	advcl	_	TokenRange=411:419
73	a	o	DET	DET	_	74	det	_	TokenRange=420:421
74	concorrencia	concorrencia	NOUN	NOUN	_	72	obj	_	TokenRange=422:434
75-76	na	_	_	_	_	_	_	_	TokenRange=435:437
75	em	em	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	licitacao	licitacao	NOUN	NOUN	_	74	nmod	_	TokenRange=438:447
78	associada	associado	ADJ	ADJ	_	77	amod	_	TokenRange=448:457
79	a	_	ADP	ADP	_	80	case	_	TokenRange=458:459
80	construcao	construcao	NOUN	NOUN	_	78	nmod	_	TokenRange=460:470
81-82	da	_	_	_	_	_	_	_	TokenRange=471:473
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	arena	arena	NOUN	NOUN	_	80	nmod	_	TokenRange=474:479
84-85	da	_	_	_	_	_	_	_	TokenRange=480:482
84	de	de	ADP	ADP	_	86	case	_	_
85	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	86	det	_	_
86	amazonia	amazonia	NOUN	NOUN	_	83	nmod	_	TokenRange=483:491
87	o	o	DET	DET	_	88	det	_	TokenRange=492:493
88	estadio	estadio	NOUN	NOUN	_	29	nsubj	_	TokenRange=494:501
89	que	_	PRON	PRON	_	90	nsubj	_	TokenRange=502:505
90	teve	ter	VERB	VERB	_	88	acl:relcl	_	TokenRange=506:510
91	obras	obra	NOUN	NOUN	_	90	obj	_	TokenRange=511:516
92	coordenadas	coordenar	VERB	VERB	_	91	acl	_	TokenRange=517:528
93-94	pela	_	_	_	_	_	_	_	TokenRange=529:533
93	por	por	ADP	ADP	_	95	case	_	_
94	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
95	andrade	andrade	NOUN	NOUN	_	92	nmod	_	TokenRange=534:541
96	gutierrez	gutierrez	ADJ	ADJ	_	95	flat	_	TokenRange=542:551
97	recebeu	receber	VERB	VERB	_	123	ccomp	_	TokenRange=552:559
98	quatro	_	NUM	NUM	NumType=Card	99	nummod	_	TokenRange=560:566
99	jogos	jogo	NOUN	NOUN	_	97	obj	_	TokenRange=567:572
100-101	da	_	_	_	_	_	_	_	TokenRange=573:575
100	de	de	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	copa	copa	NOUN	NOUN	_	99	nmod	_	TokenRange=576:580
103-104	do	_	_	_	_	_	_	_	TokenRange=581:583
103	de	de	ADP	ADP	_	105	case	_	_
104	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	105	det	_	_
105	mundo	mundo	NOUN	NOUN	_	102	nmod	_	TokenRange=584:589
106	em	em	ADP	ADP	_	107	case	_	TokenRange=590:592
107	2014	_	NUM	NUM	NumType=Card	102	nmod	_	TokenRange=593:597
108	e	e	CCONJ	CONJ	_	109	cc	_	TokenRange=598:599
109	seis	_	NUM	NUM	NumType=Card	99	conj	_	TokenRange=600:604
110-111	da	_	_	_	_	_	_	_	TokenRange=605:607
110	de	de	ADP	ADP	_	112	case	_	_
111	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	112	det	_	_
112	olimpiada	olimpiada	NOUN	NOUN	_	109	nmod	_	TokenRange=608:617
113-114	do	_	_	_	_	_	_	_	TokenRange=618:620
113	de	de	ADP	ADP	_	115	case	_	_
114	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	115	det	_	_
115	rio	_	NOUN	NOUN	_	112	nmod	_	TokenRange=621:624
116	de	de	ADP	ADP	_	117	case	_	TokenRange=625:627
117	janeiro	_	PROPN	PNOUN	_	115	nmod	_	TokenRange=628:635
118	em	em	ADP	ADP	_	119	case	_	TokenRange=636:638
119	2016	_	NUM	NUM	NumType=Card	92	nmod	_	TokenRange=639:643
120	a	o	DET	DET	_	121	det	_	TokenRange=644:645
121	andrade	andrade	NOUN	NOUN	_	123	nsubj	_	TokenRange=646:653
122	gutierrez	gutierrez	NOUN	NOUN	_	121	flat	_	TokenRange=654:663
123	disse	dizer	VERB	VERB	_	12	conj	_	TokenRange=664:669
124	que	que	CCONJ	CONJ	_	127	mark	_	TokenRange=670:673
125	nao	nao	ADV	ADV	Polarity=Neg	127	advmod	_	TokenRange=674:677
126	vai	ir	AUX	AUX	_	127	aux	_	TokenRange=678:681
127	comentar	comentar	VERB	VERB	_	123	ccomp	_	TokenRange=682:690
128	o	o	DET	DET	_	129	det	_	TokenRange=691:692
129	assunto	assunto	NOUN	NOUN	_	127	obj	_	TokenRange=693:700
130	em	em	ADP	ADP	_	131	case	_	TokenRange=701:703
131	nota	nota	NOUN	NOUN	_	127	nmod	_	TokenRange=704:708
132	a	o	DET	DET	_	133	det	_	TokenRange=709:710
133	odebrecht	_	PROPN	PNOUN	_	134	nsubj	_	TokenRange=711:720
134	diz	dizer	VERB	VERB	_	123	ccomp	_	TokenRange=721:724
135	que	que	CCONJ	CONJ	_	139	mark	_	TokenRange=725:728
136	a	o	DET	DET	_	137	det	_	TokenRange=729:730
137	empresa	empresa	NOUN	NOUN	_	139	nsubj	_	TokenRange=731:738
138	esta	_	AUX	AUX	_	139	aux	_	TokenRange=739:743
139	colaborando	colaborar	VERB	VERB	_	134	ccomp	_	TokenRange=744:755
140	com	com	ADP	ADP	_	142	case	_	TokenRange=756:759
141	a	o	DET	DET	_	142	det	_	TokenRange=760:761
142	justica	_	NOUN	NOUN	_	139	nmod	_	TokenRange=762:769
143	ja	ja	ADV	ADV	_	144	advmod	_	TokenRange=770:772
144	reconheceu	reconhecer	VERB	VERB	_	139	conj	_	TokenRange=773:783
145	os	o	DET	DET	_	147	det	_	TokenRange=784:786
146	seus	_	DET	DET	_	147	det:poss	_	TokenRange=787:791
147	erros	erro	NOUN	NOUN	_	144	obj	_	TokenRange=792:797
148	pediu	pedir	VERB	VERB	_	134	ccomp	_	TokenRange=798:803
149	desculpas	desculpa	NOUN	NOUN	_	148	obj	_	TokenRange=804:813
150	publicas	publico	ADJ	ADJ	_	149	amod	_	TokenRange=814:822
151	assinou	assinar	VERB	VERB	_	148	parataxis	_	SpacesAfter=\s\s|TokenRange=823:830

