# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na onda da lava jato policiais federais planejam se candidatar em 18 estados a fotografia do expresidente da camara eduardo cunha pmdbrj caminhando com o semblante preocupado em direcao ao aviao que o levaria para curitiba em 19 de outubro de 2016 pode ser o registro em imagem da morte da sua carreira politica gracas a uma decisao do juiz federal sergio moro o exdeputado trocaria naquele momento os gabinetes de brasilia por uma cela de cadeia do parana um passo atras aparece no retrato o agente da policia federal lucas valenca a pinta de gala despertou curiosidade o coque amarrado no topo da cabeca no estilo samurai e a barba cerrada renderam os apelidos de lenhador da federal e hipster da federal estrangeirismo ingles que define a pessoa que inventa moda a cena no aeroporto da capital pode ser a certidao de nascimento da sua carreira politica o hipster pensa em ser deputado assim como valenca cerca de 30 agentes e delegados da pf pretendem se aventurar nas eleicoes de 2018 a fenapef federacao nacional dos policiais federais que representa todas as carreiras da pf
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
28	com	com	ADP	ADP	_	30	case	_	TokenRange=148:151
29	o	o	DET	DET	_	30	det	_	TokenRange=152:153
30	semblante	semblante	NOUN	NOUN	_	27	nmod	_	TokenRange=154:163
31	preocupado	preocupado	ADJ	ADJ	_	30	amod	_	TokenRange=164:174
32	em	em	ADP	ADP	_	33	case	_	TokenRange=175:177
33	direcao	direcao	NOUN	NOUN	_	27	nmod	_	TokenRange=178:185
34-35	ao	_	_	_	_	_	_	_	TokenRange=186:188
34	a	a	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	aviao	aviao	NOUN	NOUN	_	33	nmod	_	TokenRange=189:194
37	que	_	PRON	PRON	_	39	nsubj	_	TokenRange=195:198
38	o	_	PRON	PRON	_	39	obj	_	TokenRange=199:200
39	levaria	levar	VERB	VERB	_	36	acl:relcl	_	TokenRange=201:208
40	para	para	ADP	ADP	_	41	case	_	TokenRange=209:213
41	curitiba	curitiba	NOUN	NOUN	_	39	nmod	_	TokenRange=214:222
42	em	em	ADP	ADP	_	43	case	_	TokenRange=223:225
43	19	_	NUM	NUM	NumType=Card	39	nmod	_	TokenRange=226:228
44	de	de	ADP	ADP	_	45	case	_	TokenRange=229:231
45	outubro	_	PROPN	PNOUN	_	43	nmod	_	TokenRange=232:239
46	de	de	ADP	ADP	_	47	case	_	TokenRange=240:242
47	2016	_	NUM	NUM	NumType=Card	45	nmod	_	TokenRange=243:247
48	pode	_	AUX	AUX	_	51	aux	_	TokenRange=248:252
49	ser	ser	AUX	AUX	_	51	cop	_	TokenRange=253:256
50	o	o	DET	DET	_	51	det	_	TokenRange=257:258
51	registro	registro	NOUN	NOUN	_	10	parataxis	_	TokenRange=259:267
52	em	em	ADP	ADP	_	53	case	_	TokenRange=268:270
53	imagem	imagem	NOUN	NOUN	_	51	nmod	_	TokenRange=271:277
54-55	da	_	_	_	_	_	_	_	TokenRange=278:280
54	de	de	ADP	ADP	_	56	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	_
56	morte	morte	NOUN	NOUN	_	53	nmod	_	TokenRange=281:286
57-58	da	_	_	_	_	_	_	_	TokenRange=287:289
57	de	de	ADP	ADP	_	60	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
59	sua	_	DET	DET	_	60	det:poss	_	TokenRange=290:293
60	carreira	_	NOUN	NOUN	_	56	nmod	_	TokenRange=294:302
61	politica	politico	ADJ	ADJ	_	60	amod	_	TokenRange=303:311
62	gracas	_	ADV	ADV	_	160	advmod	_	TokenRange=312:318
63	a	_	ADP	ADP	_	65	case	_	TokenRange=319:320
64	uma	um	DET	DET	_	65	det	_	TokenRange=321:324
65	decisao	decisao	NOUN	NOUN	_	62	nmod	_	TokenRange=325:332
66-67	do	_	_	_	_	_	_	_	TokenRange=333:335
66	de	de	ADP	ADP	_	68	case	_	_
67	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	68	det	_	_
68	juiz	juiz	NOUN	NOUN	_	65	nmod	_	TokenRange=336:340
69	federal	federal	ADJ	ADJ	_	68	amod	_	TokenRange=341:348
70	sergio	sergio	NOUN	NOUN	_	68	appos	_	TokenRange=349:355
71	moro	moro	NOUN	NOUN	_	70	flat	_	TokenRange=356:360
72	o	o	DET	DET	_	73	det	_	TokenRange=361:362
73	exdeputado	exdeputado	NOUN	NOUN	_	186	nsubj	_	TokenRange=363:373
74	trocaria	trocar	VERB	VERB	_	51	parataxis	_	TokenRange=374:382
75	naquele	_	ADP	ADP	_	76	case	_	TokenRange=383:390
76	momento	momento	NOUN	NOUN	_	74	nmod	_	TokenRange=391:398
77	os	o	DET	DET	_	78	det	_	TokenRange=399:401
78	gabinetes	gabinete	NOUN	NOUN	_	74	obj	_	TokenRange=402:411
79	de	de	ADP	ADP	_	80	case	_	TokenRange=412:414
80	brasilia	brasilia	NOUN	NOUN	_	78	nmod	_	TokenRange=415:423
81	por	por	ADP	ADP	_	83	case	_	TokenRange=424:427
82	uma	um	DET	DET	_	83	det	_	TokenRange=428:431
83	cela	cela	NOUN	NOUN	_	188	nmod	_	TokenRange=432:436
84	de	de	ADP	ADP	_	85	case	_	TokenRange=437:439
85	cadeia	cadeia	NOUN	NOUN	_	83	nmod	_	TokenRange=440:446
86-87	do	_	_	_	_	_	_	_	TokenRange=447:449
86	de	de	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	parana	parana	NOUN	NOUN	_	83	nmod	_	TokenRange=450:456
89	um	um	DET	DET	_	90	det	_	TokenRange=457:459
90	passo	passo	NOUN	NOUN	_	186	nmod	_	TokenRange=460:465
91	atras	atras	ADV	ADV	_	90	advmod	_	TokenRange=466:471
92	aparece	aparecer	VERB	VERB	_	10	parataxis	_	TokenRange=472:479
93-94	no	_	_	_	_	_	_	_	TokenRange=480:482
93	em	em	ADP	ADP	_	95	case	_	_
94	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	95	det	_	_
95	retrato	retrato	NOUN	NOUN	_	92	nmod	_	TokenRange=483:490
96	o	o	DET	DET	_	97	det	_	TokenRange=491:492
97	agente	agente	NOUN	NOUN	_	92	nsubj	_	TokenRange=493:499
98-99	da	_	_	_	_	_	_	_	TokenRange=500:502
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	policia	policia	NOUN	NOUN	_	97	nmod	_	TokenRange=503:510
101	federal	federal	ADJ	ADJ	_	100	amod	_	TokenRange=511:518
102	lucas	_	NOUN	NOUN	_	97	appos	_	TokenRange=519:524
103	valenca	_	NOUN	NOUN	_	100	appos	_	TokenRange=525:532
104	a	o	DET	DET	_	105	det	_	TokenRange=533:534
105	pinta	pinta	NOUN	NOUN	_	108	nsubj	_	TokenRange=535:540
106	de	de	ADP	ADP	_	107	case	_	TokenRange=541:543
107	gala	gala	NOUN	NOUN	_	105	nmod	_	TokenRange=544:548
108	despertou	despertar	VERB	VERB	_	97	acl:relcl	_	TokenRange=549:558
109	curiosidade	curiosidade	NOUN	NOUN	_	108	obj	_	TokenRange=559:570
110	o	o	DET	DET	_	111	det	_	TokenRange=571:572
111	coque	coque	NOUN	NOUN	_	108	nsubj	_	TokenRange=573:578
112	amarrado	amarrado	ADJ	ADJ	_	111	amod	_	TokenRange=579:587
113-114	no	_	_	_	_	_	_	_	TokenRange=588:590
113	em	em	ADP	ADP	_	115	case	_	_
114	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	115	det	_	_
115	topo	topo	NOUN	NOUN	_	111	nmod	_	TokenRange=591:595
116-117	da	_	_	_	_	_	_	_	TokenRange=596:598
116	de	de	ADP	ADP	_	118	case	_	_
117	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	118	det	_	_
118	cabeca	cabeca	NOUN	NOUN	_	115	nmod	_	TokenRange=599:605
119-120	no	_	_	_	_	_	_	_	TokenRange=606:608
119	em	em	ADP	ADP	_	121	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	_
121	estilo	estilo	NOUN	NOUN	_	203	nmod	_	TokenRange=609:615
122	samurai	samurai	ADJ	ADJ	_	121	amod	_	TokenRange=616:623
123	e	e	CCONJ	CONJ	_	125	cc	_	TokenRange=624:625
124	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	125	det	_	TokenRange=626:627
125	barba	barba	NOUN	NOUN	_	180	conj	_	TokenRange=628:633
126	cerrada	cerrado	ADJ	ADJ	_	125	amod	_	TokenRange=634:641
127	renderam	render	VERB	VERB	_	10	conj	_	TokenRange=642:650
128	os	o	DET	DET	_	129	det	_	TokenRange=651:653
129	apelidos	apelido	NOUN	NOUN	_	127	obj	_	TokenRange=654:662
130	de	de	ADP	ADP	_	131	case	_	TokenRange=663:665
131	lenhador	lenhador	NOUN	NOUN	_	129	nmod	_	TokenRange=666:674
132-133	da	_	_	_	_	_	_	_	TokenRange=675:677
132	de	de	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	federal	federal	NOUN	NOUN	_	131	nmod	_	TokenRange=678:685
135	e	e	CCONJ	CONJ	_	136	cc	_	TokenRange=686:687
136	hipster	hipster	NOUN	NOUN	_	131	conj	_	TokenRange=688:695
137-138	da	_	_	_	_	_	_	_	TokenRange=696:698
137	de	de	ADP	ADP	_	139	case	_	_
138	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	139	det	_	_
139	federal	federal	ADJ	ADJ	_	136	nmod	_	TokenRange=699:706
140	estrangeirismo	estrangeirismo	NOUN	NOUN	_	136	nmod	_	TokenRange=707:721
141	ingles	ingle	ADJ	ADJ	_	140	amod	_	TokenRange=722:728
142	que	_	PRON	PRON	_	143	nsubj	_	TokenRange=729:732
143	define	definir	VERB	VERB	_	131	acl:relcl	_	TokenRange=733:739
144	a	o	DET	DET	_	145	det	_	TokenRange=740:741
145	pessoa	pessoa	NOUN	NOUN	_	143	obj	_	TokenRange=742:748
146	que	_	PRON	PRON	_	147	nsubj	_	TokenRange=749:752
147	inventa	inventar	VERB	VERB	_	145	acl:relcl	_	TokenRange=753:760
148	moda	moda	NOUN	NOUN	_	147	obj	_	TokenRange=761:765
149	a	o	DET	DET	_	150	det	_	TokenRange=766:767
150	cena	cena	NOUN	NOUN	_	39	nsubj	_	TokenRange=768:772
151-152	no	_	_	_	_	_	_	_	TokenRange=773:775
151	em	em	ADP	ADP	_	153	case	_	_
152	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	153	det	_	_
153	aeroporto	aeroporto	NOUN	NOUN	_	150	nmod	_	TokenRange=776:785
154-155	da	_	_	_	_	_	_	_	TokenRange=786:788
154	de	de	ADP	ADP	_	156	case	_	_
155	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	156	det	_	_
156	capital	capital	NOUN	NOUN	_	153	nmod	_	TokenRange=789:796
157	pode	_	AUX	AUX	_	160	aux	_	TokenRange=797:801
158	ser	ser	AUX	AUX	_	160	cop	_	TokenRange=802:805
159	a	o	DET	DET	_	160	det	_	TokenRange=806:807
160	certidao	certidao	NOUN	NOUN	_	51	acl:relcl	_	TokenRange=808:816
161	de	de	ADP	ADP	_	162	case	_	TokenRange=817:819
162	nascimento	nascimento	NOUN	NOUN	_	160	nmod	_	TokenRange=820:830
163-164	da	_	_	_	_	_	_	_	TokenRange=831:833
163	de	de	ADP	ADP	_	166	case	_	_
164	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	166	det	_	_
165	sua	_	DET	DET	_	166	det:poss	_	TokenRange=834:837
166	carreira	_	NOUN	NOUN	_	162	nmod	_	TokenRange=838:846
167	politica	politico	ADJ	ADJ	_	166	amod	_	TokenRange=847:855
168	o	o	DET	DET	_	169	det	_	TokenRange=856:857
169	hipster	hipster	NOUN	NOUN	_	170	nsubj	_	TokenRange=858:865
170	pensa	pensar	VERB	VERB	_	51	parataxis	_	TokenRange=866:871
171	em	_	ADP	ADP	_	173	mark	_	TokenRange=872:874
172	ser	ser	AUX	AUX	_	173	cop	_	TokenRange=875:878
173	deputado	deputado	NOUN	NOUN	_	170	nmod	_	TokenRange=879:887
174	assim	assim	ADV	ADV	_	176	case	_	TokenRange=888:893
175	como	_	ADP	ADP	_	174	fixed	_	TokenRange=894:898
176	valenca	_	NOUN	NOUN	_	186	nmod	_	TokenRange=899:906
177	cerca	cerca	ADV	ADV	_	179	advmod	_	TokenRange=907:912
178	de	de	ADP	ADP	_	177	case	_	TokenRange=913:915
179	30	_	NUM	NUM	NumType=Card	180	nummod	_	TokenRange=916:918
180	agentes	agente	NOUN	NOUN	_	186	nsubj	_	TokenRange=919:926
181	e	e	CCONJ	CONJ	_	182	cc	_	TokenRange=927:928
182	delegados	delegado	NOUN	NOUN	_	180	conj	_	TokenRange=929:938
183-184	da	_	_	_	_	_	_	_	TokenRange=939:941
183	de	de	ADP	ADP	_	185	case	_	_
184	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	185	det	_	_
185	pf	_	NOUN	NOUN	_	180	nmod	_	TokenRange=942:944
186	pretendem	pretender	VERB	VERB	_	170	advcl	_	TokenRange=945:954
187	se	_	PRON	PRON	_	188	obj	_	TokenRange=955:957
188	aventurar	aventurar	VERB	VERB	_	186	xcomp	_	TokenRange=958:967
189-190	nas	_	_	_	_	_	_	_	TokenRange=968:971
189	em	em	ADP	ADP	_	191	case	_	_
190	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	191	det	_	_
191	eleicoes	eleicoe	NOUN	NOUN	_	188	nmod	_	TokenRange=972:980
192	de	de	ADP	ADP	_	193	case	_	TokenRange=981:983
193	2018	_	NUM	NUM	NumType=Card	191	nmod	_	TokenRange=984:988
194	a	o	DET	DET	_	195	det	_	TokenRange=989:990
195	fenapef	_	NOUN	NOUN	_	186	nsubj	_	TokenRange=991:998
196	federacao	federacao	NOUN	NOUN	_	195	appos	_	TokenRange=999:1008
197	nacional	nacional	ADJ	ADJ	_	196	amod	_	TokenRange=1009:1017
198-199	dos	_	_	_	_	_	_	_	TokenRange=1018:1021
198	de	de	ADP	ADP	_	200	case	_	_
199	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	200	det	_	_
200	policiais	policial	NOUN	NOUN	_	97	nmod	_	TokenRange=1022:1031
201	federais	federal	ADJ	ADJ	_	200	amod	_	TokenRange=1032:1040
202	que	_	PRON	PRON	_	203	nsubj	_	TokenRange=1041:1044
203	representa	representar	VERB	VERB	_	196	acl:relcl	_	TokenRange=1045:1055
204	todas	_	DET	DET	_	206	det	_	TokenRange=1056:1061
205	as	o	DET	DET	_	206	det	_	TokenRange=1062:1064
206	carreiras	_	NOUN	NOUN	_	203	obj	_	TokenRange=1065:1074
207-208	da	_	_	_	_	_	_	_	TokenRange=1075:1077
207	de	de	ADP	ADP	_	209	case	_	_
208	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	209	det	_	_
209	pf	_	NOUN	NOUN	_	206	nmod	_	SpacesAfter=\s\s|TokenRange=1078:1080

