# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tretados com justin bieber parceiros de demi lovato e parentes do sugar ray conheca o cheat codes trio de musica eletronica/pop toca no lollapalooza 2018 no domingo 25 no palco perry as 17h15 o trio de dance pop cheat codes toca no domingo 25 de lollapalooza 2018 e pelo visto os codigos de trapaca nao sao apenas uma brincadeira para usar no nome do grupo esses caras conhecem bem os caminhos para zerar a vida ta pra falar a verdade os quatro ultimos itens sao de so um deles kevin ford um dos produtores e hype man do cheat codes ou seja o cara que sobe na mesa toca buzina balanca bandeira e agita o show o americano conversou com o
1	tretados	tretado	NOUN	NOUN	_	15	acl	_	TokenRange=0:8
24-25	no	_	_	_	_	_	_	_	TokenRange=133:135
24	em	em	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	lollapalooza	lollapalooza	NOUN	NOUN	_	23	nmod	_	TokenRange=136:148
27	2018	_	NUM	NUM	NumType=Card	26	nmod	_	TokenRange=149:153
28-29	no	_	_	_	_	_	_	_	TokenRange=154:156
28	em	em	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	domingo	_	PROPN	PNOUN	_	23	nmod	_	TokenRange=157:164
31	25	_	NUM	NUM	NumType=Card	30	appos	_	TokenRange=165:167
32-33	no	_	_	_	_	_	_	_	TokenRange=168:170
32	em	em	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	palco	palco	NOUN	NOUN	_	23	nmod	_	TokenRange=171:176
35	perry	perry	ADJ	ADJ	_	34	amod	_	TokenRange=177:182
36	as	o	DET	DET	_	37	det	_	TokenRange=183:185
37	17h15	_	NUM	NUM	NumType=Card	45	nmod	_	TokenRange=186:191
38	o	o	DET	DET	_	39	det	_	TokenRange=192:193
39	trio	trio	NOUN	NOUN	_	45	nsubj	_	TokenRange=194:198
40	de	de	ADP	ADP	_	41	case	_	TokenRange=199:201
41	dance	dance	NOUN	NOUN	_	39	nmod	_	TokenRange=202:207
42	pop	pop	NOUN	NOUN	_	41	flat	_	TokenRange=208:211
43	cheat	_	NOUN	NOUN	_	44	amod	_	TokenRange=212:217
44	codes	_	NOUN	NOUN	_	41	appos	_	TokenRange=218:223
45	toca	tocar	VERB	VERB	_	15	parataxis	_	TokenRange=224:228
46-47	no	_	_	_	_	_	_	_	TokenRange=229:231
46	em	em	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
48	domingo	_	PROPN	PNOUN	_	45	nmod	_	TokenRange=232:239
49	25	_	NUM	NUM	NumType=Card	48	nmod	_	TokenRange=240:242
50	de	de	ADP	ADP	_	51	case	_	TokenRange=243:245
51	lollapalooza	lollapalooza	NOUN	NOUN	_	48	nmod	_	TokenRange=246:258
52	2018	_	NUM	NUM	NumType=Card	51	nmod	_	TokenRange=259:263
53	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=264:265
54-55	pelo	_	_	_	_	_	_	_	TokenRange=266:270
54	por	por	ADP	ADP	_	56	case	_	_
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
56	visto	visto	NOUN	NOUN	_	65	nmod	_	TokenRange=271:276
57	os	o	DET	DET	_	58	det	_	TokenRange=277:279
58	codigos	codigo	NOUN	NOUN	_	65	nsubj	_	TokenRange=280:287
59	de	de	ADP	ADP	_	60	case	_	TokenRange=288:290
60	trapaca	trapaca	NOUN	NOUN	_	58	nmod	_	TokenRange=291:298
61	nao	nao	ADV	ADV	Polarity=Neg	65	advmod	_	TokenRange=299:302
62	sao	_	AUX	AUX	_	65	cop	_	TokenRange=303:306
63	apenas	apenas	ADV	ADV	_	65	advmod	_	TokenRange=307:313
64	uma	um	DET	DET	_	65	det	_	TokenRange=314:317
65	brincadeira	brincadeira	NOUN	NOUN	_	45	conj	_	TokenRange=318:329
66	para	_	ADP	ADP	_	67	mark	_	TokenRange=330:334
67	usar	usar	VERB	VERB	_	65	nmod	_	TokenRange=335:339
68-69	no	_	_	_	_	_	_	_	TokenRange=340:342
68	em	em	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	nome	nome	NOUN	NOUN	_	67	nmod	_	TokenRange=343:347
71-72	do	_	_	_	_	_	_	_	TokenRange=348:350
71	de	de	ADP	ADP	_	73	case	_	_
72	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	_
73	grupo	grupo	NOUN	NOUN	_	70	nmod	_	TokenRange=351:356
74	esses	_	DET	DET	_	75	det	_	TokenRange=357:362
75	caras	cara	NOUN	NOUN	_	76	nsubj	_	TokenRange=363:368
76	conhecem	conhecer	VERB	VERB	_	65	acl:relcl	_	TokenRange=369:377
77	bem	bem	ADV	ADV	_	76	advmod	_	TokenRange=378:381
78	os	o	DET	DET	_	79	det	_	TokenRange=382:384
79	caminhos	caminho	NOUN	NOUN	_	76	obj	_	TokenRange=385:393
80	para	_	ADP	ADP	_	81	mark	_	TokenRange=394:398
81	zerar	zerar	VERB	VERB	_	79	nmod	_	TokenRange=399:404
82	a	o	DET	DET	_	83	det	_	TokenRange=405:406
83	vida	vida	NOUN	NOUN	_	81	obj	_	TokenRange=407:411
84	ta	_	PRON	PRON	_	86	mark	_	TokenRange=412:414
85	pra	_	ADP	ADP	_	86	mark	_	TokenRange=415:418
86	falar	falar	VERB	VERB	_	67	advcl	_	TokenRange=419:424
87	a	o	DET	DET	_	88	det	_	TokenRange=425:426
88	verdade	verdade	NOUN	NOUN	_	86	obj	_	TokenRange=427:434
89	os	o	DET	DET	_	92	det	_	TokenRange=435:437
90	quatro	_	NUM	NUM	NumType=Card	92	nummod	_	TokenRange=438:444
91	ultimos	ultimo	ADJ	ADJ	_	92	amod	_	TokenRange=445:452
92	itens	item	NOUN	NOUN	_	93	nsubj	_	TokenRange=453:458
93	sao	_	VERB	VERB	_	65	parataxis	_	TokenRange=459:462
94	de	de	ADP	ADP	_	96	case	_	TokenRange=463:465
95	so	so	ADV	ADV	_	96	advmod	_	TokenRange=466:468
96	um	_	PRON	PRON	_	93	nmod	_	TokenRange=469:471
97	deles	_	X	ADPPRON	_	96	nmod	_	TokenRange=472:477
98	kevin	kevin	NOUN	NOUN	_	93	nsubj	_	TokenRange=478:483
99	ford	_	NOUN	NOUN	_	98	flat	_	TokenRange=484:488
100	um	_	PRON	PRON	_	98	appos	_	TokenRange=489:491
101-102	dos	_	_	_	_	_	_	_	TokenRange=492:495
101	de	de	ADP	ADP	_	103	case	_	_
102	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	103	det	_	_
103	produtores	produtor	NOUN	NOUN	_	100	nmod	_	TokenRange=496:506
104	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=507:508
105	hype	_	NOUN	NOUN	_	100	conj	_	TokenRange=509:513
106	man	man	NOUN	NOUN	_	105	flat	_	TokenRange=514:517
107-108	do	_	_	_	_	_	_	_	TokenRange=518:520
107	de	de	ADP	ADP	_	109	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	109	det	_	_
109	cheat	_	NOUN	NOUN	_	105	nmod	_	TokenRange=521:526
110	codes	_	NOUN	NOUN	_	109	flat	_	TokenRange=527:532
111	ou	ou	CCONJ	CONJ	_	130	cc	_	TokenRange=533:535
112	seja	ser	VERB	VERB	_	111	fixed	_	TokenRange=536:540
113	o	o	DET	DET	_	114	det	_	TokenRange=541:542
114	cara	cara	NOUN	NOUN	_	130	nsubj	_	TokenRange=543:547
115	que	_	PRON	PRON	_	116	nsubj	_	TokenRange=548:551
116	sobe	subir	VERB	VERB	_	114	acl:relcl	_	TokenRange=552:556
117-118	na	_	_	_	_	_	_	_	TokenRange=557:559
117	em	em	ADP	ADP	_	119	case	_	_
118	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	119	det	_	_
119	mesa	mesa	NOUN	NOUN	_	116	nmod	_	TokenRange=560:564
120	toca	tocar	VERB	VERB	_	114	acl:relcl	_	TokenRange=565:569
121	buzina	buzina	NOUN	NOUN	_	120	obj	_	TokenRange=570:576
122	balanca	_	VERB	VERB	_	120	conj	_	TokenRange=577:584
123	bandeira	bandeira	NOUN	NOUN	_	122	obj	_	TokenRange=585:593
124	e	e	CCONJ	CONJ	_	125	cc	_	TokenRange=594:595
125	agita	agitar	VERB	VERB	_	130	conj	_	TokenRange=596:601
126	o	o	DET	DET	_	127	det	_	TokenRange=602:603
127	show	show	NOUN	NOUN	_	125	obj	_	TokenRange=604:608
128	o	o	DET	DET	_	129	det	_	TokenRange=609:610
129	americano	americano	NOUN	NOUN	_	130	nsubj	_	TokenRange=611:620
130	conversou	conversar	VERB	VERB	_	93	conj	_	TokenRange=621:630
131	com	com	ADP	ADP	_	48	case	_	TokenRange=631:634
132	o	o	DET	DET	_	48	det	_	SpacesAfter=\s\s|TokenRange=635:636

