1 vermelhou vermelhar 3 VERB csubj
82 vazamento vazamento 78 NOUN nmod
83 de de 85 ADP case
84 a o 85 DET det
85 delacao delacao 82 NOUN nmod
86 de de 87 ADP case
87 pinheiro pinheiro 85 NOUN nmod
88 que que 89 PRON nsubj
89 envolveu envolver 85 VERB acl:relcl
90 o o 91 DET det
91 nome nome 89 NOUN obj
92 de de 94 ADP case
93 um um 94 DET det
94 ministro ministro 91 NOUN nmod
95 de de 98 ADP case
96 a o 98 DET det
97 alta alto 98 ADJ amod
98 corte corte 94 NOUN nmod
99 janot janot 98 PROPN appos
100 nega negar 82 VERB acl:relcl
101 que que 102 CCONJ mark
102 houve haver 100 VERB ccomp
103 vazamento vazamento 102 NOUN obj
104 ja ja 108 ADV advmod
105 a o 106 DET det
106 revista revista 108 NOUN nsubj
107 veja veja 106 ADJ appos
108 confirma confirmar 100 VERB conj
109 que que 212 CCONJ mark
110 o o 111 DET det
111 nome nome 212 NOUN nsubj:pass
112 de de 113 ADP case
113 dias dia 111 NOUN nmod
114 toffoli toffoli 113 NOUN flat
115 foi foi 116 AUX aux:pass
116 citado citar 127 VERB acl:relcl
117 em em 119 ADP case
118 as o 119 DET det
119 delacoes delacoe 116 NOUN nmod
120 a o 194 DET det
121 veja veja 212 NOUN nsubj:pass
122 disse dizer 22 VERB parataxis
123 a o 124 DET det
124 veja veja 212 NOUN nsubj:pass
125 mantem mantar 122 VERB ccomp
126 tudo tudo 127 PRON det
127 o o 37 PRON obj
128 que que 130 PRON nsubj:pass
129 foi foi 130 AUX aux:pass
130 publicado publicar 127 VERB acl:relcl
131 em em 133 ADP case
132 a o 133 DET det
133 edicao edicao 130 NOUN nmod
134 que que 135 PRON nsubj
135 esta esta 133 VERB acl:relcl
136 em em 138 ADP case
137 as o 138 DET det
138 bancas banca 135 NOUN nmod
139 a o 140 DET det
140 reportagem reportagem 141 NOUN nsubj
141 teve ter 34 VERB ccomp
142 acesso acesso 141 NOUN obj
143 a a 145 ADP case
144 o o 145 DET det
145 anexo anexo 142 NOUN nmod
146 de de 148 ADP case
147 a o 148 DET det
148 delacao delacao 145 NOUN nmod
149 em em 150 ADP case
150 que que 153 PRON nmod
151 leo leo 153 NOUN nsubj
152 pinheiro pinheiro 151 NOUN flat
153 mencionou mencionar 145 VERB acl:relcl
154 o o 155 DET det
155 nome nome 153 NOUN obj
156 de de 157 ADP case
157 dias dia 155 NOUN nmod
158 toffoli toffoli 157 NOUN flat
159 a o 160 DET det
160 expressao expressao 141 NOUN nsubj
161 ter ter 160 VERB acl:inf
162 acesso acesso 161 NOUN obj
163 significa significar 34 VERB ccomp
164 que que 169 CCONJ mark
165 os o 166 DET det
166 reporteres reporter 169 NOUN nsubj
167 de de 168 ADP case
168 veja veja 166 NOUN nmod
169 viram viram 163 VERB ccomp
170 e e 171 CCONJ cc
171 leram ler 169 VERB conj
172 o o 173 DET det
173 anexo anexo 171 NOUN obj
174 e e 175 CCONJ cc
175 apuraram apurar 169 VERB conj
176 que que 182 CCONJ mark
177 os o 178 DET det
178 termos termo 182 NOUN nsubj
179 de de 181 ADP case
180 o o 181 DET det
181 anexo anexo 178 NOUN nmod
182 estavam estar 175 VERB ccomp
183 em em 184 ADP case
184 discussao discussao 182 NOUN nmod
185 em em 187 ADP case
186 a o 187 DET det
187 proposta proposta 184 NOUN nmod
188 de de 189 ADP case
189 delacao delacao 187 NOUN nmod
190 de de 191 ADP case
191 leo leo 187 NOUN nmod
192 pinheiro pinheiro 191 NOUN flat
193 o o 194 DET det
194 pgr pgr 212 NOUN nsubj:pass
195 vai ir 212 AUX aux
196 destruir destruir 175 VERB ccomp
197 provas prova 212 NOUN nsubj:pass
198 que que 199 PRON nsubj
199 colocariam colocar 197 VERB acl:relcl
200 lula lula 199 NOUN obj
201 em em 203 ADP case
202 a o 203 DET det
203 cadeia cadeia 212 NOUN nmod
204 supostas suposto 205 ADJ amod
205 provas prova 212 NOUN nsubj:pass
206 contra contra 208 ADP case
207 o o 208 DET det
208 ministro ministro 205 NOUN nmod
209 supremo supremo 208 ADJ amod
210 tambem tambem 212 ADV advmod
211 serao ser 212 AUX aux:pass
212 destruidas destruir 196 VERB conj
