1 exanalista exanalista 7 NOUN nsubj
80 analisar analisar 74 VERB advcl
81 as o 82 DET det
82 imagens imagem 80 NOUN obj
83 de de 85 ADP case
84 o o 85 DET det
85 desfile desfile 82 NOUN nmod
86 militar militar 85 ADJ amod
87 ocorrido ocorrer 85 VERB acl
88 em em 90 ADP case
89 o o 90 DET det
90 dia dia 87 NOUN nmod
91 15 15 90 NUM nmod
92 de de 93 ADP case
93 abril abril 91 PROPN nmod
94 em em 96 ADP case
95 a o 96 DET det
96 capital capital 87 NOUN nmod
97 nortecoreana nortecoreano 96 ADJ amod
98 de de 99 ADP case
99 pyongyang pyongyang 96 NOUN nmod
100 ele ele 38 PRON nsubj
101 sugeriu sugerir 38 VERB ccomp
102 enfaticamente enfaticamente 101 ADV advmod
103 que que 280 CCONJ mark
104 muitas muitas 280 PRON nsubj
105 de de 107 ADP case
106 as o 107 DET det
107 armas arma 276 NOUN nmod
108 nao nao 109 ADV advmod
109 sao sao 177 VERB ccomp
110 reais real 109 ADJ xcomp
111 e e 112 CCONJ cc
112 repetiu repetir 101 VERB conj
113 diversas diversas 114 DET det
114 vezes vez 112 NOUN nmod
115 que que 118 CCONJ mark
116 varios varios 117 DET det
117 soldados soldado 118 NOUN nsubj
118 desfilaram desfilar 273 VERB ccomp
119 com com 120 ADP case
120 brinquedos brinquedo 118 NOUN nmod
121 em em 123 ADP case
122 um um 123 DET det
123 movimento movimento 118 NOUN nmod
124 projetado projetar 123 VERB acl
125 para para 126 ADP mark
126 demonstrar demonstrar 124 VERB advcl
127 orgulho orgulho 126 NOUN obj
128 belico belico 127 ADJ amod
129 para para 131 ADP case
130 o o 131 DET det
131 mundo mundo 126 NOUN nmod
132 aquele aquele 133 DET det
133 desfile desfile 137 NOUN nsubj
134 foi foi 137 AUX cop
135 mais mais 136 ADV advmod
136 uma uma 137 NUM nummod
137 mensagem mensagem 38 NOUN ccomp
138 subliminar subliminar 137 ADJ amod
139 a a 141 ADP case
140 o o 141 DET det
141 mundo mundo 137 NOUN nmod
142 de de 147 ADP case
143 o o 147 DET det
144 que que 142 CCONJ fixed
145 propriamente propriamente 147 ADV advmod
146 uma um 147 DET det
147 realidade realidade 137 NOUN nmod
148 disse dizer 137 VERB advcl
149 pregent pregent 148 NOUN nsubj
150 a a 152 ADP case
151 o o 152 DET det
152 canal canal 308 NOUN iobj
153 fox fox 152 X appos
154 news news 153 X flat
155 as o 156 DET det
156 imagens imagem 160 NOUN nsubj
157 de de 159 ADP case
158 o o 159 DET det
159 desfile desfile 156 NOUN nmod
160 mostram mostrar 38 VERB ccomp
161 tropas tropa 160 NOUN obj
162 de de 164 ADP case
163 a o 164 DET det
164 coreia coreia 161 NOUN nmod
165 de de 167 ADP case
166 o o 167 DET det
167 norte norte 164 NOUN nmod
168 carregando carregar 161 VERB acl
169 rifles rifle 168 NOUN obj
170 ak47 ak47 169 NOUN appos
171 com com 172 ADP case
172 lancadores lancador 168 NOUN nmod
173 de de 174 ADP case
174 granadas granada 172 NOUN nmod
175 anexados anexado 174 ADJ amod
176 pregent pregent 177 PROPN nsubj
177 diz dizer 38 VERB parataxis
178 que que 186 CCONJ mark
179 os o 180 DET det
180 objetos objeto 186 NOUN nsubj
181 incorporados incorporar 180 VERB acl
182 a a 184 ADP case
183 os o 184 DET det
184 rifles rifle 181 NOUN nmod
185 sao sao 186 AUX cop
186 compartimentos compartimento 38 NOUN ccomp
187 helicoidais helicoidal 186 ADJ amod
188 projetados projetar 186 VERB acl
189 armazenar armazenar 188 VERB xcomp
190 balas bala 189 NOUN obj
191 em em 193 ADP case
192 uma um 193 DET det
193 forma forma 189 NOUN nmod
194 espiral espiral 193 ADJ amod
195 o o 196 DET det
196 que que 197 PRON nsubj
197 seria seria 186 VERB acl:relcl
198 totalmente totalmente 199 ADV advmod
199 incompativel incompativel 197 ADJ xcomp
200 com com 201 ADP case
201 armas arma 199 NOUN nmod
202 reais real 201 ADJ amod
203 diversos diversos 204 DET det
204 acessorios acessorio 218 NOUN nsubj
205 usados usar 204 VERB acl
206 por por 208 ADP case
207 as o 208 DET det
208 tropas tropa 205 NOUN nmod
209 estao estao 273 VERB ccomp
210 longe longe 209 ADV advmod
211 de de 213 ADP mark
212 serem ser 213 AUX cop
213 equipamentos equipamento 210 NOUN nmod
214 militares militar 213 ADJ amod
215 disse dizer 273 VERB ccomp
216 o o 217 DET det
217 especialista especialista 218 NOUN nsubj
218 cita citar 38 VERB ccomp
219 os o 220 DET det
220 oculos oculo 218 NOUN obj
221 de de 222 ADP case
222 sol sol 220 NOUN nmod
223 usados usar 220 VERB acl
224 por por 226 ADP case
225 os o 226 DET det
226 soldados soldado 223 NOUN nmod
227 e e 233 CCONJ cc
228 revela revelar 308 VERB conj
229 sao sao 228 VERB xcomp
230 irregulares irregular 229 ADJ xcomp
231 e e 233 CCONJ cc
232 nao nao 233 ADV advmod
233 fornecem fornecer 308 VERB conj
234 o o 235 DET det
235 minimo minimo 233 NOUN obj
236 de de 237 ADP case
237 protecao protecao 235 NOUN nmod
238 para para 240 ADP case
239 os o 240 DET det
240 olhos olho 237 NOUN nmod
241 um um 242 DET det
242 oculos oculo 247 NOUN nsubj
243 de de 244 ADP case
244 seguranca seguranca 242 NOUN nmod
245 balistico balistico 244 ADJ amod
246 deve dever 247 AUX aux
247 envolver envolver 186 VERB conj
248 toda toda 250 DET det
249 a o 250 DET det
250 cabeca cabeca 247 NOUN obj
251 em em 252 ADP case
252 seguida seguida 247 NOUN nmod
253 ele ele 254 PRON nsubj
254 comenta comentar 38 VERB parataxis
255 sobre sobre 257 ADP case
256 os o 257 DET det
257 rifles rifle 254 NOUN nmod
258 essas essas 260 DET det
259 supostas suposto 260 ADJ amod
260 armas arma 254 NOUN nsubj
261 sao sao 38 VERB ccomp
262 ridiculas ridicula 186 ADJ amod
263 de de 266 ADP case
264 a o 266 DET det
265 pra pra 266 ADP nmod
266 perceber perceber 261 VERB advcl
267 claramente claramente 266 ADV advmod
268 que que 109 CCONJ mark
269 sao sao 266 VERB ccomp
270 de de 271 ADP case
271 plastico plastico 269 NOUN nmod
272 pregent pregent 112 PROPN nsubj
273 admite admitir 101 VERB ccomp
274 que que 280 CCONJ mark
275 a o 276 DET det
276 coreia coreia 280 NOUN nsubj
277 de de 279 ADP case
278 o o 279 DET det
279 norte norte 276 NOUN nmod
280 tem ter 273 VERB ccomp
281 uma um 282 DET det
282 quantidade quantidade 280 NOUN obj
283 substancial substancial 282 ADJ amod
284 de de 285 ADP case
285 armas arma 282 NOUN nmod
286 mas mas 287 CCONJ cc
287 insiste insistir 218 VERB conj
288 que que 298 CCONJ mark
289 a o 290 DET det
290 maioria maioria 298 NOUN nsubj
291 de de 293 ADP case
292 os o 293 DET det
293 equipamentos equipamento 290 NOUN nmod
294 mostrados mostrar 293 VERB acl
295 em em 297 ADP case
296 o o 297 DET det
297 desfile desfile 294 NOUN nmod
298 sao sao 287 VERB ccomp
299 irreais irreal 298 ADJ xcomp
300 em em 301 ADP case
301 uma uma 298 PRON nmod
302 de de 304 ADP case
303 as o 304 DET det
304 fotos foto 301 NOUN nmod
305 de de 307 ADP case
306 a o 307 DET det
307 pra pra 304 ADP nmod
308 perceber perceber 304 VERB nmod
309 um um 310 DET det
310 rifle rifle 308 NOUN obj
311 prateado prateado 310 ADJ amod
312 e e 314 CCONJ cc
313 muito muito 314 ADV advmod
314 provavel provavel 311 ADJ conj
315 que que 318 CCONJ mark
316 tenha ter 318 AUX aux
317 sido ser 318 AUX aux:pass
318 pintado pintar 308 VERB ccomp
319 a a 320 ADP case
320 mao mao 318 NOUN nmod
