# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dirceu da o troco em lula comecou a briga no comando da republica do pixuleco em recente declaracao o expresidente lula da sila disse que a responsabilidade pela nomeacao dos dirigentes das estatais no seu governo inclusive da petrobras era da responsabilidade do chefe da casa civil hoje falando em nome de seu cliente o advogado de ze dirceu disse que o poder de decisao nao era da casa civil mas sim do presidente da republica veja tambem
1	dirceu	dircer	VERB	VERB	_	0	root	_	TokenRange=0:6
24	expresidente	expresidente	NOUN	NOUN	_	29	nsubj	_	TokenRange=102:114
25	lula	_	NOUN	NOUN	_	24	appos	_	TokenRange=115:119
26-27	da	_	_	_	_	_	_	_	TokenRange=120:122
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	sila	sila	NOUN	NOUN	_	24	nmod	_	TokenRange=123:127
29	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=128:133
30	que	que	CCONJ	CONJ	_	50	mark	_	TokenRange=134:137
31	a	o	DET	DET	_	32	det	_	TokenRange=138:139
32	responsabilidade	responsabilidade	NOUN	NOUN	_	50	nsubj	_	TokenRange=140:156
33-34	pela	_	_	_	_	_	_	_	TokenRange=157:161
33	por	por	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	nomeacao	nomeacao	NOUN	NOUN	_	32	nmod	_	TokenRange=162:170
36-37	dos	_	_	_	_	_	_	_	TokenRange=171:174
36	de	de	ADP	ADP	_	38	case	_	_
37	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	38	det	_	_
38	dirigentes	dirigente	NOUN	NOUN	_	35	nmod	_	TokenRange=175:185
39-40	das	_	_	_	_	_	_	_	TokenRange=186:189
39	de	de	ADP	ADP	_	41	case	_	_
40	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	41	det	_	_
41	estatais	estatal	NOUN	NOUN	_	38	nmod	_	TokenRange=190:198
42-43	no	_	_	_	_	_	_	_	TokenRange=199:201
42	em	em	ADP	ADP	_	45	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	45	det	_	_
44	seu	_	DET	DET	_	45	det:poss	_	TokenRange=202:205
45	governo	governo	NOUN	NOUN	_	35	nmod	_	TokenRange=206:213
46	inclusive	inclusive	ADV	ADV	_	49	advmod	_	TokenRange=214:223
47-48	da	_	_	_	_	_	_	_	TokenRange=224:226
47	de	de	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	petrobras	petrobra	NOUN	NOUN	_	38	nmod	_	TokenRange=227:236
50	era	_	VERB	VERB	_	29	ccomp	_	TokenRange=237:240
51-52	da	_	_	_	_	_	_	_	TokenRange=241:243
51	de	de	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	responsabilidade	responsabilidade	NOUN	NOUN	_	50	nmod	_	TokenRange=244:260
54-55	do	_	_	_	_	_	_	_	TokenRange=261:263
54	de	de	ADP	ADP	_	56	case	_	_
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
56	chefe	chefe	NOUN	NOUN	_	53	nmod	_	TokenRange=264:269
57-58	da	_	_	_	_	_	_	_	TokenRange=270:272
57	de	de	ADP	ADP	_	59	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	59	det	_	_
59	casa	casa	NOUN	NOUN	_	56	nmod	_	TokenRange=273:277
60	civil	civil	ADJ	ADJ	_	59	amod	_	TokenRange=278:283
61	hoje	hoje	ADV	ADV	_	62	advmod	_	TokenRange=284:288
62	falando	falar	VERB	VERB	_	50	acl	_	TokenRange=289:296
63	em	em	ADP	ADP	_	64	case	_	TokenRange=297:299
64	nome	nome	NOUN	NOUN	_	62	nmod	_	TokenRange=300:304
65	de	de	ADP	ADP	_	67	case	_	TokenRange=305:307
66	seu	_	DET	DET	_	67	det:poss	_	TokenRange=308:311
67	cliente	cliente	NOUN	NOUN	_	64	nmod	_	TokenRange=312:319
68	o	o	DET	DET	_	69	det	_	TokenRange=320:321
69	advogado	advogado	NOUN	NOUN	_	73	nsubj	_	TokenRange=322:330
70	de	de	ADP	ADP	_	71	case	_	TokenRange=331:333
71	ze	_	NOUN	NOUN	_	69	nmod	_	TokenRange=334:336
72	dirceu	dirceu	NOUN	NOUN	_	71	flat	_	TokenRange=337:343
73	disse	dizer	VERB	VERB	_	62	parataxis	_	TokenRange=344:349
74	que	que	CCONJ	CONJ	_	80	mark	_	TokenRange=350:353
75	o	o	DET	DET	_	76	det	_	TokenRange=354:355
76	poder	poder	NOUN	NOUN	_	80	nsubj	_	TokenRange=356:361
77	de	de	ADP	ADP	_	78	case	_	TokenRange=362:364
78	decisao	decisao	NOUN	NOUN	_	76	nmod	_	TokenRange=365:372
79	nao	nao	ADV	ADV	Polarity=Neg	80	advmod	_	TokenRange=373:376
80	era	_	VERB	VERB	_	73	ccomp	_	TokenRange=377:380
81-82	da	_	_	_	_	_	_	_	TokenRange=381:383
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	casa	casa	NOUN	NOUN	_	80	nmod	_	TokenRange=384:388
84	civil	civil	ADJ	ADJ	_	83	amod	_	TokenRange=389:394
85	mas	mas	CCONJ	CONJ	_	93	cc	_	TokenRange=395:398
86	sim	sim	ADV	ADV	_	93	advmod	_	TokenRange=399:402
87-88	do	_	_	_	_	_	_	_	TokenRange=403:405
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	presidente	presidente	NOUN	NOUN	_	83	conj	_	TokenRange=406:416
90-91	da	_	_	_	_	_	_	_	TokenRange=417:419
90	de	de	ADP	ADP	_	92	case	_	_
91	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	92	det	_	_
92	republica	_	NOUN	NOUN	_	89	nmod	_	TokenRange=420:429
93	veja	ver	VERB	VERB	_	73	conj	_	TokenRange=430:434
94	tambem	tambem	ADV	ADV	_	93	advmod	_	TokenRange=435:441

