# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na india funcionarios publicos sao obrigados a usarem capacetes para trabalhar o motivo voce nao vai acreditar recentemente um escritorio do governo na india teve um alto indice de acidentes entre seus funcionarios o motivo o teto estava caindo sobre a cabeca deles cansados dessa situacao os empregados decidiram reclamar e o governo fez sua parte os chefes obrigaram todos a usarem capacetes de moto e isso mesmo que voce leu e olha que nao e no brasil o escritorio fica na cidade de bihar e ha cerca de 2 anos uma inspecao constatou que o imovel pode desabar a qualquer momento alem de diversos vazamentos parte do teto comecou a despencar sobre os funcionarios todo dia cai um pedaco do teto sobre nossas cabecas por isso nossos chefes pediram pra gente usar capacete e mais seguro disse um dos empregados
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
32	de	de	ADP	ADP	_	33	case	_	TokenRange=178:180
33	acidentes	acidente	NOUN	NOUN	_	31	nmod	_	TokenRange=181:190
34	entre	_	ADP	ADP	_	36	case	_	TokenRange=191:196
35	seus	_	DET	DET	_	36	det:poss	_	TokenRange=197:201
36	funcionarios	funcionario	NOUN	NOUN	_	28	nmod	_	TokenRange=202:214
37	o	o	DET	DET	_	38	det	_	TokenRange=215:216
38	motivo	motivo	NOUN	NOUN	_	28	nsubj	_	TokenRange=217:223
39	o	o	DET	DET	_	40	det	_	TokenRange=224:225
40	teto	teto	NOUN	NOUN	_	42	nsubj	_	TokenRange=226:230
41	estava	estar	AUX	AUX	_	42	aux	_	TokenRange=231:237
42	caindo	cair	VERB	VERB	_	28	conj	_	TokenRange=238:244
43	sobre	_	ADP	ADP	_	45	case	_	TokenRange=245:250
44	a	o	DET	DET	_	45	det	_	TokenRange=251:252
45	cabeca	cabeca	NOUN	NOUN	_	42	nmod	_	TokenRange=253:259
46	deles	_	X	ADPPRON	_	45	det:poss	_	TokenRange=260:265
47	cansados	cansar	VERB	VERB	_	42	acl	_	TokenRange=266:274
48	dessa	_	ADP	ADP	_	49	case	_	TokenRange=275:280
49	situacao	situacao	NOUN	NOUN	_	47	nmod	_	TokenRange=281:289
50	os	o	DET	DET	_	51	det	_	TokenRange=290:292
51	empregados	empregado	NOUN	NOUN	_	52	nsubj	_	TokenRange=293:303
52	decidiram	decidir	VERB	VERB	_	28	parataxis	_	TokenRange=304:313
53	reclamar	reclamar	VERB	VERB	_	52	xcomp	_	TokenRange=314:322
54	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=323:324
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	TokenRange=325:326
56	governo	governo	NOUN	NOUN	_	57	nsubj	_	TokenRange=327:334
57	fez	fazer	VERB	VERB	_	52	conj	_	TokenRange=335:338
58	sua	_	DET	DET	_	59	det:poss	_	TokenRange=339:342
59	parte	parte	NOUN	NOUN	_	57	obj	_	TokenRange=343:348
60	os	o	DET	DET	_	61	det	_	TokenRange=349:351
61	chefes	chefe	NOUN	NOUN	_	62	nsubj	_	TokenRange=352:358
62	obrigaram	obrigar	VERB	VERB	_	52	conj	_	TokenRange=359:368
63	todos	_	PRON	PRON	_	62	obj	_	TokenRange=369:374
64	a	_	ADP	ADP	_	65	mark	_	TokenRange=375:376
65	usarem	usar	VERB	VERB	_	62	nmod	_	TokenRange=377:383
66	capacetes	capacete	NOUN	NOUN	_	65	obj	_	TokenRange=384:393
67	de	de	ADP	ADP	_	68	case	_	TokenRange=394:396
68	moto	moto	NOUN	NOUN	_	66	nmod	_	TokenRange=397:401
69	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=402:403
70	isso	_	PRON	PRON	_	42	nsubj	_	TokenRange=404:408
71	mesmo	mesmo	ADV	ADV	_	70	advmod	_	TokenRange=409:414
72	que	_	CCONJ	CONJ	_	74	mark	_	TokenRange=415:418
73	voce	_	PRON	PRON	_	74	nsubj	_	TokenRange=419:423
74	leu	ler	VERB	VERB	_	70	acl:relcl	_	TokenRange=424:427
75	e	e	CCONJ	CONJ	_	76	cc	_	TokenRange=428:429
76	olha	olhar	VERB	VERB	_	74	conj	_	TokenRange=430:434
77	que	que	CCONJ	CONJ	_	62	mark	_	TokenRange=435:438
78	nao	nao	ADV	ADV	Polarity=Neg	74	advmod	_	TokenRange=439:442
79	e	_	CCONJ	CONJ	_	76	ccomp	_	TokenRange=443:444
80-81	no	_	_	_	_	_	_	_	TokenRange=445:447
80	em	em	ADP	ADP	_	82	case	_	_
81	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	82	det	_	_
82	brasil	brasil	NOUN	NOUN	_	104	nmod	_	TokenRange=448:454
83	o	o	DET	DET	_	84	det	_	TokenRange=455:456
84	escritorio	escritorio	NOUN	NOUN	_	42	nsubj	_	TokenRange=457:467
85	fica	ficar	VERB	VERB	_	52	conj	_	TokenRange=468:472
86-87	na	_	_	_	_	_	_	_	TokenRange=473:475
86	em	em	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	cidade	cidade	NOUN	NOUN	_	85	nmod	_	TokenRange=476:482
89	de	de	ADP	ADP	_	90	case	_	TokenRange=483:485
90	bihar	bihar	NOUN	NOUN	_	88	nmod	_	TokenRange=486:491
91	e	e	CCONJ	CONJ	_	52	cc	_	TokenRange=492:493
92	ha	_	VERB	VERB	_	52	advcl	_	TokenRange=494:496
93	cerca	cerca	ADV	ADV	_	95	advmod	_	TokenRange=497:502
94	de	de	ADP	ADP	_	93	case	_	TokenRange=503:505
95	2	_	NUM	NUM	NumType=Card	96	nummod	_	TokenRange=506:507
96	anos	ano	NOUN	NOUN	_	92	nmod	_	TokenRange=508:512
97	uma	um	DET	DET	_	98	det	_	TokenRange=513:516
98	inspecao	inspecao	NOUN	NOUN	_	52	nsubj	_	TokenRange=517:525
99	constatou	constatar	VERB	VERB	_	52	conj	_	TokenRange=526:535
100	que	que	CCONJ	CONJ	_	104	mark	_	TokenRange=536:539
101	o	o	DET	DET	_	102	det	_	TokenRange=540:541
102	imovel	imovel	NOUN	NOUN	_	104	nsubj	_	TokenRange=542:548
103	pode	_	AUX	AUX	_	104	aux	_	TokenRange=549:553
104	desabar	desabar	VERB	VERB	_	99	ccomp	_	TokenRange=554:561
105	a	_	ADP	ADP	_	107	case	_	TokenRange=562:563
106	qualquer	_	DET	DET	_	107	det	_	TokenRange=564:572
107	momento	momento	NOUN	NOUN	_	104	nmod	_	TokenRange=573:580
108	alem	alem	ADV	ADV	_	124	advmod	_	TokenRange=581:585
109	de	_	ADP	ADP	_	108	fixed	_	TokenRange=586:588
110	diversos	_	DET	DET	_	111	det	_	TokenRange=589:597
111	vazamentos	vazamento	NOUN	NOUN	_	108	nmod	_	TokenRange=598:608
112	parte	parte	NOUN	NOUN	_	124	nsubj	_	TokenRange=609:614
113-114	do	_	_	_	_	_	_	_	TokenRange=615:617
113	de	de	ADP	ADP	_	115	case	_	_
114	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	115	det	_	_
115	teto	teto	NOUN	NOUN	_	112	nmod	_	TokenRange=618:622
116	comecou	comecar	AUX	AUX	_	118	aux	_	TokenRange=623:630
117	a	_	ADP	ADP	_	118	mark	_	TokenRange=631:632
118	despencar	despencar	VERB	VERB	_	124	conj	_	TokenRange=633:642
119	sobre	_	ADP	ADP	_	121	case	_	TokenRange=643:648
120	os	o	DET	DET	_	121	det	_	TokenRange=649:651
121	funcionarios	funcionario	NOUN	NOUN	_	118	nmod	_	TokenRange=652:664
122	todo	_	DET	DET	_	123	det	_	TokenRange=665:669
123	dia	dia	NOUN	NOUN	_	118	nmod	_	TokenRange=670:673
124	cai	cair	VERB	VERB	_	52	conj	_	TokenRange=674:677
125	um	um	DET	DET	_	126	det	_	TokenRange=678:680
126	pedaco	pedaco	NOUN	NOUN	_	124	nsubj	_	TokenRange=681:687
127-128	do	_	_	_	_	_	_	_	TokenRange=688:690
127	de	de	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	teto	teto	NOUN	NOUN	_	126	nmod	_	TokenRange=691:695
130	sobre	_	ADP	ADP	_	132	case	_	TokenRange=696:701
131	nossas	_	DET	DET	_	132	det:poss	_	TokenRange=702:708
132	cabecas	cabeca	NOUN	NOUN	_	126	nmod	_	TokenRange=709:716
133	por	por	ADP	ADP	_	134	case	_	TokenRange=717:720
134	isso	_	PRON	PRON	_	137	nmod	_	TokenRange=721:725
135	nossos	_	DET	DET	_	136	det:poss	_	TokenRange=726:732
136	chefes	chefe	NOUN	NOUN	_	137	nsubj	_	TokenRange=733:739
137	pediram	pedir	VERB	VERB	_	52	conj	_	TokenRange=740:747
138	pra	_	ADP	ADP	_	139	case	_	TokenRange=748:751
139	gente	gente	NOUN	NOUN	_	140	nmod	_	TokenRange=752:757
140	usar	usar	VERB	VERB	_	137	xcomp	_	TokenRange=758:762
141	capacete	capacete	NOUN	NOUN	_	140	obj	_	TokenRange=763:771
142	e	e	CCONJ	CONJ	_	145	cc	_	TokenRange=772:773
143	mais	mais	ADV	ADV	_	144	advmod	_	TokenRange=774:778
144	seguro	seguro	ADJ	ADJ	_	145	xcomp	_	TokenRange=779:785
145	disse	dizer	VERB	VERB	_	137	conj	_	TokenRange=786:791
146	um	_	PRON	PRON	_	145	nsubj	_	TokenRange=792:794
147-148	dos	_	_	_	_	_	_	_	TokenRange=795:798
147	de	de	ADP	ADP	_	149	case	_	_
148	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	149	det	_	_
149	empregados	empregado	NOUN	NOUN	_	146	nmod	_	TokenRange=799:809

