# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fugiu filho de lula foi para os eua pf teve que arrombar a porta do ape de luxo para cumprir mandado para cumprir um mandado de busca e apreensao na casa de luis claudio lula da silva filho prodigio do expresidente lula a pf precisou pular o muro e arrombar a porta do apartamento de luxo no bairro jardins em sp a pf chegou as 5h50 nopredio onde o empresario citado na operacao zelotes mora com a esposa os porteiros nao deixaram a policia entrar porque nao havia ninguem em casa a equipe entao decidiu pular o portao e entrar no predio logo apos arrombaram a porta do apartamento e so permaneceram no local ate as 9h da manha os porteiros disseram a pf que luis claudio estava em nova york ha alguns meses luis claudio instalou cameras de seguranca nos comodos do apartamento as instalacoes foram feitas apos ele ser citado na operacao zelotes o imovel onde luis claudio mora e emprestado do advogado roberto teixeira que defende lula leia tambem
1	fugiu	fugir	VERB	VERB	_	0	root	_	TokenRange=0:5
22	mandado	mandado	NOUN	NOUN	_	21	obj	_	TokenRange=93:100
23	para	_	ADP	ADP	_	24	mark	_	TokenRange=101:105
24	cumprir	cumprir	VERB	VERB	_	12	advcl	_	TokenRange=106:113
25	um	um	DET	DET	_	26	det	_	TokenRange=114:116
26	mandado	mandado	NOUN	NOUN	_	24	obj	_	TokenRange=117:124
27	de	de	ADP	ADP	_	28	case	_	TokenRange=125:127
28	busca	busca	NOUN	NOUN	_	26	nmod	_	TokenRange=128:133
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=134:135
30	apreensao	apreensao	NOUN	NOUN	_	28	conj	_	TokenRange=136:145
31-32	na	_	_	_	_	_	_	_	TokenRange=146:148
31	em	em	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	casa	casa	NOUN	NOUN	_	24	nmod	_	TokenRange=149:153
34	de	de	ADP	ADP	_	35	case	_	TokenRange=154:156
35	luis	_	NOUN	NOUN	_	33	nmod	_	TokenRange=157:161
36	claudio	claudio	NOUN	NOUN	_	35	flat	_	TokenRange=162:169
37	lula	lula	NOUN	NOUN	_	35	appos	_	TokenRange=170:174
38-39	da	_	_	_	_	_	_	_	TokenRange=175:177
38	de	de	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	silva	silva	NOUN	NOUN	_	37	nmod	_	TokenRange=178:183
41	filho	filho	NOUN	NOUN	_	37	appos	_	TokenRange=184:189
42	prodigio	prodigio	NOUN	NOUN	_	41	appos	_	TokenRange=190:198
43-44	do	_	_	_	_	_	_	_	TokenRange=199:201
43	de	de	ADP	ADP	_	45	case	_	_
44	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	45	det	_	_
45	expresidente	expresidente	NOUN	NOUN	_	42	nmod	_	TokenRange=202:214
46	lula	_	ADJ	ADJ	_	45	flat	_	TokenRange=215:219
47	a	o	DET	DET	_	48	det	_	TokenRange=220:221
48	pf	_	NOUN	NOUN	_	49	nsubj	_	TokenRange=222:224
49	precisou	precisar	VERB	VERB	_	1	conj	_	TokenRange=225:233
50	pular	pular	VERB	VERB	_	49	xcomp	_	TokenRange=234:239
51	o	o	DET	DET	_	52	det	_	TokenRange=240:241
52	muro	muro	NOUN	NOUN	_	50	obj	_	TokenRange=242:246
53	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=247:248
54	arrombar	arrombar	VERB	VERB	_	50	conj	_	TokenRange=249:257
55	a	o	DET	DET	_	56	det	_	TokenRange=258:259
56	porta	porta	NOUN	NOUN	_	54	obj	_	TokenRange=260:265
57-58	do	_	_	_	_	_	_	_	TokenRange=266:268
57	de	de	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	apartamento	apartamento	NOUN	NOUN	_	56	nmod	_	TokenRange=269:280
60	de	de	ADP	ADP	_	61	case	_	TokenRange=281:283
61	luxo	luxo	NOUN	NOUN	_	59	nmod	_	TokenRange=284:288
62-63	no	_	_	_	_	_	_	_	TokenRange=289:291
62	em	em	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	bairro	bairro	NOUN	NOUN	_	54	nmod	_	TokenRange=292:298
65	jardins	jardim	NOUN	NOUN	_	64	appos	_	TokenRange=299:306
66	em	em	ADP	ADP	_	67	case	_	TokenRange=307:309
67	sp	_	NOUN	NOUN	_	148	nmod	_	TokenRange=310:312
68	a	o	DET	DET	_	69	det	_	TokenRange=313:314
69	pf	_	NOUN	NOUN	_	70	nsubj	_	TokenRange=315:317
70	chegou	chegar	VERB	VERB	_	49	conj	_	TokenRange=318:324
71	as	o	DET	DET	_	73	det	_	TokenRange=325:327
72	5h50	_	NUM	NUM	NumType=Card	70	nmod	_	TokenRange=328:332
73	nopredio	nopredio	NOUN	NOUN	_	70	nmod	_	TokenRange=333:341
74	onde	onde	ADV	ADV	_	89	advmod	_	TokenRange=342:346
75	o	o	DET	DET	_	76	det	_	TokenRange=347:348
76	empresario	empresario	NOUN	NOUN	_	89	nsubj	_	TokenRange=349:359
77	citado	citar	VERB	VERB	_	76	acl	_	TokenRange=360:366
78-79	na	_	_	_	_	_	_	_	TokenRange=367:369
78	em	em	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	operacao	operacao	NOUN	NOUN	_	77	nmod	_	TokenRange=370:378
81	zelotes	zelote	NOUN	NOUN	_	80	flat	_	TokenRange=379:386
82	mora	morar	VERB	VERB	_	73	acl:relcl	_	TokenRange=387:391
83	com	com	ADP	ADP	_	85	case	_	TokenRange=392:395
84	a	o	DET	DET	_	85	det	_	TokenRange=396:397
85	esposa	esposo	NOUN	NOUN	_	82	nmod	_	TokenRange=398:404
86	os	o	DET	DET	_	87	det	_	TokenRange=405:407
87	porteiros	porteiro	NOUN	NOUN	_	89	nsubj	_	TokenRange=408:417
88	nao	nao	ADV	ADV	Polarity=Neg	89	advmod	_	TokenRange=418:421
89	deixaram	deixar	VERB	VERB	_	70	ccomp	_	TokenRange=422:430
90	a	o	DET	DET	_	91	det	_	TokenRange=431:432
91	policia	policia	NOUN	NOUN	_	89	obj	_	TokenRange=433:440
92	entrar	entrar	VERB	VERB	_	91	acl:inf	_	TokenRange=441:447
93	porque	_	CCONJ	CONJ	_	95	mark	_	TokenRange=448:454
94	nao	nao	ADV	ADV	Polarity=Neg	95	advmod	_	TokenRange=455:458
95	havia	haver	VERB	VERB	_	89	advcl	_	TokenRange=459:464
96	ninguem	_	NOUN	NOUN	_	95	obj	_	TokenRange=465:472
97	em	em	ADP	ADP	_	98	case	_	TokenRange=473:475
98	casa	casa	NOUN	NOUN	_	96	nmod	_	TokenRange=476:480
99	a	o	DET	DET	_	100	det	_	TokenRange=481:482
100	equipe	equipe	NOUN	NOUN	_	82	nsubj	_	TokenRange=483:489
101	entao	entao	ADV	ADV	_	102	advmod	_	TokenRange=490:495
102	decidiu	decidir	VERB	VERB	_	73	acl:relcl	_	TokenRange=496:503
103	pular	pular	VERB	VERB	_	102	xcomp	_	TokenRange=504:509
104	o	o	DET	DET	_	105	det	_	TokenRange=510:511
105	portao	portao	NOUN	NOUN	_	103	obj	_	TokenRange=512:518
106	e	e	CCONJ	CONJ	_	107	cc	_	TokenRange=519:520
107	entrar	entrar	VERB	VERB	_	103	conj	_	TokenRange=521:527
108-109	no	_	_	_	_	_	_	_	TokenRange=528:530
108	em	em	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	predio	predio	NOUN	NOUN	_	107	nmod	_	TokenRange=531:537
111	logo	logo	ADV	ADV	_	113	advmod	_	TokenRange=538:542
112	apos	_	CCONJ	ADV	_	113	mark	_	TokenRange=543:547
113	arrombaram	arrombar	VERB	VERB	_	89	advcl	_	TokenRange=548:558
114	a	o	DET	DET	_	115	det	_	TokenRange=559:560
115	porta	porta	NOUN	NOUN	_	113	obj	_	TokenRange=561:566
116-117	do	_	_	_	_	_	_	_	TokenRange=567:569
116	de	de	ADP	ADP	_	118	case	_	_
117	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	118	det	_	_
118	apartamento	apartamento	NOUN	NOUN	_	115	nmod	_	TokenRange=570:581
119	e	e	CCONJ	CONJ	_	121	cc	_	TokenRange=582:583
120	so	so	ADV	ADV	_	121	advmod	_	TokenRange=584:586
121	permaneceram	permanecer	VERB	VERB	_	89	conj	_	TokenRange=587:599
122-123	no	_	_	_	_	_	_	_	TokenRange=600:602
122	em	em	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	local	local	NOUN	NOUN	_	121	nmod	_	TokenRange=603:608
125	ate	_	ADP	ADP	_	127	case	_	TokenRange=609:612
126	as	o	DET	DET	_	127	det	_	TokenRange=613:615
127	9h	_	NUM	NUM	NumType=Card	121	nmod	_	TokenRange=616:618
128-129	da	_	_	_	_	_	_	_	TokenRange=619:621
128	de	de	ADP	ADP	_	130	case	_	_
129	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	130	det	_	_
130	manha	manha	NOUN	NOUN	_	127	nmod	_	TokenRange=622:627
131	os	o	DET	DET	_	132	det	_	TokenRange=628:630
132	porteiros	porteiro	NOUN	NOUN	_	133	nsubj	_	TokenRange=631:640
133	disseram	dizer	VERB	VERB	_	49	conj	_	TokenRange=641:649
134	a	_	ADP	ADP	_	135	case	_	TokenRange=650:651
135	pf	_	NOUN	NOUN	_	133	iobj	_	TokenRange=652:654
136	que	que	CCONJ	CONJ	_	139	mark	_	TokenRange=655:658
137	luis	_	NOUN	NOUN	_	139	nsubj	_	TokenRange=659:663
138	claudio	claudio	NOUN	NOUN	_	137	flat	_	TokenRange=664:671
139	estava	estar	VERB	VERB	_	133	ccomp	_	TokenRange=672:678
140	em	em	ADP	ADP	_	142	case	_	TokenRange=679:681
141	nova	novo	ADJ	ADJ	_	142	amod	_	TokenRange=682:686
142	york	_	PROPN	PNOUN	_	139	nmod	_	TokenRange=687:691
143	ha	_	VERB	VERB	_	148	advcl	_	TokenRange=692:694
144	alguns	_	DET	DET	_	145	det	_	TokenRange=695:701
145	meses	mês	NOUN	NOUN	_	143	nmod	_	TokenRange=702:707
146	luis	_	NOUN	NOUN	_	148	nsubj	_	TokenRange=708:712
147	claudio	claudio	NOUN	NOUN	_	146	flat	_	TokenRange=713:720
148	instalou	instalar	VERB	VERB	_	49	conj	_	TokenRange=721:729
149	cameras	camera	NOUN	NOUN	_	148	obj	_	TokenRange=730:737
150	de	de	ADP	ADP	_	151	case	_	TokenRange=738:740
151	seguranca	_	NOUN	NOUN	_	149	nmod	_	TokenRange=741:750
152-153	nos	_	_	_	_	_	_	_	TokenRange=751:754
152	em	em	ADP	ADP	_	154	case	_	_
153	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	154	det	_	_
154	comodos	comodo	NOUN	NOUN	_	148	nmod	_	TokenRange=755:762
155-156	do	_	_	_	_	_	_	_	TokenRange=763:765
155	de	de	ADP	ADP	_	157	case	_	_
156	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	157	det	_	_
157	apartamento	apartamento	NOUN	NOUN	_	154	nmod	_	TokenRange=766:777
158	as	o	DET	DET	_	159	det	_	TokenRange=778:780
159	instalacoes	instalacoe	NOUN	NOUN	_	161	nsubj:pass	_	TokenRange=781:792
160	foram	_	AUX	AUX	_	161	aux:pass	_	TokenRange=793:798
161	feitas	_	VERB	VERB	_	49	parataxis	_	TokenRange=799:805
162	apos	_	ADP	ADP	_	165	mark	_	TokenRange=806:810
163	ele	_	PRON	PRON	_	165	nsubj:pass	_	TokenRange=811:814
164	ser	ser	AUX	AUX	_	165	aux:pass	_	TokenRange=815:818
165	citado	citar	VERB	VERB	_	70	advcl	_	TokenRange=819:825
166-167	na	_	_	_	_	_	_	_	TokenRange=826:828
166	em	em	ADP	ADP	_	168	case	_	_
167	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	168	det	_	_
168	operacao	operacao	NOUN	NOUN	_	165	nmod	_	TokenRange=829:837
169	zelotes	zelote	NOUN	NOUN	_	168	flat	_	TokenRange=838:845
170	o	o	DET	DET	_	171	det	_	TokenRange=846:847
171	imovel	imovel	NOUN	NOUN	_	89	obj	_	TokenRange=848:854
172	onde	onde	ADV	ADV	_	175	advmod	_	TokenRange=855:859
173	luis	_	NOUN	NOUN	_	175	nsubj	_	TokenRange=860:864
174	claudio	claudio	NOUN	NOUN	_	173	flat	_	TokenRange=865:872
175	mora	morar	VERB	VERB	_	171	acl:relcl	_	TokenRange=873:877
176	e	e	CCONJ	CONJ	_	177	cc	_	TokenRange=878:879
177	emprestado	emprestado	VERB	VERB	_	175	conj	_	TokenRange=880:890
178-179	do	_	_	_	_	_	_	_	TokenRange=891:893
178	de	de	ADP	ADP	_	180	case	_	_
179	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	180	det	_	_
180	advogado	advogado	NOUN	NOUN	_	177	nmod	_	TokenRange=894:902
181	roberto	roberto	NOUN	NOUN	_	180	appos	_	TokenRange=903:910
182	teixeira	_	PROPN	PNOUN	_	181	flat	_	TokenRange=911:919
183	que	_	PRON	PRON	_	184	nsubj	_	TokenRange=920:923
184	defende	defender	VERB	VERB	_	180	acl:relcl	_	TokenRange=924:931
185	lula	lula	NOUN	NOUN	_	184	obj	_	TokenRange=932:936
186	leia	ler	VERB	VERB	_	184	ccomp	_	TokenRange=937:941
187	tambem	tambem	ADV	ADV	_	186	advmod	_	TokenRange=942:948

