# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = bateu o desespero defesa de lula entra com habeas corpus para adiar depoimento advogados do expresidente protocolaram um pedido no trf4 para suspender o prazo do processo para que haja tempo de fazer uma melhor analise dos documentos e a segunda vez que a defesa do petista tenta adiar o depoimento na primeira ocasiao sergio moro negou o pedido dr zanin advogado de lula alegou e materialmente impossivel analisar toda a documentacao ate a proxima quartafeira 10 data em que havera o interrogatorio do expresidente para a defesa a acusacao conhece melhor os tais documentos o que provoca um desequilibrio entre as partes
1	bateu	bater	VERB	VERB	_	0	root	_	TokenRange=0:5
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	petista	petista	NOUN	NOUN	_	49	nmod	_	TokenRange=266:273
53	tenta	tentar	VERB	VERB	_	46	acl:relcl	_	TokenRange=274:279
54	adiar	adiar	VERB	VERB	_	53	xcomp	_	TokenRange=280:285
55	o	o	DET	DET	_	56	det	_	TokenRange=286:287
56	depoimento	depoimento	NOUN	NOUN	_	54	obj	_	TokenRange=288:298
57-58	na	_	_	_	_	_	_	_	TokenRange=299:301
57	em	em	ADP	ADP	_	60	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
59	primeira	primeiro	ADJ	ADJ	_	60	amod	_	TokenRange=302:310
60	ocasiao	ocasiao	NOUN	NOUN	_	63	nmod	_	TokenRange=311:318
61	sergio	_	NOUN	NOUN	_	63	nsubj	_	TokenRange=319:325
62	moro	moro	NOUN	NOUN	_	61	flat	_	TokenRange=326:330
63	negou	negar	VERB	VERB	_	71	conj	_	TokenRange=331:336
64	o	o	DET	DET	_	65	det	_	TokenRange=337:338
65	pedido	pedido	NOUN	NOUN	_	63	obj	_	TokenRange=339:345
66	dr	dr	NOUN	NOUN	_	63	nsubj	_	TokenRange=346:348
67	zanin	_	NOUN	NOUN	_	66	flat	_	TokenRange=349:354
68	advogado	advogado	NOUN	NOUN	_	66	flat	_	TokenRange=355:363
69	de	de	ADP	ADP	_	70	case	_	TokenRange=364:366
70	lula	lula	NOUN	NOUN	_	66	nmod	_	TokenRange=367:371
71	alegou	alegar	VERB	VERB	_	46	acl:relcl	_	TokenRange=372:378
72	e	e	CCONJ	CONJ	_	74	cc	_	TokenRange=379:380
73	materialmente	materialmente	ADV	ADV	_	74	advmod	_	TokenRange=381:394
74	impossivel	impossivel	ADJ	ADJ	_	71	conj	_	TokenRange=395:405
75	analisar	analisar	VERB	VERB	_	71	xcomp	_	TokenRange=406:414
76	toda	_	DET	DET	_	78	det	_	TokenRange=415:419
77	a	o	DET	DET	_	78	det	_	TokenRange=420:421
78	documentacao	documentacao	NOUN	NOUN	_	75	obj	_	TokenRange=422:434
79	ate	_	ADP	ADP	_	82	case	_	TokenRange=435:438
80	a	o	DET	DET	_	82	det	_	TokenRange=439:440
81	proxima	proximo	ADJ	ADJ	_	82	amod	_	TokenRange=441:448
82	quartafeira	_	NOUN	NOUN	_	75	nmod	_	TokenRange=449:460
83	10	_	NUM	NUM	NumType=Card	84	nummod	_	TokenRange=461:463
84	data	data	NOUN	NOUN	_	82	appos	_	TokenRange=464:468
85	em	em	ADP	ADP	_	86	case	_	TokenRange=469:471
86	que	_	PRON	PRON	_	87	nmod	_	TokenRange=472:475
87	havera	haver	VERB	VERB	_	84	acl:relcl	_	TokenRange=476:482
88	o	o	DET	DET	_	89	det	_	TokenRange=483:484
89	interrogatorio	interrogatorio	NOUN	NOUN	_	87	nsubj	_	TokenRange=485:499
90-91	do	_	_	_	_	_	_	_	TokenRange=500:502
90	de	de	ADP	ADP	_	92	case	_	_
91	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
92	expresidente	expresidente	NOUN	NOUN	_	89	nmod	_	TokenRange=503:515
93	para	para	ADP	ADP	_	95	case	_	TokenRange=516:520
94	a	o	DET	DET	_	95	det	_	TokenRange=521:522
95	defesa	_	NOUN	NOUN	_	87	nmod	_	TokenRange=523:529
96	a	o	DET	DET	_	97	det	_	TokenRange=530:531
97	acusacao	acusacao	NOUN	NOUN	_	98	nsubj	_	TokenRange=532:540
98	conhece	conhecer	VERB	VERB	_	71	parataxis	_	TokenRange=541:548
99	melhor	melhor	ADV	ADV	_	98	advmod	_	TokenRange=549:555
100	os	o	DET	DET	_	102	det	_	TokenRange=556:558
101	tais	_	DET	DET	_	102	det	_	TokenRange=559:563
102	documentos	documento	NOUN	NOUN	_	98	obj	_	TokenRange=564:574
103	o	o	DET	DET	_	104	det	_	TokenRange=575:576
104	que	_	PRON	PRON	_	105	nsubj	_	TokenRange=577:580
105	provoca	provocar	VERB	VERB	_	98	parataxis	_	TokenRange=581:588
106	um	um	DET	DET	_	107	det	_	TokenRange=589:591
107	desequilibrio	desequilibrio	NOUN	NOUN	_	105	obj	_	TokenRange=592:605
108	entre	_	ADP	ADP	_	110	case	_	TokenRange=606:611
109	as	o	DET	DET	_	110	det	_	TokenRange=612:614
110	partes	_	PROPN	PNOUN	_	107	nmod	_	TokenRange=615:621

