# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = resende o brasil tem a justica mais cara do mundo e so temos o sergio moro trabalhando abre aspas veja se e possivel viver no nosso brasil veja se e possivel a gente conviver com essa gente que vive da politica o que nos temos nesse momento e a justica mais cara do mundo essa justica so empata com a da suica que tem uma populacao 25 menor e uma renda per capita 5 vezes maior a justica hoje parece que so tem o sergio moro trabalhando o que passa na mao dele caminha o que nao passa fica parado fecha aspas
1	resende	resender	VERB	VERB	_	0	root	_	TokenRange=0:7
59	mundo	mundo	NOUN	NOUN	_	54	nmod	_	TokenRange=266:271
60	essa	_	DET	DET	_	61	det	_	TokenRange=272:276
61	justica	_	NOUN	NOUN	_	63	nsubj	_	TokenRange=277:284
62	so	so	ADV	ADV	_	63	advmod	_	TokenRange=285:287
63	empata	empatar	VERB	VERB	_	21	ccomp	_	TokenRange=288:294
64	com	com	ADP	ADP	_	65	case	_	TokenRange=295:298
65	a	_	PRON	PRON	_	63	nmod	_	TokenRange=299:300
66-67	da	_	_	_	_	_	_	_	TokenRange=301:303
66	de	de	ADP	ADP	_	68	case	_	_
67	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	68	det	_	_
68	suica	_	NOUN	NOUN	_	65	nmod	_	TokenRange=304:309
69	que	_	PRON	PRON	_	70	nsubj	_	TokenRange=310:313
70	tem	ter	VERB	VERB	_	68	acl:relcl	_	TokenRange=314:317
71	uma	um	DET	DET	_	72	det	_	TokenRange=318:321
72	populacao	populacao	NOUN	NOUN	_	70	obj	_	TokenRange=322:331
73	25	_	NUM	NUM	NumType=Card	72	appos	_	TokenRange=332:334
74	menor	menor	ADJ	ADJ	_	72	amod	_	TokenRange=335:340
75	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=341:342
76	uma	um	DET	DET	_	77	det	_	TokenRange=343:346
77	renda	renda	NOUN	NOUN	_	72	conj	_	TokenRange=347:352
78	per	per	ADP	ADP	_	79	case	_	TokenRange=353:356
79	capita	capita	NOUN	NOUN	_	77	nmod	_	TokenRange=357:363
80	5	_	NUM	NUM	NumType=Card	81	nummod	_	TokenRange=364:365
81	vezes	vez	NOUN	NOUN	_	82	nmod	_	TokenRange=366:371
82	maior	maior	ADJ	ADJ	_	77	amod	_	TokenRange=372:377
83	a	o	DET	DET	_	84	det	_	TokenRange=378:379
84	justica	_	NOUN	NOUN	_	86	nsubj	_	TokenRange=380:387
85	hoje	hoje	ADV	ADV	_	86	advmod	_	TokenRange=388:392
86	parece	parecer	VERB	VERB	_	63	conj	_	TokenRange=393:399
87	que	que	CCONJ	CONJ	_	89	mark	_	TokenRange=400:403
88	so	so	ADV	ADV	_	89	advmod	_	TokenRange=404:406
89	tem	ter	VERB	VERB	_	86	ccomp	_	TokenRange=407:410
90	o	o	DET	DET	_	91	det	_	TokenRange=411:412
91	sergio	sergio	NOUN	NOUN	_	89	obj	_	TokenRange=413:419
92	moro	moro	NOUN	NOUN	_	91	flat	_	TokenRange=420:424
93	trabalhando	trabalhar	VERB	VERB	_	91	acl	_	TokenRange=425:436
94	o	_	PRON	PRON	_	93	obj	_	TokenRange=437:438
95	que	_	PRON	PRON	_	96	nsubj	_	TokenRange=439:442
96	passa	passar	VERB	VERB	_	94	acl:relcl	_	TokenRange=443:448
97-98	na	_	_	_	_	_	_	_	TokenRange=449:451
97	em	em	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
99	mao	mao	NOUN	NOUN	_	96	nmod	_	TokenRange=452:455
100	dele	_	X	ADPPRON	_	99	det:poss	_	TokenRange=456:460
101	caminha	caminhar	VERB	VERB	_	86	ccomp	_	TokenRange=461:468
102	o	_	PRON	PRON	_	108	nsubj	_	TokenRange=469:470
103	que	_	PRON	PRON	_	105	nsubj	_	TokenRange=471:474
104	nao	nao	ADV	ADV	Polarity=Neg	105	advmod	_	TokenRange=475:478
105	passa	passar	VERB	VERB	_	102	acl:relcl	_	TokenRange=479:484
106	fica	ficar	VERB	VERB	_	108	ccomp	_	TokenRange=485:489
107	parado	parado	ADJ	ADJ	_	106	xcomp	_	TokenRange=490:496
108	fecha	fechar	VERB	VERB	_	86	ccomp	_	TokenRange=497:502
109	aspas	aspas	NOUN	NOUN	_	108	advmod	_	TokenRange=503:508

