# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba porque a odebrecht esta comemorando o sigilo das delacoes a odebrecht comemorou a noticia de que a homologacao das delacoes de seus 77 executivos pelo stf supremo tribunal federal nao foi acompanhada da retirada do sigilo dos depoimentos prestados a pgr procuradoriageral da republica e a forcatarefa de curitiba a medida que garante validade juridica ao acordo foi assinada pela ministra carmen lucia presidente do supremo na manha desta segunda 30 segundo a folha apurou a empresa ainda se sente muito fragilizada com a divulgacao de pagamentos de propina em 12 paises incluindo o brasil que tem atrapalhado a venda de ativos e a recuperacao financeira da empreiteira todos os paises em que a empresa possui obras esta investigando as praticas comerciais dos executivos da odebrecht o peru ja expulsou a empresa e tal fato pode voltar a acontecer em outros paises nos proximos meses proteger o sigilo ajuda a abafar o escandalo internacional e da a empresa a esperanca de comecar de novo parte dos funcionarios que fecharam delacao premiada no ano passado porem acompanha os desdobramentos com apreensao pois se prepara para cumprir as penas que foram estipuladas na negociacao do acordo o que segundo a folha apurou deve ocorrer em ate dois meses o expresidente da empreiteira marcelo odebrecht por exemplo foi condenado a dez anos de prisao dois e meio deles em regime fechado o cumprimento dessas penas tera que passar pelo crivo dos juizes de execucao que serao determinados pelo stf o conteudo das delacoes da odebrecht e tao explosivo que pode gerar mais um impeachment na presidencia e pelo menos mais tres de governadores alem de suas imediatas prisoes
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
62	validade	validade	NOUN	NOUN	_	61	obj	_	TokenRange=340:348
63	juridica	juridico	ADJ	ADJ	_	62	amod	_	TokenRange=349:357
64-65	ao	_	_	_	_	_	_	_	TokenRange=358:360
64	a	a	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	acordo	acordo	NOUN	NOUN	_	62	nmod	_	TokenRange=361:367
67	foi	_	AUX	AUX	_	68	aux:pass	_	TokenRange=368:371
68	assinada	assinar	VERB	VERB	_	1	parataxis	_	TokenRange=372:380
69-70	pela	_	_	_	_	_	_	_	TokenRange=381:385
69	por	por	ADP	ADP	_	71	case	_	_
70	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	71	det	_	_
71	ministra	_	NOUN	NOUN	_	68	nmod	_	TokenRange=386:394
72	carmen	carmen	NOUN	NOUN	_	71	appos	_	TokenRange=395:401
73	lucia	_	ADJ	ADJ	_	72	flat	_	TokenRange=402:407
74	presidente	presidente	NOUN	NOUN	_	71	appos	_	TokenRange=408:418
75-76	do	_	_	_	_	_	_	_	TokenRange=419:421
75	de	de	ADP	ADP	_	77	case	_	_
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	_
77	supremo	supremo	NOUN	NOUN	_	74	nmod	_	TokenRange=422:429
78-79	na	_	_	_	_	_	_	_	TokenRange=430:432
78	em	em	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	manha	manha	NOUN	NOUN	_	68	nmod	_	TokenRange=433:438
81	desta	_	ADP	ADP	_	83	case	_	TokenRange=439:444
82	segunda	_	PROPN	PNOUN	_	83	amod	_	TokenRange=445:452
83	30	_	NUM	NUM	NumType=Card	80	nmod	_	TokenRange=453:455
84	segundo	_	ADP	ADP	_	86	case	_	TokenRange=456:463
85	a	o	DET	DET	_	86	det	_	TokenRange=464:465
86	folha	folha	NOUN	NOUN	_	68	nmod	_	TokenRange=466:471
87	apurou	apurar	ADJ	VERB	_	86	flat	_	TokenRange=472:478
88	a	o	DET	DET	_	89	det	_	TokenRange=479:480
89	empresa	empresa	NOUN	NOUN	_	92	nsubj	_	TokenRange=481:488
90	ainda	ainda	ADV	ADV	_	92	advmod	_	TokenRange=489:494
91	se	_	PRON	PRON	_	92	expl:pv	_	TokenRange=495:497
92	sente	_	VERB	VERB	_	1	parataxis	_	TokenRange=498:503
93	muito	muito	ADV	ADV	_	94	advmod	_	TokenRange=504:509
94	fragilizada	fragilizado	ADJ	ADJ	_	92	xcomp	_	TokenRange=510:521
95	com	com	ADP	ADP	_	97	case	_	TokenRange=522:525
96	a	o	DET	DET	_	97	det	_	TokenRange=526:527
97	divulgacao	divulgacao	NOUN	NOUN	_	94	nmod	_	TokenRange=528:538
98	de	de	ADP	ADP	_	99	case	_	TokenRange=539:541
99	pagamentos	pagamento	NOUN	NOUN	_	97	nmod	_	TokenRange=542:552
100	de	de	ADP	ADP	_	101	case	_	TokenRange=553:555
101	propina	propina	NOUN	NOUN	_	99	nmod	_	TokenRange=556:563
102	em	em	ADP	ADP	_	104	case	_	TokenRange=564:566
103	12	_	NUM	NUM	NumType=Card	104	nummod	_	TokenRange=567:569
104	paises	paise	NOUN	NOUN	_	97	nmod	_	TokenRange=570:576
105	incluindo	incluir	VERB	VERB	_	104	acl	_	TokenRange=577:586
106	o	o	DET	DET	_	107	det	_	TokenRange=587:588
107	brasil	brasil	NOUN	NOUN	_	105	obj	_	TokenRange=589:595
108	que	_	PRON	PRON	_	110	nsubj	_	TokenRange=596:599
109	tem	ter	AUX	AUX	_	110	aux	_	TokenRange=600:603
110	atrapalhado	atrapalhar	VERB	VERB	_	107	acl:relcl	_	TokenRange=604:615
111	a	o	DET	DET	_	112	det	_	TokenRange=616:617
112	venda	venda	NOUN	NOUN	_	110	obj	_	TokenRange=618:623
113	de	de	ADP	ADP	_	114	case	_	TokenRange=624:626
114	ativos	ativo	NOUN	NOUN	_	112	nmod	_	TokenRange=627:633
115	e	e	CCONJ	CONJ	_	117	cc	_	TokenRange=634:635
116	a	o	DET	DET	_	117	det	_	TokenRange=636:637
117	recuperacao	recuperacao	NOUN	NOUN	_	112	conj	_	TokenRange=638:649
118	financeira	financeiro	ADJ	ADJ	_	117	amod	_	TokenRange=650:660
119-120	da	_	_	_	_	_	_	_	TokenRange=661:663
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	empreiteira	empreiteiro	NOUN	NOUN	_	117	nmod	_	TokenRange=664:675
122	todos	_	DET	DET	_	124	det	_	TokenRange=676:681
123	os	o	DET	DET	_	124	det	_	TokenRange=682:684
124	paises	paise	NOUN	NOUN	_	68	nsubj:pass	_	TokenRange=685:691
125	em	em	ADP	ADP	_	126	case	_	TokenRange=692:694
126	que	_	PRON	PRON	_	129	nmod	_	TokenRange=695:698
127	a	o	DET	DET	_	128	det	_	TokenRange=699:700
128	empresa	empresa	NOUN	NOUN	_	129	nsubj	_	TokenRange=701:708
129	possui	possuir	VERB	VERB	_	124	acl:relcl	_	TokenRange=709:715
130	obras	obra	NOUN	NOUN	_	129	obj	_	TokenRange=716:721
131	esta	_	PRON	PRON	_	132	aux	_	TokenRange=722:726
132	investigando	investigar	VERB	VERB	_	206	acl:relcl	_	TokenRange=727:739
133	as	o	DET	DET	_	134	det	_	TokenRange=740:742
134	praticas	_	NOUN	NOUN	_	132	obj	_	TokenRange=743:751
135	comerciais	comercial	ADJ	ADJ	_	134	amod	_	TokenRange=752:762
136-137	dos	_	_	_	_	_	_	_	TokenRange=763:766
136	de	de	ADP	ADP	_	138	case	_	_
137	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	138	det	_	_
138	executivos	executivo	NOUN	NOUN	_	134	nmod	_	TokenRange=767:777
139-140	da	_	_	_	_	_	_	_	TokenRange=778:780
139	de	de	ADP	ADP	_	141	case	_	_
140	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	141	det	_	_
141	odebrecht	_	PROPN	PNOUN	_	138	nmod	_	TokenRange=781:790
142	o	o	DET	DET	_	143	det	_	TokenRange=791:792
143	peru	_	NOUN	NOUN	_	68	nsubj:pass	_	TokenRange=793:797
144	ja	ja	ADV	ADV	_	145	advmod	_	TokenRange=798:800
145	expulsou	expulsar	VERB	VERB	_	1	ccomp	_	TokenRange=801:809
146	a	o	DET	DET	_	147	det	_	TokenRange=810:811
147	empresa	empresa	NOUN	NOUN	_	145	obj	_	TokenRange=812:819
148	e	e	CCONJ	CONJ	_	238	cc	_	TokenRange=820:821
149	tal	_	DET	DET	_	150	det	_	TokenRange=822:825
150	fato	fato	NOUN	NOUN	_	238	nsubj:pass	_	TokenRange=826:830
151	pode	_	AUX	AUX	_	154	aux	_	TokenRange=831:835
152	voltar	voltar	AUX	AUX	_	154	aux	_	TokenRange=836:842
153	a	_	ADP	ADP	_	154	mark	_	TokenRange=843:844
154	acontecer	acontecer	VERB	VERB	_	238	conj	_	TokenRange=845:854
155	em	em	ADP	ADP	_	157	case	_	TokenRange=855:857
156	outros	_	DET	DET	_	157	det	_	TokenRange=858:864
157	paises	paise	NOUN	NOUN	_	154	nmod	_	TokenRange=865:871
158-159	nos	_	_	_	_	_	_	_	TokenRange=872:875
158	em	em	ADP	ADP	_	161	case	_	_
159	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	161	det	_	_
160	proximos	proximo	ADJ	ADJ	_	161	amod	_	TokenRange=876:884
161	meses	mês	NOUN	NOUN	_	154	nmod	_	TokenRange=885:890
162	proteger	proteger	VERB	VERB	_	238	conj	_	TokenRange=891:899
163	o	o	DET	DET	_	164	det	_	TokenRange=900:901
164	sigilo	sigilo	NOUN	NOUN	_	162	obj	_	TokenRange=902:908
165	ajuda	ajudar	VERB	VERB	_	92	conj	_	TokenRange=909:914
166	a	_	ADP	ADP	_	167	mark	_	TokenRange=915:916
167	abafar	abafar	VERB	VERB	_	165	nmod	_	TokenRange=917:923
168	o	o	DET	DET	_	169	det	_	TokenRange=924:925
169	escandalo	escandalo	NOUN	NOUN	_	167	obj	_	TokenRange=926:935
170	internacional	internacional	ADJ	ADJ	_	169	amod	_	TokenRange=936:949
171	e	e	CCONJ	CONJ	_	175	cc	_	TokenRange=950:951
172-173	da	_	_	_	_	_	_	_	TokenRange=952:954
172	de	de	ADP	ADP	_	175	case	_	_
173	a	a	DET	ADP	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	case	_	_
174	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	det	_	TokenRange=955:956
175	empresa	empresa	NOUN	NOUN	_	291	conj	_	TokenRange=957:964
176	a	o	DET	DET	_	177	det	_	TokenRange=965:966
177	esperanca	esperanca	NOUN	NOUN	_	285	obj	_	TokenRange=967:976
178	de	_	ADP	ADP	_	179	mark	_	TokenRange=977:979
179	comecar	comecar	VERB	VERB	_	177	nmod	_	TokenRange=980:987
180	de	_	ADP	ADP	_	182	case	_	TokenRange=988:990
181	novo	novo	ADJ	ADJ	_	182	amod	_	TokenRange=991:995
182	parte	parte	NOUN	NOUN	_	179	nmod	_	TokenRange=996:1001
183-184	dos	_	_	_	_	_	_	_	TokenRange=1002:1005
183	de	de	ADP	ADP	_	185	case	_	_
184	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	185	det	_	_
185	funcionarios	funcionario	NOUN	NOUN	_	182	nmod	_	TokenRange=1006:1018
186	que	_	PRON	PRON	_	187	nsubj	_	TokenRange=1019:1022
187	fecharam	fechar	VERB	VERB	_	185	acl:relcl	_	TokenRange=1023:1031
188	delacao	delacao	NOUN	NOUN	_	187	obj	_	TokenRange=1032:1039
189	premiada	premiar	VERB	VERB	_	188	amod	_	TokenRange=1040:1048
190-191	no	_	_	_	_	_	_	_	TokenRange=1049:1051
190	em	em	ADP	ADP	_	192	case	_	_
191	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	192	det	_	_
192	ano	ano	NOUN	NOUN	_	187	nmod	_	TokenRange=1052:1055
193	passado	passado	ADJ	ADJ	_	192	amod	_	TokenRange=1056:1063
194	porem	_	ADV	ADV	_	195	advmod	_	TokenRange=1064:1069
195	acompanha	acompanhar	VERB	VERB	_	1	conj	_	TokenRange=1070:1079
196	os	o	DET	DET	_	197	det	_	TokenRange=1080:1082
197	desdobramentos	desdobramento	NOUN	NOUN	_	195	obj	_	TokenRange=1083:1097
198	com	com	ADP	ADP	_	199	case	_	TokenRange=1098:1101
199	apreensao	apreensao	NOUN	NOUN	_	195	nmod	_	TokenRange=1102:1111
200	pois	_	CCONJ	CONJ	_	202	mark	_	TokenRange=1112:1116
201	se	_	PRON	PRON	_	202	expl:pv	_	TokenRange=1117:1119
202	prepara	preparar	VERB	VERB	_	195	advcl	_	TokenRange=1120:1127
203	para	_	ADP	ADP	_	204	mark	_	TokenRange=1128:1132
204	cumprir	cumprir	VERB	VERB	_	202	nmod	_	TokenRange=1133:1140
205	as	o	DET	DET	_	206	det	_	TokenRange=1141:1143
206	penas	_	NOUN	NOUN	_	204	obj	_	TokenRange=1144:1149
207	que	_	PRON	PRON	_	209	nsubj:pass	_	TokenRange=1150:1153
208	foram	_	AUX	AUX	_	209	aux:pass	_	TokenRange=1154:1159
209	estipuladas	estipular	VERB	VERB	_	206	acl:relcl	_	TokenRange=1160:1171
210-211	na	_	_	_	_	_	_	_	TokenRange=1172:1174
210	em	em	ADP	ADP	_	212	case	_	_
211	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	212	det	_	_
212	negociacao	negociacao	NOUN	NOUN	_	209	nmod	_	TokenRange=1175:1185
213-214	do	_	_	_	_	_	_	_	TokenRange=1186:1188
213	de	de	ADP	ADP	_	215	case	_	_
214	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	215	det	_	_
215	acordo	acordo	NOUN	NOUN	_	212	nmod	_	TokenRange=1189:1195
216	o	_	PRON	PRON	_	68	parataxis	_	TokenRange=1196:1197
217	que	_	PRON	PRON	_	223	nsubj	_	TokenRange=1198:1201
218	segundo	_	ADP	ADP	_	220	case	_	TokenRange=1202:1209
219	a	o	DET	DET	_	220	det	_	TokenRange=1210:1211
220	folha	folha	NOUN	NOUN	_	223	nmod	_	TokenRange=1212:1217
221	apurou	apurar	ADJ	ADJ	_	220	amod	_	TokenRange=1218:1224
222	deve	dever	AUX	AUX	_	223	aux	_	TokenRange=1225:1229
223	ocorrer	ocorrer	VERB	VERB	_	206	acl:relcl	_	TokenRange=1230:1237
224	em	em	ADP	ADP	_	227	case	_	TokenRange=1238:1240
225	ate	ate	ADV	ADV	_	226	advmod	_	TokenRange=1241:1244
226	dois	_	NUM	NUM	NumType=Card	227	nummod	_	TokenRange=1245:1249
227	meses	mês	NOUN	NOUN	_	223	nmod	_	TokenRange=1250:1255
228	o	o	DET	DET	_	229	det	_	TokenRange=1256:1257
229	expresidente	expresidente	NOUN	NOUN	_	238	nsubj:pass	_	TokenRange=1258:1270
230-231	da	_	_	_	_	_	_	_	TokenRange=1271:1273
230	de	de	ADP	ADP	_	232	case	_	_
231	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	232	det	_	_
232	empreiteira	empreiteiro	NOUN	NOUN	_	229	nmod	_	TokenRange=1274:1285
233	marcelo	marcelo	NOUN	NOUN	_	229	appos	_	TokenRange=1286:1293
234	odebrecht	_	PROPN	PNOUN	_	233	flat	_	TokenRange=1294:1303
235	por	por	ADP	ADP	_	236	case	_	TokenRange=1304:1307
236	exemplo	exemplo	NOUN	NOUN	_	238	nmod	_	TokenRange=1308:1315
237	foi	_	AUX	AUX	_	238	aux:pass	_	TokenRange=1316:1319
238	condenado	condenar	VERB	VERB	_	92	parataxis	_	TokenRange=1320:1329
239	a	_	ADP	ADP	_	241	case	_	TokenRange=1330:1331
240	dez	_	NUM	NUM	NumType=Card	241	nummod	_	TokenRange=1332:1335
241	anos	ano	NOUN	NOUN	_	238	nmod	_	TokenRange=1336:1340
242	de	de	ADP	ADP	_	243	case	_	TokenRange=1341:1343
243	prisao	prisao	NOUN	NOUN	_	241	nmod	_	TokenRange=1344:1350
244	dois	_	NUM	NUM	NumType=Card	223	nmod	_	TokenRange=1351:1355
245	e	e	CCONJ	CONJ	_	246	cc	_	TokenRange=1356:1357
246	meio	meio	NOUN	NOUN	_	244	conj	_	TokenRange=1358:1362
247	deles	_	X	ADPPRON	_	244	nmod	_	TokenRange=1363:1368
248	em	em	ADP	ADP	_	249	case	_	TokenRange=1369:1371
249	regime	regime	NOUN	NOUN	_	223	nmod	_	TokenRange=1372:1378
250	fechado	fechado	ADJ	ADJ	_	249	amod	_	TokenRange=1379:1386
251	o	o	DET	DET	_	252	det	_	TokenRange=1387:1388
252	cumprimento	cumprimento	NOUN	NOUN	_	238	nsubj:pass	_	TokenRange=1389:1400
253	dessas	_	ADP	ADP	_	254	case	_	TokenRange=1401:1407
254	penas	_	NOUN	NOUN	_	252	nmod	_	TokenRange=1408:1413
255	tera	terar	AUX	AUX	_	257	aux	_	TokenRange=1414:1418
256	que	que	CCONJ	CONJ	_	257	mark	_	TokenRange=1419:1422
257	passar	passar	VERB	VERB	_	92	parataxis	_	TokenRange=1423:1429
258-259	pelo	_	_	_	_	_	_	_	TokenRange=1430:1434
258	por	por	ADP	ADP	_	260	case	_	_
259	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	260	det	_	_
260	crivo	crivo	NOUN	NOUN	_	257	nmod	_	TokenRange=1435:1440
261-262	dos	_	_	_	_	_	_	_	TokenRange=1441:1444
261	de	de	ADP	ADP	_	263	case	_	_
262	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	263	det	_	_
263	juizes	juiz	NOUN	NOUN	_	260	nmod	_	TokenRange=1445:1451
264	de	de	ADP	ADP	_	265	case	_	TokenRange=1452:1454
265	execucao	execucao	NOUN	NOUN	_	263	nmod	_	TokenRange=1455:1463
266	que	_	PRON	PRON	_	268	nsubj:pass	_	TokenRange=1464:1467
267	serao	ser	AUX	AUX	_	268	aux:pass	_	TokenRange=1468:1473
268	determinados	determinar	VERB	VERB	_	263	acl:relcl	_	TokenRange=1474:1486
269-270	pelo	_	_	_	_	_	_	_	TokenRange=1487:1491
269	por	por	ADP	ADP	_	271	case	_	_
270	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	271	det	_	_
271	stf	_	NOUN	NOUN	_	268	nmod	_	TokenRange=1492:1495
272	o	o	DET	DET	_	273	det	_	TokenRange=1496:1497
273	conteudo	conteudo	NOUN	NOUN	_	257	nsubj	_	TokenRange=1498:1506
274-275	das	_	_	_	_	_	_	_	TokenRange=1507:1510
274	de	de	ADP	ADP	_	276	case	_	_
275	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	276	det	_	_
276	delacoes	delacoe	NOUN	NOUN	_	273	nmod	_	TokenRange=1511:1519
277-278	da	_	_	_	_	_	_	_	TokenRange=1520:1522
277	de	de	ADP	ADP	_	279	case	_	_
278	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	279	det	_	_
279	odebrecht	_	PROPN	PNOUN	_	276	nmod	_	TokenRange=1523:1532
280	e	e	CCONJ	CONJ	_	282	cc	_	TokenRange=1533:1534
281	tao	tao	ADV	ADV	_	282	advmod	_	TokenRange=1535:1538
282	explosivo	explosivo	ADJ	ADJ	_	92	xcomp	_	TokenRange=1539:1548
283	que	que	CCONJ	CONJ	_	285	mark	_	TokenRange=1549:1552
284	pode	_	AUX	AUX	_	285	aux	_	TokenRange=1553:1557
285	gerar	gerar	VERB	VERB	_	165	advcl	_	TokenRange=1558:1563
286	mais	mais	ADV	ADV	_	287	advmod	_	TokenRange=1564:1568
287	um	_	NUM	NUM	NumType=Card	288	nummod	_	TokenRange=1569:1571
288	impeachment	impeachment	NOUN	NOUN	_	285	obj	_	TokenRange=1572:1583
289-290	na	_	_	_	_	_	_	_	TokenRange=1584:1586
289	em	em	ADP	ADP	_	291	case	_	_
290	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	291	det	_	_
291	presidencia	presidencia	NOUN	NOUN	_	285	nmod	_	TokenRange=1587:1598
292	e	e	CCONJ	CONJ	_	299	cc	_	TokenRange=1599:1600
293-294	pelo	_	_	_	_	_	_	_	TokenRange=1601:1605
293	por	por	ADP	ADP	_	295	case	_	_
294	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	295	det	_	_
295	menos	menos	ADV	ADV	_	297	advmod	_	TokenRange=1606:1611
296	mais	mais	ADV	ADV	_	297	advmod	_	TokenRange=1612:1616
297	tres	_	NUM	NUM	NumType=Card	299	nummod	_	TokenRange=1617:1621
298	de	de	ADP	ADP	_	299	case	_	TokenRange=1622:1624
299	governadores	governador	NOUN	NOUN	_	288	conj	_	TokenRange=1625:1637
300	alem	alem	ADV	ADV	_	285	advmod	_	TokenRange=1638:1642
301	de	de	ADP	ADP	_	304	case	_	TokenRange=1643:1645
302	suas	_	DET	DET	_	304	det:poss	_	TokenRange=1646:1650
303	imediatas	imediato	ADJ	ADJ	_	304	amod	_	TokenRange=1651:1660
304	prisoes	_	NOUN	NOUN	_	300	nmod	_	TokenRange=1661:1668

