# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = olha a confusao alexandre frota grava video e desafia ciro gomes o ator alexandre frota gravou um video na manha de hoje 18 frota tomou as dores dos manifestantes que foram atacados por ciro gomes e resolveu desafiar o politico cearense eu acabei de assistir as cenas onde ciro gomes agride os manifestantes de bem mostrando sua truculencia quero dizer que fdp e voce disse frota no video que circulou pelas redes sociais ciro aparace xingando algumas pessoas que estavam na porta de sua casa ele ainda xingou os manifestantes de viado filho da p e disse que estava protegendoos de levar um tiro na cara nao se sabe ao certo como comecou o conflito entre ciro e os jovens que apareceram na filmagem
1	olha	olhar	VERB	VERB	_	0	root	_	TokenRange=0:4
40	desafiar	desafiar	VERB	VERB	_	39	xcomp	_	TokenRange=208:216
41	o	o	DET	DET	_	42	det	_	TokenRange=217:218
42	politico	politico	NOUN	NOUN	_	40	obj	_	TokenRange=219:227
43	cearense	cearense	ADJ	ADJ	_	42	amod	_	TokenRange=228:236
44	eu	_	PRON	PRON	_	47	nsubj	_	TokenRange=237:239
45	acabei	acabar	AUX	AUX	_	47	aux	_	TokenRange=240:246
46	de	_	ADP	ADP	_	47	mark	_	TokenRange=247:249
47	assistir	assistir	VERB	VERB	_	26	nmod	_	TokenRange=250:258
48	as	o	DET	DET	_	49	det	_	TokenRange=259:261
49	cenas	cena	NOUN	NOUN	_	47	obj	_	TokenRange=262:267
50	onde	onde	ADV	ADV	_	53	advmod	_	TokenRange=268:272
51	ciro	_	DET	DET	_	53	nsubj	_	TokenRange=273:277
52	gomes	gome	NOUN	NOUN	_	53	nsubj	_	TokenRange=278:283
53	agride	agridar	VERB	VERB	_	49	acl:relcl	_	TokenRange=284:290
54	os	o	DET	DET	_	55	det	_	TokenRange=291:293
55	manifestantes	manifestante	NOUN	NOUN	_	53	obj	_	TokenRange=294:307
56	de	_	ADP	ADP	_	58	mark	_	TokenRange=308:310
57	bem	bem	ADV	ADV	_	58	nmod	_	TokenRange=311:314
58	mostrando	mostrar	VERB	VERB	_	53	acl	_	TokenRange=315:324
59	sua	_	DET	DET	_	60	det:poss	_	TokenRange=325:328
60	truculencia	truculencia	NOUN	NOUN	_	58	obj	_	TokenRange=329:340
61	quero	querer	VERB	VERB	_	49	acl:relcl	_	TokenRange=341:346
62	dizer	dizer	VERB	VERB	_	61	xcomp	_	TokenRange=347:352
63	que	que	CCONJ	CONJ	_	93	mark	_	TokenRange=353:356
64	fdp	_	NOUN	NOUN	_	53	nsubj	_	TokenRange=357:360
65	e	e	CCONJ	CONJ	_	67	cc	_	TokenRange=361:362
66	voce	_	PRON	PRON	_	64	conj	_	TokenRange=363:367
67	disse	dizer	VERB	VERB	_	62	ccomp	_	TokenRange=368:373
68	frota	frota	NOUN	NOUN	_	67	obj	_	TokenRange=374:379
69-70	no	_	_	_	_	_	_	_	TokenRange=380:382
69	em	em	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	video	video	NOUN	NOUN	_	67	nmod	_	TokenRange=383:388
72	que	_	PRON	PRON	_	73	nsubj	_	TokenRange=389:392
73	circulou	circular	VERB	VERB	_	71	acl:relcl	_	TokenRange=393:401
74-75	pelas	_	_	_	_	_	_	_	TokenRange=402:407
74	por	por	ADP	ADP	_	76	case	_	_
75	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	76	det	_	_
76	redes	rede	NOUN	NOUN	_	73	nmod	_	TokenRange=408:413
77	sociais	social	ADJ	ADJ	_	76	amod	_	TokenRange=414:421
78	ciro	_	PRON	PRON	_	61	nsubj	_	TokenRange=422:426
79	aparace	aparacer	AUX	AUX	_	93	aux	_	TokenRange=427:434
80	xingando	xingar	VERB	VERB	_	61	acl	_	TokenRange=435:443
81	algumas	_	DET	DET	_	82	det	_	TokenRange=444:451
82	pessoas	pessoa	NOUN	NOUN	_	80	obj	_	TokenRange=452:459
83	que	_	PRON	PRON	_	84	nsubj	_	TokenRange=460:463
84	estavam	estar	VERB	VERB	_	82	acl:relcl	_	TokenRange=464:471
85-86	na	_	_	_	_	_	_	_	TokenRange=472:474
85	em	em	ADP	ADP	_	87	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	87	det	_	_
87	porta	porta	NOUN	NOUN	_	84	nmod	_	TokenRange=475:480
88	de	de	ADP	ADP	_	90	case	_	TokenRange=481:483
89	sua	_	DET	DET	_	90	det:poss	_	TokenRange=484:487
90	casa	casa	NOUN	NOUN	_	87	nmod	_	TokenRange=488:492
91	ele	_	PRON	PRON	_	93	nsubj	_	TokenRange=493:496
92	ainda	ainda	ADV	ADV	_	93	advmod	_	TokenRange=497:502
93	xingou	xingar	VERB	VERB	_	61	ccomp	_	TokenRange=503:509
94	os	o	DET	DET	_	95	det	_	TokenRange=510:512
95	manifestantes	manifestante	NOUN	NOUN	_	93	obj	_	TokenRange=513:526
96	de	de	ADP	ADP	_	97	case	_	TokenRange=527:529
97	viado	viado	NOUN	NOUN	_	95	nmod	_	TokenRange=530:535
98	filho	filho	NOUN	NOUN	_	97	amod	_	TokenRange=536:541
99-100	da	_	_	_	_	_	_	_	TokenRange=542:544
99	de	de	ADP	ADP	_	101	case	_	_
100	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	101	det	_	_
101	p	p	NOUN	NOUN	_	97	nmod	_	TokenRange=545:546
102	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=547:548
103	disse	dizer	VERB	VERB	_	93	conj	_	TokenRange=549:554
104	que	que	CCONJ	CONJ	_	105	mark	_	TokenRange=555:558
105	estava	estar	VERB	VERB	_	103	ccomp	_	TokenRange=559:565
106	protegendoos	protegendoo	ADJ	ADJ	_	105	xcomp	_	TokenRange=566:578
107	de	_	ADP	ADP	_	108	mark	_	TokenRange=579:581
108	levar	levar	VERB	VERB	_	106	nmod	_	TokenRange=582:587
109	um	um	DET	DET	_	110	det	_	TokenRange=588:590
110	tiro	tiro	NOUN	NOUN	_	108	obj	_	TokenRange=591:595
111-112	na	_	_	_	_	_	_	_	TokenRange=596:598
111	em	em	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	cara	cara	NOUN	NOUN	_	108	nmod	_	TokenRange=599:603
114	nao	nao	ADV	ADV	Polarity=Neg	116	advmod	_	TokenRange=604:607
115	se	_	PRON	PRON	_	116	expl:pv	_	TokenRange=608:610
116	sabe	saber	VERB	VERB	_	93	ccomp	_	TokenRange=611:615
117-118	ao	_	_	_	_	_	_	_	TokenRange=616:618
117	a	a	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	certo	certo	ADV	ADV	_	116	nmod	_	TokenRange=619:624
120	como	como	ADV	ADV	_	121	advmod	_	TokenRange=625:629
121	comecou	comecar	VERB	VERB	_	116	ccomp	_	TokenRange=630:637
122	o	o	DET	DET	_	123	det	_	TokenRange=638:639
123	conflito	conflito	NOUN	NOUN	_	121	nsubj	_	TokenRange=640:648
124	entre	_	ADP	ADP	_	125	case	_	TokenRange=649:654
125	ciro	_	NOUN	NOUN	_	123	nmod	_	TokenRange=655:659
126	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=660:661
127	os	o	DET	DET	_	128	det	_	TokenRange=662:664
128	jovens	jovem	NOUN	NOUN	_	125	conj	_	TokenRange=665:671
129	que	_	PRON	PRON	_	130	nsubj	_	TokenRange=672:675
130	apareceram	aparecer	VERB	VERB	_	128	acl:relcl	_	TokenRange=676:686
131-132	na	_	_	_	_	_	_	_	TokenRange=687:689
131	em	em	ADP	ADP	_	133	case	_	_
132	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	133	det	_	_
133	filmagem	filmagem	NOUN	NOUN	_	130	nmod	_	SpacesAfter=\s\s|TokenRange=690:698

