# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vazou a lista dos politicos que serao indiciados na lava jato esta semana o procuradorgeral da republica rodrigo janot pedira esta semana ao stf supremo tribunal federal o indiciamento dos politicos mais importantes do pais esta semana o procuradorgeral da republica rodrigo janot pedira nos proximos dias ao stf supremo tribunal federal a abertura de inquerito para investigar pelo menos dois ministros do governo de michel temer alem de senadores do pmdb e do psdb todos citados nas delacoes premiadas da odebrecht janot vai requerer ainda o desmembramento para instancias inferiores de casos envolvendo dezenas de politicos sem foro no supremo mas que foram mencionados nos depoimentos entre eles estao os petistas e expresidentes dilma rousseff e luiz inacio lula da silva alem dos exministros guido mantega e antonio palocci o marqueteiro joao santana governadores exgovernadores e exparlamentares da equipe de temer segundo a folha apurou ja estao na lista da procuradoriageral da republica pgr os ministros eliseu padilha casa civil e moreira franco secretariageral da presidencia outros ministros podem aparecer por exemplo gilberto kassab ciencia e tecnologia e comunicacoes a procuradoria por enquanto estuda esse caso da bancada do pmdb no congresso a pgr quer investigar o presidente do senado eunicio oliveira ce o lider do partido e expresidente renan calheiros al e os senadores edison lobao ma e romero juca rr integram tambem a lista da procuradoria os tucanos jose serra sp e aecio neves mg estrategia a estrategia de janot e tentar entregar na proxima semana todos os pedidos de uma vez ao relator da lava jato no stf edson fachin o numero de solicitacoes ao ministro do supremo pode passar de 40 os detalhes sobre os inqueritos devem ser concluidos ate esta segundafeira 6 em brasilia o procuradorgeral vai sugerir diligencias incluindo depoimentos e quebra de sigilos bancarios e fiscal ao todo cerca de 850 depoimentos de 77 executivos da odebrecht foram analisados muitos deles contem fatos semelhantes outros podem ser anexados a investigacoes ja em andamento hipoteses de acordo com quem tem acesso as delacoes janot e sua equipe estudam ainda a viabilidade juridica de incluir ou nao o nome do presidente michel temer como alvo de inquerito as delacoes da odebrecht incluem o peemedebista em episodios quando ele era vicepresidente por exemplo um jantar no palacio do jaburu com marcelo odebrecht em 2014 e quando ainda era deputado e candidato a vice da petista em 2010 ano em que teria participado de uma reuniao com a empreiteira para discutir repasse de recursos a discussao interna na pgr e se o cargo de vice pode ser considerado um mandato presidencial nesse caso o stf pode autorizar a investigacao da participacao de temer no jantar de 2014
1	vazou	vazar	VERB	VERB	_	0	root	_	TokenRange=0:5
58	stf	_	NOUN	NOUN	_	51	iobj	_	TokenRange=309:312
59	supremo	supremo	ADJ	ADJ	_	60	amod	_	TokenRange=313:320
60	tribunal	tribunal	NOUN	NOUN	_	58	appos	_	TokenRange=321:329
61	federal	federal	ADJ	ADJ	_	60	amod	_	TokenRange=330:337
62	a	o	DET	DET	_	63	det	_	TokenRange=338:339
63	abertura	abertura	NOUN	NOUN	_	51	obj	_	TokenRange=340:348
64	de	de	ADP	ADP	_	65	case	_	TokenRange=349:351
65	inquerito	inquerito	NOUN	NOUN	_	63	nmod	_	TokenRange=352:361
66	para	_	ADP	ADP	_	67	mark	_	TokenRange=362:366
67	investigar	investigar	VERB	VERB	_	168	advcl	_	TokenRange=367:377
68-69	pelo	_	_	_	_	_	_	_	TokenRange=378:382
68	por	por	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	menos	menos	ADV	ADV	_	71	advmod	_	TokenRange=383:388
71	dois	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=389:393
72	ministros	ministro	NOUN	NOUN	_	67	obj	_	TokenRange=394:403
73-74	do	_	_	_	_	_	_	_	TokenRange=404:406
73	de	de	ADP	ADP	_	75	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	_
75	governo	governo	NOUN	NOUN	_	72	nmod	_	TokenRange=407:414
76	de	de	ADP	ADP	_	177	case	_	TokenRange=415:417
77	michel	michel	ADJ	ADJ	_	237	nmod	_	TokenRange=418:424
78	temer	temer	NOUN	NOUN	_	75	nmod	_	TokenRange=425:430
79	alem	alem	ADV	ADV	_	253	advmod	_	TokenRange=431:435
80	de	de	ADP	ADP	_	81	case	_	TokenRange=436:438
81	senadores	senador	NOUN	NOUN	_	79	nmod	_	TokenRange=439:448
82-83	do	_	_	_	_	_	_	_	TokenRange=449:451
82	de	de	ADP	ADP	_	84	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
84	pmdb	pmdb	NOUN	NOUN	_	81	nmod	_	TokenRange=452:456
85	e	e	CCONJ	CONJ	_	88	cc	_	TokenRange=457:458
86-87	do	_	_	_	_	_	_	_	TokenRange=459:461
86	de	de	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	psdb	_	NOUN	NOUN	_	84	conj	_	TokenRange=462:466
89	todos	_	PRON	PRON	_	320	nsubj:pass	_	TokenRange=467:472
90	citados	citar	VERB	VERB	_	154	acl	_	TokenRange=473:480
91-92	nas	_	_	_	_	_	_	_	TokenRange=481:484
91	em	em	ADP	ADP	_	93	case	_	_
92	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	93	det	_	_
93	delacoes	delacoe	NOUN	NOUN	_	90	nmod	_	TokenRange=485:493
94	premiadas	premiar	VERB	VERB	_	93	acl	_	TokenRange=494:503
95-96	da	_	_	_	_	_	_	_	TokenRange=504:506
95	de	de	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	odebrecht	odebrecht	NOUN	NOUN	_	94	nmod	_	TokenRange=507:516
98	janot	_	NOUN	NOUN	_	97	flat	_	TokenRange=517:522
99	vai	ir	AUX	AUX	_	100	aux	_	TokenRange=523:526
100	requerer	requerer	VERB	VERB	_	1	parataxis	_	TokenRange=527:535
101	ainda	ainda	ADV	ADV	_	100	advmod	_	TokenRange=536:541
102	o	o	DET	DET	_	103	det	_	TokenRange=542:543
103	desmembramento	desmembramento	NOUN	NOUN	_	100	obj	_	TokenRange=544:558
104	para	para	ADP	ADP	_	105	case	_	TokenRange=559:563
105	instancias	instancia	NOUN	NOUN	_	103	nmod	_	TokenRange=564:574
106	inferiores	inferior	ADJ	ADJ	_	105	amod	_	TokenRange=575:585
107	de	de	ADP	ADP	_	108	case	_	TokenRange=586:588
108	casos	caso	NOUN	NOUN	_	105	nmod	_	TokenRange=589:594
109	envolvendo	envolver	VERB	VERB	_	108	acl	_	TokenRange=595:605
110	dezenas	dezena	NOUN	NOUN	_	72	nummod	_	TokenRange=606:613
111	de	de	ADP	ADP	_	112	case	_	TokenRange=614:616
112	politicos	politico	NOUN	NOUN	_	332	obj	_	TokenRange=617:626
113	sem	_	ADP	ADP	_	114	case	_	TokenRange=627:630
114	foro	foro	NOUN	NOUN	_	112	nmod	_	TokenRange=631:635
115-116	no	_	_	_	_	_	_	_	TokenRange=636:638
115	em	em	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	supremo	supremo	NOUN	NOUN	_	114	nmod	_	TokenRange=639:646
118	mas	mas	CCONJ	CONJ	_	253	cc	_	TokenRange=647:650
119	que	_	PRON	PRON	_	121	nsubj:pass	_	TokenRange=651:654
120	foram	_	AUX	AUX	_	121	aux:pass	_	TokenRange=655:660
121	mencionados	mencionar	VERB	VERB	_	23	conj	_	TokenRange=661:672
122-123	nos	_	_	_	_	_	_	_	TokenRange=673:676
122	em	em	ADP	ADP	_	124	case	_	_
123	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	124	det	_	_
124	depoimentos	depoimento	NOUN	NOUN	_	121	nmod	_	TokenRange=677:688
125	entre	_	ADP	ADP	_	126	case	_	TokenRange=689:694
126	eles	_	PRON	PRON	_	253	nmod	_	TokenRange=695:699
127	estao	_	VERB	VERB	_	100	conj	_	TokenRange=700:705
128	os	o	DET	DET	_	129	det	_	TokenRange=706:708
129	petistas	petista	NOUN	NOUN	_	253	nsubj	_	TokenRange=709:717
130	e	e	CCONJ	CONJ	_	131	cc	_	TokenRange=718:719
131	expresidentes	expresidente	NOUN	NOUN	_	129	conj	_	TokenRange=720:733
132	dilma	dilma	NOUN	NOUN	_	129	appos	_	TokenRange=734:739
133	rousseff	rousseff	NOUN	NOUN	_	262	flat	_	TokenRange=740:748
134	e	e	CCONJ	CONJ	_	135	cc	_	TokenRange=749:750
135	luiz	luiz	NOUN	NOUN	_	262	conj	_	TokenRange=751:755
136	inacio	_	ADJ	NOUN	_	266	flat	_	TokenRange=756:762
137	lula	_	NOUN	NOUN	_	266	flat	_	TokenRange=763:767
138-139	da	_	_	_	_	_	_	_	TokenRange=768:770
138	de	de	ADP	ADP	_	140	case	_	_
139	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	140	det	_	_
140	silva	silva	NOUN	NOUN	_	135	nmod	_	TokenRange=771:776
141	alem	alem	ADV	ADV	_	253	advmod	_	TokenRange=777:781
142-143	dos	_	_	_	_	_	_	_	TokenRange=782:785
142	de	de	ADP	ADP	_	144	case	_	_
143	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	144	det	_	_
144	exministros	exministro	NOUN	NOUN	_	141	nmod	_	TokenRange=786:797
145	guido	guido	NOUN	NOUN	_	144	appos	_	TokenRange=798:803
146	mantega	mantega	NOUN	NOUN	_	145	flat	_	TokenRange=804:811
147	e	e	CCONJ	CONJ	_	148	cc	_	TokenRange=812:813
148	antonio	antonio	NOUN	NOUN	_	145	conj	_	TokenRange=814:821
149	palocci	_	NOUN	NOUN	_	148	flat	_	TokenRange=822:829
150	o	o	DET	DET	_	151	det	_	TokenRange=830:831
151	marqueteiro	marqueteiro	NOUN	NOUN	_	253	nsubj	_	TokenRange=832:843
152	joao	joao	ADJ	ADJ	_	151	appos	_	TokenRange=844:848
153	santana	santana	ADJ	ADJ	_	151	amod	_	TokenRange=849:856
154	governadores	governador	NOUN	NOUN	_	234	appos	_	TokenRange=857:869
155	exgovernadores	exgovernador	ADJ	ADJ	_	154	amod	_	TokenRange=870:884
156	e	e	CCONJ	CONJ	_	157	cc	_	TokenRange=885:886
157	exparlamentares	exparlamentar	ADJ	ADJ	_	155	conj	_	TokenRange=887:902
158-159	da	_	_	_	_	_	_	_	TokenRange=903:905
158	de	de	ADP	ADP	_	160	case	_	_
159	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	160	det	_	_
160	equipe	equipe	NOUN	NOUN	_	154	nmod	_	TokenRange=906:912
161	de	de	ADP	ADP	_	162	case	_	TokenRange=913:915
162	temer	temer	NOUN	NOUN	_	160	nmod	_	TokenRange=916:921
163	segundo	_	ADP	ADP	_	165	case	_	TokenRange=922:929
164	a	o	DET	DET	_	165	det	_	TokenRange=930:931
165	folha	folha	NOUN	NOUN	_	90	nmod	_	TokenRange=932:937
166	apurou	apurar	VERB	VERB	_	1	parataxis	_	TokenRange=938:944
167	ja	ja	ADV	ADV	_	168	advmod	_	TokenRange=945:947
168	estao	_	VERB	VERB	_	1	parataxis	_	TokenRange=948:953
169-170	na	_	_	_	_	_	_	_	TokenRange=954:956
169	em	em	ADP	ADP	_	171	case	_	_
170	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	171	det	_	_
171	lista	lista	NOUN	NOUN	_	168	nmod	_	TokenRange=957:962
172-173	da	_	_	_	_	_	_	_	TokenRange=963:965
172	de	de	ADP	ADP	_	174	case	_	_
173	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	174	det	_	_
174	procuradoriageral	procuradoriageral	NOUN	NOUN	_	171	nmod	_	TokenRange=966:983
175-176	da	_	_	_	_	_	_	_	TokenRange=984:986
175	de	de	ADP	ADP	_	177	case	_	_
176	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	177	det	_	_
177	republica	_	NOUN	NOUN	_	174	nmod	_	TokenRange=987:996
178	pgr	pgr	NOUN	NOUN	_	177	appos	_	TokenRange=997:1000
179	os	o	DET	DET	_	180	det	_	TokenRange=1001:1003
180	ministros	ministro	NOUN	NOUN	_	253	nsubj	_	TokenRange=1004:1013
181	eliseu	eliseu	NOUN	NOUN	_	180	appos	_	TokenRange=1014:1020
182	padilha	padilha	NOUN	NOUN	_	181	flat	_	TokenRange=1021:1028
183	casa	casa	NOUN	NOUN	_	181	appos	_	TokenRange=1029:1033
184	civil	civil	ADJ	ADJ	_	183	amod	_	TokenRange=1034:1039
185	e	e	CCONJ	CONJ	_	186	cc	_	TokenRange=1040:1041
186	moreira	moreira	NOUN	NOUN	_	181	conj	_	TokenRange=1042:1049
187	franco	franco	ADJ	ADJ	_	186	amod	_	TokenRange=1050:1056
188	secretariageral	_	NOUN	NOUN	_	186	appos	_	TokenRange=1057:1072
189-190	da	_	_	_	_	_	_	_	TokenRange=1073:1075
189	de	de	ADP	ADP	_	191	case	_	_
190	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	191	det	_	_
191	presidencia	presidencia	NOUN	NOUN	_	186	nmod	_	TokenRange=1076:1087
192	outros	_	DET	DET	_	193	det	_	TokenRange=1088:1094
193	ministros	ministro	NOUN	NOUN	_	253	nsubj	_	TokenRange=1095:1104
194	podem	_	AUX	AUX	_	195	aux	_	TokenRange=1105:1110
195	aparecer	aparecer	VERB	VERB	_	408	parataxis	_	TokenRange=1111:1119
196	por	por	ADP	ADP	_	197	case	_	TokenRange=1120:1123
197	exemplo	exemplo	NOUN	NOUN	_	195	nmod	_	TokenRange=1124:1131
198	gilberto	gilberto	NOUN	NOUN	_	195	obj	_	TokenRange=1132:1140
199	kassab	_	NOUN	NOUN	_	198	flat	_	TokenRange=1141:1147
200	ciencia	ciencia	NOUN	NOUN	_	198	appos	_	TokenRange=1148:1155
201	e	e	CCONJ	CONJ	_	202	cc	_	TokenRange=1156:1157
202	tecnologia	tecnologia	NOUN	NOUN	_	200	conj	_	TokenRange=1158:1168
203	e	e	CCONJ	CONJ	_	204	cc	_	TokenRange=1169:1170
204	comunicacoes	comunicacoe	NOUN	NOUN	_	200	conj	_	TokenRange=1171:1183
205	a	o	DET	DET	_	206	det	_	TokenRange=1184:1185
206	procuradoria	procuradoria	NOUN	NOUN	_	195	nsubj	_	TokenRange=1186:1198
207	por	_	ADP	ADP	_	209	mark	_	TokenRange=1199:1202
208	enquanto	enquanto	ADV	ADV	_	209	advmod	_	TokenRange=1203:1211
209	estuda	estudar	VERB	VERB	_	195	advcl	_	TokenRange=1212:1218
210	esse	_	DET	DET	_	211	det	_	TokenRange=1219:1223
211	caso	caso	NOUN	NOUN	_	209	obj	_	TokenRange=1224:1228
212-213	da	_	_	_	_	_	_	_	TokenRange=1229:1231
212	de	de	ADP	ADP	_	214	case	_	_
213	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	214	det	_	_
214	bancada	bancada	NOUN	NOUN	_	211	nmod	_	TokenRange=1232:1239
215-216	do	_	_	_	_	_	_	_	TokenRange=1240:1242
215	de	de	ADP	ADP	_	217	case	_	_
216	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	217	det	_	_
217	pmdb	_	NOUN	NOUN	_	214	nmod	_	TokenRange=1243:1247
218-219	no	_	_	_	_	_	_	_	TokenRange=1248:1250
218	em	em	ADP	ADP	_	220	case	_	_
219	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	220	det	_	_
220	congresso	congresso	NOUN	NOUN	_	51	nmod	_	TokenRange=1251:1260
221	a	o	DET	DET	_	222	det	_	TokenRange=1261:1262
222	pgr	_	NOUN	NOUN	_	223	nsubj	_	TokenRange=1263:1266
223	quer	querer	VERB	VERB	_	51	parataxis	_	TokenRange=1267:1271
224	investigar	investigar	VERB	VERB	_	223	xcomp	_	TokenRange=1272:1282
225	o	o	DET	DET	_	226	det	_	TokenRange=1283:1284
226	presidente	presidente	NOUN	NOUN	_	224	obj	_	TokenRange=1285:1295
227-228	do	_	_	_	_	_	_	_	TokenRange=1296:1298
227	de	de	ADP	ADP	_	229	case	_	_
228	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	229	det	_	_
229	senado	senado	NOUN	NOUN	_	226	nmod	_	TokenRange=1299:1305
230	eunicio	_	NOUN	NOUN	_	226	appos	_	TokenRange=1306:1313
231	oliveira	_	PROPN	PNOUN	_	230	flat	_	TokenRange=1314:1322
232	ce	_	CCONJ	CONJ	_	253	mark	_	TokenRange=1323:1325
233	o	o	DET	DET	_	234	det	_	TokenRange=1326:1327
234	lider	lider	NOUN	NOUN	_	253	nsubj	_	TokenRange=1328:1333
235-236	do	_	_	_	_	_	_	_	TokenRange=1334:1336
235	de	de	ADP	ADP	_	237	case	_	_
236	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	237	det	_	_
237	partido	partido	NOUN	NOUN	_	234	nmod	_	TokenRange=1337:1344
238	e	e	CCONJ	CONJ	_	239	cc	_	TokenRange=1345:1346
239	expresidente	expresidente	NOUN	NOUN	_	234	conj	_	TokenRange=1347:1359
240	renan	renan	ADJ	NOUN	_	239	appos	_	TokenRange=1360:1365
241	calheiros	calheiro	NOUN	NOUN	_	240	flat	_	TokenRange=1366:1375
242	al	_	PROPN	PNOUN	_	240	flat	_	TokenRange=1376:1378
243	e	e	CCONJ	CONJ	_	245	cc	_	TokenRange=1379:1380
244	os	o	DET	DET	_	245	det	_	TokenRange=1381:1383
245	senadores	senador	NOUN	NOUN	_	234	conj	_	TokenRange=1384:1393
246	edison	edison	NOUN	NOUN	_	245	appos	_	TokenRange=1394:1400
247	lobao	lobao	NOUN	NOUN	_	246	flat	_	TokenRange=1401:1406
248	ma	_	NOUN	NOUN	_	246	flat	_	TokenRange=1407:1409
249	e	e	CCONJ	CONJ	_	250	cc	_	TokenRange=1410:1411
250	romero	romero	NOUN	NOUN	_	246	conj	_	TokenRange=1412:1418
251	juca	juca	ADJ	ADJ	_	250	flat	_	TokenRange=1419:1423
252	rr	_	X	X	_	250	appos	_	TokenRange=1424:1426
253	integram	integrar	VERB	VERB	_	408	conj	_	TokenRange=1427:1435
254	tambem	tambem	ADV	ADV	_	253	advmod	_	TokenRange=1436:1442
255	a	o	DET	DET	_	256	det	_	TokenRange=1443:1444
256	lista	lista	NOUN	NOUN	_	253	obj	_	TokenRange=1445:1450
257-258	da	_	_	_	_	_	_	_	TokenRange=1451:1453
257	de	de	ADP	ADP	_	259	case	_	_
258	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	259	det	_	_
259	procuradoria	procuradoria	NOUN	NOUN	_	256	nmod	_	TokenRange=1454:1466
260	os	o	DET	DET	_	261	det	_	TokenRange=1467:1469
261	tucanos	tucano	NOUN	NOUN	_	253	obj	_	TokenRange=1470:1477
262	jose	jose	NOUN	NOUN	_	261	appos	_	TokenRange=1478:1482
263	serra	_	PROPN	PNOUN	_	262	flat	_	TokenRange=1483:1488
264	sp	_	NOUN	ADJ	_	262	flat	_	TokenRange=1489:1491
265	e	e	CCONJ	CONJ	_	266	cc	_	TokenRange=1492:1493
266	aecio	aecio	NOUN	NOUN	_	262	conj	_	TokenRange=1494:1499
267	neves	neve	NOUN	NOUN	_	266	flat	_	TokenRange=1500:1505
268	mg	_	X	X	_	269	amod	_	TokenRange=1506:1508
269	estrategia	estrategia	NOUN	NOUN	_	253	obj	_	TokenRange=1509:1519
270	a	o	DET	DET	_	271	det	_	TokenRange=1520:1521
271	estrategia	estrategia	NOUN	NOUN	_	253	obj	_	TokenRange=1522:1532
272	de	de	ADP	ADP	_	273	case	_	TokenRange=1533:1535
273	janot	_	NOUN	NOUN	_	271	nmod	_	TokenRange=1536:1541
274	e	e	CCONJ	CONJ	_	275	cc	_	TokenRange=1542:1543
275	tentar	tentar	VERB	VERB	_	67	conj	_	TokenRange=1544:1550
276	entregar	entregar	VERB	VERB	_	275	xcomp	_	TokenRange=1551:1559
277-278	na	_	_	_	_	_	_	_	TokenRange=1560:1562
277	em	em	ADP	ADP	_	280	case	_	_
278	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	280	det	_	_
279	proxima	proximo	ADJ	ADJ	_	280	amod	_	TokenRange=1563:1570
280	semana	semana	NOUN	NOUN	_	276	nmod	_	TokenRange=1571:1577
281	todos	_	DET	DET	_	283	det	_	TokenRange=1578:1583
