# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tucanou advogado de defesa de dilma vai trabalhar para prefeito do psdb o exministro da agu e advogado de defesa de dilma no processo do impeachment podera se tornar advogado do prefeito tucano joao doria a informacao foi divulgada pelo colunista renato onofre da veja de acordo com a publicacao jose eduardo cardozo e doria tem uma amizade de longa data cardozo tambem teria participacao no grupo empresarial lide comandado pelo prefeito de sp atualmente cardoso e procurador da prefeitura de sao paulo
1	tucanou	tucanar	VERB	VERB	_	0	root	_	TokenRange=0:7
37	prefeito	prefeito	NOUN	NOUN	_	34	nmod	_	TokenRange=178:186
38	tucano	tucano	ADJ	ADJ	_	37	amod	_	TokenRange=187:193
39	joao	joao	NOUN	NOUN	_	37	appos	_	TokenRange=194:198
40	doria	doria	NOUN	NOUN	_	39	flat	_	TokenRange=199:204
41	a	o	DET	DET	_	42	det	_	TokenRange=205:206
42	informacao	informacao	NOUN	NOUN	_	44	nsubj:pass	_	TokenRange=207:217
43	foi	_	AUX	AUX	_	44	aux:pass	_	TokenRange=218:221
44	divulgada	divulgar	VERB	VERB	_	8	parataxis	_	TokenRange=222:231
45-46	pelo	_	_	_	_	_	_	_	TokenRange=232:236
45	por	por	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	colunista	colunista	NOUN	NOUN	_	44	nmod	_	TokenRange=237:246
48	renato	renato	NOUN	NOUN	_	47	appos	_	TokenRange=247:253
49	onofre	_	NOUN	NOUN	_	48	flat	_	TokenRange=254:260
50-51	da	_	_	_	_	_	_	_	TokenRange=261:263
50	de	de	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	veja	veja	NOUN	NOUN	_	47	nmod	_	TokenRange=264:268
53	de	de	ADP	ADP	_	54	case	_	TokenRange=269:271
54	acordo	acordo	NOUN	NOUN	_	44	nmod	_	TokenRange=272:278
55	com	com	ADP	ADP	_	57	case	_	TokenRange=279:282
56	a	o	DET	DET	_	57	det	_	TokenRange=283:284
57	publicacao	publicacao	NOUN	NOUN	_	54	nmod	_	TokenRange=285:295
58	jose	_	PROPN	NOUN	_	57	appos	_	TokenRange=296:300
59	eduardo	_	PROPN	PNOUN	_	58	flat	_	TokenRange=301:308
60	cardozo	cardozo	NOUN	NOUN	_	58	flat	_	TokenRange=309:316
61	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=317:318
62	doria	_	NOUN	NOUN	_	58	conj	_	TokenRange=319:324
63	tem	ter	VERB	VERB	_	44	conj	_	TokenRange=325:328
64	uma	um	DET	DET	_	65	det	_	TokenRange=329:332
65	amizade	amizade	NOUN	NOUN	_	63	obj	_	TokenRange=333:340
66	de	de	ADP	ADP	_	68	case	_	TokenRange=341:343
67	longa	longo	ADJ	ADJ	_	68	amod	_	TokenRange=344:349
68	data	data	NOUN	NOUN	_	65	nmod	_	TokenRange=350:354
69	cardozo	cardozo	NOUN	NOUN	_	71	nsubj	_	TokenRange=355:362
70	tambem	tambem	ADV	ADV	_	71	advmod	_	TokenRange=363:369
71	teria	ter	VERB	VERB	_	63	conj	_	TokenRange=370:375
72	participacao	participacao	NOUN	NOUN	_	71	obj	_	TokenRange=376:388
73-74	no	_	_	_	_	_	_	_	TokenRange=389:391
73	em	em	ADP	ADP	_	75	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	_
75	grupo	grupo	NOUN	NOUN	_	72	nmod	_	TokenRange=392:397
76	empresarial	empresarial	ADJ	ADJ	_	75	amod	_	TokenRange=398:409
77	lide	lide	NOUN	NOUN	_	75	appos	_	TokenRange=410:414
78	comandado	comandar	VERB	VERB	_	75	acl	_	TokenRange=415:424
79-80	pelo	_	_	_	_	_	_	_	TokenRange=425:429
79	por	por	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	prefeito	prefeito	NOUN	NOUN	_	78	nmod	_	TokenRange=430:438
82	de	de	ADP	ADP	_	83	case	_	TokenRange=439:441
83	sp	_	NOUN	NOUN	_	81	nmod	_	TokenRange=442:444
84	atualmente	atualmente	ADV	ADV	_	85	advmod	_	TokenRange=445:455
85	cardoso	cardoso	NOUN	NOUN	_	81	appos	_	TokenRange=456:463
86	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=464:465
87	procurador	procurador	NOUN	NOUN	_	85	conj	_	TokenRange=466:476
88-89	da	_	_	_	_	_	_	_	TokenRange=477:479
88	de	de	ADP	ADP	_	90	case	_	_
89	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	90	det	_	_
90	prefeitura	prefeitura	NOUN	NOUN	_	87	nmod	_	TokenRange=480:490
91	de	de	ADP	ADP	_	92	case	_	TokenRange=491:493
92	sao	sao	NOUN	NOUN	_	90	nmod	_	TokenRange=494:497
93	paulo	paulo	NOUN	NOUN	_	92	flat	_	TokenRange=498:503

