# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na alemanha atirador abre fogo em cinema e atinge 25 pessoas o atirador estava vestindo uma mascara e abriu fogo dentro de um cinema o atentado aconteceu na cidade de viernheim e deixou entre 25 e 50 pessoas feridas hoje 23 de acordo com informacoes da emissora de tv publica alema a norteamericana cnn e a reuters tambem noticiaram o fato viernheim fica proxima a frankfurt ainda nao se sabe o que motivou o ataque o local foi cercado pela policia e ainda nao ha informacoes se o atirador fez refens o jornal darmstadter echo informou pelo menos 50 pessoas podem estar feridas
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
35	deixou	deixar	VERB	VERB	_	5	conj	_	TokenRange=179:185
36	entre	_	ADP	ADP	_	40	case	_	TokenRange=186:191
37	25	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=192:194
38	e	e	CCONJ	CONJ	_	39	cc	_	TokenRange=195:196
39	50	_	NUM	NUM	NumType=Card	37	conj	_	TokenRange=197:199
40	pessoas	pessoa	NOUN	NOUN	_	35	nmod	_	TokenRange=200:207
41	feridas	ferido	ADJ	ADJ	_	40	amod	_	TokenRange=208:215
42	hoje	hoje	ADV	ADV	_	35	advmod	_	TokenRange=216:220
43	23	_	NUM	NUM	NumType=Card	42	nmod	_	TokenRange=221:223
44	de	de	ADP	ADP	_	45	case	_	TokenRange=224:226
45	acordo	acordo	NOUN	NOUN	_	35	nmod	_	TokenRange=227:233
46	com	com	ADP	ADP	_	47	case	_	TokenRange=234:237
47	informacoes	informacoe	NOUN	NOUN	_	45	nmod	_	TokenRange=238:249
48-49	da	_	_	_	_	_	_	_	TokenRange=250:252
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	emissora	_	NOUN	NOUN	_	47	nmod	_	TokenRange=253:261
51	de	de	ADP	ADP	_	52	case	_	TokenRange=262:264
52	tv	tv	NOUN	NOUN	_	50	nmod	_	TokenRange=265:267
53	publica	publico	ADJ	ADJ	_	52	amod	_	TokenRange=268:275
54	alema	alema	ADJ	ADJ	_	52	amod	_	TokenRange=276:281
55	a	o	DET	DET	_	57	det	_	TokenRange=282:283
56	norteamericana	norteamericano	ADJ	ADJ	_	57	amod	_	TokenRange=284:298
57	cnn	_	NOUN	NOUN	_	62	nsubj	_	TokenRange=299:302
58	e	e	CCONJ	CONJ	_	60	cc	_	TokenRange=303:304
59	a	o	DET	DET	_	60	det	_	TokenRange=305:306
60	reuters	_	NOUN	NOUN	_	57	conj	_	TokenRange=307:314
61	tambem	tambem	ADV	ADV	_	62	advmod	_	TokenRange=315:321
62	noticiaram	noticiar	VERB	VERB	_	28	conj	_	TokenRange=322:332
63	o	o	DET	DET	_	64	det	_	TokenRange=333:334
64	fato	fato	NOUN	NOUN	_	62	obj	_	TokenRange=335:339
65	viernheim	_	NOUN	NOUN	_	66	nsubj	_	TokenRange=340:349
66	fica	ficar	VERB	VERB	_	62	ccomp	_	TokenRange=350:354
67	proxima	proximo	ADJ	ADJ	_	66	xcomp	_	TokenRange=355:362
68	a	_	ADP	ADP	_	69	case	_	TokenRange=363:364
69	frankfurt	frankfurt	NOUN	NOUN	_	67	nmod	_	TokenRange=365:374
70	ainda	ainda	ADV	ADV	_	73	advmod	_	TokenRange=375:380
71	nao	nao	ADV	ADV	Polarity=Neg	73	advmod	_	TokenRange=381:384
72	se	_	PRON	PRON	_	73	expl:pv	_	TokenRange=385:387
73	sabe	saber	VERB	VERB	_	66	parataxis	_	TokenRange=388:392
74	o	_	PRON	PRON	_	73	obj	_	TokenRange=393:394
75	que	_	PRON	PRON	_	76	nsubj	_	TokenRange=395:398
76	motivou	motivar	VERB	VERB	_	74	acl:relcl	_	TokenRange=399:406
77	o	o	DET	DET	_	78	det	_	TokenRange=407:408
78	ataque	ataque	NOUN	NOUN	_	76	obj	_	TokenRange=409:415
79	o	o	DET	DET	_	80	det	_	TokenRange=416:417
80	local	local	NOUN	NOUN	_	82	nsubj:pass	_	TokenRange=418:423
81	foi	_	AUX	AUX	_	82	aux:pass	_	TokenRange=424:427
82	cercado	cercar	VERB	VERB	_	73	ccomp	_	TokenRange=428:435
83-84	pela	_	_	_	_	_	_	_	TokenRange=436:440
83	por	por	ADP	ADP	_	85	case	_	_
84	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	85	det	_	_
85	policia	policia	NOUN	NOUN	_	82	nmod	_	TokenRange=441:448
86	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=449:450
87	ainda	ainda	ADV	ADV	_	89	advmod	_	TokenRange=451:456
88	nao	nao	ADV	ADV	Polarity=Neg	89	advmod	_	TokenRange=457:460
89	ha	har	VERB	VERB	_	82	conj	_	TokenRange=461:463
90	informacoes	informacoe	NOUN	NOUN	_	89	obj	_	TokenRange=464:475
91	se	_	CCONJ	CONJ	_	94	mark	_	TokenRange=476:478
92	o	o	DET	DET	_	93	det	_	TokenRange=479:480
93	atirador	atirador	NOUN	NOUN	_	94	nsubj	_	TokenRange=481:489
94	fez	fazer	VERB	VERB	_	89	ccomp	_	TokenRange=490:493
95	refens	refem	NOUN	NOUN	_	94	obj	_	TokenRange=494:500
96	o	o	DET	DET	_	97	det	_	TokenRange=501:502
97	jornal	jornal	NOUN	NOUN	_	100	nsubj	_	TokenRange=503:509
98	darmstadter	darmstadter	ADJ	ADJ	_	97	amod	_	TokenRange=510:521
99	echo	echo	NOUN	NOUN	_	97	amod	_	TokenRange=522:526
100	informou	informar	VERB	VERB	_	89	parataxis	_	TokenRange=527:535
101-102	pelo	_	_	_	_	_	_	_	TokenRange=536:540
101	por	por	ADP	ADP	_	103	case	_	_
102	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	103	det	_	_
103	menos	menos	ADV	ADV	_	104	advmod	_	TokenRange=541:546
104	50	_	NUM	NUM	NumType=Card	105	nummod	_	TokenRange=547:549
105	pessoas	pessoa	NOUN	NOUN	_	107	nsubj	_	TokenRange=550:557
106	podem	_	AUX	AUX	_	107	aux	_	TokenRange=558:563
107	estar	estar	VERB	VERB	_	100	ccomp	_	TokenRange=564:569
108	feridas	ferido	ADJ	ADJ	_	107	xcomp	_	TokenRange=570:577

