# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiu a sentenca lula e condenado a mais de 9 anos de prisao a sentenca pelos crimes de corrupcao passiva e lavagem de dinheiro foi anunciada hoje o expresidente foi acusado pelo mpf de receber propina da oas entre as benesses recebidas esta o apartamento triplex situado na cidade de guaruja sp segundo a denuncia do ministerio publico federal o petista teria recebido aproximadamente r 37 milhoes em vantagens ilicitas pagas pela oas cabe recurso da sentenca de moro nas instancias superiores mais informacoes a seguir leia abaixo a sentenca ou clique aqui
1	saiu	sair	VERB	VERB	_	0	root	_	TokenRange=0:4
59	denuncia	denuncia	NOUN	NOUN	_	68	nmod	_	TokenRange=305:313
60-61	do	_	_	_	_	_	_	_	TokenRange=314:316
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	ministerio	ministerio	NOUN	NOUN	_	59	nmod	_	TokenRange=317:327
63	publico	_	ADJ	ADJ	_	62	amod	_	TokenRange=328:335
64	federal	federal	ADJ	ADJ	_	62	amod	_	TokenRange=336:343
65	o	o	DET	DET	_	66	det	_	TokenRange=344:345
66	petista	petista	NOUN	NOUN	_	68	nsubj	_	TokenRange=346:353
67	teria	ter	AUX	AUX	_	68	aux	_	TokenRange=354:359
68	recebido	receber	VERB	VERB	_	1	conj	_	TokenRange=360:368
69	aproximadamente	aproximadamente	ADV	ADV	_	72	advmod	_	TokenRange=369:384
70	r	r	NOUN	NOUN	_	68	obj	_	TokenRange=385:386
71	37	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=387:389
72	milhoes	_	NUM	NUM	NumType=Card	70	nummod	_	TokenRange=390:397
73	em	em	ADP	ADP	_	74	case	_	TokenRange=398:400
74	vantagens	vantagem	NOUN	NOUN	_	68	nmod	_	TokenRange=401:410
75	ilicitas	ilicito	ADJ	ADJ	_	74	amod	_	TokenRange=411:419
76	pagas	pagar	VERB	VERB	_	74	acl	_	TokenRange=420:425
77-78	pela	_	_	_	_	_	_	_	TokenRange=426:430
77	por	por	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	oas	_	NOUN	NOUN	_	76	nmod	_	TokenRange=431:434
80	cabe	caber	VERB	VERB	_	68	parataxis	_	TokenRange=435:439
81	recurso	recurso	NOUN	NOUN	_	80	nsubj	_	TokenRange=440:447
82-83	da	_	_	_	_	_	_	_	TokenRange=448:450
82	de	de	ADP	ADP	_	84	case	_	_
83	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	84	det	_	_
84	sentenca	sentenca	NOUN	NOUN	_	81	nmod	_	TokenRange=451:459
85	de	de	ADP	ADP	_	86	case	_	TokenRange=460:462
86	moro	moro	NOUN	NOUN	_	84	nmod	_	TokenRange=463:467
87-88	nas	_	_	_	_	_	_	_	TokenRange=468:471
87	em	em	ADP	ADP	_	89	case	_	_
88	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	89	det	_	_
89	instancias	instancia	NOUN	NOUN	_	84	nmod	_	TokenRange=472:482
90	superiores	superior	ADJ	ADJ	_	89	amod	_	TokenRange=483:493
91	mais	_	DET	DET	_	92	det	_	TokenRange=494:498
92	informacoes	informacoe	NOUN	NOUN	_	80	nsubj	_	TokenRange=499:510
93	a	_	ADP	ADP	_	94	mark	_	TokenRange=511:512
94	seguir	seguir	VERB	VERB	_	92	nmod	_	TokenRange=513:519
95	leia	ler	VERB	VERB	_	80	parataxis	_	TokenRange=520:524
96	abaixo	abaixo	ADV	ADV	_	95	advmod	_	TokenRange=525:531
97	a	o	DET	DET	_	98	det	_	TokenRange=532:533
98	sentenca	sentenca	NOUN	NOUN	_	95	obj	_	TokenRange=534:542
99	ou	ou	CCONJ	CONJ	_	100	cc	_	TokenRange=543:545
100	clique	clique	NOUN	NOUN	_	98	conj	_	TokenRange=546:552
101	aqui	aqui	ADV	ADV	_	95	advmod	_	SpacesAfter=\s\s|TokenRange=553:557

