# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao vivo caminhao invade mercado mata 9 pessoas e fere dezenas na alemanha ha indicios de ataque nove pessoas morreram e dezenas ficaram feridas apos um caminhao avancar contra a multidao em berlim alemanha de acordo com informacoes da policia local o incidente ocorreu no centro da capital proximo da igreja memorial kaiser wilhelm segundo investigacoes preliminares ha indicios de um possivel ataque o caminhao atravessou a cerca e se jogou em cima das pessoas que se encontravam no mercado o jornal alemao die welt informou que o pais ja estava em alerta devido a ameacas feitas durante as festas natalinas
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
78	em	em	ADP	ADP	_	79	case	_	TokenRange=442:444
79	cima	cima	NOUN	NOUN	_	77	nmod	_	TokenRange=445:449
80-81	das	_	_	_	_	_	_	_	TokenRange=450:453
80	de	de	ADP	ADP	_	82	case	_	_
81	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	82	det	_	_
82	pessoas	pessoa	NOUN	NOUN	_	79	nmod	_	TokenRange=454:461
83	que	_	PRON	PRON	_	85	nsubj	_	TokenRange=462:465
84	se	_	PRON	PRON	_	85	obj	_	TokenRange=466:468
85	encontravam	encontrar	VERB	VERB	_	82	acl:relcl	_	TokenRange=469:480
86-87	no	_	_	_	_	_	_	_	TokenRange=481:483
86	em	em	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	mercado	mercado	NOUN	NOUN	_	85	nmod	_	TokenRange=484:491
89	o	o	DET	DET	_	90	det	_	TokenRange=492:493
90	jornal	jornal	NOUN	NOUN	_	94	nsubj	_	TokenRange=494:500
91	alemao	alemao	ADJ	ADJ	_	90	amod	_	TokenRange=501:507
92	die	_	DET	DET	_	93	det	_	TokenRange=508:511
93	welt	_	PROPN	PNOUN	_	90	appos	_	TokenRange=512:516
94	informou	informar	VERB	VERB	_	72	parataxis	_	TokenRange=517:525
95	que	que	CCONJ	CONJ	_	99	mark	_	TokenRange=526:529
96	o	o	DET	DET	_	97	det	_	TokenRange=530:531
97	pais	_	NOUN	NOUN	_	99	nsubj	_	TokenRange=532:536
98	ja	ja	ADV	ADV	_	99	advmod	_	TokenRange=537:539
99	estava	estar	VERB	VERB	_	94	ccomp	_	TokenRange=540:546
100	em	em	ADP	ADP	_	101	case	_	TokenRange=547:549
101	alerta	alerta	NOUN	NOUN	_	99	nmod	_	TokenRange=550:556
102	devido	dever	VERB	VERB	_	104	case	_	TokenRange=557:563
103	a	_	ADP	ADP	_	102	fixed	_	TokenRange=564:565
104	ameacas	ameaca	NOUN	NOUN	_	99	nmod	_	TokenRange=566:573
105	feitas	_	VERB	VERB	_	104	acl	_	TokenRange=574:580
106	durante	_	ADP	ADP	_	108	case	_	TokenRange=581:588
107	as	o	DET	DET	_	108	det	_	TokenRange=589:591
108	festas	festa	NOUN	NOUN	_	105	nmod	_	TokenRange=592:598
109	natalinas	natalino	ADJ	ADJ	_	108	amod	_	TokenRange=599:608

