# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dilma grampeou sergio moro michel temer e ministros do stf foi a abin que grampeou o gabinete do ministro barroso revelou um exagente da abin ainda lotado na presidencia da republica a abin a agencia brasileira de inteligencia grampeou e espionou o presidente michel temer lideres do pmdb sergio moro e ate ministros do stf a informacao foi divulgada pela revista isto e a descoberta de um grampo instalado sob a mesa do gabinete do ministro luis roberto barroso confirmou as suspeitas da equipe do presidente michel temer e membros da forca tarefa da operacao lava jato do ponto de vista institucional e gravissimo alguem ter a ousadia de colocar um grampo num gabinete do supremo e uma desfacatez absoluta afirmou barroso
1	dilma	dilma	NOUN	NOUN	_	2	nsubj	_	TokenRange=0:5
48	presidente	presidente	NOUN	NOUN	_	46	obj	_	TokenRange=249:259
49	michel	michel	ADJ	ADJ	_	48	amod	_	TokenRange=260:266
50	temer	temer	NOUN	NOUN	_	48	flat	_	TokenRange=267:272
51	lideres	lider	NOUN	NOUN	_	44	obj	_	TokenRange=273:280
52-53	do	_	_	_	_	_	_	_	TokenRange=281:283
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	pmdb	pmdb	NOUN	NOUN	_	51	nmod	_	TokenRange=284:288
55	sergio	sergio	NOUN	NOUN	_	54	appos	_	TokenRange=289:295
56	moro	moro	NOUN	NOUN	_	55	flat	_	TokenRange=296:300
57	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=301:302
58	ate	_	ADV	ADV	_	59	advmod	_	TokenRange=303:306
59	ministros	ministro	NOUN	NOUN	_	51	conj	_	TokenRange=307:316
60-61	do	_	_	_	_	_	_	_	TokenRange=317:319
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	stf	_	NOUN	NOUN	_	59	nmod	_	TokenRange=320:323
63	a	o	DET	DET	_	64	det	_	TokenRange=324:325
64	informacao	informacao	NOUN	NOUN	_	66	nsubj:pass	_	TokenRange=326:336
65	foi	_	AUX	AUX	_	66	aux:pass	_	TokenRange=337:340
66	divulgada	divulgar	VERB	VERB	_	44	conj	_	TokenRange=341:350
67-68	pela	_	_	_	_	_	_	_	TokenRange=351:355
67	por	por	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	revista	revista	NOUN	NOUN	_	66	nmod	_	TokenRange=356:363
70	isto	_	PRON	PRON	_	69	appos	_	TokenRange=364:368
71	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=369:370
72	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	TokenRange=371:372
73	descoberta	_	NOUN	NOUN	_	90	nsubj	_	TokenRange=373:383
74	de	de	ADP	ADP	_	76	case	_	TokenRange=384:386
75	um	um	DET	DET	_	76	det	_	TokenRange=387:389
76	grampo	grampo	NOUN	NOUN	_	73	nmod	_	TokenRange=390:396
77	instalado	instalar	VERB	VERB	_	76	acl	_	TokenRange=397:406
78	sob	_	ADP	ADP	_	80	case	_	TokenRange=407:410
79	a	o	DET	DET	_	80	det	_	TokenRange=411:412
80	mesa	mesa	NOUN	NOUN	_	77	nmod	_	TokenRange=413:417
81-82	do	_	_	_	_	_	_	_	TokenRange=418:420
81	de	de	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	gabinete	gabinete	NOUN	NOUN	_	80	nmod	_	TokenRange=421:429
84-85	do	_	_	_	_	_	_	_	TokenRange=430:432
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	ministro	ministro	NOUN	NOUN	_	83	nmod	_	TokenRange=433:441
87	luis	_	NOUN	NOUN	_	86	appos	_	TokenRange=442:446
88	roberto	roberto	NOUN	NOUN	_	87	flat	_	TokenRange=447:454
89	barroso	barroso	ADJ	ADJ	_	87	amod	_	TokenRange=455:462
90	confirmou	confirmar	VERB	VERB	_	2	conj	_	TokenRange=463:472
91	as	o	DET	DET	_	92	det	_	TokenRange=473:475
92	suspeitas	_	NOUN	NOUN	_	90	obj	_	TokenRange=476:485
93-94	da	_	_	_	_	_	_	_	TokenRange=486:488
93	de	de	ADP	ADP	_	95	case	_	_
94	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
95	equipe	equipe	NOUN	NOUN	_	92	nmod	_	TokenRange=489:495
96-97	do	_	_	_	_	_	_	_	TokenRange=496:498
96	de	de	ADP	ADP	_	98	case	_	_
97	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	98	det	_	_
98	presidente	presidente	NOUN	NOUN	_	95	nmod	_	TokenRange=499:509
99	michel	michel	ADJ	ADJ	_	98	amod	_	TokenRange=510:516
100	temer	temer	NOUN	NOUN	_	98	appos	_	TokenRange=517:522
101	e	e	CCONJ	CONJ	_	102	cc	_	TokenRange=523:524
102	membros	membro	NOUN	NOUN	_	95	conj	_	TokenRange=525:532
103-104	da	_	_	_	_	_	_	_	TokenRange=533:535
103	de	de	ADP	ADP	_	105	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
105	forca	forca	NOUN	NOUN	_	102	nmod	_	TokenRange=536:541
106	tarefa	tarefa	NOUN	NOUN	_	102	nmod	_	TokenRange=542:548
107-108	da	_	_	_	_	_	_	_	TokenRange=549:551
107	de	de	ADP	ADP	_	109	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	109	det	_	_
109	operacao	operacao	NOUN	NOUN	_	106	nmod	_	TokenRange=552:560
110	lava	lava	NOUN	NOUN	_	109	appos	_	TokenRange=561:565
111	jato	jato	NOUN	NOUN	_	110	flat	_	TokenRange=566:570
112-113	do	_	_	_	_	_	_	_	TokenRange=571:573
112	de	de	ADP	ADP	_	114	case	_	_
113	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	114	det	_	_
114	ponto	ponto	NOUN	NOUN	_	109	nmod	_	TokenRange=574:579
115	de	de	ADP	ADP	_	116	case	_	TokenRange=580:582
116	vista	vista	NOUN	NOUN	_	114	nmod	_	TokenRange=583:588
117	institucional	institucional	ADJ	ADJ	_	116	amod	_	TokenRange=589:602
118	e	e	CCONJ	CONJ	_	119	cc	_	TokenRange=603:604
119	gravissimo	gravissimo	ADJ	ADJ	_	117	conj	_	TokenRange=605:615
120	alguem	_	VERB	VERB	_	90	nsubj	_	TokenRange=616:622
121	ter	ter	VERB	VERB	_	120	xcomp	_	TokenRange=623:626
122	a	o	DET	DET	_	123	det	_	TokenRange=627:628
123	ousadia	ousadia	NOUN	NOUN	_	121	obj	_	TokenRange=629:636
124	de	_	ADP	ADP	_	125	mark	_	TokenRange=637:639
125	colocar	colocar	VERB	VERB	_	123	nmod	_	TokenRange=640:647
126	um	um	DET	DET	_	127	det	_	TokenRange=648:650
127	grampo	grampo	NOUN	NOUN	_	125	obj	_	TokenRange=651:657
128-129	num	_	_	_	_	_	_	_	TokenRange=658:661
128	em	em	ADP	ADP	_	130	case	_	_
129	um	um	DET	DET	_	130	det	_	_
130	gabinete	gabinete	NOUN	NOUN	_	125	nmod	_	TokenRange=662:670
131-132	do	_	_	_	_	_	_	_	TokenRange=671:673
131	de	de	ADP	ADP	_	133	case	_	_
132	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	_
133	supremo	supremo	NOUN	NOUN	_	130	nmod	_	TokenRange=674:681
134	e	e	CCONJ	CONJ	_	136	cc	_	TokenRange=682:683
135	uma	um	DET	DET	_	136	det	_	TokenRange=684:687
136	desfacatez	desfacatez	NOUN	NOUN	_	130	conj	_	TokenRange=688:698
137	absoluta	absoluto	ADJ	ADJ	_	136	amod	_	TokenRange=699:707
138	afirmou	afirmar	VERB	VERB	_	90	conj	_	TokenRange=708:715
139	barroso	barroso	NOUN	NOUN	_	138	obj	_	SpacesAfter=\s\s|TokenRange=716:723

