# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = correu porque pf da busca em hotel de brasilia lula nao era alvo e mesmo assim saiu correndo noticias dos principais veiculos de comunicacao do pais dao conta que o expresidente lula teria se evadido do hotel royal tulip hoje de manha a policia federal pf foi a um hotel em brasilia onde por acaso estava hospedado o expresidente luiz inacio lula da silva o royal tulip a operacao faz parte da 26 fase da operacao lavajato e foi autorizada pelo pelo juiz sergio moro da 13 vara federal de curitiba uma viatura da policia federal entrou no inicio da manha no hotel royal tulip em brasilia endereco de politicos na capital federal e saiu por volta das 7h40 sem presos em entrevista coletiva agora na parte da manha a equipe de delegados da pf disse que lula nao era alvo de nenhuma busca dessa vez mesmo assim ele saiu do hotel em alta velocidade acompanhado se segurancas pessoais
1	correu	correr	VERB	VERB	_	0	root	_	TokenRange=0:6
91	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
92	juiz	juiz	NOUN	NOUN	_	87	nmod	_	TokenRange=450:454
93	sergio	sergio	NOUN	NOUN	_	92	appos	_	TokenRange=455:461
94	moro	moro	NOUN	NOUN	_	111	flat	_	TokenRange=462:466
95-96	da	_	_	_	_	_	_	_	TokenRange=467:469
95	de	de	ADP	ADP	_	98	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	98	det	_	_
97	13	_	NUM	NUM	NumType=Card	98	nummod	_	TokenRange=470:472
98	vara	vara	NOUN	NOUN	_	92	nmod	_	TokenRange=473:477
99	federal	federal	ADJ	ADJ	_	98	amod	_	TokenRange=478:485
100	de	de	ADP	ADP	_	101	case	_	TokenRange=486:488
101	curitiba	curitiba	NOUN	NOUN	_	98	nmod	_	TokenRange=489:497
102	uma	um	DET	DET	_	103	det	_	TokenRange=498:501
103	viatura	viatura	NOUN	NOUN	_	169	nsubj	_	TokenRange=502:509
104-105	da	_	_	_	_	_	_	_	TokenRange=510:512
104	de	de	ADP	ADP	_	106	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	106	det	_	_
106	policia	policia	NOUN	NOUN	_	103	nmod	_	TokenRange=513:520
107	federal	federal	ADJ	ADJ	_	106	amod	_	TokenRange=521:528
108	entrou	entrar	VERB	VERB	_	155	ccomp	_	TokenRange=529:535
109-110	no	_	_	_	_	_	_	_	TokenRange=536:538
109	em	em	ADP	ADP	_	111	case	_	_
110	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	111	det	_	_
111	inicio	_	NOUN	NOUN	_	108	nmod	_	TokenRange=539:545
112-113	da	_	_	_	_	_	_	_	TokenRange=546:548
112	de	de	ADP	ADP	_	114	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
114	manha	manha	NOUN	NOUN	_	111	nmod	_	TokenRange=549:554
115-116	no	_	_	_	_	_	_	_	TokenRange=555:557
115	em	em	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	hotel	hotel	NOUN	NOUN	_	108	nmod	_	TokenRange=558:563
118	royal	royal	ADJ	ADJ	_	117	amod	_	TokenRange=564:569
119	tulip	tulip	NOUN	NOUN	_	117	appos	_	TokenRange=570:575
120	em	em	ADP	ADP	_	121	case	_	TokenRange=576:578
121	brasilia	brasilia	NOUN	NOUN	_	38	nmod	_	TokenRange=579:587
122	endereco	endereco	NOUN	NOUN	_	38	obj	_	TokenRange=588:596
123	de	de	ADP	ADP	_	124	case	_	TokenRange=597:599
124	politicos	politico	NOUN	NOUN	_	122	nmod	_	TokenRange=600:609
125-126	na	_	_	_	_	_	_	_	TokenRange=610:612
125	em	em	ADP	ADP	_	127	case	_	_
126	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	127	det	_	_
127	capital	capital	NOUN	NOUN	_	122	nmod	_	TokenRange=613:620
128	federal	federal	ADJ	ADJ	_	127	amod	_	TokenRange=621:628
129	e	e	CCONJ	CONJ	_	130	cc	_	TokenRange=629:630
130	saiu	sair	VERB	VERB	_	51	conj	_	TokenRange=631:635
131	por	por	ADP	ADP	_	132	case	_	TokenRange=636:639
132	volta	volta	NOUN	NOUN	_	130	nmod	_	TokenRange=640:645
133-134	das	_	_	_	_	_	_	_	TokenRange=646:649
133	de	de	ADP	ADP	_	135	case	_	_
134	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	135	det	_	_
135	7h40	_	NUM	NUM	NumType=Card	132	nmod	_	TokenRange=650:654
136	sem	_	ADP	ADP	_	137	case	_	TokenRange=655:658
137	presos	preso	NOUN	NOUN	_	130	nmod	_	TokenRange=659:665
138	em	em	ADP	ADP	_	139	case	_	TokenRange=666:668
139	entrevista	entrevista	NOUN	NOUN	_	130	nmod	_	TokenRange=669:679
140	coletiva	coletivo	ADJ	ADJ	_	139	amod	_	TokenRange=680:688
141	agora	agora	ADV	ADV	_	60	advmod	_	TokenRange=689:694
142-143	na	_	_	_	_	_	_	_	TokenRange=695:697
142	em	em	ADP	ADP	_	144	case	_	_
143	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	144	det	_	_
144	parte	parte	NOUN	NOUN	_	51	nmod	_	TokenRange=698:703
145-146	da	_	_	_	_	_	_	_	TokenRange=704:706
145	de	de	ADP	ADP	_	147	case	_	_
146	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	147	det	_	_
147	manha	manha	NOUN	NOUN	_	144	nmod	_	TokenRange=707:712
148	a	o	DET	DET	_	149	det	_	TokenRange=713:714
149	equipe	equipe	NOUN	NOUN	_	51	nsubj	_	TokenRange=715:721
150	de	de	ADP	ADP	_	151	case	_	TokenRange=722:724
151	delegados	delegado	NOUN	NOUN	_	149	nmod	_	TokenRange=725:734
152-153	da	_	_	_	_	_	_	_	TokenRange=735:737
152	de	de	ADP	ADP	_	154	case	_	_
153	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	154	det	_	_
154	pf	_	NOUN	NOUN	_	151	nmod	_	TokenRange=738:740
155	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=741:746
156	que	que	CCONJ	CONJ	_	160	mark	_	TokenRange=747:750
157	lula	_	NOUN	NOUN	_	160	nsubj	_	TokenRange=751:755
158	nao	nao	ADV	ADV	Polarity=Neg	160	advmod	_	TokenRange=756:759
159	era	_	AUX	AUX	_	160	cop	_	TokenRange=760:763
160	alvo	alvo	NOUN	NOUN	_	155	ccomp	_	TokenRange=764:768
161	de	de	ADP	ADP	_	163	case	_	TokenRange=769:771
162	nenhuma	_	DET	DET	_	163	det	_	TokenRange=772:779
163	busca	busca	NOUN	NOUN	_	160	nmod	_	TokenRange=780:785
164	dessa	_	ADP	ADP	_	165	case	_	TokenRange=786:791
165	vez	vez	NOUN	NOUN	_	169	nmod	_	TokenRange=792:795
166	mesmo	mesmo	ADV	ADV	_	167	advmod	_	TokenRange=796:801
167	assim	assim	ADV	ADV	_	169	advmod	_	TokenRange=802:807
168	ele	_	PRON	PRON	_	169	nsubj	_	TokenRange=808:811
169	saiu	sair	VERB	VERB	_	155	conj	_	TokenRange=812:816
170-171	do	_	_	_	_	_	_	_	TokenRange=817:819
170	de	de	ADP	ADP	_	172	case	_	_
171	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	172	det	_	_
172	hotel	hotel	NOUN	NOUN	_	169	nmod	_	TokenRange=820:825
173	em	em	ADP	ADP	_	175	case	_	TokenRange=826:828
174	alta	alto	ADJ	ADJ	_	175	amod	_	TokenRange=829:833
175	velocidade	velocidade	NOUN	NOUN	_	169	nmod	_	TokenRange=834:844
176	acompanhado	acompanhar	VERB	VERB	_	169	acl	_	TokenRange=845:856
177	se	_	ADP	ADP	_	178	case	_	TokenRange=857:859
178	segurancas	_	NOUN	NOUN	_	176	nmod	_	TokenRange=860:870
179	pessoais	pessoal	ADJ	ADJ	_	178	amod	_	TokenRange=871:879

