# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no forum economico de davos doze soldados do exercito suico sao flagrados com entorpecentes soldados suicos que estavam encarregados de proteger o forum economico mundial em davos foram dispensados apos testes de deteccao de drogas darem resultado positivo para uso de cocaina a nota foi publicada pelo exercito suico cinco foram mandados para casa e outros sete foram disciplinados por consumo de cannabis depois de todos os 12 serem suspeitos de intoxicacao todos os 12 soldados haviam consumido cannabis e cinco deles adicionalmente consumido cocaina disse o portavoz do exercito suico stefan holder os cinco soldados que foram enviados para casa serao expulsos do servico militar acrescentou holder e um deles descoberto com cerca de tres gramas de cocaina tera de enfrentar consequencias legais civis como multa ou detencao os outros sete que consumiram cannabis receberao punicao disciplinar
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
16	entorpecentes	_	ADJ	ADJ	_	17	amod	_	TokenRange=78:91
17	soldados	soldado	NOUN	NOUN	_	14	nmod	_	TokenRange=92:100
18	suicos	suico	ADJ	ADJ	_	17	amod	_	TokenRange=101:107
19	que	_	PRON	PRON	_	20	nsubj	_	TokenRange=108:111
20	estavam	estar	VERB	VERB	_	17	acl:relcl	_	TokenRange=112:119
21	encarregados	encarregado	ADJ	ADJ	_	20	xcomp	_	TokenRange=120:132
22	de	_	ADP	ADP	_	23	mark	_	TokenRange=133:135
23	proteger	proteger	VERB	VERB	_	21	nmod	_	TokenRange=136:144
24	o	o	DET	DET	_	25	det	_	TokenRange=145:146
25	forum	forum	NOUN	NOUN	_	23	obj	_	TokenRange=147:152
26	economico	economico	ADJ	ADJ	_	25	amod	_	TokenRange=153:162
27	mundial	mundial	ADJ	ADJ	_	25	amod	_	TokenRange=163:170
28	em	em	ADP	ADP	_	29	case	_	TokenRange=171:173
29	davos	davo	NOUN	NOUN	_	23	nmod	_	TokenRange=174:179
30	foram	_	AUX	AUX	_	31	aux:pass	_	TokenRange=180:185
31	dispensados	dispensar	VERB	VERB	_	14	parataxis	_	TokenRange=186:197
32	apos	_	ADP	ADP	_	38	mark	_	TokenRange=198:202
33	testes	teste	NOUN	NOUN	_	38	nsubj	_	TokenRange=203:209
34	de	de	ADP	ADP	_	35	case	_	TokenRange=210:212
35	deteccao	deteccao	NOUN	NOUN	_	33	nmod	_	TokenRange=213:221
36	de	de	ADP	ADP	_	37	case	_	TokenRange=222:224
37	drogas	droga	NOUN	NOUN	_	35	nmod	_	TokenRange=225:231
38	darem	dar	VERB	VERB	_	31	advcl	_	TokenRange=232:237
39	resultado	resultado	NOUN	NOUN	_	38	obj	_	TokenRange=238:247
40	positivo	positivo	ADJ	ADJ	_	39	amod	_	TokenRange=248:256
41	para	para	ADP	ADP	_	42	case	_	TokenRange=257:261
42	uso	uso	NOUN	NOUN	_	39	nmod	_	TokenRange=262:265
43	de	de	ADP	ADP	_	44	case	_	TokenRange=266:268
44	cocaina	cocaina	NOUN	NOUN	_	42	nmod	_	TokenRange=269:276
45	a	o	DET	DET	_	46	det	_	TokenRange=277:278
46	nota	nota	NOUN	NOUN	_	48	nsubj:pass	_	TokenRange=279:283
47	foi	_	AUX	AUX	_	48	aux:pass	_	TokenRange=284:287
48	publicada	publicar	VERB	VERB	_	14	parataxis	_	TokenRange=288:297
49-50	pelo	_	_	_	_	_	_	_	TokenRange=298:302
49	por	por	ADP	ADP	_	51	case	_	_
50	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
51	exercito	exercito	NOUN	NOUN	_	48	nmod	_	TokenRange=303:311
52	suico	suico	ADJ	ADJ	_	51	amod	_	TokenRange=312:317
53	cinco	_	NUM	NUM	NumType=Card	48	nsubj:pass	_	TokenRange=318:323
54	foram	_	AUX	AUX	_	55	aux:pass	_	TokenRange=324:329
55	mandados	mandar	VERB	VERB	_	14	parataxis	_	TokenRange=330:338
56	para	para	ADP	ADP	_	57	case	_	TokenRange=339:343
57	casa	casa	NOUN	NOUN	_	55	nmod	_	TokenRange=344:348
58	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=349:350
59	outros	_	DET	DET	_	60	det	_	TokenRange=351:357
60	sete	_	NUM	NUM	NumType=Card	62	nsubj:pass	_	TokenRange=358:362
61	foram	_	AUX	AUX	_	62	aux:pass	_	TokenRange=363:368
62	disciplinados	disciplinar	VERB	VERB	_	55	conj	_	TokenRange=369:382
63	por	por	ADP	ADP	_	64	case	_	TokenRange=383:386
64	consumo	consumo	NOUN	NOUN	_	62	nmod	_	TokenRange=387:394
65	de	de	ADP	ADP	_	66	case	_	TokenRange=395:397
66	cannabis	cannabi	NOUN	NOUN	_	64	nmod	_	TokenRange=398:406
67	depois	depois	ADV	ADV	_	72	mark	_	TokenRange=407:413
68	de	_	ADP	ADP	_	67	fixed	_	TokenRange=414:416
69	todos	_	DET	DET	_	71	det	_	TokenRange=417:422
70	os	o	DET	DET	_	71	det	_	TokenRange=423:425
71	12	_	NUM	NUM	NumType=Card	72	nsubj	_	TokenRange=426:428
72	serem	ser	VERB	VERB	_	62	advcl	_	TokenRange=429:434
73	suspeitos	suspeito	ADJ	ADJ	_	72	xcomp	_	TokenRange=435:444
74	de	de	ADP	ADP	_	75	case	_	TokenRange=445:447
75	intoxicacao	intoxicacao	NOUN	NOUN	_	73	nmod	_	TokenRange=448:459
76	todos	_	DET	DET	_	79	det	_	TokenRange=460:465
77	os	o	DET	DET	_	79	det	_	TokenRange=466:468
78	12	_	NUM	NUM	NumType=Card	79	nummod	_	TokenRange=469:471
79	soldados	soldado	NOUN	NOUN	_	81	nsubj	_	TokenRange=472:480
80	haviam	haver	AUX	AUX	_	81	aux	_	TokenRange=481:487
81	consumido	consumir	VERB	VERB	_	72	advcl	_	TokenRange=488:497
82	cannabis	cannabi	NOUN	NOUN	_	81	obj	_	TokenRange=498:506
83	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=507:508
84	cinco	_	NUM	NUM	NumType=Card	107	nsubj:pass	_	TokenRange=509:514
85	deles	_	X	ADPPRON	_	84	nmod	_	TokenRange=515:520
86	adicionalmente	adicionalmente	ADV	ADV	_	87	advmod	_	TokenRange=521:535
87	consumido	consumir	VERB	VERB	_	81	conj	_	TokenRange=536:545
88	cocaina	cocaina	NOUN	NOUN	_	87	obj	_	TokenRange=546:553
89	disse	dizer	VERB	VERB	_	81	conj	_	TokenRange=554:559
90	o	o	DET	DET	_	91	det	_	TokenRange=560:561
91	portavoz	portavoz	NOUN	NOUN	_	89	nsubj	_	TokenRange=562:570
92-93	do	_	_	_	_	_	_	_	TokenRange=571:573
92	de	de	ADP	ADP	_	94	case	_	_
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	_
94	exercito	exercito	NOUN	NOUN	_	91	nmod	_	TokenRange=574:582
95	suico	suico	ADJ	ADJ	_	94	amod	_	TokenRange=583:588
96	stefan	_	NOUN	NOUN	_	91	appos	_	TokenRange=589:595
97	holder	holder	NOUN	NOUN	_	96	flat	_	TokenRange=596:602
98	os	o	DET	DET	_	100	det	_	TokenRange=603:605
99	cinco	_	NUM	NUM	NumType=Card	100	nummod	_	TokenRange=606:611
100	soldados	soldado	NOUN	NOUN	_	107	nsubj:pass	_	TokenRange=612:620
101	que	_	PRON	PRON	_	103	nsubj:pass	_	TokenRange=621:624
102	foram	_	AUX	AUX	_	103	aux:pass	_	TokenRange=625:630
103	enviados	enviar	VERB	VERB	_	100	acl:relcl	_	TokenRange=631:639
104	para	para	ADP	ADP	_	105	case	_	TokenRange=640:644
105	casa	casa	NOUN	NOUN	_	103	nmod	_	TokenRange=645:649
106	serao	_	AUX	AUX	_	107	aux:pass	_	TokenRange=650:655
107	expulsos	expulsar	VERB	VERB	_	81	conj	_	TokenRange=656:664
108-109	do	_	_	_	_	_	_	_	TokenRange=665:667
108	de	de	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	servico	servico	NOUN	NOUN	_	107	nmod	_	TokenRange=668:675
111	militar	militar	ADJ	ADJ	_	110	amod	_	TokenRange=676:683
112	acrescentou	acrescentar	VERB	VERB	_	89	ccomp	_	TokenRange=684:695
113	holder	holder	NOUN	NOUN	_	112	obj	_	TokenRange=696:702
114	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=703:704
115	um	_	PRON	PRON	_	127	nsubj	_	TokenRange=705:707
116	deles	_	X	ADPPRON	_	115	nmod	_	TokenRange=708:713
117	descoberto	descobrir	VERB	VERB	_	115	acl	_	TokenRange=714:724
118	com	com	ADP	ADP	_	122	case	_	TokenRange=725:728
119	cerca	cerca	ADV	ADV	_	121	advmod	_	TokenRange=729:734
120	de	de	ADP	ADP	_	119	case	_	TokenRange=735:737
121	tres	_	NUM	NUM	NumType=Card	122	nummod	_	TokenRange=738:742
122	gramas	grama	NOUN	NOUN	_	117	nmod	_	TokenRange=743:749
123	de	de	ADP	ADP	_	124	case	_	TokenRange=750:752
124	cocaina	cocaina	NOUN	NOUN	_	122	nmod	_	TokenRange=753:760
125	tera	tar	AUX	AUX	_	127	aux	_	TokenRange=761:765
126	de	_	ADP	ADP	_	127	mark	_	TokenRange=766:768
127	enfrentar	enfrentar	VERB	VERB	_	112	conj	_	TokenRange=769:778
128	consequencias	_	NOUN	NOUN	_	127	obj	_	TokenRange=779:792
129	legais	legal	ADJ	ADJ	_	128	amod	_	TokenRange=793:799
130	civis	civil	ADJ	ADJ	_	128	amod	_	TokenRange=800:805
131	como	como	ADP	ADP	_	132	case	_	TokenRange=806:810
132	multa	multa	NOUN	NOUN	_	128	nmod	_	TokenRange=811:816
133	ou	ou	CCONJ	CONJ	_	134	cc	_	TokenRange=817:819
134	detencao	detencao	NOUN	NOUN	_	132	conj	_	TokenRange=820:828
135	os	o	DET	DET	_	137	det	_	TokenRange=829:831
136	outros	_	DET	DET	_	137	det	_	TokenRange=832:838
137	sete	_	NUM	NUM	NumType=Card	141	nsubj	_	TokenRange=839:843
138	que	_	PRON	PRON	_	139	nsubj	_	TokenRange=844:847
139	consumiram	consumir	VERB	VERB	_	137	acl:relcl	_	TokenRange=848:858
140	cannabis	cannabi	NOUN	NOUN	_	139	obj	_	TokenRange=859:867
141	receberao	receber	VERB	VERB	_	112	ccomp	_	TokenRange=868:877
142	punicao	punicao	NOUN	NOUN	_	141	obj	_	TokenRange=878:885
143	disciplinar	disciplinar	ADJ	ADJ	_	142	amod	_	TokenRange=886:897

