# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = jabor da nocaute no pt so os canalhas precisam de uma ideologia que os absolva e os justifique esta e a maior pancada que o pt dilma e lula ja tomaram ate hoje na globo quem nao deve nao teme nao e se o governo fez tudo para esconder as pedaladas ele tem culpa nao e obvio por isso eu pergunto quais sao as fundas razoes psiquicas que explicam essa gente o que esta entranhado nas mentes dos petistas confira
1	jabor	jabor	NOUN	NOUN	_	0	root	_	TokenRange=0:5
36-37	na	_	_	_	_	_	_	_	TokenRange=160:162
36	em	em	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	globo	globo	NOUN	NOUN	_	33	nmod	_	TokenRange=163:168
39	quem	_	PRON	PRON	_	43	nsubj	_	TokenRange=169:173
40	nao	nao	ADV	ADV	Polarity=Neg	43	advmod	_	TokenRange=174:177
41	deve	dever	AUX	AUX	_	43	aux	_	TokenRange=178:182
42	nao	nao	ADV	ADV	Polarity=Neg	43	advmod	_	TokenRange=183:186
43	teme	temer	VERB	VERB	_	11	ccomp	_	TokenRange=187:191
44	nao	nao	ADV	ADV	_	43	advmod	_	TokenRange=192:195
45	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=196:197
46	se	_	CCONJ	CONJ	_	49	mark	_	TokenRange=198:200
47	o	o	DET	DET	_	48	det	_	TokenRange=201:202
48	governo	governo	NOUN	NOUN	_	49	nsubj	_	TokenRange=203:210
49	fez	fazer	VERB	VERB	_	43	conj	_	TokenRange=211:214
50	tudo	_	PRON	PRON	_	49	obj	_	TokenRange=215:219
51	para	_	ADP	ADP	_	52	mark	_	TokenRange=220:224
52	esconder	esconder	VERB	VERB	_	49	advcl	_	TokenRange=225:233
53	as	o	DET	DET	_	54	det	_	TokenRange=234:236
54	pedaladas	pedalada	NOUN	NOUN	_	52	obj	_	TokenRange=237:246
55	ele	_	PRON	PRON	_	56	nsubj	_	TokenRange=247:250
56	tem	ter	VERB	VERB	_	43	conj	_	TokenRange=251:254
57	culpa	culpa	NOUN	NOUN	_	56	obj	_	TokenRange=255:260
58	nao	nao	ADV	ADV	Polarity=Neg	56	advmod	_	TokenRange=261:264
59	e	e	CCONJ	CONJ	_	60	cc	_	TokenRange=265:266
60	obvio	obvio	ADJ	ADJ	_	58	conj	_	TokenRange=267:272
61	por	por	ADP	ADP	_	62	case	_	TokenRange=273:276
62	isso	_	PRON	PRON	_	56	nmod	_	TokenRange=277:281
63	eu	_	PRON	PRON	_	64	nsubj	_	TokenRange=282:284
64	pergunto	perguntar	VERB	VERB	_	43	conj	_	TokenRange=285:293
65	quais	_	PRON	PRON	_	64	ccomp	_	TokenRange=294:299
66	sao	_	AUX	AUX	_	65	cop	_	TokenRange=300:303
67	as	o	DET	DET	_	69	det	_	TokenRange=304:306
68	fundas	fundo	ADJ	ADJ	_	69	amod	_	TokenRange=307:313
69	razoes	razoe	NOUN	NOUN	_	65	nsubj	_	TokenRange=314:320
70	psiquicas	psiquico	ADJ	ADJ	_	69	amod	_	TokenRange=321:330
71	que	_	PRON	PRON	_	72	nsubj	_	TokenRange=331:334
72	explicam	explicar	VERB	VERB	_	69	acl:relcl	_	TokenRange=335:343
73	essa	_	DET	DET	_	74	det	_	TokenRange=344:348
74	gente	gente	NOUN	NOUN	_	72	obj	_	TokenRange=349:354
75	o	_	PRON	PRON	_	72	obj	_	TokenRange=355:356
76	que	_	PRON	PRON	_	77	nsubj	_	TokenRange=357:360
77	esta	_	VERB	VERB	_	75	acl:relcl	_	TokenRange=361:365
78	entranhado	entranhado	ADJ	ADJ	_	77	xcomp	_	TokenRange=366:376
79-80	nas	_	_	_	_	_	_	_	TokenRange=377:380
79	em	em	ADP	ADP	_	81	case	_	_
80	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	81	det	_	_
81	mentes	mente	NOUN	NOUN	_	78	nmod	_	TokenRange=381:387
82-83	dos	_	_	_	_	_	_	_	TokenRange=388:391
82	de	de	ADP	ADP	_	84	case	_	_
83	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	84	det	_	_
84	petistas	petista	NOUN	NOUN	_	81	nmod	_	TokenRange=392:400
85	confira	conferir	VERB	VERB	_	64	parataxis	_	TokenRange=401:408

