# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = virou bagunca todo mundo quer o mesmo beneficio de dilma delcidio recorre ao stf para recuperar direitos a balburdia criada pelo fatiamento do impeachment esta criando uma avalanche de recursos no supremo o exsenador petista delcidio do amaral recorreu agora pouco ao stf para que sua cassacao seja anulada a defesa de delcidio quer que o processo volte para a comissao de constituicao e justica do senado e o exparlamentar tenha seus direitos politicos devolvidos o exsenador teve o mandato cassado em maio/2016 e esta inelegivel ao menos por enquanto por oito anos a advogado argumentou nao e possivel que num estado democratico de direito valham dois pesos e duas medidas delcidio foi cassado do mandato sem a perda dos direitos politicos dada a isonomia de tratamento com o impeachment da expresidente
1	virou	virar	VERB	VERB	_	0	root	_	TokenRange=0:5
87	mandato	mandato	NOUN	NOUN	_	88	nsubj	_	TokenRange=484:491
88	cassado	cassado	ADJ	ADJ	_	85	xcomp	_	TokenRange=492:499
89	em	em	ADP	ADP	_	90	case	_	TokenRange=500:502
90	maio/2016	_	NUM	PNOUN	NumType=Card	88	nmod	_	TokenRange=503:512
91	e	e	CCONJ	CONJ	_	92	cc	_	TokenRange=513:514
92	esta	_	VERB	PRON	_	85	conj	_	TokenRange=515:519
93	inelegivel	inelegivel	ADJ	ADJ	_	92	xcomp	_	TokenRange=520:530
94-95	ao	_	_	_	_	_	_	_	TokenRange=531:533
94	a	a	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	menos	menos	ADV	ADV	_	93	nmod	_	TokenRange=534:539
97	por	_	ADP	ADP	_	98	mark	_	TokenRange=540:543
98	enquanto	enquanto	ADV	ADV	_	104	nmod	_	TokenRange=544:552
99	por	por	ADP	ADP	_	101	case	_	TokenRange=553:556
100	oito	_	NUM	NUM	NumType=Card	101	nummod	_	TokenRange=557:561
101	anos	ano	NOUN	NOUN	_	78	nmod	_	TokenRange=562:566
102	a	o	DET	DET	_	103	det	_	TokenRange=567:568
103	advogado	advogado	NOUN	NOUN	_	104	nsubj	_	TokenRange=569:577
104	argumentou	argumentar	VERB	VERB	_	85	advcl	_	TokenRange=578:588
105	nao	nao	ADV	ADV	Polarity=Neg	104	advmod	_	TokenRange=589:592
106	e	e	CCONJ	CONJ	_	107	cc	_	TokenRange=593:594
107	possivel	possivel	ADJ	ADJ	_	104	xcomp	_	TokenRange=595:603
108	que	que	CCONJ	CONJ	_	123	mark	_	TokenRange=604:607
109-110	num	_	_	_	_	_	_	_	TokenRange=608:611
109	em	em	ADP	ADP	_	111	case	_	_
110	um	um	DET	DET	_	111	det	_	_
111	estado	estado	NOUN	NOUN	_	115	nmod	_	TokenRange=612:618
112	democratico	democratico	ADJ	ADJ	_	111	amod	_	TokenRange=619:630
113	de	de	ADP	ADP	_	114	case	_	TokenRange=631:633
114	direito	direito	NOUN	NOUN	_	111	nmod	_	TokenRange=634:641
115	valham	valhar	VERB	VERB	_	104	ccomp	_	TokenRange=642:648
116	dois	_	NUM	NUM	NumType=Card	117	nummod	_	TokenRange=649:653
117	pesos	peso	NOUN	NOUN	_	115	nsubj	_	TokenRange=654:659
118	e	e	CCONJ	CONJ	_	120	cc	_	TokenRange=660:661
119	duas	_	NUM	NUM	NumType=Card	120	nummod	_	TokenRange=662:666
120	medidas	medida	NOUN	NOUN	_	117	conj	_	TokenRange=667:674
121	delcidio	delcidio	NOUN	NOUN	_	123	nsubj:pass	_	TokenRange=675:683
122	foi	_	AUX	AUX	_	123	aux:pass	_	TokenRange=684:687
123	cassado	cassar	VERB	VERB	_	104	ccomp	_	TokenRange=688:695
124-125	do	_	_	_	_	_	_	_	TokenRange=696:698
124	de	de	ADP	ADP	_	126	case	_	_
125	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	126	det	_	_
126	mandato	mandato	NOUN	NOUN	_	123	nmod	_	TokenRange=699:706
127	sem	_	ADP	ADP	_	129	case	_	TokenRange=707:710
128	a	o	DET	DET	_	129	det	_	TokenRange=711:712
129	perda	perda	NOUN	NOUN	_	123	nmod	_	TokenRange=713:718
130-131	dos	_	_	_	_	_	_	_	TokenRange=719:722
130	de	de	ADP	ADP	_	132	case	_	_
131	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	132	det	_	_
132	direitos	direito	NOUN	NOUN	_	129	nmod	_	TokenRange=723:731
133	politicos	politico	ADJ	ADJ	_	132	amod	_	TokenRange=732:741
134	dada	_	ADP	ADP	_	136	case	_	TokenRange=742:746
135	a	o	DET	DET	_	136	det	_	TokenRange=747:748
136	isonomia	isonomia	NOUN	NOUN	_	123	nmod	_	TokenRange=749:757
137	de	de	ADP	ADP	_	138	case	_	TokenRange=758:760
138	tratamento	tratamento	NOUN	NOUN	_	136	nmod	_	TokenRange=761:771
139	com	com	ADP	ADP	_	141	case	_	TokenRange=772:775
140	o	o	DET	DET	_	141	det	_	TokenRange=776:777
141	impeachment	impeachment	NOUN	NOUN	_	138	nmod	_	TokenRange=778:789
142-143	da	_	_	_	_	_	_	_	TokenRange=790:792
142	de	de	ADP	ADP	_	144	case	_	_
143	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	144	det	_	_
144	expresidente	expresidente	NOUN	NOUN	_	141	nmod	_	TokenRange=793:805

