# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mas como assim palestra de lula na etiopia abordaria o tema corrupcao a palestra do expresidente que estava marcada para amanha 27 era parte de uma serie de atividades que compoem o encontro anual da uniao africana ele abordaria o tema vencendo a luta contra a corrupcao os advogados do expresidente lula ja foram notificados da decisao do juiz federal ricardo leite da 10 vara do distrito federal que decidiu reter o passaporte do condenado fato que o impede de deixar o brasil a decisao faz parte de um processo sigiloso que investiga se houve corrupcao na compra de cacas da suecia pelas forcas armadas brasileiras
1	mas	mas	CCONJ	CONJ	_	26	cc	_	TokenRange=0:3
18	expresidente	expresidente	NOUN	NOUN	_	15	nmod	_	TokenRange=84:96
19	que	_	PRON	PRON	_	20	nsubj	_	TokenRange=97:100
20	estava	estar	VERB	VERB	_	15	acl:relcl	_	TokenRange=101:107
21	marcada	marcado	ADJ	ADJ	_	20	xcomp	_	TokenRange=108:115
22	para	para	ADP	ADP	_	23	case	_	TokenRange=116:120
23	amanha	amanha	NOUN	NOUN	_	21	nmod	_	TokenRange=121:127
24	27	_	NUM	NUM	NumType=Card	23	nmod	_	TokenRange=128:130
25	era	_	AUX	AUX	_	26	cop	_	TokenRange=131:134
26	parte	parte	NOUN	NOUN	_	0	root	_	TokenRange=135:140
27	de	de	ADP	ADP	_	29	case	_	TokenRange=141:143
28	uma	um	DET	DET	_	29	det	_	TokenRange=144:147
29	serie	serie	NOUN	NOUN	_	26	nmod	_	TokenRange=148:153
30	de	de	ADP	ADP	_	31	case	_	TokenRange=154:156
31	atividades	atividade	NOUN	NOUN	_	29	nmod	_	TokenRange=157:167
32	que	_	PRON	PRON	_	33	nsubj	_	TokenRange=168:171
33	compoem	compoer	VERB	VERB	_	31	acl:relcl	_	TokenRange=172:179
34	o	o	DET	DET	_	35	det	_	TokenRange=180:181
35	encontro	encontro	NOUN	NOUN	_	33	obj	_	TokenRange=182:190
36	anual	anual	ADJ	ADJ	_	35	amod	_	TokenRange=191:196
37-38	da	_	_	_	_	_	_	_	TokenRange=197:199
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	uniao	uniao	NOUN	NOUN	_	35	nmod	_	TokenRange=200:205
40	africana	africano	ADJ	ADJ	_	39	amod	_	TokenRange=206:214
41	ele	_	PRON	PRON	_	42	nsubj	_	TokenRange=215:218
42	abordaria	abordar	VERB	VERB	_	15	acl:relcl	_	TokenRange=219:228
43	o	o	DET	DET	_	44	det	_	TokenRange=229:230
44	tema	tema	NOUN	NOUN	_	42	obj	_	TokenRange=231:235
45	vencendo	vencer	VERB	VERB	_	42	acl	_	TokenRange=236:244
46	a	o	DET	DET	_	47	det	_	TokenRange=245:246
47	luta	luta	NOUN	NOUN	_	45	obj	_	TokenRange=247:251
48	contra	_	ADP	ADP	_	50	case	_	TokenRange=252:258
49	a	o	DET	DET	_	50	det	_	TokenRange=259:260
50	corrupcao	corrupcao	NOUN	NOUN	_	47	nmod	_	TokenRange=261:270
51	os	o	DET	DET	_	52	det	_	TokenRange=271:273
52	advogados	advogado	NOUN	NOUN	_	42	nsubj	_	TokenRange=274:283
53-54	do	_	_	_	_	_	_	_	TokenRange=284:286
53	de	de	ADP	ADP	_	55	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	55	det	_	_
55	expresidente	expresidente	NOUN	NOUN	_	52	nmod	_	TokenRange=287:299
56	lula	lula	NOUN	NOUN	_	55	appos	_	TokenRange=300:304
57	ja	ja	ADV	ADV	_	59	advmod	_	TokenRange=305:307
58	foram	_	AUX	AUX	_	59	aux:pass	_	TokenRange=308:313
59	notificados	notificar	VERB	VERB	_	26	parataxis	_	TokenRange=314:325
60-61	da	_	_	_	_	_	_	_	TokenRange=326:328
60	de	de	ADP	ADP	_	62	case	_	_
61	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	62	det	_	_
62	decisao	decisao	NOUN	NOUN	_	59	nmod	_	TokenRange=329:336
63-64	do	_	_	_	_	_	_	_	TokenRange=337:339
63	de	de	ADP	ADP	_	65	case	_	_
64	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	65	det	_	_
65	juiz	juiz	NOUN	NOUN	_	62	nmod	_	TokenRange=340:344
66	federal	federal	ADJ	ADJ	_	65	amod	_	TokenRange=345:352
67	ricardo	ricardo	NOUN	NOUN	_	65	appos	_	TokenRange=353:360
68	leite	leite	NOUN	NOUN	_	67	flat	_	TokenRange=361:366
69-70	da	_	_	_	_	_	_	_	TokenRange=367:369
69	de	de	ADP	ADP	_	72	case	_	_
70	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
71	10	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=370:372
72	vara	vara	NOUN	NOUN	_	65	nmod	_	TokenRange=373:377
73-74	do	_	_	_	_	_	_	_	TokenRange=378:380
73	de	de	ADP	ADP	_	75	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	_
75	distrito	distrito	NOUN	NOUN	_	72	nmod	_	TokenRange=381:389
76	federal	federal	ADJ	ADJ	_	75	amod	_	TokenRange=390:397
77	que	_	PRON	PRON	_	78	nsubj	_	TokenRange=398:401
78	decidiu	decidir	VERB	VERB	_	65	acl:relcl	_	TokenRange=402:409
79	reter	reter	VERB	VERB	_	78	xcomp	_	TokenRange=410:415
80	o	o	DET	DET	_	81	det	_	TokenRange=416:417
81	passaporte	passaporte	NOUN	NOUN	_	79	obj	_	TokenRange=418:428
82-83	do	_	_	_	_	_	_	_	TokenRange=429:431
82	de	de	ADP	ADP	_	85	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	85	det	_	_
84	condenado	condenado	ADJ	ADJ	_	85	amod	_	TokenRange=432:441
85	fato	fato	NOUN	NOUN	_	81	nmod	_	TokenRange=442:446
86	que	_	PRON	PRON	_	88	nsubj	_	TokenRange=447:450
87	o	_	PRON	PRON	_	88	obj	_	TokenRange=451:452
88	impede	impedir	VERB	VERB	_	85	acl:relcl	_	TokenRange=453:459
89	de	_	ADP	ADP	_	90	mark	_	TokenRange=460:462
90	deixar	deixar	VERB	VERB	_	88	nmod	_	TokenRange=463:469
91	o	o	DET	DET	_	92	det	_	TokenRange=470:471
92	brasil	brasil	NOUN	NOUN	_	90	obj	_	TokenRange=472:478
93	a	o	DET	DET	_	94	det	_	TokenRange=479:480
94	decisao	decisao	NOUN	NOUN	_	95	nsubj	_	TokenRange=481:488
95	faz	fazer	VERB	VERB	_	78	ccomp	_	TokenRange=489:492
96	parte	parte	NOUN	NOUN	_	95	obj	_	TokenRange=493:498
97	de	de	ADP	ADP	_	99	case	_	TokenRange=499:501
98	um	um	DET	DET	_	99	det	_	TokenRange=502:504
99	processo	processo	NOUN	NOUN	_	96	nmod	_	TokenRange=505:513
100	sigiloso	sigiloso	ADJ	ADJ	_	99	amod	_	TokenRange=514:522
101	que	_	PRON	PRON	_	102	nsubj	_	TokenRange=523:526
102	investiga	investigar	VERB	VERB	_	99	acl:relcl	_	TokenRange=527:536
103	se	_	CCONJ	CONJ	_	104	mark	_	TokenRange=537:539
104	houve	haver	VERB	VERB	_	102	ccomp	_	TokenRange=540:545
105	corrupcao	corrupcao	NOUN	NOUN	_	104	obj	_	TokenRange=546:555
106-107	na	_	_	_	_	_	_	_	TokenRange=556:558
106	em	em	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	compra	compra	NOUN	NOUN	_	105	nmod	_	TokenRange=559:565
109	de	de	ADP	ADP	_	110	case	_	TokenRange=566:568
110	cacas	caca	NOUN	NOUN	_	108	nmod	_	TokenRange=569:574
111-112	da	_	_	_	_	_	_	_	TokenRange=575:577
111	de	de	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	suecia	suecia	NOUN	NOUN	_	110	nmod	_	TokenRange=578:584
114-115	pelas	_	_	_	_	_	_	_	TokenRange=585:590
114	por	por	ADP	ADP	_	116	case	_	_
115	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	116	det	_	_
116	forcas	forca	NOUN	NOUN	_	108	nmod	_	TokenRange=591:597
117	armadas	armado	ADJ	ADJ	_	116	amod	_	TokenRange=598:605
118	brasileiras	brasileiro	ADJ	ADJ	_	116	amod	_	TokenRange=606:617

