# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na contramao da crise camara aprova criacao de 14 mil cargos comissionados e diz passou sem querer em meio a crise economica e politica que avassala o pais a camara dos deputados deciciu dar uma maozinha amiga nobres parlamentares permitiram a criacao de mais de 14 mil cargos federais comissionados usando o argumento de que passou sem que fosse percebido ao assumir a presidencia o governo interino de michel temer prometeu a extincao de mais 4 mil cargos ate o fim deste ano a criacao de cargos passou junto com projeto de lei que aprovou aumento aos servidores da suframa e o aumento vai demandar um impacto de 58 bilhoes nos cofres publicos
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
34	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	35	det	_	_
35	deputados	deputado	NOUN	NOUN	_	32	nmod	_	TokenRange=169:178
36	deciciu	decicir	VERB	VERB	_	8	conj	_	TokenRange=179:186
37	dar	dar	VERB	VERB	_	36	xcomp	_	TokenRange=187:190
38	uma	um	DET	DET	_	39	det	_	TokenRange=191:194
39	maozinha	_	NOUN	NOUN	_	37	obj	_	TokenRange=195:203
40	amiga	amigo	ADJ	ADJ	_	39	amod	_	TokenRange=204:209
41	nobres	nobre	ADJ	ADJ	_	42	amod	_	TokenRange=210:216
42	parlamentares	parlamentar	NOUN	NOUN	_	37	obj	_	TokenRange=217:230
43	permitiram	permitir	VERB	VERB	_	8	conj	_	TokenRange=231:241
44	a	o	DET	DET	_	45	det	_	TokenRange=242:243
45	criacao	criacao	NOUN	NOUN	_	43	obj	_	TokenRange=244:251
46	de	de	ADP	ADP	_	51	case	_	TokenRange=252:254
47	mais	mais	ADV	ADV	_	50	advmod	_	TokenRange=255:259
48	de	de	ADP	ADP	_	47	case	_	TokenRange=260:262
49	14	_	NUM	NUM	NumType=Card	50	nummod	_	TokenRange=263:265
50	mil	_	NUM	NUM	NumType=Card	51	nummod	_	TokenRange=266:269
51	cargos	cargo	NOUN	NOUN	_	45	nmod	_	TokenRange=270:276
52	federais	federal	ADJ	ADJ	_	51	amod	_	TokenRange=277:285
53	comissionados	comissionado	ADJ	ADJ	_	51	amod	_	TokenRange=286:299
54	usando	usar	VERB	VERB	_	51	acl	_	TokenRange=300:306
55	o	o	DET	DET	_	56	det	_	TokenRange=307:308
56	argumento	argumento	NOUN	NOUN	_	54	obj	_	TokenRange=309:318
57	de	_	ADP	ADP	_	59	mark	_	TokenRange=319:321
58	que	que	CCONJ	CONJ	_	59	mark	_	TokenRange=322:325
59	passou	passar	VERB	VERB	_	56	nmod	_	TokenRange=326:332
60	sem	_	ADP	ADP	_	63	mark	_	TokenRange=333:336
61	que	_	CCONJ	CONJ	_	60	fixed	_	TokenRange=337:340
62	fosse	_	AUX	AUX	_	63	aux:pass	_	TokenRange=341:346
63	percebido	perceber	VERB	VERB	_	59	advcl	_	TokenRange=347:356
64-65	ao	_	_	_	_	_	_	_	TokenRange=357:359
64	a	a	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	assumir	assumir	VERB	VERB	_	59	advcl	_	TokenRange=360:367
67	a	o	DET	DET	_	68	det	_	TokenRange=368:369
68	presidencia	presidencia	NOUN	NOUN	_	66	obj	_	TokenRange=370:381
69	o	o	DET	DET	_	70	det	_	TokenRange=382:383
70	governo	governo	NOUN	NOUN	_	75	nsubj	_	TokenRange=384:391
71	interino	interino	ADJ	ADJ	_	70	amod	_	TokenRange=392:400
72	de	de	ADP	ADP	_	74	case	_	TokenRange=401:403
73	michel	michel	ADJ	ADJ	_	74	amod	_	TokenRange=404:410
74	temer	temer	NOUN	NOUN	_	70	nmod	_	TokenRange=411:416
75	prometeu	prometer	VERB	VERB	_	56	nmod	_	TokenRange=417:425
76	a	o	DET	DET	_	77	det	_	TokenRange=426:427
77	extincao	extincao	NOUN	NOUN	_	75	obj	_	TokenRange=428:436
78	de	de	ADP	ADP	_	82	case	_	TokenRange=437:439
79	mais	mais	ADV	ADV	_	81	advmod	_	TokenRange=440:444
80	4	_	NUM	NUM	NumType=Card	81	nummod	_	TokenRange=445:446
81	mil	_	NUM	NUM	NumType=Card	82	nummod	_	TokenRange=447:450
82	cargos	cargo	NOUN	NOUN	_	77	nmod	_	TokenRange=451:457
83	ate	_	ADP	ADP	_	85	case	_	TokenRange=458:461
84	o	o	DET	DET	_	85	det	_	TokenRange=462:463
85	fim	fim	NOUN	NOUN	_	75	nmod	_	TokenRange=464:467
86	deste	_	ADP	ADP	_	87	case	_	TokenRange=468:473
87	ano	ano	NOUN	NOUN	_	85	nmod	_	TokenRange=474:477
88	a	o	DET	DET	_	89	det	_	TokenRange=478:479
89	criacao	criacao	NOUN	NOUN	_	92	nsubj	_	TokenRange=480:487
90	de	de	ADP	ADP	_	91	case	_	TokenRange=488:490
91	cargos	cargo	NOUN	NOUN	_	89	nmod	_	TokenRange=491:497
92	passou	passar	VERB	VERB	_	75	parataxis	_	TokenRange=498:504
93	junto	junto	ADV	ADV	_	92	advmod	_	TokenRange=505:510
94	com	com	ADP	ADP	_	95	case	_	TokenRange=511:514
95	projeto	projeto	NOUN	NOUN	_	93	nmod	_	TokenRange=515:522
96	de	de	ADP	ADP	_	97	case	_	TokenRange=523:525
97	lei	lei	NOUN	NOUN	_	95	nmod	_	TokenRange=526:529
98	que	_	PRON	PRON	_	99	nsubj	_	TokenRange=530:533
99	aprovou	aprovar	VERB	VERB	_	95	acl:relcl	_	TokenRange=534:541
100	aumento	aumento	NOUN	NOUN	_	99	obj	_	TokenRange=542:549
101-102	aos	_	_	_	_	_	_	_	TokenRange=550:553
101	a	a	ADP	ADP	_	103	case	_	_
102	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	103	det	_	_
103	servidores	servidor	NOUN	NOUN	_	100	nmod	_	TokenRange=554:564
104-105	da	_	_	_	_	_	_	_	TokenRange=565:567
104	de	de	ADP	ADP	_	106	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	106	det	_	_
106	suframa	suframa	NOUN	NOUN	_	103	nmod	_	TokenRange=568:575
107	e	e	CCONJ	CONJ	_	111	cc	_	TokenRange=576:577
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	111	det	_	TokenRange=578:579
109	aumento	aumento	NOUN	NOUN	_	111	nsubj	_	TokenRange=580:587
110	vai	ir	AUX	AUX	_	111	aux	_	TokenRange=588:591
111	demandar	demandar	VERB	VERB	_	92	conj	_	TokenRange=592:600
112	um	um	DET	DET	_	113	det	_	TokenRange=601:603
113	impacto	impacto	NOUN	NOUN	_	111	obj	_	TokenRange=604:611
114	de	de	ADP	ADP	_	116	case	_	TokenRange=612:614
115	58	_	NUM	NUM	NumType=Card	116	nummod	_	TokenRange=615:617
116	bilhoes	_	NUM	NUM	NumType=Card	113	nmod	_	TokenRange=618:625
117-118	nos	_	_	_	_	_	_	_	TokenRange=626:629
117	em	em	ADP	ADP	_	119	case	_	_
118	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	119	det	_	_
119	cofres	cofre	NOUN	NOUN	_	113	nmod	_	TokenRange=630:636
120	publicos	publico	ADJ	ADJ	_	119	amod	_	TokenRange=637:645

