# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perdeu a blindagem diario oficial confirma exoneracao de lula dilma rousseff exonerou seus ministros e o primeiro nome da lista e o do expresidente lula os atos foram oficializados no diario oficial da uniao o juiz sergio moro da 13 vara federal de curitiba ja recebeu da 4 vara criminal de sao paulo o pedido de prisao preventiva de lula leia mais aqui moro ja autorizou a transferencia de quatro presos da lava jato da carceragem da pf os encarcerados foram transferidos da capital curitiba para o presidio de pinhais tambem no parana uma coisa ja e costume em curitiba quando sergio moro esvazia a cadeia da pf e porque novos hospedes poderao chegar a qualquer momento em breve o hotel petista estara lotado novamente
1	perdeu	perder	VERB	VERB	_	0	root	_	TokenRange=0:6
116	a	o	DET	DET	_	117	det	_	TokenRange=599:600
117	cadeia	cadeia	NOUN	NOUN	_	115	obj	_	TokenRange=601:607
118-119	da	_	_	_	_	_	_	_	TokenRange=608:610
118	de	de	ADP	ADP	_	120	case	_	_
119	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	120	det	_	_
120	pf	_	NOUN	NOUN	_	117	nmod	_	TokenRange=611:613
121	e	e	CCONJ	CONJ	_	135	cc	_	TokenRange=614:615
122	porque	_	CCONJ	CONJ	_	126	mark	_	TokenRange=616:622
123	novos	novo	ADJ	ADJ	_	124	amod	_	TokenRange=623:628
124	hospedes	hospede	NOUN	NOUN	_	126	nsubj	_	TokenRange=629:637
125	poderao	poder	AUX	AUX	_	126	aux	_	TokenRange=638:645
126	chegar	chegar	VERB	VERB	_	115	conj	_	TokenRange=646:652
127	a	_	ADP	ADP	_	129	case	_	TokenRange=653:654
128	qualquer	_	DET	DET	_	129	det	_	TokenRange=655:663
129	momento	momento	NOUN	NOUN	_	126	nmod	_	TokenRange=664:671
130	em	_	ADP	ADP	_	131	mark	_	TokenRange=672:674
131	breve	breve	ADJ	ADJ	_	126	nmod	_	TokenRange=675:680
132	o	o	DET	DET	_	133	det	_	TokenRange=681:682
133	hotel	hotel	NOUN	NOUN	_	135	nsubj	_	TokenRange=683:688
134	petista	petista	NOUN	NOUN	_	133	amod	_	TokenRange=689:696
135	estara	estar	VERB	VERB	_	91	conj	_	TokenRange=697:703
136	lotado	lotado	ADJ	ADJ	_	135	xcomp	_	TokenRange=704:710
137	novamente	novamente	ADV	ADV	_	135	advmod	_	TokenRange=711:720

