# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = querem parar a lavajato sede da policia federal e atacada a tiros o predio da policia federal em goiania foi metralhado na noite de ontem 19 os vidros foram perfurados por varios disparos em nota a pf disse que instaurou inquerito policial para apurar o caso e os responsaveis pelo ato a instituicao disse que este crime afronta o estado democratico de direito e diz que continuara combatendo o crime organizado de acordo com a assessoria da pf nao serao divulgadas quaisquer detalhes ate que a pericia seja feita e os todos os depoimentos sejam concluidos
1	querem	querer	VERB	VERB	_	0	root	_	TokenRange=0:6
77	acordo	acordo	NOUN	NOUN	_	72	nmod	_	TokenRange=415:421
78	com	com	ADP	ADP	_	80	case	_	TokenRange=422:425
79	a	o	DET	DET	_	80	det	_	TokenRange=426:427
80	assessoria	assessoria	NOUN	NOUN	_	77	nmod	_	TokenRange=428:438
81-82	da	_	_	_	_	_	_	_	TokenRange=439:441
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	pf	_	NOUN	NOUN	_	80	nmod	_	TokenRange=442:444
84	nao	nao	ADV	ADV	Polarity=Neg	86	advmod	_	TokenRange=445:448
85	serao	_	AUX	AUX	_	86	aux:pass	_	TokenRange=449:454
86	divulgadas	divulgar	VERB	VERB	_	69	ccomp	_	TokenRange=455:465
87	quaisquer	_	DET	DET	_	88	det	_	TokenRange=466:475
88	detalhes	detalhe	NOUN	NOUN	_	86	nsubj:pass	_	TokenRange=476:484
89	ate	_	ADP	ADP	_	94	mark	_	TokenRange=485:488
90	que	_	CCONJ	CONJ	_	89	fixed	_	TokenRange=489:492
91	a	o	DET	DET	_	92	det	_	TokenRange=493:494
92	pericia	pericia	NOUN	NOUN	_	94	nsubj:pass	_	TokenRange=495:502
93	seja	ser	AUX	AUX	_	94	aux:pass	_	TokenRange=503:507
94	feita	_	VERB	VERB	_	86	advcl	_	TokenRange=508:513
95	e	e	CCONJ	CONJ	_	101	cc	_	TokenRange=514:515
96	os	o	DET	DET	_	99	det	_	TokenRange=516:518
97	todos	_	DET	DET	_	99	det	_	TokenRange=519:524
98	os	o	DET	DET	_	99	det	_	TokenRange=525:527
99	depoimentos	depoimento	NOUN	NOUN	_	101	nsubj:pass	_	TokenRange=528:539
100	sejam	ser	AUX	AUX	_	101	aux:pass	_	TokenRange=540:545
101	concluidos	concluir	VERB	VERB	_	86	conj	_	TokenRange=546:556

