# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prendam dom pedro delator diz que roubalheira institucionalizada ocorre desde 1946 em um de seus depoimentos sergio machado expresidente da transpetro relatou que o sistema de desvios em estatais brasileiras funciona desde 1946 o exsenador explica a engrenagem basica da roubalheira 1 politicos indicam pessoas para cargos em empresas do governo e querem o maior volume possivel de recursos ilicitos para campanhas eleitorais e outras finalidades 2 empresas querem contratos e as maiores vantagens possiveis 3 gestores de empresas estatais tem duas necessidades a de administrar a empresa e outra a de arrecadar propina para os politicos eurico gaspar dutra era o presidente da epoca
1	prendam	prendar	VERB	VERB	_	0	root	_	TokenRange=0:7
72	querem	querer	VERB	VERB	_	46	conj	_	TokenRange=458:464
73	contratos	contrato	NOUN	NOUN	_	72	obj	_	TokenRange=465:474
74	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=475:476
75	as	o	DET	DET	_	77	det	_	TokenRange=477:479
76	maiores	maior	ADJ	ADJ	_	77	amod	_	TokenRange=480:487
77	vantagens	vantagem	NOUN	NOUN	_	73	conj	_	TokenRange=488:497
78	possiveis	_	ADJ	ADJ	_	77	amod	_	TokenRange=498:507
79	3	_	NUM	NUM	NumType=Card	80	nummod	_	TokenRange=508:509
80	gestores	gestor	NOUN	NOUN	_	72	nsubj	_	TokenRange=510:518
81	de	de	ADP	ADP	_	82	case	_	TokenRange=519:521
82	empresas	empresa	NOUN	NOUN	_	80	nmod	_	TokenRange=522:530
83	estatais	estatal	ADJ	ADJ	_	82	amod	_	TokenRange=531:539
84	tem	ter	VERB	VERB	_	46	conj	_	TokenRange=540:543
85	duas	_	NUM	NUM	NumType=Card	86	nummod	_	TokenRange=544:548
86	necessidades	necessidade	NOUN	NOUN	_	84	obj	_	TokenRange=549:561
87	a	_	PRON	PRON	_	86	appos	_	TokenRange=562:563
88	de	_	ADP	ADP	_	89	mark	_	TokenRange=564:566
89	administrar	administrar	VERB	VERB	_	87	nmod	_	TokenRange=567:578
90	a	o	DET	DET	_	91	det	_	TokenRange=579:580
91	empresa	empresa	NOUN	NOUN	_	89	obj	_	TokenRange=581:588
92	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=589:590
93	outra	_	PRON	PRON	_	87	conj	_	TokenRange=591:596
94	a	_	PRON	PRON	_	93	appos	_	TokenRange=597:598
95	de	_	ADP	ADP	_	96	mark	_	TokenRange=599:601
96	arrecadar	arrecadar	VERB	VERB	_	94	nmod	_	TokenRange=602:611
97	propina	propina	NOUN	NOUN	_	96	obj	_	TokenRange=612:619
98	para	para	ADP	ADP	_	100	case	_	TokenRange=620:624
99	os	o	DET	DET	_	100	det	_	TokenRange=625:627
100	politicos	politico	NOUN	NOUN	_	96	nmod	_	TokenRange=628:637
101	eurico	_	ADJ	ADJ	_	106	nsubj	_	TokenRange=638:644
102	gaspar	gaspar	NOUN	NOUN	_	101	flat	_	TokenRange=645:651
103	dutra	_	PROPN	PNOUN	_	101	flat	_	TokenRange=652:657
104	era	_	AUX	AUX	_	106	cop	_	TokenRange=658:661
105	o	o	DET	DET	_	106	det	_	TokenRange=662:663
106	presidente	presidente	NOUN	NOUN	_	84	parataxis	_	TokenRange=664:674
107-108	da	_	_	_	_	_	_	_	TokenRange=675:677
107	de	de	ADP	ADP	_	109	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	109	det	_	_
109	epoca	epoca	NOUN	NOUN	_	106	nmod	_	SpacesAfter=\s\s|TokenRange=678:683

