# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perguntaram para trump se ele iria se encontrar com temer ele respondeu pra que trump fez outro comentario sobre temer esse e aquele senhor da mala uma fonte de washington questionou rapidamente um dos assessores do presidente donald trump sobre uma possivel aproximacao entre os eua e o brasil na correria dos corredores da casa branca o assessor teria respondido pra conversar o que o presidente tem outras prioridades atualmente como a questao da imigracao a retomada do crescimento economico de nossa nacao e os conflitos na peninsula coreana as relacoes comerciais entre os eua e os paises da america latina serao reformuladas no decorrer do mandato disse e continuou nao se preocupe o mike se referindo a mike pence o vicepresidente ja conversou com o presidente brasileiro por telefone para nao perder a piada o assessor brincou foi uma conversa saudavel de vice para vice pois e essa e a fama do nosso presidente no exterior leia tambem
1	perguntaram	perguntar	VERB	VERB	_	0	root	_	TokenRange=0:11
33	rapidamente	rapidamente	ADV	ADV	_	32	advmod	_	TokenRange=183:194
34	um	_	PRON	PRON	_	32	obj	_	TokenRange=195:197
35-36	dos	_	_	_	_	_	_	_	TokenRange=198:201
35	de	de	ADP	ADP	_	37	case	_	_
36	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	37	det	_	_
37	assessores	assessor	NOUN	NOUN	_	34	nmod	_	TokenRange=202:212
38-39	do	_	_	_	_	_	_	_	TokenRange=213:215
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	presidente	presidente	NOUN	NOUN	_	37	nmod	_	TokenRange=216:226
41	donald	donald	ADJ	ADJ	_	40	appos	_	TokenRange=227:233
42	trump	_	NOUN	NOUN	_	41	flat	_	TokenRange=234:239
43	sobre	_	ADP	ADP	_	46	case	_	TokenRange=240:245
44	uma	um	DET	DET	_	46	det	_	TokenRange=246:249
45	possivel	possivel	ADJ	ADJ	_	46	amod	_	TokenRange=250:258
46	aproximacao	aproximacao	NOUN	NOUN	_	32	nmod	_	TokenRange=259:270
47	entre	_	ADP	ADP	_	49	case	_	TokenRange=271:276
48	os	o	DET	DET	_	49	det	_	TokenRange=277:279
49	eua	_	NOUN	NOUN	_	46	nmod	_	TokenRange=280:283
50	e	e	CCONJ	CONJ	_	52	cc	_	TokenRange=284:285
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	TokenRange=286:287
52	brasil	brasil	NOUN	NOUN	_	49	conj	_	TokenRange=288:294
53-54	na	_	_	_	_	_	_	_	TokenRange=295:297
53	em	em	ADP	ADP	_	55	case	_	_
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
55	correria	correria	NOUN	NOUN	_	46	nmod	_	TokenRange=298:306
56-57	dos	_	_	_	_	_	_	_	TokenRange=307:310
56	de	de	ADP	ADP	_	58	case	_	_
57	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	58	det	_	_
58	corredores	corredor	NOUN	NOUN	_	55	nmod	_	TokenRange=311:321
59-60	da	_	_	_	_	_	_	_	TokenRange=322:324
59	de	de	ADP	ADP	_	61	case	_	_
60	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	61	det	_	_
61	casa	casa	NOUN	NOUN	_	58	nmod	_	TokenRange=325:329
62	branca	branco	ADJ	ADJ	_	61	amod	_	TokenRange=330:336
63	o	o	DET	DET	_	64	det	_	TokenRange=337:338
64	assessor	assessor	NOUN	NOUN	_	66	nsubj	_	TokenRange=339:347
65	teria	ter	AUX	AUX	_	66	aux	_	TokenRange=348:353
66	respondido	responder	VERB	VERB	_	1	parataxis	_	TokenRange=354:364
67	pra	_	ADP	ADP	_	68	mark	_	TokenRange=365:368
68	conversar	conversar	VERB	VERB	_	66	advcl	_	TokenRange=369:378
69	o	_	PRON	PRON	_	68	obj	_	TokenRange=379:380
70	que	_	PRON	PRON	_	73	obj	_	TokenRange=381:384
71	o	o	DET	DET	_	72	det	_	TokenRange=385:386
72	presidente	presidente	NOUN	NOUN	_	73	nsubj	_	TokenRange=387:397
73	tem	ter	VERB	VERB	_	69	acl:relcl	_	TokenRange=398:401
74	outras	_	DET	DET	_	75	det	_	TokenRange=402:408
75	prioridades	prioridade	NOUN	NOUN	_	73	obj	_	TokenRange=409:420
76	atualmente	atualmente	ADV	ADV	_	73	advmod	_	TokenRange=421:431
77	como	como	ADP	ADP	_	79	case	_	TokenRange=432:436
78	a	o	DET	DET	_	79	det	_	TokenRange=437:438
79	questao	questao	NOUN	NOUN	_	75	nmod	_	TokenRange=439:446
80-81	da	_	_	_	_	_	_	_	TokenRange=447:449
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	imigracao	imigracao	NOUN	NOUN	_	79	nmod	_	TokenRange=450:459
83	a	o	DET	DET	_	84	det	_	TokenRange=460:461
84	retomada	retomada	NOUN	NOUN	_	79	appos	_	TokenRange=462:470
85-86	do	_	_	_	_	_	_	_	TokenRange=471:473
85	de	de	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	crescimento	crescimento	NOUN	NOUN	_	84	nmod	_	TokenRange=474:485
88	economico	economico	ADJ	ADJ	_	87	amod	_	TokenRange=486:495
89	de	de	ADP	ADP	_	91	case	_	TokenRange=496:498
90	nossa	_	DET	DET	_	91	det:poss	_	TokenRange=499:504
91	nacao	nacao	NOUN	NOUN	_	87	nmod	_	TokenRange=505:510
92	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=511:512
93	os	o	DET	DET	_	94	det	_	TokenRange=513:515
94	conflitos	conflito	NOUN	NOUN	_	49	conj	_	TokenRange=516:525
95-96	na	_	_	_	_	_	_	_	TokenRange=526:528
95	em	em	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	peninsula	peninsula	NOUN	NOUN	_	94	nmod	_	TokenRange=529:538
98	coreana	coreano	ADJ	ADJ	_	97	amod	_	TokenRange=539:546
99	as	o	DET	DET	_	100	det	_	TokenRange=547:549
100	relacoes	relacoe	NOUN	NOUN	_	113	nsubj:pass	_	TokenRange=550:558
101	comerciais	comercial	ADJ	ADJ	_	100	amod	_	TokenRange=559:569
102	entre	_	ADP	ADP	_	104	case	_	TokenRange=570:575
103	os	o	DET	DET	_	104	det	_	TokenRange=576:578
104	eua	_	NOUN	NOUN	_	100	nmod	_	TokenRange=579:582
105	e	e	CCONJ	CONJ	_	107	cc	_	TokenRange=583:584
106	os	o	DET	DET	_	107	det	_	TokenRange=585:587
107	paises	paise	NOUN	NOUN	_	104	conj	_	TokenRange=588:594
108-109	da	_	_	_	_	_	_	_	TokenRange=595:597
108	de	de	ADP	ADP	_	110	case	_	_
109	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	_
110	america	america	NOUN	NOUN	_	107	nmod	_	TokenRange=598:605
111	latina	latino	ADJ	ADJ	_	110	amod	_	TokenRange=606:612
112	serao	ser	AUX	AUX	_	113	aux:pass	_	TokenRange=613:618
113	reformuladas	reformular	VERB	VERB	_	69	acl:relcl	_	TokenRange=619:631
114-115	no	_	_	_	_	_	_	_	TokenRange=632:634
114	em	em	ADP	ADP	_	116	case	_	_
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	_
116	decorrer	decorrer	NOUN	NOUN	_	113	nmod	_	TokenRange=635:643
117-118	do	_	_	_	_	_	_	_	TokenRange=644:646
117	de	de	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	mandato	mandato	NOUN	NOUN	_	116	nmod	_	TokenRange=647:654
120	disse	dizer	VERB	VERB	_	68	ccomp	_	TokenRange=655:660
121	e	e	CCONJ	CONJ	_	125	cc	_	TokenRange=661:662
122	continuou	continuar	AUX	AUX	_	113	conj	_	TokenRange=663:672
123	nao	nao	ADV	ADV	Polarity=Neg	125	advmod	_	TokenRange=673:676
124	se	_	PRON	PRON	_	125	expl:pv	_	TokenRange=677:679
125	preocupe	preocupar	VERB	VERB	_	136	conj	_	TokenRange=680:688
126	o	o	DET	DET	_	127	det	_	TokenRange=689:690
127	mike	_	NOUN	NOUN	_	125	nsubj	_	TokenRange=691:695
128	se	_	PRON	PRON	_	129	expl:pv	_	TokenRange=696:698
129	referindo	referir	VERB	VERB	_	125	acl	_	TokenRange=699:708
130	a	_	ADP	ADP	_	131	case	_	TokenRange=709:710
131	mike	_	NOUN	NOUN	_	129	nmod	_	TokenRange=711:715
132	pence	_	NOUN	NOUN	_	131	flat	_	TokenRange=716:721
133	o	o	DET	DET	_	134	det	_	TokenRange=722:723
134	vicepresidente	vicepresidente	NOUN	NOUN	_	73	nsubj	_	TokenRange=724:738
135	ja	ja	ADV	ADV	_	136	advmod	_	TokenRange=739:741
136	conversou	conversar	VERB	VERB	_	68	ccomp	_	TokenRange=742:751
137	com	com	ADP	ADP	_	139	case	_	TokenRange=752:755
138	o	o	DET	DET	_	139	det	_	TokenRange=756:757
139	presidente	presidente	NOUN	NOUN	_	136	nmod	_	TokenRange=758:768
140	brasileiro	brasileiro	ADJ	ADJ	_	139	amod	_	TokenRange=769:779
141	por	por	ADP	ADP	_	142	case	_	TokenRange=780:783
142	telefone	telefone	NOUN	NOUN	_	136	nmod	_	TokenRange=784:792
143	para	_	ADP	ADP	_	145	mark	_	TokenRange=793:797
144	nao	nao	ADV	ADV	Polarity=Neg	145	advmod	_	TokenRange=798:801
145	perder	perder	VERB	VERB	_	136	advcl	_	TokenRange=802:808
146	a	o	DET	DET	_	147	det	_	TokenRange=809:810
147	piada	piada	NOUN	NOUN	_	145	obj	_	TokenRange=811:816
148	o	o	DET	DET	_	149	det	_	TokenRange=817:818
149	assessor	assessor	NOUN	NOUN	_	150	nsubj	_	TokenRange=819:827
150	brincou	brincar	VERB	VERB	_	145	ccomp	_	TokenRange=828:835
151	foi	_	AUX	AUX	_	153	cop	_	TokenRange=836:839
152	uma	um	DET	DET	_	153	det	_	TokenRange=840:843
153	conversa	_	NOUN	NOUN	_	150	obj	_	TokenRange=844:852
154	saudavel	saudavel	ADJ	ADJ	_	153	amod	_	TokenRange=853:861
155	de	de	ADP	ADP	_	156	case	_	TokenRange=862:864
156	vice	_	NOUN	NOUN	_	153	nmod	_	TokenRange=865:869
157	para	para	ADP	ADP	_	158	case	_	TokenRange=870:874
158	vice	_	NOUN	NOUN	_	156	nmod	_	TokenRange=875:879
159	pois	_	CCONJ	CONJ	_	172	mark	_	TokenRange=880:884
160	e	e	CCONJ	CONJ	_	172	cc	_	TokenRange=885:886
161	essa	_	PRON	PRON	_	172	nsubj	_	TokenRange=887:891
162	e	e	CCONJ	CONJ	_	164	cc	_	TokenRange=892:893
163	a	o	DET	DET	_	164	det	_	TokenRange=894:895
164	fama	fama	NOUN	NOUN	_	161	conj	_	TokenRange=896:900
165-166	do	_	_	_	_	_	_	_	TokenRange=901:903
165	de	de	ADP	ADP	_	168	case	_	_
166	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	168	det	_	_
167	nosso	_	DET	DET	_	168	det:poss	_	TokenRange=904:909
168	presidente	presidente	NOUN	NOUN	_	164	nmod	_	TokenRange=910:920
169-170	no	_	_	_	_	_	_	_	TokenRange=921:923
169	em	em	ADP	ADP	_	171	case	_	_
170	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	171	det	_	_
171	exterior	exterior	NOUN	NOUN	_	164	nmod	_	TokenRange=924:932
172	leia	ler	VERB	VERB	_	66	advcl	_	TokenRange=933:937
173	tambem	tambem	ADV	ADV	_	172	advmod	_	TokenRange=938:944

